CHILDID	PLANID	PLAN
ET011001	1	10
ET011001	2	4
ET011002	1	1
ET011003	1	1
ET011004	1	1
ET011005	1	1
ET011006	1	1
ET011007	1	1
ET011008	1	1
ET011009	1	1
ET011010	1	1
ET011011	1	1
ET011012	1	1
ET011013	1	1
ET011014	1	1
ET011015	1	1
ET011016	1	1
ET011017	1	1
ET011018	1	5
ET011019	1	1
ET011020	1	1
ET011021	1	1
ET011022	1	1
ET011023	1	1
ET011024	1	1
ET011025	1	1
ET011026	1	1
ET011027	1	4
ET011028	1	4
ET011029	1	1
ET011030	1	1
ET011031	1	1
ET011032	1	1
ET011033	1	1
ET011034	1	1
ET011035	1	1
ET011036	1	4
ET011037	1	1
ET011038	1	4
ET011039	1	1
ET011040	1	1
ET011041	1	1
ET011042	1	1
ET011043	1	1
ET011044	1	1
ET011045	1	1
ET011046	1	1
ET011047	1	4
ET011048	1	4
ET011049	1	1
ET011050	1	1
ET021001	1	1
ET021002	1	1
ET021003	1	4
ET021004	1	4
ET021005	1	2
ET021006	1	1
ET021007	1	4
ET021008	1	4
ET021009	1	8
ET021010	1	1
ET021011	1	2
ET021012	1	2
ET021012	2	3
ET021013	1	4
ET021013	2	3
ET021014	1	1
ET021015	1	1
ET021016	1	6
ET021016	2	7
ET021017	1	1
ET021018	1	1
ET021019	1	2
ET021020	1	1
ET021021	1	2
ET021022	1	1
ET021023	1	10
ET021024	1	1
ET021025	1	1
ET021026	1	1
ET021027	1	1
ET021028	1	1
ET021029	1	1
ET021030	1	1
ET021031	1	1
ET021032	1	1
ET021033	1	1
ET021034	1	7
ET021035	1	1
ET021036	1	1
ET021037	1	1
ET021038	1	1
ET021039	1	4
ET021040	1	1
ET021041	1	1
ET021042	1	1
ET021043	1	1
ET021044	1	1
ET021045	1	1
ET021046	1	1
ET021047	1	1
ET021048	1	1
ET021049	1	1
ET021050	1	1
ET031001	1	1
ET031002	1	1
ET031003	1	1
ET031004	1	1
ET031005	1	6
ET031005	2	4
ET031006	1	1
ET031007	1	10
ET031008	1	4
ET031009	1	4
ET031010	1	1
ET031011	1	1
ET031012	1	1
ET031013	1	1
ET031014	1	4
ET031015	1	4
ET031016	1	4
ET031017	1	1
ET031018	1	1
ET031019	1	1
ET031020	1	1
ET031021	1	1
ET031022	1	1
ET031023	1	4
ET031024	1	1
ET031025	1	1
ET031026	1	1
ET031027	1	3
ET031027	2	2
ET031028	1	1
ET031029	1	1
ET031030	1	1
ET031031	1	4
ET031032	1	1
ET031033	1	1
ET031034	1	1
ET031035	1	4
ET031036	1	10
ET031037	1	4
ET031038	1	1
ET031039	1	1
ET031040	1	1
ET031041	1	1
ET031042	1	1
ET031043	1	1
ET031044	1	1
ET031045	1	1
ET031046	1	1
ET031047	1	1
ET031048	1	1
ET031049	1	1
ET031050	1	1
ET041001	1	5
ET041001	2	3
ET041002	1	1
ET041003	1	10
ET041004	1	10
ET041005	1	10
ET041006	1	1
ET041007	1	10
ET041008	1	3
ET041008	2	99
ET041009	1	4
ET041009	2	5
ET041010	1	10
ET041011	1	10
ET041012	1	1
