CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
ET011001	1	1	2	2	2	52
ET011001	2	2	1	6	2	93
ET011002	1	1	1	12	2	20
ET011003	1	1	1	12	2	75
ET011003	2	2	1	12	2	75
ET011004	1	1	2	12	1	74
ET011004	2	2	2	12	1	15
ET011005	1	1	1	12	1	93
ET011007	1	1	99	99	99	74
ET011008	1	1	2	12	2	74
ET011009	1	1	1	12	1	60
ET011009	2	4	1	12	1	51
ET011009	3	8	1	12	1	51
ET011010	1	1	1	8	1	51
ET011010	2	2	1	6	2	20
ET011010	3	2	1	2	2	20
ET011011	1	1	1	12	2	93
ET011011	2	1	1	12	2	15
ET011012	1	1	2	7	3	18
ET011012	2	2	2	12	1	15
ET011012	3	1	1	12	1	67
ET011013	1	1	1	7	3	28
ET011013	2	2	1	12	2	93
ET011013	3	2	1	12	2	15
ET011014	1	1	2	12	1	51
ET011015	1	1	2	12	3	74
ET011016	1	2	1	12	1	55
ET011017	1	1	2	12	1	93
ET011018	1	1	1	12	2	67
ET011018	2	2	1	12	2	67
ET011019	1	1	2	12	1	18
ET011021	1	1	1	12	1	74
ET011022	1	1	1	8	2	36
ET011022	2	2	1	12	1	15
ET011023	1	1	1	12	1	51
ET011024	1	1	1	12	1	27
ET011025	1	2	1	12	1	95
ET011025	2	4	1	12	1	18
ET011026	1	2	2	12	2	15
ET011027	1	1	2	12	2	74
ET011027	2	4	2	5	2	74
ET011028	1	2	2	12	2	15
ET011030	1	1	2	12	2	15
ET011031	1	1	2	12	2	28
ET011032	1	1	2	12	1	52
ET011033	1	1	2	12	1	27
ET011034	1	2	2	12	2	74
ET011035	1	1	2	12	3	93
ET011036	1	1	2	12	2	28
ET011037	1	1	2	12	1	15
ET011037	2	1	2	12	1	15
ET011037	3	1	2	12	1	15
ET011038	1	2	2	12	2	15
ET011039	1	2	2	12	2	93
ET011040	1	1	2	12	2	93
ET011040	2	3	1	12	1	95
ET011041	1	6	2	12	1	51
ET011042	1	1	1	12	2	80
ET011043	1	1	2	12	1	74
ET011044	1	3	2	12	1	51
ET011045	1	1	2	12	2	15
ET011046	1	1	2	12	3	74
ET011046	2	2	2	12	3	74
ET011047	1	1	1	12	2	75
ET011048	1	2	2	12	1	51
ET011049	1	1	2	12	2	74
ET011049	2	2	2	12	2	51
ET011050	1	1	2	12	1	51
ET021001	1	1	1	12	1	17
ET021002	1	1	2	12	3	52
ET021003	1	1	1	12	1	17
ET021003	2	2	2	12	1	52
ET021004	1	5	1	12	2	60
ET021005	1	1	2	12	3	15
ET021005	2	3	2	12	3	15
ET021005	3	4	2	12	3	15
ET021006	1	1	1	12	1	65
ET021006	2	2	1	12	1	52
ET021007	1	1	1	12	1	67
ET021007	2	2	1	12	1	85
ET021007	3	2	2	5	1	52
ET021008	1	1	2	12	1	33
ET021008	2	2	2	12	2	52
ET021010	1	1	1	12	1	28
ET021011	1	3	1	12	2	15
ET021012	1	2	1	12	1	74
ET021013	1	1	2	12	3	52
ET021014	1	1	2	12	1	20
ET021014	2	2	2	12	1	20
ET021015	1	1	1	12	1	17
ET021015	2	2	1	12	1	17
ET021016	1	1	1	12	1	15
ET021016	2	2	2	12	3	52
ET021017	1	2	1	12	1	17
ET021017	2	3	2	12	2	93
ET021018	1	3	1	12	1	15
ET021018	2	4	1	12	1	17
ET021020	1	1	1	12	2	80
ET021020	2	2	1	12	1	24
ET021021	1	1	1	12	1	17
ET021021	2	2	2	12	1	15
ET021022	1	1	1	12	1	63
ET021022	2	4	1	12	1	24
ET021023	1	1	1	12	1	67
ET021023	2	2	2	12	2	52
ET021024	1	1	1	12	1	60
ET021025	1	1	1	10	1	17
ET021025	2	2	1	12	1	17
ET021025	3	3	1	12	3	63
ET021026	1	1	1	12	1	74
ET021027	1	2	2	12	1	15
ET021027	2	2	2	12	3	52
ET021028	1	1	2	12	1	52
ET021029	1	2	2	12	1	52
ET021029	2	2	2	12	3	52
ET021030	1	2	2	12	1	15
ET021030	2	2	2	12	3	52
ET021031	1	1	1	12	1	74
ET021031	2	2	2	12	1	91
ET021032	1	1	1	12	1	17
ET021032	2	2	2	12	3	52
ET021033	1	1	1	12	1	15
ET021033	2	2	2	3	2	71
ET021034	1	1	1	12	1	74
ET021035	1	1	1	12	1	17
ET021036	1	1	1	12	1	93
ET021036	2	2	1	12	1	36
ET021037	1	2	2	12	1	15
ET021037	2	2	2	12	1	15
ET021038	1	1	2	12	1	15
ET021038	2	1	1	4	2	74
ET021039	1	1	1	12	1	17
ET021040	1	1	1	12	1	17
ET021040	2	2	2	12	3	52
ET021041	1	1	2	12	1	52
ET021042	1	1	1	10	2	74
ET021043	1	1	2	12	1	52
ET021043	2	2	2	12	1	52
ET021044	1	1	1	12	1	17
ET021044	2	2	1	12	1	17
ET021045	1	1	1	12	1	17
ET021046	1	1	1	12	1	17
ET021047	1	1	1	12	1	28
ET021047	2	2	1	12	1	17
ET021048	1	1	1	12	1	17
ET021049	1	1	1	12	1	17
ET021050	1	1	1	12	2	74
ET021050	2	2	2	12	3	52
ET031001	1	1	1	12	2	75
ET031001	2	3	1	1	1	52
ET031002	1	1	1	12	2	45
ET031002	2	2	2	12	1	52
ET031003	1	2	1	10	2	93
ET031004	1	1	1	12	2	67
ET031004	2	2	2	12	1	52
ET031005	1	1	2	6	2	27
ET031006	1	1	2	12	1	55
ET031007	1	1	1	12	1	60
ET031007	2	2	2	12	1	15
ET031007	3	3	1	12	2	50
ET031008	1	1	1	12	1	17
ET031009	1	1	1	12	1	75
ET031009	2	2	2	12	3	93
ET031009	3	2	2	12	4	51
ET031009	4	2	1	12	1	95
ET031010	1	1	1	8	1	92
ET031011	1	1	1	12	1	75
ET031011	2	2	2	12	1	52
ET031012	1	1	1	12	2	75
ET031012	2	2	2	12	1	52
ET031013	1	2	1	12	2	51
ET031013	2	2	1	12	2	93
ET031014	1	1	1	4	1	20
ET031014	2	2	1	12	2	75
ET031014	3	2	2	6	3	93
ET031015	1	1	2	4	3	24
ET031015	2	2	2	4	2	93
ET031015	3	2	1	2	1	55
ET031016	1	2	2	12	1	52
ET031016	2	6	2	12	1	52
ET031016	3	7	2	12	1	52
ET031017	1	1	1	12	2	92
ET031017	2	2	2	12	3	93
ET031017	3	2	2	1	4	52
ET031018	1	1	2	12	1	52
ET031018	2	3	1	4	2	50
ET031019	1	1	1	6	2	93
ET031019	2	2	2	12	1	93
ET031020	1	1	2	5	2	93
ET031020	2	1	2	2	2	50
ET031021	1	1	2	12	1	52
ET031022	1	1	1	12	2	92
ET031023	1	1	2	1	1	52
ET031024	1	1	2	12	1	52
ET031025	1	1	1	12	1	75
ET031025	2	2	1	8	3	93
ET031026	1	1	2	12	1	96
ET031026	2	2	2	12	1	52
ET031026	3	3	2	12	3	93
ET031026	4	4	1	12	1	75
ET031026	5	6	1	12	1	55
ET031027	1	1	2	6	3	20
ET031027	2	1	2	3	3	45
ET031027	3	1	2	3	3	50
ET031027	4	2	2	4	3	93
ET031028	1	1	1	11	1	60
ET031028	2	6	1	6	1	60
ET031029	1	1	2	12	1	52
ET031029	2	3	2	12	1	52
ET031029	3	5	2	11	2	93
ET031029	4	6	2	12	1	97
ET031029	5	4	2	12	1	97
ET031030	1	2	1	12	1	75
ET031031	1	1	1	3	1	75
ET031031	2	2	2	12	3	93
ET031031	3	2	2	12	1	52
ET031031	4	2	2	12	1	52
ET031032	1	1	1	12	1	75
ET031033	1	1	2	12	4	52
ET031034	1	1	1	12	1	50
ET031034	2	3	1	7	3	93
ET031034	3	6	1	1	1	93
ET031036	1	1	1	12	1	45
ET031037	1	1	2	12	1	52
ET031037	2	2	2	12	1	52
ET031038	1	1	2	12	1	52
ET031038	2	2	1	7	1	93
ET031039	1	1	2	12	1	93
ET031039	2	2	2	12	1	93
ET031040	1	2	2	6	2	74
ET031040	2	2	1	3	1	50
ET031041	1	1	1	12	1	55
ET031042	1	1	2	6	1	55
ET031043	1	1	1	12	3	74
ET031043	2	3	1	12	1	74
ET031043	3	5	1	4	1	74
ET031044	1	1	2	12	3	93
ET031044	2	2	1	12	1	60
ET031045	1	2	1	12	1	74
ET031046	1	1	1	12	2	75
ET031046	2	2	2	12	1	52
ET031047	1	2	1	12	1	51
ET031047	2	3	2	12	1	60
ET031047	3	3	2	12	1	52
ET031047	4	3	2	12	1	52
ET031047	5	4	2	12	1	52
ET031048	1	1	1	12	2	75
ET031048	2	2	1	12	1	75
ET031049	1	1	1	12	2	74
ET031050	1	2	1	12	2	75
ET041001	1	1	1	12	2	74
ET041001	2	2	2	12	3	52
ET041001	3	4	2	12	2	63
ET041001	4	6	2	12	2	63
ET041001	5	1	2	12	1	74
ET041002	1	1	2	12	1	24
ET041002	2	1	2	12	1	52
ET041002	3	1	2	10	1	1
ET041002	4	2	2	12	1	24
ET041002	5	2	2	4	1	1
ET041002	6	2	2	12	1	52
ET041003	1	1	2	10	2	1
ET041003	2	1	2	12	2	1
ET041003	3	2	2	12	1	1
ET041004	1	1	1	12	3	93
ET041004	2	1	2	2	4	52
ET041005	1	1	2	12	1	74
ET041005	2	2	1	3	1	93
ET041006	1	2	2	12	1	74
ET041006	2	2	2	12	1	52
ET041006	3	2	2	6	3	93
ET041006	4	3	2	12	1	93
ET041007	1	1	2	12	3	52
ET041007	2	1	2	12	2	24
ET041007	3	1	2	12	2	52
ET041007	4	2	2	12	1	74
ET041008	1	1	2	12	1	74
ET041008	2	1	1	12	3	95
ET041008	3	1	1	12	3	74
ET041008	4	1	1	12	3	93
ET041009	1	3	1	12	2	75
ET041010	1	1	2	12	2	52
ET041011	1	1	1	12	1	75
ET041011	2	2	1	12	2	80
ET041012	1	2	2	12	1	74
ET041012	2	1	2	7	2	93
ET041012	3	1	2	12	1	1
ET041013	1	1	2	8	3	52
ET041013	2	2	2	12	1	74
ET041013	3	3	2	6	3	52
ET041014	1	1	2	4	1	52
ET041014	2	2	1	12	1	52
ET041015	1	1	1	12	1	91
ET041015	2	1	2	12	1	74
ET041015	3	1	1	12	1	74
ET041016	1	1	1	8	2	26
ET041016	2	1	1	7	4	93
ET041016	3	2	1	7	2	80
ET041017	1	1	1	12	1	80
ET041017	2	2	1	12	1	74
ET041018	1	1	1	12	1	85
ET041018	2	1	2	12	4	74
ET041019	1	1	2	12	2	52
ET041019	2	1	2	12	2	52
ET041020	1	1	1	12	1	85
ET041020	2	2	1	12	1	90
ET041021	1	1	2	12	1	1
ET041021	2	1	1	12	1	93
ET041021	3	3	2	6	3	52
ET041022	1	1	2	8	3	93
ET041023	1	1	2	6	3	93
ET041024	1	1	1	2	1	93
ET041024	2	1	1	9	2	95
ET041025	1	1	1	12	1	67
ET041025	2	2	2	8	1	74
ET041026	1	1	2	12	1	74
ET041026	2	5	1	12	1	95
ET041026	3	1	1	12	1	67
ET041027	1	1	1	10	2	65
ET041027	2	1	1	1	4	63
ET041028	1	1	2	9	2	52
ET041028	2	1	2	5	3	93
ET041028	3	2	2	6	3	52
ET041028	4	2	2	6	1	1
ET041029	1	1	2	7	2	52
ET041029	2	2	2	3	1	52
ET041030	1	2	2	7	1	52
ET041030	2	2	2	6	2	93
ET041030	3	4	2	6	1	1
ET041031	1	1	2	3	1	52
ET041032	1	1	1	12	1	90
ET041032	2	2	2	6	2	52
ET041033	1	1	2	12	1	52
ET041033	2	2	2	12	1	52
ET041034	1	1	2	12	1	1
ET041034	2	1	1	6	2	93
ET041034	3	2	2	3	2	1
ET041034	4	2	2	6	4	52
ET041034	5	3	2	3	1	1
ET041034	6	4	2	3	1	1
ET041034	7	5	2	3	1	1
ET041035	1	1	2	12	1	52
ET041036	1	1	1	12	2	93
ET041037	1	1	1	12	4	20
ET041037	2	2	2	12	3	52
ET041037	3	1	2	12	1	74
ET041038	1	1	1	12	1	75
ET041038	2	2	2	12	1	74
ET041039	1	1	2	12	2	52
ET041039	2	1	2	12	2	52
ET041040	1	1	2	12	1	52
ET041040	2	1	1	9	2	80
ET041040	3	2	1	8	1	93
ET041041	1	1	1	10	1	45
ET041041	2	1	1	3	3	93
ET041042	1	1	1	12	1	93
ET041042	2	1	1	4	1	1
ET041042	3	2	1	12	3	93
ET041042	4	2	1	12	3	74
ET041043	1	1	2	12	1	52
ET041043	2	2	1	12	1	55
ET041043	3	3	1	12	1	55
ET041043	4	4	1	12	1	74
ET041043	5	5	2	12	1	55
ET041044	1	2	2	12	1	97
ET041044	2	2	2	2	2	52
ET041044	3	2	2	12	3	93
ET041045	1	1	1	12	1	20
ET041045	2	2	2	12	1	52
ET041046	1	1	2	12	4	63
ET041047	1	1	1	6	1	1
ET041047	2	1	1	12	3	52
ET041047	3	2	1	12	2	52
ET041048	1	1	1	12	1	74
ET041049	1	1	2	12	3	52
ET041049	2	2	2	12	3	74
ET041050	1	1	2	7	1	1
ET041050	2	1	1	12	3	93
ET041050	3	2	2	6	2	1
ET041050	4	2	1	12	2	95
ET051001	1	1	1	6	1	93
ET051001	2	1	1	8	2	14
ET051001	3	2	2	3	3	93
ET051001	4	2	2	12	2	52
ET051001	5	4	2	6	2	97
ET051001	6	4	2	12	1	97
ET051002	1	1	2	9	2	1
ET051002	2	1	1	10	1	2
ET051002	3	1	1	2	1	91
ET051002	4	2	2	6	1	15
ET051002	6	4	2	12	1	97
ET051003	1	1	2	12	1	52
