CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
VN010003	1	2	1	0	4
VN010004	1	2	1	5	4
VN010005	1	2	1	0	3
VN010006	1	2	1	0	3
VN010007	1	2	1	0	3
VN010008	1	2	1	0	3
VN010009	1	2	1	0	4
VN010010	1	2	1	0	3
VN010014	1	2	1	0	3
VN010015	1	1	1	0	3
VN010015	2	2	1	0	3
VN010016	1	2	1	0	4
VN010017	1	2	1	0	4
VN010018	1	2	1	0	4
VN010020	1	2	1	0	4
VN010021	1	2	1	0	4
VN010024	1	2	1	0	4
VN010026	1	2	1	0	4
VN010027	1	2	1	0	4
VN010029	1	3	1	0	4
VN010030	1	2	1	0	4
VN010031	1	2	1	0	4
VN010032	1	2	1	0	4
VN010033	1	2	1	0	4
VN010034	1	2	1	0	4
VN010035	1	2	1	0	4
VN010036	1	2	1	0	3
VN010038	1	2	1	0	4
VN010039	1	2	1	0	3
VN010040	1	3	1	0	1
VN010042	1	2	1	0	4
VN010043	1	2	1	0	4
VN010045	1	2	1	0	4
VN010046	1	2	1	0	4
VN010047	1	2	1	0	4
VN010048	1	4	1	0	4
VN010050	1	2	1	0	4
VN010052	1	2	1	0	4
VN010055	1	3	2	0	4
VN010056	1	4	1	0	5
VN010056	2	2	1	0	5
VN010057	1	2	1	0	3
VN010058	1	2	1	0	4
VN010059	1	2	1	88	3
VN010060	1	2	1	0	4
VN010062	1	2	1	0	2
VN010063	1	2	1	0	4
VN010064	1	2	1	0	4
VN010065	1	2	1	0	5
VN010067	1	2	1	88	5
VN010067	2	3	1	88	5
VN010070	1	2	1	0	4
VN010072	1	2	1	0	5
VN010074	1	2	1	0	4
VN010075	1	2	1	88	4
VN010077	1	2	1	0	4
VN010079	1	2	1	0	4
VN010081	1	2	1	0	3
VN010082	1	2	1	0	3
VN010082	2	4	1	0	3
VN010083	1	2	1	0	4
VN010084	1	3	1	0	2
VN010086	1	2	1	0	4
VN010087	1	2	1	0	1
VN010088	1	2	1	0	4
VN010089	1	1	1	0	4
VN010091	1	2	1	0	3
VN010094	1	2	1	0	4
VN010095	1	2	1	0	4
VN010097	1	2	1	0	4
VN010100	1	2	1	0	4
VN010104	1	2	1	0	3
VN010104	2	3	1	0	5
VN010109	1	3	1	0	4
VN010118	1	2	1	0	1
VN010122	1	2	1	0	4
VN010140	1	5	2	1	4
VN010140	2	3	2	0	3
VN020002	1	2	1	0	4
VN020004	1	2	1	0	4
VN020005	1	2	1	0	5
VN020007	1	2	1	0	4
VN020008	1	2	1	0	4
VN020011	1	2	1	0	4
VN020012	1	2	1	0	4
VN020013	1	2	1	0	5
VN020016	1	2	1	0	4
VN020016	2	3	1	0	4
VN020019	1	2	1	0	5
VN020020	1	2	1	0	5
VN020021	1	2	1	0	4
VN020023	1	2	1	0	3
VN020024	1	4	1	0	3
VN020025	1	2	1	0	3
VN020036	1	2	1	0	4
VN020037	1	2	1	0	5
VN020038	1	3	1	0	2
VN020039	1	2	1	0	5
VN020041	1	3	1	0	5
VN020043	1	2	1	0	4
VN020044	1	2	1	0	4
VN020046	1	2	1	0	3
VN020047	1	2	1	0	4
VN020048	1	2	1	0	3
VN020050	1	2	1	0	5
VN020052	1	4	1	0	3
