CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3
VN010003	1	14	1	2008	-99	4
VN010009	1	1	1	2009	2009	4
VN010030	1	6	1	2004	-77	4
VN010035	1	12	1	2007	99	4
VN010042	1	12	1	2007	99	4
VN010044	1	14	1	1992	2009	6
VN010045	1	12	1	2007	99	4
VN010050	1	12	1	2007	99	4
VN010053	1	14	1	2007	99	4
VN010055	1	19	1	2006	99	8
VN010061	1	14	1	2007	99	8
VN010061	2	14	1	2007	99	4
VN010069	1	14	1	2006	2007	4
VN010074	1	19	1	2008	99	8
VN010075	1	14	1	2007	99	4
VN010076	1	14	1	2006	99	8
VN010076	2	14	1	2006	99	4
VN010077	1	12	2	2009	2009	77
VN010081	1	12	1	2006	99	4
VN010082	1	14	1	2009	99	6
VN010092	1	19	1	2008	2008	4
VN010118	1	12	77	2008	-77	77
VN010140	1	14	1	2009	2009	77
VN020002	1	14	2	2009	2009	4
VN020003	1	14	1	2009	2009	4
VN020005	1	14	1	2008	2009	4
VN020018	1	14	1	2008	2008	4
VN020019	1	6	1	2005	99	7
VN020019	2	6	2	2005	99	4
VN020019	3	14	1	2009	2009	4
VN020020	1	14	1	2009	2009	4
VN020024	1	14	1	2009	2009	4
VN020026	1	14	1	2008	2008	4
VN020029	1	14	1	2009	2009	6
VN020032	1	14	1	2003	99	6
VN020032	2	14	1	2009	2009	4
VN020036	1	14	1	2009	2009	4
VN020036	2	14	1	2008	2008	4
VN020046	1	14	1	2008	2008	4
VN020047	1	14	1	2009	2009	4
VN020055	1	14	1	2008	2008	4
VN020056	1	14	1	2009	2009	4
VN020057	1	14	1	2008	2008	4
VN020060	1	14	1	2009	2009	4
VN020062	1	14	1	2009	2009	4
VN020063	1	14	1	2009	2009	4
VN020064	1	14	1	2009	2009	4
VN020065	1	14	1	2009	2009	4
VN020065	2	14	2	2009	2009	4
VN020066	1	14	1	2009	2009	4
VN020066	2	19	1	2007	2007	4
VN020067	1	14	1	2009	2009	4
VN020068	1	19	1	2007	99	4
VN020068	2	18	1	2007	99	7
VN020069	1	14	1	2009	2009	4
VN020069	2	14	2	2008	2008	4
VN020070	1	14	1	2009	2009	3
VN020073	1	14	1	2009	2009	4
VN020073	2	14	2	2009	2009	4
VN020075	1	14	1	2009	2009	4
VN020075	2	14	2	2009	2009	4
VN020077	1	14	1	2009	2009	3
VN020079	1	14	1	2009	2009	4
VN020080	1	14	1	2008	2008	4
VN020080	2	14	1	2009	2009	4
VN020083	1	14	1	2008	2008	4
VN020083	2	14	1	2009	2009	4
VN020084	1	14	1	2008	2008	77
VN020084	2	14	1	2009	2009	77
VN020086	1	14	1	2008	2008	4
VN020087	1	14	1	2008	2009	4
VN020088	1	14	1	2009	2009	4
VN020089	1	14	1	2009	2009	4
