CHILDID	WORKID	WRKACTR3	WRKPAYR3	PAYNMER3
VN010140	1	25	1	0
VN020087	1	20	1	1
VN020087	2	7	1	2
VN040058	1	2	88	88
VN040066	1	25	1	1
VN060111	1	2	1	1
VN110080	1	7	1	0
