CHILDID	LOANID	LNSRCR3	LNTYPER3	DIFRPYR3
VN010001	1	2	1	1
VN010001	2	8	2	1
VN010002	1	1	1	2
VN010003	1	8	2	3
VN010008	1	1	1	2
VN010009	1	2	1	2
VN010011	1	2	1	2
VN010011	2	8	2	2
VN010014	1	1	1	2
VN010015	1	2	1	1
VN010018	1	2	1	2
VN010019	1	1	1	2
VN010022	1	4	1	2
VN010024	1	2	1	2
VN010025	1	1	1	2
VN010025	2	7	2	2
VN010027	1	2	1	1
VN010031	1	1	1	1
VN010032	1	1	1	3
VN010036	1	8	2	1
VN010038	1	2	1	2
VN010040	1	2	1	1
VN010041	1	2	1	1
VN010041	2	8	2	1
VN010044	1	3	1	2
VN010047	1	2	1	1
VN010048	1	2	1	1
VN010049	1	1	1	2
VN010049	2	2	1	2
VN010050	1	1	1	2
VN010051	1	8	2	1
VN010052	1	1	1	2
VN010060	1	2	1	1
VN010060	2	88	88	88
VN010060	3	88	88	88
VN010060	4	88	88	88
VN010060	5	88	88	88
VN010063	1	2	1	2
VN010064	1	1	1	2
VN010075	1	1	1	3
VN010076	1	2	1	2
VN010080	1	1	1	1
VN010081	1	1	1	2
VN010084	1	8	2	2
VN010091	1	1	1	1
VN010092	1	1	1	2
VN010097	1	1	1	1
VN010109	1	1	1	1
VN010118	1	1	1	1
VN010122	1	2	1	2
VN010122	2	1	1	1
VN010122	3	8	2	2
VN010140	1	7	2	3
VN020002	1	8	2	1
VN020004	1	2	1	2
VN020005	1	1	1	3
VN020007	1	2	1	3
VN020007	2	8	2	2
VN020008	1	2	1	3
VN020010	1	8	2	1
VN020011	1	2	1	2
VN020012	1	2	1	2
VN020012	2	8	2	1
VN020013	1	2	1	3
VN020013	2	8	2	3
VN020019	1	8	2	1
VN020021	1	2	1	2
VN020021	2	7	2	2
VN020022	1	1	1	1
VN020023	1	2	1	2
VN020024	1	7	2	2
VN020028	1	2	1	1
VN020029	1	8	2	2
VN020034	1	2	1	1
VN020035	1	2	1	1
VN020035	2	8	2	1
VN020036	1	8	2	3
VN020037	1	2	1	3
VN020037	2	7	2	3
VN020038	1	1	1	2
VN020038	2	8	2	1
VN020039	1	2	1	1
VN020039	2	1	1	1
VN020044	1	1	1	3
VN020047	1	1	1	2
VN020048	1	8	2	2
VN020050	1	2	1	1
VN020056	1	1	1	1
VN020061	1	8	2	1
VN020064	1	8	2	3
VN020066	1	8	2	2
VN020068	1	8	2	3
VN020069	1	8	2	2
VN020073	1	2	1	3
VN020075	1	8	2	1
VN020077	1	8	2	2
VN020081	1	1	1	3
VN020081	2	8	2	2
VN020084	1	1	1	3
VN020088	1	1	1	3
VN020089	1	1	1	3
VN020089	2	8	2	3
VN020090	1	1	1	3
VN020090	2	2	1	2
VN020092	1	1	1	2
VN020095	1	8	2	2
VN020097	1	7	2	2
VN020097	2	8	2	1
VN020098	1	1	1	3
VN020098	2	8	2	3
VN020105	1	2	1	1
VN020110	1	8	2	3
VN020112	1	8	2	2
VN020114	1	7	2	3
VN020119	1	2	1	2
VN020122	1	2	1	1
VN020131	1	8	2	1
VN020135	1	1	1	1
VN020136	1	1	1	2
VN030001	1	2	1	3
