CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN020067	1	22	40	-88
VN020068	1	6	0	200
VN020068	2	22	100	0
VN020069	1	6	100	50
VN020069	2	5	100	50
VN020069	3	13	100	0
VN020069	4	22	100	0
VN020070	1	22	150	0
VN020073	1	6	100	0
VN020073	2	5	100	0
VN020073	3	22	50	0
VN020075	1	6	0	50
VN020075	2	15	50	0
VN020075	3	22	50	0
VN020077	1	22	20	-88
VN020078	1	5	0	50
VN020078	2	6	0	50
VN020078	3	22	30	0
VN020080	1	6	100	0
VN020080	2	5	0	200
VN020081	1	6	0	1000
VN020081	2	22	50	0
VN020086	1	13	700	-88
VN020089	1	6	100	0
VN020090	1	5	100	0
VN020090	2	22	100	0
VN020091	1	5	0	70
VN020092	1	22	40	0
VN020095	1	5	100	-88
VN020095	2	6	100	-88
VN020096	1	5	300	-88
VN020096	2	6	300	-88
VN020097	1	6	400	100
VN020097	2	14	200	100
VN020100	1	22	100	0
VN020100	2	13	1000	0
VN020105	1	22	300	0
VN020105	2	6	1000	0
VN020106	1	6	200	0
VN020106	2	5	200	0
VN020106	3	7	500	0
VN020108	1	6	200	0
VN020108	2	5	100	0
VN020108	3	22	100	0
VN020110	1	6	0	200
VN020110	2	5	0	200
VN020110	3	13	0	400
VN020110	4	22	30	0
VN020112	1	5	0	50
VN020112	2	22	50	0
VN020113	1	22	100	0
VN020114	1	22	100	0
VN020114	2	13	100	0
VN020122	1	22	20	-88
VN020129	1	22	100	-88
VN020129	2	5	100	-88
VN020129	3	6	100	-88
VN020131	1	6	1000	-88
VN020133	1	22	160	50
VN020135	1	22	40	-88
VN020136	1	22	50	-88
VN030003	1	5	300	70
VN030003	2	13	200	0
VN030004	1	5	500	200
VN030004	2	6	700	300
VN030004	3	14	200	0
VN030004	4	19	80	30
VN030005	1	5	100	50
VN030005	2	6	100	50
VN030005	3	22	30	0
VN030006	1	5	400	50
VN030006	2	6	400	50
VN030006	3	13	150	30
VN030008	1	6	1000	0
VN030008	2	5	500	0
VN030010	1	6	300	0
VN030010	2	13	120	30
VN030014	1	5	200	50
VN030014	2	6	200	50
VN030014	3	13	100	0
VN030015	1	5	50	0
VN030015	2	6	50	0
VN030018	1	13	100	40
VN030018	2	22	20	0
VN030019	1	5	100	100
VN030019	2	6	100	100
VN030019	3	22	30	0
VN030020	1	6	200	0
VN030020	2	22	100	30
VN030021	1	6	500	150
VN030021	2	5	500	150
VN030021	3	22	10	0
VN030022	1	5	300	100
VN030022	2	22	50	0
VN030023	1	13	100	0
VN030025	1	7	15000	300
VN030025	2	22	7000	0
VN030030	1	5	100	100
VN030030	2	22	50	0
VN030032	1	5	400	60
VN030032	2	6	400	60
VN030032	3	13	200	30
VN030034	1	13	200	50
VN030034	2	22	40	0
VN030036	1	13	200	50
VN030036	2	22	25	0
VN030037	1	6	300	50
VN030037	2	5	300	50
VN030040	1	13	100	30
VN030042	1	5	200	0
VN030042	2	13	100	0
VN030042	3	22	20	0
VN030044	1	5	0	100
VN030044	2	6	0	100
VN030044	3	22	30	0
VN030051	1	5	200	0
VN030051	2	6	200	0
VN030052	1	5	2500	500
VN030052	2	6	2500	500
VN030052	3	22	200	0
VN030053	1	6	200	0
VN030053	2	5	200	30
VN030056	1	6	100	50
VN030057	1	5	150	70
VN030057	2	6	150	70
VN030057	3	13	50	30
VN030059	1	5	150	50
VN030059	2	6	150	50
VN030067	1	5	100	50
VN030067	2	6	200	50
VN030071	1	5	120	50
VN030071	2	6	150	50
VN030071	3	13	50	0
VN030072	1	6	200	70
VN030072	2	13	100	50
VN030073	1	22	300	0
VN030074	1	5	200	100
VN030074	2	13	100	50
VN030075	1	5	50	0
VN030075	2	6	2400	600
VN030075	3	22	30	0
VN030077	1	6	200	50
VN030077	2	13	150	30
VN030078	1	6	400	100
VN030078	2	5	400	100
VN030078	3	13	200	0
