CHILDID	ID	MEMSEX	AGE	RELATE	LIVHSE	GRADE	ADULTEDC	DTHEXPR3	HSSTRR3	STRAGER3	GRADER3	STILLR3	WHYNOTR3	AGEGRDR3	PERFR3	FEESR3	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3	SLEEPR3	CHCARER3	HHCHRER3	NPYWRKR3	PAYWRKR3	SCHOOLR3	STUDYR3	PLAYR3
VN010001	0	1	7	0	1	88	88	88	1	6	1	1	88	88	2	120	0	19	0	99	99	 	 	 	 	 	 	 	 
VN010001	1	1	39	1	1	11	0	88	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN010001	2	2	37	1	1	14	0	88	 	 	 	 	 	 	 	 	0	13	12	22	8	10	0	0	0	0	5	2	7
VN010001	3	2	13	7	1	88	88	88	1	6	6	1	88	88	2	250	0	15	12	20	1	9	0	1	0	0	5	3	6
VN010002	0	1	8	0	1	88	88	88	1	6	2	1	88	88	2	40	0	15	12	7	1	9	0	1	0	0	7	2	5
VN010002	1	1	64	5	1	5	0	88	 	 	 	 	 	 	 	 	0	4	8	15	4	 	 	 	 	 	 	 	 
VN010002	2	2	61	5	1	3	0	88	 	 	 	 	 	 	 	 	0	15	12	20	5	 	 	 	 	 	 	 	 
VN010002	3	1	42	1	1	12	0	88	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN010002	4	2	32	1	1	14	0	88	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN010002	5	1	28	13	1	9	0	88	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN010002	6	1	25	13	1	14	0	88	 	 	 	 	 	 	 	 	0	4	8	15	4	 	 	 	 	 	 	 	 
VN010002	7	2	21	13	1	12	0	88	 	 	 	 	 	 	 	 	0	1	8	10	6	 	 	 	 	 	 	 	 
VN010002	8	1	6	7	1	88	88	88	1	6	0	1	88	88	3	40	0	15	3	10	1	11	0	1	0	0	7	1	4
VN010003	0	2	8	0	1	88	88	88	1	6	2	1	88	88	2	0	0	15	11	25	2	10	2	1	0	0	4	2	5
VN010003	1	1	36	1	1	8	0	88	 	 	 	 	 	 	 	 	1	15	3	10	1	 	 	 	 	 	 	 	 
VN010003	2	2	37	1	1	9	0	88	 	 	 	 	 	 	 	 	0	13	9	26	8	 	 	 	 	 	 	 	 
VN010003	3	2	13	7	1	88	88	88	1	6	7	1	88	88	3	0	0	15	12	26	3	10	2	2	0	0	5	2	3
VN010003	4	2	5	7	1	88	88	88	0	88	88	88	88	88	88	-88	0	19	99	99	99	12	0	0	0	0	0	0	12
VN010003	5	1	2	7	1	88	88	88	 	 	 	 	 	 	 	 	0	19	99	99	99	 	 	 	 	 	 	 	 
VN010004	0	2	8	0	1	88	88	88	1	6	2	1	88	88	2	120	0	15	10	25	1	11	0	1	0	0	4	2	6
VN010004	1	1	42	1	1	7	0	88	 	 	 	 	 	 	 	 	0	1	6	25	8	 	 	 	 	 	 	 	 
VN010004	2	2	43	1	1	7	0	88	 	 	 	 	 	 	 	 	0	1	6	25	8	 	 	 	 	 	 	 	 
VN010004	3	1	21	7	1	9	0	88	 	 	 	 	 	 	 	 	0	1	6	25	8	 	 	 	 	 	 	 	 
VN010004	4	1	19	7	1	9	0	88	 	 	 	 	 	 	 	 	0	1	4	20	6	 	 	 	 	 	 	 	 
VN010005	0	2	8	0	1	88	88	88	1	6	2	1	88	88	2	280	0	15	10	20	2	9	0	2	0	0	5	4	4
VN010005	1	1	50	1	4	99	99	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010005	2	2	41	1	1	9	0	88	 	 	 	 	 	 	 	 	0	12	10	26	9	 	 	 	 	 	 	 	 
VN010005	3	1	21	7	4	99	99	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010005	4	2	19	7	4	99	99	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010005	5	1	16	7	4	88	88	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010006	0	1	8	0	1	88	88	88	1	6	2	1	88	88	3	0	0	15	12	20	1	10	0	1	0	0	5	2	6
VN010006	1	1	46	1	1	6	0	88	 	 	 	 	 	 	 	 	0	9	8	28	12	 	 	 	 	 	 	 	 
VN010006	2	2	43	1	1	6	0	88	 	 	 	 	 	 	 	 	0	9	8	28	9	 	 	 	 	 	 	 	 
VN010006	3	2	21	7	1	9	0	88	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN010006	4	2	19	7	1	7	0	88	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN010006	5	2	14	7	1	88	88	88	1	6	4	0	21	10	88	-88	0	9	8	26	9	10	0	2	9	0	0	0	3
