childid	id	memsex	age	relate	livhse	hsstrtr3	stryrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	grdrpr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	nmeslpr3	chcarer3	hhchrer3	nmehhcr3	npywrkr3	nmenpyr3	paywrkr3	nmepayr3	schoolr3	studyr3	playr3	neg1day	ineg1w	ineg1wag	ineg2day	ineg2w	ineg2wag
IN010007	28	1	10	7	1	1	5	3	4	1	 	 	 	2	3800	 	 	 	 	 	9	 	0	0	 	0	 	0	 	7	1	7	 	 	 	 	 	 
IN010008	0	2	8	0	1	1	7	0	0	1	 	 	 	2	2400	0	17	10	25	10	9	1	0	0	 	0	 	0	 	10	1	4	 	 	 	 	 	 
IN010008	1	1	 	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010008	2	2	33	1	1	 	 	 	 	 	 	 	 	 	 	0	10	12	28	10	 	 	 	 	 	 	 	 	 	 	 	 	0	10	 	0	10	 
IN010008	3	2	52	5	1	 	 	 	 	 	 	 	 	 	 	0	10	12	25	5	 	 	 	 	 	 	 	 	 	 	 	 	0	10	 	0	10	 
IN010008	4	1	11	7	1	1	6	0	4	1	 	 	 	2	0	0	17	10	23	7	8	 	0	0	 	0	 	0	 	7	2	7	 	 	 	 	 	 
IN010009	0	2	8	0	1	1	5	0	4	1	 	 	 	2	10	0	17	10	24	8	9	1	2	1	1	0	 	0	 	8	3	1	 	 	 	 	 	 
IN010009	1	1	63	6	1	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010009	2	2	52	6	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010009	3	1	30	1	1	 	 	 	 	 	 	 	 	 	 	0	12	12	20	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010009	4	2	27	1	1	 	 	 	 	 	 	 	 	 	 	0	13	12	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010009	6	2	6	7	1	1	5	2	1	1	 	 	 	2	5	0	17	10	24	8	9	 	0	0	 	0	 	0	 	8	3	4	 	 	 	 	 	 
IN010009	28	1	10	7	1	1	5	0	5	1	 	 	 	2	55	0	17	10	24	8	9	 	1	0	 	0	 	0	 	8	3	3	 	 	 	 	 	 
IN010010	0	2	8	0	1	1	5	0	1	1	 	 	 	2	4000	0	17	10	25	7	9	1	0	0	 	0	 	0	 	7	3	5	 	 	 	 	 	 
IN010010	1	1	33	1	1	 	 	 	 	 	 	 	 	 	 	0	12	10	26	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010010	2	2	28	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
