CHILDID	ID	SLEEPR3	NMESLPR3	CHCARER3	HHCHRER3	NMEHHCR3	NPYWRKR3	NMENPYR3	PAYWRKR3	NMEPAYR3	SCHOOLR3	STUDYR3	PLAYR3
IN010001	0	10	1	0	0	88	0	88	0	88	7	4	3
IN010001	3	10	88	0	0	88	0	88	0	88	7	4	3
IN010002	0	10	1	0	0	88	0	88	0	88	8	1	5
IN010003	0	9	1	0	0	88	0	88	0	88	7	1	7
IN010003	4	10	88	0	0	88	0	88	0	88	7	1	6
IN010004	0	9	1	0	0	88	0	88	0	88	9	1	5
IN010004	3	8	88	1	0	88	0	88	0	88	9	1	5
IN010004	4	8	88	0	0	88	0	88	0	88	9	1	6
IN010005	0	10	1	0	0	88	0	88	0	88	8	2	4
IN010006	0	10	1	0	0	88	0	88	0	88	7	1	6
IN010006	8	11	88	0	0	88	0	88	0	88	7	1	5
IN010007	0	10	1	0	0	88	0	88	0	88	7	1	6
IN010007	28	9	88	0	0	88	0	88	0	88	7	1	7
IN010008	0	9	1	0	0	88	0	88	0	88	10	1	4
IN010008	4	8	88	0	0	88	0	88	0	88	7	2	7
IN010009	0	9	1	2	1	1	0	88	0	88	8	3	1
IN010009	6	9	88	0	0	88	0	88	0	88	8	3	4
IN010009	28	9	88	1	0	88	0	88	0	88	8	3	3
IN010010	0	9	1	0	0	88	0	88	0	88	7	3	5
IN010010	3	8	88	0	0	88	0	88	0	88	8	3	5
IN010010	4	8	88	0	0	88	0	88	0	88	8	3	5
IN010010	5	9	88	0	0	88	0	88	0	88	7	3	5
IN010011	0	10	1	0	0	88	0	88	0	88	8	1	5
IN010011	3	10	88	0	2	88	0	88	0	88	8	1	3
IN010011	4	10	88	0	1	88	0	88	0	88	8	1	4
IN010012	0	8	1	0	0	88	0	88	0	88	7	2	7
IN010012	3	8	88	0	0	88	0	88	0	88	7	0	9
IN010013	0	10	1	0	1	0	0	88	0	88	8	3	2
IN010013	3	10	88	1	1	88	0	88	0	88	8	3	1
IN010014	0	9	1	0	0	88	0	88	0	88	8	3	4
IN010014	4	9	88	0	0	88	0	88	0	88	8	3	4
IN010015	0	9	1	0	0	88	0	88	0	88	8	4	3
IN010015	3	9	88	1	1	88	0	88	0	88	8	4	1
IN010016	0	9	1	0	0	88	0	88	0	88	8	1	6
IN010016	4	9	88	0	0	88	0	88	0	88	8	1	6
IN010017	0	10	1	0	1	1	0	88	0	88	8	2	3
IN010017	3	9	88	1	1	88	0	88	0	88	8	2	3
IN010018	0	10	1	0	0	88	0	88	0	88	8	2	4
IN010018	3	10	88	0	0	88	0	88	0	88	8	2	4
IN010019	0	8	1	0	0	88	0	88	0	88	11	1	4
IN010019	4	8	88	0	0	88	0	88	0	88	11	1	4
IN010020	0	8	1	0	0	88	0	88	0	88	11	0	5
IN010020	5	8	88	0	0	88	0	88	0	88	11	0	5
IN010020	6	7	88	0	0	88	0	88	0	88	12	2	3
IN010021	0	9	1	1	1	0	0	88	0	88	7	4	2
IN010021	4	9	88	0	0	88	0	88	0	88	7	2	6
IN010023	0	8	0	0	0	88	0	88	0	88	12	0	4
IN010023	4	9	88	0	0	88	0	88	0	88	7	1	7
IN010024	0	8	1	0	0	88	0	88	0	88	7	1	8
IN010024	2	8	88	0	0	88	0	88	0	88	7	1	8
IN010025	0	7	1	0	0	88	0	88	0	88	7	1	9
IN010026	0	9	1	1	0	88	0	88	0	88	8	3	3
IN010026	4	9	88	0	0	88	0	88	0	88	8	3	4
IN010027	0	10	1	0	0	88	0	88	0	88	8	3	3
IN010027	3	10	88	1	0	88	0	88	0	88	8	3	2
IN010028	0	8	1	0	0	88	0	88	0	88	8	3	5
IN010028	5	8	88	0	0	88	0	88	0	88	11	1	4
IN010028	28	8	88	0	0	88	0	88	0	88	10	3	3
IN010029	0	9	1	1	0	88	0	88	0	88	7	3	4
IN010029	3	9	88	0	0	88	0	88	0	88	7	3	5
IN010030	0	8	1	0	0	88	0	88	0	88	7	5	4
IN010030	4	9	88	0	0	88	0	88	0	88	7	4	4
IN010031	0	10	1	1	0	88	0	88	0	88	8	2	3
IN010031	3	10	88	0	0	88	0	88	0	88	8	2	4
IN010032	0	8	1	0	0	88	0	88	0	88	8	3	5
IN010032	3	8	88	0	1	88	0	88	0	88	8	3	4
IN010033	0	10	1	0	0	88	0	88	0	88	6	4	4
IN010033	28	9	88	0	0	88	0	88	0	88	6	4	5
IN010034	0	8	1	0	0	88	0	88	0	88	8	2	6
IN010034	7	8	88	0	0	88	0	88	0	88	8	1	7
IN010035	0	10	1	1	1	0	0	88	0	88	7	2	3
IN010035	3	10	88	0	0	88	0	88	0	88	7	2	5
IN010035	4	11	88	0	0	88	0	88	0	88	7	2	4
IN010036	0	9	1	1	0	88	0	88	0	88	7	2	5
IN010036	5	10	88	0	0	88	0	88	0	88	7	2	5
IN010037	0	8	1	0	0	88	0	88	0	88	7	2	7
IN010037	28	8	88	0	1	88	0	88	0	88	7	2	6
IN010038	0	9	1	0	0	88	0	88	0	88	7	2	6
IN010038	8	9	88	0	0	88	0	88	0	88	7	2	6
IN010039	0	9	1	0	0	88	0	88	0	88	6	1	8
IN010040	0	9	1	0	0	88	0	88	0	88	7	2	6
IN010040	28	9	88	0	0	88	0	88	0	88	7	2	6
IN010041	0	8	1	0	0	88	0	88	0	88	7	2	7
IN010042	0	9	1	0	1	0	0	88	0	88	8	3	3
IN010042	28	9	88	1	1	88	0	88	0	88	8	3	2
IN010043	0	10	1	0	0	88	0	88	0	88	8	1	5
IN010043	4	9	88	0	0	88	0	88	0	88	8	1	6
IN010044	0	10	1	0	0	88	0	88	0	88	8	1	5
IN010044	28	8	88	1	0	88	0	88	0	88	8	3	4
IN010045	0	9	1	0	0	88	0	88	0	88	7	1	7
IN010046	0	10	1	1	0	88	0	88	0	88	7	2	4
IN010046	3	6	88	1	1	88	0	88	0	88	8	3	5
IN010047	0	10	1	0	0	88	0	88	0	88	8	2	4
IN010048	0	8	1	0	0	88	0	88	0	88	8	3	5
IN010049	0	8	1	0	0	88	0	88	0	88	11	1	4
IN010049	28	8	88	0	0	88	0	88	0	88	11	1	4
IN010050	0	9	1	0	1	0	0	88	0	88	7	1	6
IN010050	3	9	88	1	1	88	0	88	0	88	7	2	4
IN010051	0	9	1	0	0	88	0	88	0	88	7	1	7
IN010051	3	8	88	0	0	88	0	88	8	88	0	0	8
IN010051	4	9	88	0	2	88	0	88	0	88	7	1	5
IN010052	0	9	1	0	0	88	0	88	0	88	12	0	3
IN010052	3	9	88	0	0	88	0	88	0	88	12	0	3
IN010053	0	9	1	0	0	88	0	88	0	88	10	2	3
IN010054	0	9	1	1	0	88	0	88	0	88	10	2	2
IN010054	5	10	88	0	0	88	0	88	0	88	9	1	4
IN010055	0	7	1	0	1	1	0	88	0	88	7	1	8
IN010055	4	8	88	1	2	88	0	88	7	88	0	0	6
IN010055	5	7	88	0	2	88	0	88	0	88	7	1	7
IN010056	0	10	1	0	0	88	0	88	0	88	8	1	5
IN010056	3	10	88	0	0	88	0	88	0	88	8	1	5
IN010057	0	8	1	0	1	0	0	88	0	88	8	2	5
IN010057	28	7	88	1	1	88	0	88	0	88	8	2	5
IN010058	0	10	1	0	0	88	0	88	0	88	6	0	8
IN010058	4	10	88	1	1	88	0	88	0	88	0	0	12
IN010059	0	8	1	1	1	1	0	88	0	88	6	2	6
IN010059	5	9	88	0	0	88	0	88	0	88	6	2	7
IN010060	0	9	1	0	0	88	0	88	0	88	7	0	8
IN010060	4	9	88	1	7	88	0	88	0	88	0	0	7
IN010060	5	9	88	0	0	88	0	88	0	88	7	1	7
IN010062	0	9	1	1	0	88	0	88	0	88	6	0	8
IN010062	3	10	88	0	0	88	0	88	0	88	6	0	8
IN010063	0	9	1	0	0	88	0	88	0	88	7	2	6
IN010063	7	9	88	0	0	88	0	88	0	88	7	2	6
IN010064	0	8	1	0	0	88	0	88	0	88	7	3	6
