CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
IN110024	1	24	1	0	4
IN110028	1	24	1	0	5
IN110029	1	24	1	0	5
IN110030	1	2	1	0	4
IN110034	1	24	1	0	5
IN110043	1	24	1	0	4
IN110046	1	24	1	0	4
IN110052	1	24	1	0	4
IN110055	1	24	1	0	4
IN110056	1	24	1	0	4
IN110059	1	24	1	0	4
IN110060	1	24	1	0	4
IN110065	1	24	1	0	3
IN110074	1	24	1	0	4
IN110077	1	24	1	0	3
IN110082	1	24	1	0	88
IN110086	1	24	1	0	4
IN110087	1	24	1	0	5
IN110095	1	24	1	0	4
IN120004	1	24	1	0	1
IN120018	1	1	1	0	4
IN120021	1	24	1	0	4
IN120025	1	24	1	0	3
IN120027	1	24	1	0	4
IN120030	1	24	1	0	5
IN120032	1	24	1	0	4
IN120036	1	24	1	0	1
IN120042	1	1	1	0	4
IN120043	1	24	1	0	4
IN120044	1	24	1	0	2
IN120045	1	24	1	0	5
IN120051	1	24	1	0	4
IN120052	1	24	1	0	4
IN120062	1	24	1	0	3
IN120063	1	24	1	0	4
IN120067	1	24	1	0	4
IN120078	1	24	1	0	4
IN120082	1	24	1	0	4
IN120083	1	24	1	0	4
IN120093	1	24	1	0	5
IN120094	1	24	1	0	4
IN130023	1	24	1	0	1
IN130032	1	24	1	0	2
IN130035	1	24	1	0	4
IN130046	1	24	1	0	3
IN130062	1	24	1	0	4
IN130073	1	20	1	0	2
IN130078	1	24	1	0	4
IN130079	1	24	1	0	4
IN130092	1	24	1	1	4
IN130094	1	24	1	0	3
IN130098	1	24	1	0	4
IN140001	1	22	1	0	4
IN140002	1	22	1	0	5
IN140004	1	24	1	0	5
IN140005	1	24	1	0	5
IN140006	1	24	1	0	5
IN140007	1	24	1	0	4
IN140008	1	24	1	0	5
IN140009	1	22	1	0	5
IN140010	1	24	1	0	4
IN140012	1	24	1	0	3
IN140013	1	22	1	1	5
IN140013	2	20	1	1	5
IN140014	1	24	1	0	3
IN140016	1	22	1	0	5
IN140017	1	24	1	0	5
IN140018	1	22	1	0	5
IN140019	1	24	1	0	4
IN140020	1	24	1	0	5
IN140021	1	24	1	1	5
IN140022	1	22	1	1	5
IN140023	1	24	1	0	5
IN140024	1	22	1	1	5
IN140027	1	24	1	0	5
IN140028	1	22	1	0	5
IN140029	1	24	1	0	5
IN140031	1	24	1	0	5
IN140032	1	24	1	0	4
IN140033	1	24	1	0	4
IN140035	1	24	1	0	1
IN140036	1	22	1	0	5
IN140037	1	22	1	1	1
IN140038	1	24	1	0	5
IN140041	1	24	1	1	3
IN140042	1	22	1	0	4
IN140044	1	22	1	0	5
IN140045	1	24	1	0	4
IN140046	1	24	1	0	5
IN140047	1	24	1	0	5
IN140048	1	24	1	0	3
IN140049	1	24	1	1	5
IN140050	1	24	1	1	5
IN140051	1	24	1	0	4
IN140052	1	24	1	0	4
IN140053	1	24	1	0	5
IN140054	1	22	1	0	5
IN140055	1	24	1	0	4
IN140056	1	24	1	0	4
IN140057	1	24	1	0	2
IN140058	1	24	1	0	4
IN140059	1	24	1	0	5
IN140060	1	7	1	0	5
IN140062	1	7	1	0	5
IN140063	1	24	1	0	5
IN140064	1	24	1	0	4
IN140065	1	20	1	0	5
IN140065	2	24	1	0	5
IN140066	1	22	1	1	5
IN140067	1	24	1	0	4
IN140069	1	24	1	0	5
IN140070	1	24	1	0	5
IN140072	1	24	1	0	4
IN140073	1	24	1	0	5
IN140074	1	24	1	1	5
IN140076	1	22	1	0	5
IN140079	1	22	1	0	5
IN140080	1	24	1	0	5
IN140081	1	24	1	0	5
