CHILDCODE	R3SchCode
10001	127
10002	108
10003	692
10004	2118
10005	2228
10006	2230
10007	1495
10008	685
10009	98
10010	2231
10011	98
10012	1908
10013	2233
10014	96
10015	2033
10016	1868
10017	123
10018	123
10019	841
10020	841
10021	1593
10023	841
10024	692
10025	122
10026	2239
10027	123
10028	2240
10029	123
10030	123
10031	841
10032	108
10033	2241
10034	108
10035	123
10036	849
10037	1918
10038	123
10039	2244
10040	108
10041	108
10042	2246
10043	2249
10044	 
10045	1378
10046	2033
10047	108
10048	841
10049	2258
10050	851
10051	2260
10052	1896
10053	2101
10054	93
10055	89
10056	1377
10057	122
10058	2261
10059	95
10060	1788
10062	113
10063	2262
10064	2112
10065	857
10066	118
10067	 
10068	111
10069	 
10070	124
10071	 
10072	2265
10073	113
10074	113
10075	1378
10076	 
10077	 
10078	 
10079	2266
10080	1367
10081	1909
10082	117
10083	118
10084	124
10085	2043
10086	 
10087	1910
10088	 
10089	1378
10090	122
10091	88
10092	1910
10093	2268
10094	1910
10095	117
10096	113
10097	117
10098	117
10099	857
10100	1539
20001	 
20002	334
20003	334
20004	2269
20005	334
20006	859
20007	2271
20008	2053
20009	334
20010	2053
20011	2272
20014	2272
20015	2274
20016	859
20017	334
20018	859
20019	334
20020	327
20021	327
20022	327
20023	862
20024	327
20025	327
20026	2278
20027	327
20028	2280
20029	2282
20030	327
20031	327
20032	863
20033	327
20034	2283
20035	335
20036	347
20037	335
20038	2286
20039	335
20040	335
20041	335
20042	335
20043	338
20044	2289
20045	2290
20046	329
20047	329
20048	329
20049	2290
20050	321
20051	321
20052	321
20053	321
20054	321
20055	2292
20056	321
20057	343
20058	321
20059	879
20060	342
20061	329
20062	321
20063	2294
20064	868
20065	862
20066	2295
20067	321
20068	868
20069	866
20070	866
20071	343
20072	862
20073	866
20074	322
20075	322
20076	876
20078	876
20079	879
20080	876
20081	875
20082	879
20083	876
20084	876
20085	879
20086	879
20087	2298
20088	862
20089	2299
20090	1579
20091	688
20092	2300
20093	1579
20094	2302
20095	862
20096	2303
20097	2304
20098	2304
20099	2304
20100	2305
30001	19
30002	7
30003	2306
30004	890
30005	2307
30006	1695
30007	 
30008	10
30009	1631
30010	53
30011	53
30012	2308
30013	29
30014	22
30015	22
30016	2309
30017	29
30018	29
30019	51
30020	29
30021	15
30022	51
30023	53
30024	53
30026	1645
30027	10
30028	1881
30029	53
30030	2310
30031	18
30032	2311
30033	2311
30034	21
30035	 
30036	886
30037	21
30038	886
30039	21
30040	2313
30042	886
30043	2012
30045	29
30047	19
30048	19
30050	1399
30051	1787
30052	29
30053	16
30054	896
30055	29
30056	15
30057	2314
30058	32
30059	2315
30060	58
30061	10
30063	40
30064	35
30065	24
30066	904
30067	43
30068	1
30069	5
30070	46
30071	901
30072	13
30073	53
30074	662
30075	35
30076	2316
30078	2316
30079	24
30080	2317
30081	2031
30082	36
30083	43
30084	2319
30085	907
30086	2320
30087	2320
30088	36
30089	35
30090	24
30091	40
30092	886
30093	40
30094	40
30095	1335
30096	1897
30097	1335
30098	2321
30099	 
30100	 
40001	2323
40002	2323
40003	2323
40004	920
40005	81
40006	2324
40007	913
40008	913
40009	 
40010	1664
40011	79
40012	2326
40013	2327
40014	1391
40015	288
40016	1423
40017	1670
40018	288
40019	2329
40020	288
40021	288
40022	288
