CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN020063	1	5	1	11	5	300
IN020064	1	1	1	11	1	400
IN020064	2	1	25	11	1	600
IN020065	1	1	8	11	1	250000
IN020065	2	4	1	11	4	2000
IN020065	3	1	3	11	1	1500
IN020066	1	1	25	24	1	50000
IN020066	2	3	8	11	1	200
IN020067	1	4	14	9	4	10600
IN020067	2	1	25	28	1	20000
IN020068	1	1	25	11	1	500
IN020068	2	5	8	11	1	250
IN020069	1	1	8	11	1	100
IN020070	1	1	25	11	1	300
IN020070	2	3	1	11	3	500
IN020071	1	5	1	11	5	1500
IN020071	2	1	25	24	1	1000
IN020072	1	1	25	22	1	50000
IN020073	1	1	25	24	1	130000
IN020074	1	1	4	11	1	300
IN020074	2	5	1	11	5	200
IN020075	1	3	1	11	3	150
IN020076	1	1	4	11	1	450
IN020076	2	3	1	11	1	200
IN020076	3	1	25	11	1	300
IN020078	1	8	1	11	8	500
IN020079	1	4	1	11	4	200
IN020080	1	1	4	11	1	250
IN020080	2	1	2	11	1	3000
IN020080	3	7	1	11	1	400
IN020080	4	1	25	8	1	300
IN020081	1	8	1	11	1	650
IN020082	1	9	1	11	9	1300
IN020083	1	1	7	24	1	400000
IN020083	2	1	25	11	1	43000
IN020083	3	15	1	11	15	600
IN020084	1	1	1	11	1	80
IN020084	2	4	8	11	4	220
IN020085	1	3	1	11	3	300
IN020086	1	4	1	11	4	200
IN020087	1	4	1	11	4	150
IN020088	1	1	1	11	1	120
IN020088	2	1	8	11	1	200
IN020089	1	12	1	11	6	300
IN020091	1	5	1	11	5	200
IN020092	1	5	1	11	5	250
IN020093	1	6	1	11	6	1000
IN020094	1	8	1	11	8	2000
IN020094	2	5	22	22	3	1000
IN020095	1	10	1	11	10	2400
IN020096	1	2	25	26	2	32500
IN020097	1	1	25	11	1	500
IN020097	2	2	4	11	1	400
IN020097	3	1	2	11	1	2000
IN020097	4	15	1	11	1	800
IN020097	5	1	3	11	1	400
IN020098	1	1	21	21	1	2000
IN020098	2	4	1	11	4	200
IN020099	1	4	1	11	6	1000
IN030001	1	4	30	26	4	600
IN030005	1	3	1	11	3	200
IN030006	1	1	25	29	1	300
IN030008	1	7	21	21	7	13500
IN030009	1	3	23	23	1	700
IN030010	1	1	21	21	1	2000
IN030019	1	1	21	21	2	6000
IN030027	1	10	17	16	10	2000
IN030031	1	1	30	17	5	5000
IN030033	1	7	30	26	1	1000
IN030038	1	5	23	23	5	20000
IN030039	1	6	23	23	6	8000
IN030047	1	4	21	21	4	8000
IN030050	1	1	21	21	1	1200
IN030051	1	1	16	20	1	-77
IN030054	1	2	30	23	2	30000
IN030054	2	5	15	23	5	15000
IN030060	1	2	21	21	2	10000
IN030061	1	3	30	16	3	600
IN030065	1	1	25	24	1	30000
IN030068	1	1	26	25	1	5000
IN030071	1	1	25	24	1	2500
IN030073	1	1	4	11	1	500
IN030073	2	6	1	11	6	1000
IN030073	3	1	7	11	0	0
IN030075	1	2	23	23	2	6000
IN030075	2	1	30	26	1	10000
IN030080	1	4	11	26	1	2000
IN030081	1	-77	15	12	77	5000
IN030084	1	7	23	23	7	1000
IN030089	1	1	30	26	3	10000
IN030091	1	1	11	4	10	5000
IN030094	1	1	12	32	1	300
IN030094	2	1	23	32	2	200
IN030094	3	1	30	32	3	400
IN030096	1	1	21	21	1	1200
IN030097	1	2	21	21	2	4000
IN030100	1	10	23	23	10	1000
IN040001	1	4	1	11	4	150
IN040002	1	5	1	11	5	150
IN040003	1	15	1	11	15	3500
IN040003	2	1	4	11	1	700
IN040004	1	1	25	26	1	600
IN040004	2	12	8	11	12	500
IN040005	1	5	11	11	5	200
IN040005	2	1	4	11	1	200
IN040006	1	5	1	11	5	1200
IN040006	2	1	4	11	1	600
IN040007	1	4	1	11	4	150
IN040007	2	1	4	11	4	150
IN040008	1	1	1	11	1	50
IN040008	2	6	8	11	6	400
IN040009	1	1	4	11	1	400
IN040009	2	12	1	11	1	600
IN040010	1	8	1	11	8	250
IN040011	1	5	1	11	5	1500
IN040011	2	1	4	11	1	700
IN040012	1	8	1	11	1	400
IN040013	1	3	1	11	3	150
IN040014	1	5	1	11	5	400
IN040015	1	14	1	11	14	1000
IN040016	1	2	4	11	1	800
IN040016	2	12	1	11	1	1200
IN040017	1	6	1	11	6	1000
IN040018	1	5	1	11	5	200
