CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
IN010001	1	14	1200	-88
IN010001	2	13	800	-88
IN010006	1	13	-88	6000
IN010006	2	14	-88	5000
IN010006	3	22	-88	2000
IN010014	1	13	25000	-88
IN010025	1	14	0	2000
IN010025	2	16	0	1000
IN010029	1	13	0	250
IN010029	2	13	0	500
IN010030	1	13	-88	1500
IN010031	1	13	-88	1000
IN010031	2	13	-88	1000
IN010031	3	13	-88	1000
IN010041	1	13	5000	-88
IN010052	1	16	-88	10000
IN010057	1	13	-88	1000
IN010057	2	13	-88	1000
IN010057	3	17	-88	500
IN010057	4	22	-88	2800
IN010059	1	13	-88	800
IN010059	2	13	-88	800
IN010059	3	13	-88	1000
IN010059	4	16	-88	6000
IN010070	1	13	0	1500
IN010070	2	13	0	500
IN010074	1	7	3000	-88
IN010075	1	19	10000	-88
IN010076	1	13	2000	-88
IN010077	1	13	0	1000
IN010077	2	14	0	500
IN010077	3	14	0	500
IN010081	1	13	1200	-88
IN010087	1	14	-88	3000
IN010090	1	13	1000	-88
IN010096	1	13	-88	500
IN020003	1	13	0	300
IN020003	2	13	0	400
IN020017	1	7	1000	900
IN020017	2	7	700	400
IN020023	1	13	-88	500
IN020023	2	13	-88	500
IN020023	3	6	-88	500
IN020023	4	6	-88	500
IN020034	1	13	500	-88
IN020036	1	13	-88	1500
IN020038	1	13	-88	400
IN020038	2	14	-88	300
IN020045	1	13	0	900
IN020045	2	17	0	400
IN020045	3	18	0	500
IN020046	1	13	0	500
IN020046	2	13	0	300
IN020058	1	13	-88	200
IN020058	2	13	-88	200
IN020058	3	13	-88	200
IN020061	1	13	40000	-88
IN020063	1	6	2000	0
IN020067	1	13	0	150
IN020067	2	13	0	150
IN020067	3	13	0	150
IN020067	4	13	0	150
IN020067	5	13	0	150
IN020068	1	5	1000	-88
IN020072	1	13	5000	2000
IN020073	1	13	5000	3200
IN020079	1	13	-88	1000
IN020081	1	5	500	-88
IN020083	1	13	0	200
IN020083	2	13	30000	1000
IN020084	1	14	200	300
IN020088	1	13	0	200
IN020088	2	13	0	200
IN020089	1	20	10000	-88
IN020096	1	13	1500	0
IN020096	2	13	0	250
IN020096	3	13	0	250
IN020096	4	5	0	150
IN020096	5	13	0	200
IN020096	6	13	0	160
IN020096	7	13	300	400
IN020098	1	5	-88	300
IN020100	1	13	500	500
IN030003	1	13	3000	1500
IN030004	1	13	2000	0
IN030005	1	14	-88	300
IN030006	1	13	1500	5000
IN030010	1	13	500	1000
IN030011	1	13	0	2000
IN030011	2	6	0	2000
IN030012	1	13	300	0
IN030013	1	13	600	500
IN030013	2	13	600	500
IN030013	3	13	600	500
IN030013	4	16	1000	1000
IN030014	1	13	0	300
IN030016	1	19	-88	10000
IN030017	1	13	5000	5000
IN030018	1	13	1000	1000
IN030022	1	13	-88	500
IN030024	1	13	2000	2000
IN030026	1	13	300	200
IN030027	1	13	500	0
IN030029	1	13	1000	1000
IN030029	2	13	1000	1000
IN030031	1	13	0	5000
