CHILDID	ID	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3
IN010059	2	0	13	12	30	4
IN010059	3	0	11	7	20	7
IN010059	4	0	15	12	12	5
IN010059	5	0	17	10	24	6
IN010060	0	0	17	10	25	7
IN010060	2	4	12	7	26	12
IN010060	3	0	9	11	30	7
IN010060	4	1	9	11	30	7
IN010060	5	0	17	10	25	7
IN010062	0	0	17	10	26	6
IN010062	1	0	13	12	26	9
IN010062	2	0	15	12	30	5
IN010062	3	0	17	10	26	6
IN010063	0	0	17	10	25	10
IN010063	3	0	9	12	23	12
IN010063	4	0	15	12	30	4
IN010063	7	0	17	10	25	10
IN010064	0	0	17	10	24	7
IN010064	1	0	15	12	30	4
IN010064	6	0	13	12	25	8
IN010064	8	0	17	10	24	7
IN010065	0	0	17	10	26	8
IN010065	1	0	9	12	29	12
IN010065	2	0	15	12	30	5
IN010065	3	0	17	10	26	8
IN010066	0	0	17	10	25	7
IN010066	2	0	15	12	30	3
IN010066	3	0	13	12	30	16
IN010066	4	0	12	12	25	8
IN010066	5	0	15	12	30	3
IN010066	6	0	17	10	25	7
IN010067	0	0	17	10	26	7
IN010067	3	0	12	6	30	10
IN010067	4	0	15	12	30	4
IN010067	6	0	17	10	15	2
IN010068	0	0	17	10	26	6
IN010068	2	0	13	12	26	8
IN010068	3	0	17	10	24	6
IN010068	4	0	17	88	88	88
IN010068	5	0	15	12	30	2
IN010068	6	0	13	12	26	8
IN010068	7	0	15	12	30	4
IN010068	8	0	15	12	30	4
IN010068	9	0	17	10	26	8
IN010069	0	0	17	10	24	7
IN010069	2	0	13	12	30	8
IN010069	3	0	9	8	20	6
IN010069	4	0	15	12	30	4
IN010070	0	0	17	10	26	8
IN010070	1	0	10	12	24	8
IN010070	2	0	15	12	30	4
IN010070	3	0	13	12	15	6
IN010070	4	0	17	10	24	8
IN010070	5	0	10	12	26	8
IN010071	0	0	17	10	26	7
IN010071	1	0	13	10	20	10
IN010071	2	0	13	12	15	4
IN010071	3	0	17	10	26	7
IN010072	0	0	17	10	24	8
IN010072	1	0	10	10	20	10
IN010072	2	0	15	12	30	5
IN010072	3	0	15	12	30	2
IN010072	5	0	17	10	23	8
IN010072	6	0	17	10	23	7
IN010072	7	0	17	88	88	88
IN010073	0	0	17	10	25	7
IN010073	3	0	13	12	28	12
IN010073	4	0	15	12	30	4
IN010073	5	0	17	12	25	7
IN010074	0	0	17	10	24	7
IN010074	1	0	10	12	23	12
IN010074	2	0	10	12	30	8
IN010074	3	0	17	10	24	7
IN010074	4	0	17	88	88	88
IN010075	0	0	17	10	24	7
IN010075	2	4	17	88	88	88
IN010075	3	0	13	12	26	10
IN010075	4	0	15	12	30	4
IN010075	5	0	17	10	24	7
IN010076	0	0	17	10	24	9
IN010076	1	0	13	12	30	8
IN010076	2	0	15	12	30	4
IN010076	3	0	17	10	24	9
IN010077	0	5	17	12	24	8
IN010077	1	0	10	12	26	7
IN010077	2	0	10	12	26	7
IN010077	3	0	10	12	26	5
IN010077	4	0	15	12	30	4
IN010077	5	0	17	12	26	8
IN010078	0	5	17	88	88	88
IN010078	1	0	9	12	26	10
IN010078	2	0	12	12	30	8
IN010078	3	0	13	12	28	9
IN010078	4	0	17	10	26	7
IN010078	5	0	17	10	26	7
IN010079	0	0	17	10	24	8
IN010079	3	0	13	12	24	8
IN010079	8	0	5	10	15	8
IN010079	9	0	15	12	30	4
IN010079	11	0	5	10	15	8
IN010079	12	0	17	10	23	6
IN010080	0	0	17	10	25	8
IN010080	1	0	13	8	15	12
IN010080	2	0	10	12	30	8
IN010080	3	0	17	10	25	8
IN010080	6	0	17	88	88	88
IN010081	0	0	17	10	26	8
IN010081	1	0	17	88	88	88
IN010081	2	0	9	12	24	12
IN010081	3	0	15	12	30	6
IN010081	4	0	17	10	26	8
IN010081	5	0	17	10	26	8
IN010082	0	0	17	10	25	8
IN010082	1	0	13	12	28	11
IN010082	2	0	15	12	30	4
IN010082	3	0	17	10	25	8
