CHILDID	ID	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3
IN060049	3	0	12	8	20	6
IN060049	4	0	5	5	15	6
IN060049	5	0	17	10	24	8
IN060049	6	0	17	10	24	7
IN060050	0	0	17	10	24	8
IN060050	1	0	17	88	88	88
IN060050	2	0	10	12	26	6
IN060050	3	0	13	12	30	8
IN060050	4	0	17	10	23	8
IN060051	0	0	17	10	24	7
IN060051	4	0	12	6	20	9
IN060051	5	0	13	12	15	8
IN060051	28	0	17	10	25	7
IN060052	0	0	17	12	30	24
IN060052	1	0	12	10	26	5
IN060052	2	0	12	10	26	5
IN060052	3	0	5	6	25	8
IN060052	4	0	5	6	25	8
IN060052	5	0	5	6	25	8
IN060052	6	0	17	12	30	24
IN060053	0	0	17	12	25	8
IN060053	3	0	17	12	25	8
IN060053	4	0	17	12	25	8
IN060053	5	0	12	12	25	8
IN060054	0	0	17	10	26	7
IN060054	1	0	15	12	30	3
IN060054	2	0	13	12	30	8
IN060054	3	0	12	12	20	10
IN060055	0	0	17	10	26	7
IN060055	1	0	17	88	88	88
IN060055	2	0	15	12	26	2
IN060055	3	0	5	8	26	8
IN060055	4	0	5	8	26	8
IN060056	0	0	17	10	26	7
IN060056	1	0	19	12	20	8
IN060056	2	0	19	12	20	8
IN060056	3	0	17	10	26	7
IN060057	0	0	17	10	26	7
IN060057	1	0	12	4	15	8
IN060057	2	0	12	5	15	8
IN060057	28	0	17	10	26	7
IN060058	0	0	17	10	26	8
IN060058	3	0	5	10	20	8
IN060059	0	0	17	88	88	88
IN060059	2	0	12	12	22	10
IN060059	3	0	5	4	20	8
IN060059	4	0	17	88	88	88
IN060060	0	0	17	10	25	8
IN060060	1	0	12	12	15	8
IN060060	2	0	12	6	10	8
IN060060	28	0	17	10	25	8
IN060061	0	0	17	88	88	88
IN060061	1	0	5	6	23	8
IN060061	2	0	12	10	20	10
IN060061	3	0	17	88	88	88
IN060061	28	0	17	88	88	88
IN060062	0	0	17	10	24	8
IN060062	1	0	12	6	20	8
IN060062	2	0	17	88	88	88
IN060062	3	1	12	6	20	8
IN060062	4	0	13	12	28	14
IN060062	5	0	13	12	26	7
IN060062	6	0	13	10	24	8
IN060062	7	0	17	10	24	8
IN060063	0	0	17	10	23	8
IN060063	2	0	12	12	15	8
IN060063	3	0	12	12	15	8
IN060063	4	0	17	10	23	8
IN060063	5	0	17	10	23	8
IN060063	6	0	12	12	12	8
IN060063	7	0	5	10	15	8
IN060063	8	0	5	10	15	8
IN060064	0	0	17	10	24	8
IN060064	1	0	17	88	88	88
IN060064	2	0	10	12	30	10
IN060064	3	0	15	12	30	5
IN060064	4	0	17	10	24	8
IN060065	0	0	17	10	23	7
IN060065	1	4	17	88	88	88
IN060065	3	0	12	7	20	8
IN060065	4	0	12	7	20	8
IN060065	5	0	17	10	15	7
IN060066	0	0	17	10	20	7
IN060066	1	0	12	7	20	8
IN060066	2	0	12	7	20	8
IN060066	4	0	17	10	20	7
IN060067	0	0	17	10	25	8
IN060067	1	0	12	12	20	8
IN060067	2	0	12	12	18	8
IN060067	3	0	17	10	25	8
IN060068	0	0	17	10	26	8
IN060068	1	0	12	10	25	8
IN060068	2	0	12	10	20	8
IN060068	3	0	17	10	26	8
IN060069	0	0	17	10	26	8
IN060069	1	0	12	10	25	8
IN060069	2	0	12	10	25	8
IN060069	3	0	2	10	25	8
IN060070	0	0	17	10	26	8
IN060070	1	0	5	10	20	8
IN060070	2	0	5	10	20	8
IN060070	3	0	5	10	20	8
IN060070	4	0	5	10	25	8
IN060070	28	0	17	10	26	8
IN060071	0	0	17	10	24	8
IN060071	1	0	17	88	88	88
IN060071	2	0	15	10	10	2
IN060071	3	0	1	6	15	4
IN060071	4	0	15	12	20	2
IN060071	5	4	17	88	88	88
IN060071	8	0	17	88	88	88
IN060072	0	0	17	10	26	8
IN060072	1	0	17	88	88	88
IN060072	2	0	12	10	25	8
IN060072	3	0	12	10	25	8
IN060072	4	0	17	88	88	88
IN060072	5	0	12	10	25	8
IN060072	6	0	12	10	25	8
IN060072	7	0	17	10	26	8
IN060072	8	0	17	10	26	8
IN060073	0	0	17	88	88	88
IN060073	1	0	17	88	88	88
IN060073	2	0	9	10	24	10
IN060073	3	0	15	12	28	4
IN060073	4	0	9	10	20	10
IN060074	0	0	17	10	25	8
IN060074	1	0	12	10	20	6
IN060074	2	0	5	5	15	6
IN060074	5	0	17	10	24	7
IN060075	0	0	17	10	20	7
IN060075	3	3	15	8	20	4
IN060075	4	0	1	6	20	8
IN060075	5	0	12	6	15	8
IN060075	6	0	17	10	20	7
IN060076	0	0	17	10	25	8
IN060076	2	0	12	10	25	8
IN060076	3	0	13	10	25	8
IN060076	4	0	12	10	25	8
IN060076	6	0	17	10	25	8
IN060076	7	0	17	10	25	8
IN060077	0	0	17	10	26	7
IN060077	1	0	17	12	30	3
IN060077	2	0	17	12	30	3
IN060077	3	0	13	12	26	7
IN060077	4	0	15	12	30	3
IN060077	5	0	17	10	26	7
IN060077	6	0	17	10	26	7
IN060077	7	0	5	10	24	6
IN060077	8	0	5	10	20	6
IN060077	9	0	17	10	26	7
IN060077	10	0	5	10	20	6
IN060077	12	0	5	10	24	6
IN060077	13	0	5	10	20	6
IN060078	0	0	17	10	24	8
IN060078	3	0	12	6	20	8
IN060078	4	0	15	12	30	6
IN060078	5	0	17	10	24	8
IN060079	0	0	17	10	25	8
IN060079	1	0	17	88	88	88
IN060079	2	0	17	88	88	88
IN060079	3	0	11	12	20	8
IN060079	4	0	12	12	10	8
IN060079	5	0	17	10	25	8
IN060080	0	0	17	10	25	8
IN060080	1	0	15	10	25	8
IN060080	2	0	11	6	20	8
IN060080	3	0	15	12	30	15
IN060080	4	0	17	10	25	8
IN060080	5	0	17	10	25	8
IN060081	0	0	17	10	26	7
IN060081	1	0	5	6	25	5
IN060081	2	0	5	6	25	5
IN060081	3	0	13	12	26	5
IN060081	4	0	5	6	25	5
IN060081	5	0	5	6	26	5
IN060081	7	0	17	10	26	7
IN060081	8	0	15	12	30	5
IN060082	0	0	17	10	26	7
IN060082	1	0	4	12	30	7
IN060082	2	0	5	6	26	7
IN060082	3	0	5	6	20	7
IN060082	28	0	17	10	26	7
IN060083	0	0	17	10	24	7
IN060083	28	0	17	10	24	7
IN060083	29	0	12	4	20	8
IN060083	30	0	5	3	18	8
IN060084	0	0	17	10	25	7
IN060084	1	0	12	10	16	9
IN060084	2	0	12	10	16	9
IN060084	3	0	17	10	25	7
IN060084	4	0	5	4	20	8
IN060084	5	0	5	4	20	8
IN060085	0	0	17	10	24	7
IN060085	2	0	15	10	20	8
IN060085	3	0	8	8	20	8
IN060085	4	0	15	12	30	3
IN060085	5	0	17	10	24	7
IN060086	0	0	17	10	20	7
IN060086	1	1	5	6	20	8
IN060086	2	0	5	6	20	8
IN060086	5	0	17	10	22	7
IN060086	6	0	17	10	25	7
IN060086	7	0	17	10	25	7
IN060087	0	0	17	10	24	8
IN060087	2	0	15	12	30	2
IN060087	3	0	11	5	30	10
IN060087	4	0	11	5	30	10
IN060087	5	0	11	5	30	10
IN060087	6	0	11	5	30	10
IN060087	7	0	11	5	30	10
IN060087	8	0	17	88	88	88
IN060087	9	0	11	5	30	10
IN060087	10	0	17	88	88	88
IN060089	0	0	17	10	26	7
IN060089	4	0	12	12	24	6
IN060089	28	0	17	10	26	7
IN060090	0	0	17	10	26	8
IN060090	1	0	12	5	10	8
IN060090	2	0	12	5	10	8
IN060090	3	0	12	10	25	8
IN060090	4	0	12	10	25	8
IN060090	6	0	17	10	20	8
IN060091	0	0	17	10	25	8
IN060091	3	2	1	12	20	8
IN060091	4	2	1	12	20	8
IN060091	7	2	11	10	25	8
IN060091	9	0	17	88	88	88
IN060092	0	0	17	10	25	8
IN060092	3	0	12	9	20	9
IN060092	4	0	12	9	20	9
IN060092	8	0	17	10	24	8
IN060093	0	0	17	10	24	8
IN060093	1	0	17	88	88	88
IN060093	3	0	11	12	25	6
IN060093	4	0	15	12	30	4
IN060093	6	0	17	88	88	88
IN060094	0	0	17	10	26	8
IN060094	2	0	12	10	25	8
IN060094	3	0	17	88	88	88
IN060094	4	0	17	10	26	8
IN060096	0	0	17	10	23	7
IN060096	1	0	12	9	20	8
IN060096	2	0	5	6	10	8
IN060096	3	0	17	10	25	7
IN060096	4	0	5	6	15	8
IN060097	0	0	17	10	26	8
IN060097	1	0	12	8	20	8
IN060097	2	0	12	8	10	8
IN060097	3	0	17	12	30	24
IN060098	0	0	17	10	23	8
IN060098	1	0	11	12	20	8
IN060098	2	0	12	5	15	8
IN060098	28	0	17	10	23	8
IN060098	29	0	17	10	23	8
IN060098	30	0	17	88	88	88
IN060099	0	0	17	10	24	8
IN060099	1	0	13	12	26	6
IN060099	2	0	15	12	30	3
IN060099	3	0	17	10	24	8
IN060099	4	0	17	88	88	88
IN060100	0	0	17	10	24	8
IN060100	2	0	12	8	20	6
IN060100	3	0	12	10	20	6
IN060100	4	0	15	12	30	3
IN060100	5	0	17	10	24	8
IN060100	6	0	17	10	24	8
IN070001	0	0	17	10	23	8
IN070001	1	0	17	88	88	88
IN070001	4	0	1	7	24	8
IN070001	5	0	15	12	30	6
IN070001	9	0	17	10	23	8
IN070002	0	0	17	10	24	8
IN070002	4	0	5	5	23	8
IN070002	7	0	5	4	20	8
IN070002	29	0	17	10	24	8
IN070003	0	0	17	10	25	7
IN070003	1	0	1	5	15	5
IN070003	2	4	17	88	88	88
IN070003	3	0	11	10	20	8
IN070003	4	0	13	9	25	8
IN070003	5	0	15	12	20	4
IN070003	6	0	17	10	15	7
IN070004	0	0	17	10	25	8
IN070004	1	0	17	88	88	88
IN070004	2	0	15	10	10	1
IN070004	3	0	9	10	20	4
IN070004	4	0	12	10	26	2
IN070004	5	0	17	10	24	7
IN070005	0	0	17	10	26	7
IN070005	3	0	15	3	30	4
IN070005	4	0	15	3	30	6
IN070005	5	0	15	3	30	6
IN070005	6	0	13	12	30	7
IN070005	28	0	17	10	26	7
IN070005	29	0	17	10	26	7
IN070005	30	0	15	12	30	3
IN070006	0	0	17	10	23	8
IN070006	2	0	12	6	25	8
IN070006	5	0	12	6	25	8
IN070006	7	0	17	10	23	8
IN070007	0	0	17	10	26	7
IN070007	1	0	17	12	30	4
IN070007	2	0	12	7	30	6
IN070007	3	0	12	7	30	6
IN070007	4	0	13	9	26	6
IN070007	28	0	17	10	26	7
IN070008	0	0	17	10	24	7
IN070008	3	0	13	10	24	8
IN070008	4	0	15	12	26	5
IN070008	28	0	17	10	25	7
IN070009	0	0	17	10	23	8
IN070009	1	0	17	88	88	88
IN070009	2	0	5	6	5	8
IN070009	3	0	12	5	20	5
IN070009	28	0	17	10	23	8
IN070010	0	0	17	10	26	8
IN070010	1	0	13	10	30	8
IN070010	2	0	5	6	26	8
IN070010	3	0	17	10	26	9
IN070010	28	0	17	10	26	8
IN070010	29	0	17	10	26	8
IN070011	0	0	17	10	24	8
IN070011	3	0	13	12	30	12
IN070011	4	0	15	12	30	4
IN070011	28	0	17	10	24	8
IN070012	0	0	17	10	24	8
IN070012	1	0	5	4	20	8
IN070012	2	0	5	4	15	8
IN070012	28	0	17	10	24	8
IN070013	0	0	17	88	88	88
IN070013	1	0	17	88	88	88
IN070013	2	0	5	6	20	8
IN070013	3	0	5	5	18	8
IN070013	28	0	17	88	88	88
IN070014	0	0	17	10	23	8
IN070014	2	0	12	6	25	8
IN070014	3	0	5	4	20	8
IN070014	4	0	17	10	23	8
IN070015	0	0	17	10	25	11
IN070015	29	0	13	12	30	8
IN070015	30	0	15	12	30	3
IN070016	0	0	17	10	23	8
IN070016	4	1	5	7	25	8
IN070017	0	0	17	10	22	8
IN070017	1	0	5	6	20	8
IN070017	2	0	5	4	18	8
IN070017	3	0	17	10	23	8
IN070018	0	5	17	88	88	88
IN070018	1	0	11	9	20	8
IN070018	2	0	15	8	23	4
IN070018	3	0	12	10	24	8
IN070018	4	0	15	5	18	4
IN070018	5	0	17	10	22	8
IN070018	6	0	17	10	23	8
IN070019	0	0	17	10	24	7
IN070019	4	0	12	7	20	8
IN070020	0	0	17	10	25	7
IN070020	1	0	11	10	20	9
IN070020	2	0	11	6	15	5
IN070020	3	0	17	88	88	88
IN070021	0	0	17	10	23	8
IN070021	3	1	13	8	25	8
IN070021	7	0	15	12	30	8
IN070021	29	0	17	88	88	88
IN070021	30	0	17	88	88	88
IN070022	0	0	17	10	24	8
IN070022	2	0	17	88	88	88
IN070022	3	0	12	8	22	8
IN070022	4	0	15	12	30	2
IN070022	5	0	17	10	24	8
IN070023	0	0	17	10	26	7
IN070023	3	0	12	7	30	6
IN070023	4	0	12	7	30	6
IN070023	28	0	17	10	26	7
IN070023	29	0	17	10	26	7
IN070024	0	0	17	88	88	88
IN070024	1	0	17	88	88	88
IN070024	2	0	12	8	20	8
IN070024	3	0	5	4	23	8
IN070024	28	0	17	88	88	88
IN070025	0	0	17	5	25	7
IN070025	1	0	12	10	20	8
IN070025	2	0	15	12	25	4
IN070025	28	0	17	10	25	7
IN070025	29	4	17	88	88	88
IN070026	0	0	17	10	24	7
IN070026	1	0	5	7	15	6
IN070026	2	0	12	5	15	6
IN070026	3	0	17	10	24	7
IN070026	4	0	17	10	24	7
IN070027	0	0	17	10	26	7
IN070027	1	0	9	12	26	4
IN070027	2	0	13	12	26	7
IN070027	28	0	17	10	26	7
IN070028	0	0	17	10	24	7
IN070028	1	0	4	12	25	8
IN070028	2	0	4	12	25	2
IN070028	28	0	17	10	24	7
IN070028	29	0	17	10	24	7
IN070029	0	0	17	10	23	7
IN070029	1	0	5	6	24	8
IN070029	2	0	15	12	30	6
IN070029	4	0	5	6	23	8
IN070030	0	0	17	10	24	7
IN070030	1	0	1	7	15	4
IN070030	2	0	15	12	25	2
IN070031	0	0	17	10	20	7
IN070031	1	0	12	10	20	8
IN070031	2	0	5	6	15	8
IN070031	3	0	5	5	20	8
IN070031	28	0	17	10	22	7
IN070032	0	0	17	88	88	88
IN070032	2	0	5	6	22	8
IN070032	3	0	5	6	25	8
IN070032	4	0	17	88	88	88
IN070032	28	0	17	88	88	88
IN070033	0	0	17	10	22	7
IN070033	2	0	1	5	20	8
IN070033	3	0	5	5	15	8
IN070033	4	0	17	10	20	7
IN070034	0	0	17	10	24	7
IN070034	1	0	12	12	25	4
IN070034	2	0	12	7	15	5
IN070034	3	0	17	88	88	88
IN070035	0	0	17	10	24	7
IN070035	3	0	12	10	25	6
IN070035	4	0	15	12	25	3
IN070035	7	0	17	10	24	7
IN070035	8	0	15	12	15	1
IN070035	9	0	15	12	10	2
IN070036	0	0	17	10	22	8
IN070036	1	0	5	6	23	8
IN070036	2	0	5	4	20	8
IN070036	3	0	10	7	25	8
IN070036	4	0	5	4	18	8
IN070036	28	0	17	10	23	8
IN070038	0	0	17	10	26	8
IN070038	1	0	10	11	15	6
IN070038	2	0	10	12	10	7
IN070038	3	0	10	10	25	10
IN070038	4	0	15	10	20	5
IN070038	5	0	17	10	26	8
IN070038	6	0	17	88	88	88
IN070039	0	0	17	10	24	7
IN070039	1	0	17	88	88	88
IN070039	3	0	12	5	25	8
IN070039	4	0	15	12	25	3
IN070039	28	0	17	10	24	7
IN070040	0	0	17	10	20	6
IN070040	1	0	11	10	25	8
IN070040	3	0	11	4	20	8
IN070040	4	0	17	88	88	88
IN070041	0	0	17	10	25	8
IN070041	1	0	10	11	18	5
IN070041	2	0	15	12	25	2
IN070041	28	0	17	10	24	8
IN070041	29	0	17	88	88	88
IN070042	0	0	17	10	26	7
IN070042	1	0	12	9	30	6
IN070042	2	0	12	9	30	6
IN070042	3	0	17	10	26	7
IN070042	4	0	17	10	26	7
IN070043	0	0	17	10	26	7
IN070043	1	0	19	12	30	7
IN070043	2	0	12	2	30	7
IN070043	28	0	17	10	26	7
IN070045	0	0	17	10	26	7
IN070045	1	0	13	10	30	7
IN070045	2	0	5	5	30	7
IN070046	0	0	17	10	23	7
IN070046	3	0	1	6	20	8
IN070046	4	0	1	6	20	8
IN070046	5	0	17	10	25	5
IN070046	6	0	17	88	88	88
IN070047	0	0	17	10	23	8
IN070047	1	0	6	12	30	9
IN070047	2	0	12	6	26	8
IN070047	3	0	17	10	23	8
IN070047	4	0	17	88	88	88
IN070048	0	0	17	10	25	7
IN070048	1	0	12	11	20	8
IN070048	2	0	12	11	20	8
IN070048	3	0	15	12	30	2
IN070048	4	0	17	10	25	7
IN070048	5	0	15	12	30	3
IN070048	6	0	15	12	30	3
IN070049	0	0	17	10	26	7
IN070049	1	0	12	10	30	7
IN070049	2	0	12	10	30	7
IN070049	3	0	12	10	30	7
IN070050	0	0	17	10	23	7
IN070050	1	1	1	6	25	8
IN070050	2	0	1	6	25	8
IN070051	0	0	17	10	23	7
IN070051	1	4	17	88	88	88
IN070051	3	0	5	6	20	9
IN070051	4	0	5	6	10	4
IN070051	5	0	17	10	25	7
IN070052	0	0	17	10	25	7
IN070052	2	0	10	12	25	10
IN070052	3	0	5	5	15	8
IN070052	5	0	17	10	25	7
IN070053	0	0	17	10	23	7
IN070053	1	0	19	8	25	8
IN070053	2	0	12	6	15	8
IN070053	3	0	17	88	88	88
IN070054	0	0	17	10	26	6
IN070054	1	0	10	2	20	9
IN070054	2	0	11	1	20	9
IN070054	3	0	17	10	26	8
IN070054	4	0	17	10	26	6
IN070054	5	0	17	10	6	8
IN070055	0	0	17	10	26	7
IN070055	2	0	5	8	30	6
IN070055	3	0	5	8	30	6
IN070055	4	0	17	10	26	7
IN070056	0	0	17	10	22	7
IN070056	5	0	5	5	20	8
IN070056	6	0	5	5	20	8
IN070056	8	0	17	10	25	7
IN070057	0	0	17	10	22	8
IN070057	3	0	5	7	22	8
IN070057	4	1	12	4	20	8
IN070058	0	0	17	10	24	8
IN070058	3	0	5	6	20	8
IN070058	4	0	5	10	24	8
IN070058	5	0	17	10	24	8
IN070059	0	0	17	10	24	7
IN070059	1	0	13	12	25	8
IN070059	2	0	15	12	30	4
IN070059	3	0	17	10	24	7
IN070059	4	0	17	10	24	7
IN070060	0	0	17	88	88	88
IN070060	3	0	5	6	20	8
IN070060	4	0	5	4	15	8
IN070060	5	0	17	88	88	88
IN070060	7	0	17	88	88	88
IN070061	0	0	17	88	88	88
IN070061	2	0	5	5	24	8
IN070061	3	0	5	5	26	8
IN070061	4	0	17	88	88	88
IN070062	0	0	17	10	26	7
IN070062	1	0	5	10	30	7
IN070062	2	0	5	10	30	7
IN070062	3	0	17	10	26	8
IN070062	4	0	17	10	26	7
IN070063	0	0	17	10	26	7
IN070063	1	0	5	9	30	6
IN070063	2	0	5	9	30	6
IN070063	3	0	17	10	26	7
IN070064	0	0	17	10	26	7
IN070064	1	0	1	5	30	3
IN070064	2	0	15	12	30	3
IN070064	3	0	1	5	30	3
IN070064	4	0	15	12	30	4
IN070064	5	0	17	10	26	7
IN070065	0	0	17	10	22	8
IN070065	1	0	9	10	24	8
IN070065	2	0	15	10	20	4
IN070065	3	0	9	10	22	8
IN070065	4	0	15	8	20	3
IN070065	5	0	1	4	23	8
IN070065	6	0	15	8	24	4
IN070065	7	0	17	10	23	8
IN070065	8	0	17	10	22	8
IN070065	9	0	17	10	20	8
IN070066	0	0	17	10	25	7
IN070066	1	4	17	88	88	88
IN070066	2	0	1	10	22	9
IN070066	3	0	1	6	20	8
IN070066	4	0	1	6	20	8
IN070066	5	0	1	6	20	7
IN070066	6	0	13	12	25	7
IN070066	7	0	15	12	25	4
IN070066	8	0	13	10	25	8
IN070066	9	0	17	10	25	8
IN070066	11	0	17	10	25	8
IN070066	12	0	17	10	25	7
IN070066	13	0	17	10	25	7
IN070066	14	0	17	10	25	7
IN070066	15	0	15	12	20	4
IN070066	16	0	17	10	25	7
IN070066	17	0	17	88	88	88
IN070067	0	0	17	10	26	7
IN070067	1	0	1	8	30	7
IN070067	2	0	1	8	30	7
IN070067	3	0	17	10	26	7
IN070068	0	0	17	10	24	7
IN070068	1	0	17	88	88	88
IN070068	4	0	9	12	30	5
IN070068	6	0	15	12	30	5
IN070069	0	0	17	10	23	7
IN070069	2	0	17	88	88	88
IN070069	3	0	4	12	30	8
IN070069	4	0	19	12	30	5
IN070069	5	0	17	10	23	8
IN070070	0	0	17	88	88	88
IN070070	1	0	12	9	22	7
IN070070	2	0	15	10	30	4
IN070070	3	0	12	11	24	8
IN070070	4	0	12	6	20	8
IN070070	7	0	17	88	88	88
IN070071	0	0	17	10	20	8
IN070071	2	0	5	9	26	9
IN070071	3	0	17	10	20	8
IN070072	0	0	17	10	24	7
IN070072	3	0	12	6	25	8
IN070072	4	0	12	6	24	8
IN070072	5	0	15	12	20	3
IN070072	7	0	17	10	24	7
IN070072	8	0	17	10	24	7
IN070072	9	0	1	5	15	4
IN070072	10	0	17	10	24	7
IN070072	11	0	17	88	88	88
IN070072	13	0	15	12	20	3
IN070072	14	0	4	12	30	5
IN070072	15	0	15	12	30	3
IN070072	16	0	17	88	88	88
IN070074	0	0	17	10	24	7
IN070074	1	0	4	12	30	12
IN070074	2	0	12	7	23	8
IN070074	3	0	17	10	24	7
IN070075	0	0	17	10	26	8
IN070075	1	0	17	88	88	88
IN070075	3	0	13	10	24	8
IN070075	4	0	5	5	18	8
IN070075	5	0	12	8	20	9
IN070075	6	0	5	5	20	8
IN070075	7	0	5	7	21	8
IN070075	8	0	5	5	20	8
IN070075	28	0	17	10	26	8
IN070075	29	0	17	10	26	8
IN070075	30	0	17	88	88	88
IN070075	31	0	17	10	26	8
IN070075	32	0	17	88	88	88
IN070076	0	0	17	10	23	14
IN070076	3	0	13	12	30	10
IN070076	5	0	15	12	30	6
IN070076	7	0	17	88	88	88
IN070077	0	0	17	10	25	7
IN070077	1	0	5	12	10	8
IN070077	2	0	15	12	30	5
IN070077	28	0	17	10	25	7
IN070078	0	0	17	10	20	7
IN070078	1	0	12	4	15	8
IN070078	2	0	12	8	20	8
IN070078	4	0	5	4	15	8
IN070078	5	4	17	88	88	88
IN070079	0	0	17	10	22	8
IN070079	1	0	13	12	26	9
IN070079	2	0	15	12	30	6
IN070080	0	0	17	10	23	8
IN070080	1	0	17	88	88	88
IN070080	2	0	1	6	15	8
IN070080	5	0	10	10	26	10
IN070080	6	0	15	11	24	5
IN070080	7	0	15	10	25	4
IN070080	8	0	10	11	26	10
IN070080	9	0	10	10	24	10
IN070080	10	0	10	8	23	6
IN070080	11	0	15	7	24	6
IN070080	12	0	15	10	23	6
IN070080	14	0	10	9	20	10
IN070080	15	0	17	10	26	8
IN070080	16	0	17	10	23	8
IN070080	17	0	17	10	22	8
IN070080	18	0	17	10	22	8
IN070080	19	0	17	10	23	8
IN070080	28	0	17	10	22	8
IN070080	29	0	17	10	24	8
IN070080	30	0	17	88	88	88
IN070080	31	0	15	10	26	10
IN070080	32	0	17	88	88	88
IN070080	33	0	17	88	88	88
IN070081	0	0	17	10	26	8
IN070081	2	0	17	88	88	88
IN070081	3	0	10	12	26	9
IN070081	4	0	15	12	30	6
IN070081	28	0	17	10	26	8
IN070082	0	0	17	10	24	7
IN070082	2	0	17	88	88	88
IN070082	3	0	17	88	88	88
IN070082	4	0	13	12	24	6
IN070082	5	0	13	12	24	6
IN070082	6	0	1	5	15	4
IN070082	7	0	15	12	30	3
IN070082	8	0	1	5	10	3
IN070082	9	0	15	12	30	3
IN070082	10	0	17	10	24	7
IN070082	11	0	17	10	24	7
IN070082	12	0	17	10	24	7
IN070082	13	0	17	88	88	88
IN070082	14	0	15	12	30	3
IN070082	15	0	15	12	30	3
IN070083	0	0	17	11	24	8
IN070083	1	0	17	88	88	88
IN070083	2	0	5	5	20	8
IN070083	3	0	12	10	25	10
IN070083	4	0	17	11	24	8
IN070083	5	0	17	11	24	8
IN070083	28	0	17	11	24	8
IN070084	0	0	17	10	25	6
IN070084	1	0	17	88	88	88
IN070084	3	0	11	12	20	8
IN070084	4	0	13	12	25	5
IN070084	28	0	17	10	24	6
IN070085	0	0	17	10	26	8
IN070085	2	0	13	12	30	12
IN070085	4	0	15	12	30	6
IN070085	6	0	17	10	26	8
IN070086	0	0	17	88	88	88
IN070086	2	0	15	12	25	4
IN070086	3	0	12	10	20	9
IN070086	5	0	12	8	18	9
IN070086	6	0	17	88	88	88
IN070087	0	0	17	88	88	88
IN070087	1	0	15	10	20	4
IN070087	2	0	5	6	20	8
IN070087	3	0	5	5	18	8
IN070087	28	0	17	88	88	88
IN070088	0	0	17	10	26	8
IN070088	1	0	5	10	30	7
IN070088	2	1	5	10	30	7
IN070088	3	0	13	4	30	6
IN070088	5	0	17	10	26	9
IN070088	6	0	17	10	26	9
IN070089	0	0	17	10	24	8
IN070089	1	0	10	12	30	10
IN070089	2	0	15	12	30	10
IN070089	3	0	10	12	30	10
IN070089	4	0	15	12	30	10
IN070089	5	0	17	10	24	8
IN070090	0	0	17	10	25	7
IN070090	3	0	10	12	27	7
IN070090	5	0	10	12	25	4
IN070090	7	0	17	88	88	88
IN070091	0	0	17	10	24	8
IN070091	2	0	10	11	22	8
IN070091	3	0	15	12	30	5
IN070091	4	0	17	10	24	8
IN070091	28	0	17	10	24	8
IN070092	0	0	17	10	24	7
IN070092	1	0	1	88	88	88
IN070092	2	0	12	3	20	7
IN070093	0	0	17	10	24	7
IN070093	2	0	12	11	15	8
IN070093	3	0	12	7	15	8
IN070093	4	0	17	88	88	88
IN070093	5	0	17	88	88	88
IN070094	0	0	17	10	25	7
IN070094	1	0	4	12	25	10
IN070094	2	0	5	6	20	8
IN070094	3	0	17	88	88	88
IN070095	0	0	17	10	25	8
IN070095	1	0	17	88	88	88
IN070095	2	0	9	12	30	8
IN070095	3	0	15	12	30	6
IN070095	4	0	17	10	25	8
IN070096	0	0	17	10	25	7
IN070096	1	0	13	12	25	8
IN070096	2	0	15	12	30	2
IN070096	3	0	17	10	25	7
IN070096	28	0	17	10	25	7
IN070097	0	0	17	10	25	7
IN070097	1	0	12	9	20	8
IN070097	2	0	5	4	13	8
IN070097	3	2	17	10	20	3
IN070098	0	0	17	10	24	8
IN070098	1	0	13	10	20	4
IN070098	2	0	13	10	25	6
IN070098	3	0	15	12	30	4
IN070098	4	0	17	10	24	7
IN070099	0	0	17	10	26	7
IN070099	1	0	17	88	88	88
IN070099	2	0	5	10	30	7
IN070099	3	0	5	10	30	7
IN070099	4	0	17	10	26	7
IN070099	5	0	17	88	88	88
IN070099	28	0	17	10	26	8
IN070100	0	0	17	10	24	8
IN070100	1	0	6	11	26	9
IN070100	2	0	5	9	20	8
IN070100	3	0	17	11	18	4
IN070100	4	0	17	88	88	88
IN080001	0	0	17	10	20	8
IN080001	1	0	5	6	15	8
IN080001	2	0	5	6	15	8
IN080001	3	0	17	10	20	8
IN080002	0	0	17	9	24	8
IN080002	1	0	1	9	25	6
IN080002	2	0	15	12	28	7
IN080002	28	0	17	9	24	9
IN080003	0	0	17	10	20	8
IN080003	1	0	12	9	24	8
IN080003	2	0	5	7	20	8
IN080003	28	0	17	10	20	8
IN080003	29	0	17	10	20	8
IN080004	0	0	17	10	26	9
IN080004	1	0	17	88	88	88
IN080004	3	0	13	12	26	8
IN080004	6	0	13	12	26	8
IN080004	28	0	17	10	26	9
IN080005	0	0	17	9	24	8
IN080005	1	0	9	12	30	10
IN080005	2	0	13	12	20	6
IN080005	3	0	17	9	24	8
IN080005	4	0	17	88	88	88
IN080006	0	0	17	10	25	9
IN080006	3	0	19	8	15	5
IN080006	4	0	15	12	28	6
IN080006	8	0	17	10	25	9
IN080007	0	0	17	10	26	9
IN080007	3	0	12	12	25	10
IN080007	4	0	5	7	20	9
IN080007	5	0	17	10	25	8
IN080008	0	0	17	10	25	9
IN080008	3	0	11	12	26	10
IN080008	4	0	15	12	28	6
IN080008	6	0	17	10	22	7
IN080008	7	0	10	12	22	8
IN080008	8	0	15	12	24	6
