childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET011007	1	80	2	5	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011007	2	45	2	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011007	3	38	2	13	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011007	4	29	2	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011007	5	38	2	19	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	0	14	2	0	1	 	 	 	1	1996	1	6	1	 	 	2	0	0	15	12	7	1	10	0	1	0	0	9	1	3	 	 	 	 	 	 	 	 	 
ET011008	1	62	1	1	1	 	 	6	 	 	 	 	 	 	 	 	 	0	12	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	2	41	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	3	25	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	4	23	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	12	12	6	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	5	21	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	12	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	6	19	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011008	7	8	2	14	1	 	 	 	1	2000	1	2	1	 	 	2	30	0	17	 	 	 	10	0	0	0	0	8	1	5	 	 	 	 	 	 	 	 	 
ET011008	8	28	2	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	12	12	6	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET011009	0	14	2	0	1	 	 	 	1	1993	1	9	1	 	 	3	30	0	15	12	2	3	8	0	3	0	0	9	2	2	 	 	 	 	 	 	 	 	 
