CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
ET031025	2	3	1	12	7	1	0
ET031026	1	2	1	12	7	1	0
ET031027	1	6	2	12	2	8	1
ET031027	2	2	1	12	5	2	0
ET031028	1	2	1	12	7	1	0
ET031029	1	2	1	12	7	2	0
ET031029	2	3	1	12	7	1	0
ET031030	1	2	1	12	7	1	0
ET031030	2	3	1	12	7	1	0
ET031031	1	2	1	12	7	1	0
ET031031	2	3	1	12	7	1	0
ET031033	1	2	1	12	7	2	0
ET031035	1	2	1	12	5	3	0
ET031036	1	2	1	12	7	1	0
ET031036	2	3	1	12	7	1	0
ET031037	1	2	1	12	7	1	0
ET031037	2	4	1	12	7	1	0
ET031038	1	2	1	12	7	2	0
ET031038	2	3	1	12	7	1	0
ET031039	1	4	1	12	7	3	0
ET031039	2	2	1	12	7	1	0
ET031040	1	2	1	12	7	1	0
ET031040	2	3	1	12	7	1	0
ET031042	1	2	1	12	7	2	0
ET031042	2	3	1	12	7	1	0
ET031043	1	2	1	12	7	1	0
ET031043	2	6	2	12	7	3	1
ET031044	1	2	1	12	7	1	0
ET031045	1	2	1	12	7	1	0
ET031045	2	3	1	12	7	1	0
ET031046	1	2	1	12	7	2	0
ET031046	2	4	1	12	2	1	0
ET031047	1	2	1	12	7	2	0
ET031048	1	2	1	12	7	4	0
ET031048	2	3	1	12	7	1	0
ET031050	1	2	1	12	7	2	0
ET031050	2	3	1	12	7	1	0
ET041001	1	2	1	12	7	4	0
ET041002	1	2	1	12	7	4	0
ET041003	1	2	1	12	7	2	0
ET041005	1	1	2	12	7	10	1
ET041005	2	2	2	12	7	2	0
ET041006	1	2	1	12	7	6	0
ET041007	1	2	1	12	7	3	0
ET041008	1	6	2	1	6	8	1
ET041008	2	2	1	12	7	5	0
ET041009	1	2	1	12	7	2	0
ET041010	1	4	1	12	7	4	0
ET041011	1	2	1	12	7	2	0
ET041012	1	1	1	12	7	4	0
ET041012	2	2	1	12	7	3	0
ET041012	3	3	1	12	7	2	0
ET041013	1	2	1	12	7	3	0
ET041014	1	2	1	12	2	2	0
ET041014	2	3	1	12	2	2	0
ET041015	1	2	1	12	7	1	0
ET041015	2	3	1	8	5	1	0
ET041016	1	2	1	10	3	1	0
ET041016	2	3	1	10	3	1	0
ET041017	1	3	1	12	7	1	0
ET041018	1	2	1	12	7	2	0
ET041020	1	2	1	12	7	4	0
ET041022	1	1	1	8	5	6	0
ET041022	2	2	1	4	7	4	0
ET041023	1	2	1	12	2	2	0
ET041023	2	3	1	12	2	2	0
ET041024	1	3	1	9	7	1	0
ET041024	2	2	1	12	4	2	0
ET041025	1	2	1	12	7	3	0
ET041025	2	3	1	12	7	2	0
ET041026	1	2	1	12	2	3	0
ET041026	2	3	1	12	2	2	0
ET041027	1	2	1	12	7	3	0
ET041027	2	3	1	12	7	2	0
ET041028	1	2	1	12	7	4	0
ET041029	1	2	1	12	7	4	0
ET041030	1	2	3	12	7	4	1
ET041030	2	3	1	12	7	3	0
ET041030	3	4	1	12	1	11	5
ET041031	1	2	1	12	7	3	0
ET041031	2	3	1	12	7	2	0
ET041032	1	2	1	12	2	4	0
ET041033	1	2	1	12	7	5	0
ET041034	1	2	1	12	7	3	0
ET041035	1	2	1	12	7	2	0
ET041036	1	2	1	12	7	2	0
ET041037	1	2	1	12	7	5	0
ET041037	2	3	1	12	7	2	0
ET041038	1	2	1	12	3	1	0
ET041038	2	3	1	12	3	2	0
ET041038	3	7	1	12	7	1	0
ET041039	1	2	1	12	7	2	0
ET041039	2	6	1	12	6	1	1
ET041040	1	2	1	12	7	2	0
ET041040	2	3	1	12	7	1	0
ET041040	3	6	2	2	6	10	1
ET041041	1	6	2	2	6	10	1
ET041042	1	2	1	12	4	3	0
ET041043	1	2	1	12	7	3	0
ET041044	1	2	1	12	4	3	0
ET041045	1	2	1	12	7	1	0
ET041046	1	2	1	12	7	1	0
ET041046	2	3	1	12	7	1	0
ET041047	1	2	1	8	4	2	0
ET041048	1	3	1	12	7	1	0
ET041049	1	2	2	12	7	1	0
ET041050	1	2	1	12	7	3	0
ET051001	1	1	1	12	7	5	0
ET051001	2	2	1	12	7	1	0
ET051002	1	2	1	12	7	6	0
ET051002	2	3	1	12	7	3	0
ET051002	3	1	1	12	7	2	0
ET051003	1	2	1	12	7	8	0
ET051004	1	2	1	12	7	2	0
ET051004	2	1	1	12	7	8	0
ET051005	1	2	1	12	3	4	0
ET051006	1	3	1	7	5	3	0
ET051006	2	2	1	6	5	3	0
ET051006	3	4	1	4	2	2	0
ET051006	4	7	2	12	7	1	1
ET051007	1	2	1	12	7	3	0
ET051008	1	2	1	12	7	5	0
ET051009	1	2	1	12	7	8	0
ET051010	1	2	1	12	7	5	0
ET051011	1	2	1	12	7	4	0
ET051012	1	2	1	12	7	2	0
ET051013	1	2	1	12	2	4	0
ET051013	2	3	1	12	3	2	0
ET051014	1	2	1	12	2	3	0
ET051014	2	3	1	12	2	3	0
ET051015	1	1	1	12	4	4	0
ET051015	2	6	2	12	1	1	1
ET051016	1	2	1	12	3	3	0
ET051016	2	3	1	12	2	3	0
ET051017	1	2	1	12	7	5	0
ET051017	2	3	1	12	7	1	0
ET051018	1	1	1	12	4	10	0
ET051018	2	2	1	12	7	3	0
ET051019	1	2	1	12	7	1	0
ET051020	1	2	3	12	5	2	0
ET051021	1	2	1	12	7	5	0
ET051021	2	3	1	12	7	4	0
ET051022	1	2	1	12	7	3	0
ET051023	1	2	1	12	7	2	0
ET051024	1	2	1	12	7	3	0
ET051025	1	2	1	12	7	3	0
ET051026	1	2	1	12	7	3	0
ET051027	1	2	1	12	7	2	0
ET051028	1	2	1	12	7	2	0
ET051029	1	2	1	12	7	4	0
ET051030	1	2	1	3	6	2	0
ET051031	1	2	1	12	7	5	0
ET051032	1	2	1	12	7	8	0
ET051033	1	2	1	12	7	2	0
ET051033	2	3	1	12	7	1	0
ET051034	1	2	1	12	7	2	0
ET051035	1	2	1	12	7	6	0
ET051036	1	2	1	12	7	2	0
ET051037	1	2	1	12	7	2	0
ET051037	2	3	1	12	7	1	0
ET051038	1	2	1	12	7	3	0
ET051039	1	2	1	12	2	3	0
ET051039	2	3	1	12	1	2	0
ET051040	1	2	1	12	7	1	0
ET051041	1	7	1	12	7	4	0
ET051041	2	2	1	12	7	2	0
ET051042	1	2	1	12	6	1	0
ET051042	2	3	1	12	6	1	0
ET051043	1	2	1	12	2	3	0
ET051043	2	3	1	12	2	2	0
ET051044	1	2	1	12	7	4	0
ET051044	2	3	1	12	7	1	0
ET051045	1	2	1	6	2	3	0
ET051045	2	1	1	2	2	2	0
ET051046	1	2	1	12	3	3	0
ET051046	2	3	1	12	7	1	0
ET051047	1	2	1	12	5	2	0
ET051047	2	3	1	12	3	2	0
ET051048	1	1	1	12	7	2	0
ET051048	2	2	1	12	7	4	0
ET051048	3	3	1	12	7	5	0
ET051049	1	2	1	12	7	5	0
