CHILDID	PLOTID	CRPRNR31	CRPRNR32	CRPDYR31	CRPDYR32	IRRIGTR3	PERIRRGR3
ET041001	1	5	124	888	888	0	88
ET041002	1	76	888	888	888	0	88
ET041002	2	75	888	888	888	0	88
ET041002	3	5	888	888	888	0	88
ET041003	1	5	888	888	888	0	88
ET041003	2	76	888	888	888	0	88
ET041003	3	42	888	888	888	0	88
ET041003	4	50	888	50	7	1	4
ET041006	2	60	64	96	96	0	88
ET041012	2	5	888	888	888	0	88
ET041014	2	125	15	888	888	0	88
ET041014	3	75	888	888	888	0	88
ET041020	1	8	888	888	888	0	88
ET041022	1	75	888	888	888	0	88
ET041022	2	75	5	888	888	0	88
ET041022	3	75	888	888	888	0	88
ET041022	4	75	888	888	888	0	88
ET041022	5	44	888	888	888	0	88
ET041032	1	5	888	888	888	0	88
ET041034	1	19	888	888	888	0	88
ET041034	2	75	888	888	888	0	88
ET051001	1	44	888	888	888	0	88
ET051002	1	125	43	888	888	0	88
ET051004	1	44	888	888	888	0	88
ET051004	2	130	888	888	888	0	88
ET051004	3	8	888	888	888	0	88
ET051004	4	15	888	888	888	0	88
ET051007	1	5	125	888	888	0	88
ET051007	2	8	888	888	888	0	88
ET051007	3	130	888	888	888	0	88
ET051009	1	5	55	888	888	0	88
ET051009	3	5	888	888	888	0	88
ET051016	2	75	125	888	888	0	88
ET051018	2	8	125	888	888	0	88
ET051018	3	8	888	888	888	0	88
ET051025	2	8	5	888	888	0	88
ET051031	1	125	888	888	888	0	88
ET051031	2	8	888	888	888	0	88
ET051032	2	130	19	888	888	0	88
ET051033	2	26	888	26	50	1	4
ET051035	1	125	888	888	888	0	88
ET051035	2	130	888	888	888	0	88
ET051035	3	130	888	888	888	0	88
ET051035	4	8	888	888	888	0	88
ET051035	6	43	888	888	888	0	88
ET051036	1	130	8	888	888	0	88
ET051036	2	125	888	888	888	0	88
ET051036	3	130	888	888	888	0	88
ET051036	4	8	888	888	888	0	88
ET051039	2	76	130	888	888	0	88
ET051040	2	125	888	888	888	0	88
ET051040	4	8	888	888	888	0	88
ET051042	3	130	888	888	888	0	88
ET051042	4	42	888	888	888	0	88
ET051042	5	43	888	888	888	0	88
ET051044	1	8	125	888	888	0	88
ET051044	2	130	125	888	888	0	88
ET051044	3	44	888	888	888	0	88
ET051048	3	8	125	888	888	0	88
ET051049	1	125	888	888	888	0	88
ET051049	2	76	888	888	888	0	88
ET051049	4	42	888	888	888	0	88
ET051050	1	125	888	888	888	0	88
ET061002	1	44	7	888	888	0	88
ET061002	2	79	888	888	888	0	88
ET061002	3	5	888	888	888	0	88
ET061002	4	20	888	888	888	0	88
ET061002	5	15	888	888	888	0	88
ET061002	6	15	888	888	888	0	88
ET061002	7	47	888	888	888	0	88
ET061002	8	65	888	888	888	0	88
ET061002	9	888	888	50	888	1	4
ET061003	2	8	888	888	888	0	88
ET061003	3	8	888	888	888	0	88
ET061003	4	44	7	888	888	0	88
ET061003	5	125	888	888	888	0	88
ET061004	1	7	8	888	888	0	88
ET061004	2	8	53	5	75	1	4
ET061004	3	15	888	888	888	0	88
ET061004	4	20	8	888	888	0	88
ET061005	2	8	888	888	888	0	88
ET061005	3	64	7	888	888	0	88
ET061005	4	75	888	888	888	0	88
ET061005	5	8	20	888	888	0	88
ET061005	6	79	888	888	888	0	88
ET061005	7	47	888	888	888	0	88
ET061005	8	125	888	888	888	0	88
ET061005	9	5	888	888	888	0	88
ET061005	10	50	888	50	888	1	4
ET061007	1	44	888	888	888	0	88
ET061007	3	31	888	888	888	0	88
ET061008	1	44	7	888	888	0	88
ET061008	2	20	8	888	888	0	88
ET061008	3	8	15	888	888	0	88
ET061008	4	20	888	888	888	0	88
ET061008	5	79	888	888	888	0	88
ET061009	1	44	7	888	888	0	88
ET061009	2	31	888	888	888	0	88
ET061009	3	20	888	888	888	0	88
ET061009	4	76	888	888	888	0	88
ET061009	5	76	888	888	888	0	88
ET061009	6	888	888	50	888	1	4
ET061010	1	44	888	888	888	0	88
ET061010	4	125	55	888	888	0	88
ET061010	5	79	888	888	888	0	88
ET061010	6	5	888	888	888	0	88
ET061011	1	44	125	888	888	0	88
ET061011	2	5	55	888	888	0	88
ET061011	3	76	888	888	888	0	88
ET061011	4	15	888	888	888	0	88
ET061012	2	79	888	888	888	0	88
ET061012	5	7	125	888	888	0	88
ET061014	1	44	7	888	888	0	88
ET061015	1	44	125	888	888	0	88
ET061015	3	20	888	888	888	0	88
ET061015	4	55	888	888	888	0	88
ET061015	5	31	888	888	888	0	88
ET061015	6	47	888	888	888	0	88
ET061016	1	76	44	888	888	0	88
ET061016	2	79	125	888	888	0	88
ET061016	3	76	888	888	888	0	88
ET061016	4	76	888	888	888	0	88
ET061016	5	76	888	888	888	0	88
ET061018	1	44	888	888	888	0	88
ET061018	2	76	20	50	888	1	1
ET061019	1	44	888	888	888	0	88
ET061019	2	44	7	888	888	0	88
ET061019	3	8	53	888	888	0	88
ET061019	4	8	7	888	888	0	88
ET061019	5	8	7	15	888	1	4
ET061019	6	20	888	888	888	0	88
ET061019	7	8	888	888	888	0	88
ET061020	1	44	888	888	888	0	88
ET061020	2	7	888	888	888	0	88
ET061020	3	44	888	888	888	0	88
ET061020	4	125	888	888	888	0	88
ET061020	5	20	888	888	888	0	88
ET061020	6	5	888	888	888	0	88
ET061020	9	125	888	888	888	0	88
ET061020	11	76	888	888	888	0	88
ET061021	1	44	125	888	888	0	88
ET061021	2	20	888	888	888	0	88
ET061021	4	76	79	888	888	0	88
ET061021	5	55	7	888	888	0	88
ET061021	6	21	888	888	888	0	88
ET061021	7	76	888	888	888	0	88
ET061021	8	76	888	888	888	0	88
ET061021	9	125	888	888	888	0	88
ET061021	10	15	888	888	888	0	88
ET061022	1	44	7	888	888	0	88
ET061022	2	8	888	888	888	0	88
ET061022	3	8	888	888	888	0	88
ET061022	5	20	888	888	888	0	88
ET061023	1	44	7	888	888	0	88
ET061023	2	20	79	888	888	0	88
ET061023	3	8	888	888	888	0	88
ET061023	4	8	888	888	888	0	88
ET061023	5	79	888	888	888	0	88
ET061024	1	44	888	888	888	0	88
ET061024	2	20	888	15	888	1	2
ET061024	3	79	888	888	888	0	88
ET061024	4	76	123	888	888	0	88
ET061024	5	76	888	888	888	0	88
ET061025	2	31	888	888	888	0	88
ET061026	1	44	7	888	888	0	88
ET061026	2	47	888	888	888	0	88
ET061026	3	15	888	888	888	0	88
ET061026	4	76	888	888	888	0	88
ET061026	5	79	888	888	888	0	88
ET061027	1	44	888	888	888	0	88
ET061027	2	20	76	888	888	0	88
ET061027	3	76	888	888	888	0	88
ET061027	4	20	888	888	888	0	88
ET061027	5	79	888	888	888	0	88
ET061027	6	20	888	888	888	0	88
ET061027	7	44	888	888	888	0	88
ET061028	1	44	888	888	888	0	88
ET061028	2	79	888	888	888	0	88
ET061028	3	20	888	50	888	1	1
ET061028	4	8	888	888	888	0	88
ET061028	5	15	888	888	888	0	88
ET061029	1	44	7	888	888	0	88
ET061029	2	5	125	888	888	0	88
ET061029	3	8	20	888	888	0	88
ET061029	4	47	888	888	888	0	88
ET061029	9	44	888	888	888	0	88
ET061031	1	44	7	888	888	0	88
ET061033	2	8	20	888	888	0	88
ET061033	3	15	7	888	888	0	88
ET061033	4	8	888	888	888	0	88
ET061034	1	44	7	888	888	0	88
ET061034	2	79	888	888	888	0	88
ET061034	3	20	888	888	888	0	88
ET061034	4	125	888	888	888	0	88
ET061034	5	76	888	888	888	0	88
ET061034	6	19	888	888	888	0	88
ET061034	7	76	888	888	888	0	88
ET061034	8	76	888	888	888	0	88
ET061034	9	888	888	55	888	1	4
ET061036	1	44	888	888	888	0	88
ET061036	2	5	888	888	888	0	88
ET061036	3	75	888	888	888	0	88
ET061036	4	8	20	888	888	0	88
ET061036	5	23	888	888	888	0	88
ET061036	6	31	888	888	888	0	88
ET061037	1	44	7	888	888	0	88
ET061038	1	44	888	888	888	0	88
ET061038	2	76	888	888	888	0	88
ET061038	3	79	888	888	888	0	88
ET061038	5	5	125	888	888	0	88
ET061038	6	76	888	888	888	0	88
ET061038	7	20	888	888	888	0	88
ET061039	1	44	20	888	888	0	88
ET061039	2	44	125	888	888	0	88
ET061039	3	31	888	888	888	0	88
ET061039	4	76	888	888	888	0	88
ET061039	5	79	888	888	888	0	88
ET061039	6	44	125	888	888	0	88
ET061040	1	44	55	888	888	0	88
ET061040	2	888	888	26	888	1	1
ET061041	1	44	888	888	888	0	88
ET061043	1	44	79	888	888	0	88
ET061043	2	15	123	888	888	0	88
ET061043	3	7	888	888	888	0	88
ET061043	4	125	76	888	888	0	88
ET061043	5	76	15	888	888	0	88
ET061043	6	76	888	888	888	0	88
ET061043	7	31	888	888	888	0	88
ET061043	8	888	888	55	888	1	4
ET061044	1	44	888	888	888	0	88
ET061044	2	76	888	888	888	0	88
ET061044	3	64	888	888	888	0	88
ET061044	5	20	15	888	888	0	88
ET061044	6	55	125	888	888	0	88
ET061044	7	76	888	888	888	0	88
ET061044	8	47	50	888	888	0	88
ET061046	1	44	55	888	888	0	88
ET061046	3	8	31	888	888	0	88
ET061046	4	76	888	888	888	0	88
ET061047	1	44	888	888	888	0	88
ET061047	2	125	888	888	888	0	88
ET061047	3	64	76	888	888	0	88
ET061047	4	31	888	888	888	0	88
ET061047	5	31	888	888	888	0	88
ET061047	6	31	888	888	888	0	88
ET061047	7	20	888	888	888	0	88
ET061047	8	31	888	888	888	0	88
ET061047	9	8	888	888	888	0	88
ET061047	10	64	888	888	888	0	88
ET061049	1	44	888	888	888	0	88
ET061049	2	79	888	888	888	0	88
ET061049	3	79	888	888	888	0	88
ET061049	4	8	20	888	888	0	88
ET061050	1	44	7	888	888	0	88
ET061050	2	79	76	888	888	0	88
ET061050	3	76	888	888	888	0	88
ET061050	4	79	888	888	888	0	88
ET061050	6	15	888	888	888	0	88
ET061050	7	79	888	888	888	0	88
ET061050	8	888	888	50	888	1	4
ET061050	9	888	888	55	888	1	4
ET061051	1	79	888	55	888	1	1
ET061051	3	76	888	888	888	0	88
ET061051	4	76	888	50	888	0	88
ET061051	6	125	888	888	888	0	88
ET061051	7	7	888	888	888	0	88
ET061052	1	44	888	888	888	0	88
ET061052	2	50	888	50	888	1	4
ET061052	3	76	888	888	888	0	88
ET061052	4	13	888	888	888	0	88
ET061052	5	44	888	888	888	0	88
ET061053	1	44	888	55	888	1	4
ET061053	2	47	888	888	888	0	88
ET061053	3	7	888	888	888	0	88
ET061053	5	8	888	888	888	0	88
ET061053	6	8	888	888	888	0	88
ET061053	7	15	888	888	888	0	88
ET061053	8	55	888	888	888	0	88
ET061053	9	79	888	888	888	0	88
ET061053	10	76	888	888	888	0	88
ET061053	11	8	888	888	888	0	88
ET061058	1	55	44	888	888	0	88
ET061058	2	31	888	888	888	0	88
ET061058	3	64	47	888	888	0	88
ET061059	5	79	55	888	888	0	88
ET071001	1	10	888	888	888	0	88
ET071001	2	125	75	888	888	0	88
ET071001	3	5	888	888	888	0	88
ET071001	4	55	888	888	888	0	88
ET071001	5	43	888	888	888	0	88
ET071002	2	75	125	888	888	0	88
ET071002	3	5	888	888	888	0	88
