CHILDID	PLOTID	LAREAR3	LUNITR3	LOWNR3	LUSER3	COLLATR3	TRANSR3	LNDCRTR3	SEECRTR3
ET011003	1	36	17	1	1	1	1	2	88
ET011012	1	72	17	1	3	1	1	1	2
ET011014	1	16	17	2	3	88	88	88	88
ET011016	1	42	17	1	1	1	1	1	2
ET011023	1	400	17	1	1	1	1	1	2
ET011027	1	-77	88	1	1	1	1	2	2
ET011036	1	48	17	1	1	1	1	2	88
ET011050	1	250	17	1	3	1	1	2	88
ET021006	1	2	2	1	10	1	1	1	1
ET021006	2	1	2	1	10	1	1	1	1
ET021008	1	4	17	1	8	1	1	88	88
ET021010	1	40	17	1	1	0	1	88	88
ET021011	1	985	17	1	1	1	1	88	88
ET021018	1	196	17	1	1	1	1	1	2
ET021020	1	2	5	1	10	1	1	1	2
ET021024	1	120	17	1	1	1	1	1	2
ET021025	1	300	17	1	1	1	1	88	88
ET021026	1	250	17	1	3	0	0	1	2
ET021038	1	150	17	1	1	1	1	88	88
ET021043	1	21	17	1	1	1	1	88	88
ET021043	2	8	17	2	8	0	0	88	88
ET021044	1	225	17	1	1	1	1	88	88
ET021045	1	6	5	1	10	1	1	1	88
ET021047	1	252	17	1	1	1	1	88	88
ET021050	1	150	17	1	3	1	1	88	88
ET031002	1	12	17	2	4	0	0	88	88
ET031006	1	30	17	2	1	0	0	88	88
ET031006	2	42	17	2	3	0	0	88	88
ET031013	1	16	17	1	1	0	1	88	88
ET031022	1	12	17	1	1	1	1	88	88
ET031043	1	8	17	2	8	0	0	88	88
ET041001	1	2	4	1	5	1	1	1	2
ET041001	2	300	17	1	1	1	1	88	88
ET041002	1	1	4	1	5	1	1	1	1
ET041002	2	1	4	1	5	1	1	1	1
ET041002	3	1	4	1	5	1	1	1	1
ET041002	4	150	17	1	1	0	1	88	88
ET041003	1	2	4	1	5	1	1	1	1
ET041003	2	2	4	1	5	1	1	1	1
ET041003	3	1	4	1	5	1	1	1	1
ET041003	4	1	4	1	5	1	1	1	1
ET041003	5	500	17	4	1	0	0	88	88
ET041005	1	2	4	1	10	1	1	1	2
ET041006	1	400	17	2	1	0	0	88	88
ET041006	2	2	2	3	5	0	0	88	88
ET041007	1	5.5	4	1	10	1	1	1	1
ET041008	1	2	4	1	10	1	1	1	1
ET041009	1	350	17	1	1	1	1	88	88
ET041009	2	16	17	2	1	0	0	88	88
