CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LOANYRR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3
ET011001	1	10	2	1000	5	2001	6	1	400	9	2001	11	3
ET011001	2	10	2	1000	9	2001	77	1	0	88	 	88	3
ET011002	1	7	2	4000	5	1999	24	1	2000	2	2002	12	2
ET011003	1	5	2	3000	1	2002	36	1	300	3	2002	88	1
ET011004	1	7	19	3000	11	2000	12	0	2000	6	2001	11	2
ET011007	1	8	10	7000	11	2001	77	1	0	88	 	88	1
ET011009	1	7	3	2000	8	1997	24	0	2600	2	2002	11	1
ET011010	1	10	6	150	11	2001	1	0	150	12	2001	88	1
ET011010	2	10	6	200	10	2000	1	0	200	11	2000	88	1
ET011013	1	10	4	300	2	2002	2	1	0	88	 	11	2
ET011013	2	10	17	500	4	2001	77	0	500	11	2001	88	2
ET011014	1	7	3	4000	10	1998	24	0	4600	10	2000	88	1
ET011014	2	10	3	1600	4	2001	77	1	200	3	2002	88	1
ET011015	1	10	2	500	2	2001	77	0	500	8	2001	88	4
ET011015	2	10	7	300	10	2001	77	0	300	1	2002	88	4
ET011015	3	10	2	250	13	1999	77	0	250	4	2000	88	4
ET011019	1	7	4	1000	77	1999	10	0	1300	77	2000	88	1
ET011021	1	10	10	4500	5	1999	77	1	0	88	 	88	2
ET011021	2	10	8	6000	3	2002	77	1	0	88	 	88	3
ET011022	1	6	4	300	6	1999	12	0	315	1	2001	12	2
ET011022	2	7	4	2000	10	2001	18	1	960	4	2002	88	2
ET011024	1	10	2	1000	12	2001	12	1	0	88	 	88	2
ET011026	1	7	3	2000	4	1997	12	1	1950	12	2001	11	2
ET011027	1	10	16	260	13	2001	1	0	260	1	2002	88	1
ET011027	2	7	19	2000	8	1997	20	0	2000	4	2001	88	1
ET011028	1	10	2	100	4	2001	1	0	100	5	2001	88	2
ET011028	2	10	2	50	7	2001	2	0	50	9	2001	88	2
ET011031	1	8	2	600	10	2001	77	1	0	88	 	88	1
ET011031	2	8	10	7000	8	2001	77	1	0	88	 	88	1
ET011033	1	10	2	500	7	1998	3	0	500	10	1998	88	2
ET011033	2	10	7	600	3	1999	6	0	600	9	1999	88	2
ET011033	3	10	2	400	6	2001	2	0	400	7	2001	88	2
ET011033	4	10	15	600	1	2002	2	0	600	3	2002	88	2
ET011033	5	10	7	400	3	2002	77	1	0	88	 	88	2
ET011037	1	7	17	2000	10	1997	24	0	2420	10	2000	12	1
