CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET061034	7	7	1	2	1400	110
ET061034	8	55	5	2	250	50
ET061036	1	44	1	2	300	70
ET061036	2	5	2	2	1400	150
ET061036	3	75	3	2	1400	200
ET061036	4	8	3	2	2400	250
ET061036	5	20	3	2	1100	110
ET061036	6	23	1	2	800	120
ET061036	7	31	5	55	130	25
ET061037	1	44	1	2	350	30
ET061037	2	7	5	1	60	44
ET061038	1	44	1.5	9	450	20
ET061038	2	76	1.2	2	1200	160
ET061038	3	79	1.2	2	480	40
ET061038	4	5	80	1	290	100
ET061038	5	125	40	1	216	36
ET061038	6	20	2.15	2	637	72
ET061039	1	44	6	41	1200	80
ET061039	2	20	5	41	750	16
ET061039	3	125	60	1	722	90
ET061039	4	31	30	55	600	0
ET061039	5	76	2.5	41	750	170
ET061039	6	79	30	1	170	10
ET061040	1	44	1	2	600	73
ET061040	2	55	6	69	180	155
ET061040	3	26	2	2	560	163
ET061041	1	44	2	41	900	50
ET061043	1	44	3	40	540	55
ET061043	2	79	6	69	510	50
ET061043	3	15	10	69	1600	160
ET061043	4	7	1.5	2	750	80
ET061043	5	123	2.5	69	295	12
ET061043	6	125	5	69	850	65
ET061043	7	76	13	69	2860	520
ET061043	8	55	4	40	220	150
ET061043	9	31	18	59	250	0
ET061044	1	44	4	9	660	50
ET061044	2	76	2.4	2	3675	545
ET061044	3	64	2	2	780	50
ET061044	4	20	3.4	2	1870	210
ET061044	5	15	2	2	950	200
ET061044	6	55	2	2	240	140
ET061044	7	125	.8	2	384	50
ET061044	8	47	.25	2	350	30
ET061044	9	50	5	2	2000	1025
ET061046	1	44	1	2	300	150
ET061046	2	55	2	2	400	200
ET061046	3	8	80	1	560	350
ET061046	4	31	6	55	60	0
ET061046	5	76	30	1	270	200
ET061047	1	44	2	2	800	40
ET061047	2	125	1	2	600	300
ET061047	3	64	4.5	2	1800	240
ET061047	4	76	2	2	1400	80
ET061047	5	31	20	55	600	0
ET061047	6	20	5	2	2000	480
ET061047	7	8	1	2	600	50
ET061049	1	44	1	69	220	40
ET061049	2	79	11	69	1740	80
ET061049	3	8	3	69	800	70
ET061049	4	20	4	69	800	60
ET061050	1	44	2	2	920	120
ET061050	2	7	1	2	2000	45
ET061050	3	79	6	2	2880	100
ET061050	4	76	2	2	1800	500
ET061050	5	15	1.5	2	675	150
ET061050	6	50	6	2	1800	790
ET061050	7	55	1	2	110	135
ET061051	1	79	4	2	1600	100
ET061051	2	76	2.5	2	2500	600
ET061051	3	125	3	2	1500	250
ET061051	4	7	3	2	4800	200
ET061051	5	55	10	2	1000	100
ET061051	6	50	4	2	800	600
ET061052	1	44	9	41	2700	70
ET061052	2	50	15	41	6000	750
ET061052	3	76	1	41	400	30
ET061052	4	13	60	55	1500	0
ET061053	1	44	2	2	660	70
ET061053	2	55	3	2	575	120
ET061053	3	47	1	2	600	50
ET061053	4	7	.4	2	500	30
ET061053	5	31	60	55	1500	300
ET061053	6	8	2.4	2	1700	200
ET061053	7	15	40	1	190	50
ET061053	8	79	1	2	420	40
ET061053	9	76	.25	2	200	40
ET061053	10	8	.25	2	175	40
ET061058	1	55	4	2	400	120
ET061058	2	44	2	2	600	20
ET061058	3	31	6	55	150	35
ET061058	4	64	1	2	230	40
ET061058	5	47	1	41	65	20
ET061059	1	79	2	41	300	50
ET061059	2	55	4	41	160	40
ET071001	1	10	6	4	60	10
ET071001	2	125	1	9	330	10
ET071001	3	75	4	9	800	60
ET071001	4	5	3	9	800	100
ET071001	5	55	10	9	500	40
ET071001	6	43	.5	9	120	30
ET071002	1	75	7.25	2	3625	500
ET071002	2	125	3.5	2	2000	260
ET071002	3	5	2	2	800	100
ET071002	4	130	.75	2	387	150
ET071002	5	55	5	2	880	2.4
ET071003	1	55	7.5	2	900	30
ET071003	2	75	14	2	4600	50
ET071003	3	5	6	9	1630	20
ET071003	4	125	3	2	1080	150
ET071003	5	43	1	2	140	50
ET071004	1	75	8	41	1600	200
ET071004	2	55	40	41	2400	300
ET071004	3	5	8	41	1400	175
ET071004	4	5	3	41	525	80
ET071004	5	10	300	10	300	10
ET071004	6	75	1	41	200	20
ET071004	7	130	2	41	400	100
ET071004	8	42	.5	41	180	30
ET071005	1	43	2	9	500	50
ET071005	2	130	5	9	1200	200
ET071005	3	125	4	9	1100	100
ET071005	4	55	2	9	100	20
ET071006	1	55	11	41	800	330
ET071006	2	50	5	49	100	10
ET071006	3	125	2.5	2	1100	150
ET071006	4	130	4	2	1200	180
ET071006	5	59	20	1	200	20
ET071006	6	75	4	2	1680	280
ET071006	7	5	1	2	350	60
ET071006	8	19	1	2	420	80
ET071006	9	130	3	2	900	250
ET071007	1	5	25	9	7500	180
ET071007	2	75	20	9	4400	230
ET071007	3	55	20	41	1000	80
ET071007	4	125	3	9	360	60
ET071007	5	43	2	9	400	10
ET071008	1	5	16	9	3200	150
ET071008	2	43	2	9	1500	100
ET071008	3	75	6	9	1350	80
ET071009	1	43	10	1	80	12
ET071009	2	5	3	2	1260	228
ET071009	3	75	3	2	1000	195
ET071009	4	125	1.5	2	570	85
ET071009	5	31	10	55	200	0
ET071009	6	55	2	2	240	64
ET071010	1	125	4	2	920	200
ET071010	2	130	3	2	0	200
ET071011	1	125	1	2	380	130
ET071011	2	130	3	2	1200	300
ET071011	3	5	1	2	350	30
ET071011	4	55	3	2	600	90
ET071012	1	75	6	2	3000	200
ET071012	2	5	3	2	900	170
ET071012	3	55	4	2	240	150
ET071013	1	130	5	9	500	300
ET071013	2	55	12	9	960	70
ET071014	1	55	1	41	120	40
ET071014	2	59	1	49	30	3
ET071015	1	5	7	9	1225	230
ET071015	2	75	4	9	860	150
ET071015	3	130	5	9	1200	140
ET071015	4	125	2.5	9	475	100
ET071016	1	125	1	2	500	250
ET071016	2	130	11	2	5500	370
ET071016	3	130	1	2	500	85
ET071016	4	43	3	2	1500	150
ET071017	1	5	12	9	3600	400
ET071017	2	125	3	9	900	100
ET071017	3	75	2	9	500	100
ET071018	1	26	.5	41	20	6
ET071018	2	10	1	41	15	1
ET071018	3	130	1	2	400	200
ET071018	4	125	.5	2	200	100
ET071018	5	5	4.5	2	1575	350
ET071018	6	55	1	2	150	60
ET071019	1	75	1	2	480	80
ET071020	1	125	4	9	800	80
ET071020	2	130	4	9	800	100
ET071020	3	55	20	9	1000	100
ET071020	4	75	6	9	1500	160
ET071020	5	55	10	9	500	80
ET071021	1	5	2	2	800	200
ET071021	2	43	.25	2	225	45
ET071021	3	75	1.5	2	675	270
ET071021	4	130	2	2	800	200
ET071021	5	55	4	2	720	160
ET071021	6	125	2	2	800	200
ET071022	1	130	5	2	1500	145
ET071022	2	75	3.5	2	1400	165
ET071022	3	43	1	2	50	95
ET071022	4	31	10	2	50	0
ET071024	1	50	1	9	300	30
ET071024	2	10	50	10	50	15
ET071024	3	75	10	9	2200	300
ET071024	4	43	2	9	800	400
ET071024	5	125	1	9	190	100
ET071024	6	5	7	9	1225	80
ET071024	7	55	20	9	1200	350
ET071025	1	50	1	2	480	82
ET071025	2	59	500	10	450	0
ET071025	3	75	24	2	10080	625
ET071025	4	125	6.5	2	2860	755
ET071025	5	43	2.5	2	670	66
ET071025	6	19	1.5	2	720	0
ET071026	1	55	3	9	150	50
ET071026	2	75	7.5	9	1980	470
ET071026	3	5	9	9	1800	400
ET071026	4	130	17	9	3400	170
ET071026	5	43	1	9	400	50
ET071027	1	130	5	41	1000	200
ET071027	2	75	5	41	1100	220
ET071027	3	55	6	41	300	60
ET071027	4	125	3	41	750	150
ET071028	1	75	7	41	1500	80
ET071028	2	55	5	41	250	50
ET071028	3	5	3	41	600	70
ET071029	1	55	3	41	120	44
ET071029	2	75	4	9	1200	194
ET071029	3	130	4	9	1100	348
ET071029	4	43	1	41	250	44
ET071029	5	96	500	56	1800	0
ET071031	1	96	400	56	1500	0
ET071031	2	130	3	2	930	200
ET071031	3	5	4	2	933	200
ET071031	4	31	16	55	500	0
ET071031	5	75	9.5	2	3900	430
ET071031	6	125	1	2	440	100
ET071031	7	43	1	41	250	100
ET071033	1	26	5	10	250	10
ET071033	2	125	3	9	750	75
ET071033	3	130	5	9	600	120
ET071033	4	55	40	9	2000	650
ET071033	5	5	7	9	420	90
ET071033	6	43	1	9	150	30
ET071035	1	5	2	41	230	25
ET071035	2	55	5	41	400	32
ET071035	3	130	3	41	390	20
ET071036	1	130	13	41	2600	350
ET071036	2	75	6	41	1350	150
ET071036	3	43	1	41	350	100
ET071037	1	130	11	2	5200	100
ET071037	2	55	3.5	2	350	60
ET071037	3	75	2	2	400	0
ET071038	1	43	1	9	400	80
ET071038	2	130	12	9	2400	340
ET071038	3	125	3	9	570	255
ET071038	4	19	2	9	420	90
ET071038	5	75	3	9	600	185
ET071039	1	130	10	9	2000	300
ET071039	2	5	8	9	1250	20
ET071039	3	75	4	9	800	25
ET071039	4	19	6	9	1100	40
ET071043	1	26	1	13	50	20
ET071044	1	5	29	9	4500	150
ET071044	2	125	13	9	3050	160
ET071044	3	75	9	9	2000	80
ET071044	4	42	1	9	400	60
ET071044	5	43	1.5	9	800	80
ET071045	1	75	9	2	3600	379
ET071045	2	19	2	2	1000	72
ET071045	3	43	1.5	2	1000	50
ET071046	1	130	4	9	800	50
ET071047	1	125	2	2	8000	200
ET071047	2	130	10	2	2400	600
ET071047	3	43	2	2	1000	300
ET071047	4	75	2	2	600	200
ET071047	5	55	6	2	1000	600
ET071047	6	10	100	6	100	20
ET071047	7	26	30	1	300	58
ET071048	1	130	2	2	1000	38
ET071048	2	125	1.5	2	1500	38
ET071049	1	55	1	40	163	10
ET071049	2	50	.5	40	670	5
ET071049	3	76	1	2	800	75
ET071049	4	125	2	2	760	250
ET071049	5	130	5	2	2000	500
ET071049	6	23	.5	2	300	10
ET071050	1	125	5.5	2	2200	380
ET071050	2	55	4	41	1600	200
ET071050	3	130	1	2	690	115
ET071050	4	43	1.5	2	400	100
ET081001	1	44	16	2	4800	1500
ET081001	2	75	15	2	3600	3000
ET081001	3	50	180	2	54000	38000
ET081001	4	72	20	2	4000	4000
ET081001	5	8	0	88	0	300
ET081002	1	44	6	2	1920	0
ET081002	2	76	250	1	2500	100
ET081002	3	64	2	2	140	170
ET081003	1	44	32	2	9600	450
ET081003	2	50	15	2	3750	4500
ET081003	3	75	3	2	900	370
ET081003	4	76	2.5	2	2000	200
ET081003	5	35	3	2	1050	100
ET081004	1	44	5	2	1900	300
ET081004	2	8	.5	2	200	155
ET081005	1	44	8	2	2800	425
ET081006	1	44	2	2	600	270
ET081006	2	75	2.5	2	600	227
ET081007	1	44	92	2	25800	2060
ET081008	1	44	11	2	3850	830
ET081008	2	75	8	2	3200	385
ET081008	3	50	18	2	1500	1240
ET081008	4	10	38	2	9500	9600
ET081008	5	9	12	2	7200	320
ET081009	1	44	10	2	3000	586
ET081009	2	8	1.5	2	1000	200
ET081010	1	44	7	2	2100	67
ET081010	2	8	.5	2	430	30
ET081010	3	96	150	40	6000	4000
ET081010	4	10	120	40	9600	5500
ET081010	5	35	3	2	900	200
ET081010	6	50	80	40	16000	10000
ET081011	1	44	30	2	11100	610
ET081011	2	96	8	2	130	185
ET081011	3	76	2	2	1000	14
ET081011	4	21	0	88	88	0
ET081012	1	44	16	2	6720	3800
ET081012	2	35	3	2	900	480
ET081012	3	75	3	2	1800	920
ET081013	1	44	0	88	-88	27
ET081014	1	44	6	2	2400	315
ET081014	2	35	6	2	2100	381
ET081014	3	76	.5	2	500	100
ET081015	1	44	4	2	1200	100
ET081015	2	7	2	2	700	550
ET081016	1	44	30	2	9000	470
ET081016	2	5	2	2	800	220
ET081016	3	10	500	56	700	1000
ET081016	4	50	30	2	4000	2000
ET081016	5	8	2	2	1600	240
ET081017	1	44	14	2	3600	196
ET081017	2	75	2	2	600	400
ET081017	3	5	7.5	2	2100	1045
ET081017	4	8	160	1	1000	840
ET081017	5	35	6	2	1800	75
ET081018	1	44	14	2	5200	2250
ET081018	2	76	2.5	2	2500	224
ET081018	3	75	2	2	1200	80
ET081019	1	44	15	2	5250	700
ET081019	2	76	1	2	1000	300
ET081019	3	35	4	2	1600	200
ET081019	4	75	3	2	1200	150
ET081020	1	44	8	2	3600	194
ET081020	2	96	22	41	440	5.5
ET081021	1	44	3	2	1200	100
ET081021	2	35	3	2	750	170
ET081022	1	44	5	2	2750	390
ET081022	2	75	3	2	2100	404
ET081022	3	35	2	2	800	610
ET081022	4	10	300	2	2000	500
ET081023	1	75	1.5	2	950	80
ET081023	2	44	4.5	2	1400	100
ET081025	1	44	6	2	2400	345
ET081025	2	75	6	2	4200	340
ET081025	3	50	27	2	8100	2880
ET081025	4	72	30	95	1500	570
ET081026	1	44	5	2	1600	190
ET081026	2	75	2	2	1000	350
ET081027	1	44	8	2	3000	310
ET081027	2	8	2	2	1600	240
ET081028	1	44	3	2	900	115
ET081029	1	44	5	2	2100	20
ET081029	2	35	4	2	1400	175
ET081030	1	44	4	2	1200	300
ET081030	2	5	2	2	400	50
ET081030	3	8	1	2	900	30
ET081031	1	44	4	2	1200	30
ET081031	2	8	1	2	800	40
ET081031	3	35	40	1	132	0
ET081032	1	35	4	2	1200	330
ET081032	2	44	30	2	1200	580
ET081033	1	44	18	2	7200	100
ET081033	2	130	1.5	2	750	60
ET081033	3	75	8	2	4000	210
ET081033	4	10	45	40	2050	650
ET081033	5	50	45	2	7500	3500
ET081034	1	44	22	2	8000	500
ET081034	2	76	2	2	2000	614
ET081035	1	44	450	1	1200	282
ET081035	2	8	60	1	550	285
ET081036	1	44	7	2	2800	150
ET081036	2	8	1.5	2	1500	260
ET081037	1	44	2	2	600	0
ET081037	2	75	1	2	400	400
ET081038	1	44	10	2	3500	150
ET081039	1	44	1	2	500	40
ET081040	1	44	5	2	2000	50
ET081040	2	75	1.5	2	900	24
ET081041	1	44	7	2	2800	180
ET081041	2	35	4	2	1200	180
ET081042	1	76	2	2	2000	240
ET081042	2	35	2.6	2	910	180
ET081042	3	44	6	2	2400	50
ET081043	1	44	10	2	3980	220
ET081043	2	75	4	2	1200	135
ET081043	3	8	1.5	2	1200	60
ET081043	4	35	3	2	900	40
ET081044	1	44	4	2	1600	300
ET081045	1	44	10	2	4000	580
ET081045	2	35	2	2	800	390
ET081045	3	5	2	2	800	210
ET081046	1	44	3.5	2	1225	170
ET081046	2	35	2	2	680	260
ET081046	3	76	2	2	2000	162
ET081047	1	8	1	2	600	80
ET081048	1	44	12	2	4000	245
ET081048	2	35	6	2	2120	70
ET081048	3	8	4	2	1733	276
ET081049	1	44	12	2	3600	380
ET081049	2	8	3	2	1800	300
ET081049	3	35	92	1	350	100
ET081050	1	44	4	2	1600	140
ET081050	2	76	2	2	2000	200
ET091001	1	44	3	2	1050	0
ET091001	2	35	11	2	3300	590
ET091001	3	75	44	2	15400	5205
ET091001	4	5	4	2	1200	100
ET091001	5	76	2	2	1600	200
ET091002	1	44	10	2	3500	150
ET091002	2	76	2	2	1600	185
ET091002	3	35	8	2	1600	400
ET091002	4	75	8	2	2000	650
ET091002	5	5	5	2	1500	400
ET091003	1	44	2	2	700	0
ET091003	2	75	30	2	12000	3421
ET091003	3	35	24	2	6240	2400
ET091004	1	44	3	2	820	0
ET091004	2	75	7	2	4200	440
ET091004	3	76	5	2	2000	110
ET091004	4	35	0	77	0	0
ET091004	5	15	1	2	600	0
ET091005	1	44	4	2	1200	60
ET091005	2	75	33	2	10560	3201
ET091005	3	8	1.5	2	720	80
ET091005	4	5	3	2	1050	100
ET091005	5	76	2.5	2	2000	100
ET091005	6	35	12	2	3860	1140
ET091006	1	44	2	2	700	64
ET091006	2	75	3	2	1200	200
ET091007	1	44	3.5	2	1400	50
ET091007	2	35	7	2	2520	500
ET091007	3	76	1	2	900	180
ET091007	4	75	12	2	4200	905
ET091008	1	44	2	2	800	150
ET091008	2	5	5	2	1750	200
ET091008	3	75	4	2	2040	120
ET091008	4	35	2	2	700	80
ET091009	1	44	6	2	2100	0
ET091009	2	35	12.5	2	3320	375
ET091009	3	75	20	2	12000	904
ET091009	4	5	6	2	2400	190
ET091010	1	44	3	2	1140	0
ET091010	2	75	35	2	24500	4780
ET091010	3	76	10	2	10000	800
ET091010	4	35	10	2	4000	200
ET091011	1	35	4	2	1600	300
ET091011	2	5	5	2	2000	400
ET091011	3	44	5	2	1850	200
ET091011	4	75	5	2	2500	240
ET091012	1	75	20	2	6000	1449
ET091012	2	35	19	2	4750	959
ET091013	1	75	6	2	2400	800
ET091013	2	5	7	2	2800	1700
ET091014	1	75	8	2	3840	640
ET091014	2	35	17	2	5440	2390
ET091014	3	44	8	2	2000	1600
ET091015	1	44	4	2	1400	175
ET091015	2	75	5	2	1750	600
ET091015	3	35	3	2	1200	422
ET091015	4	8	.25	2	225	180
ET091016	1	44	2.5	2	820	40
ET091016	2	35	5.5	2	2500	396
ET091016	3	75	24	2	14400	2752
ET091016	4	76	6.5	2	4850	1150
ET091017	1	44	3	2	750	80
ET091017	2	75	22	2	8800	1225
ET091017	3	35	10	2	3500	625
ET091017	4	76	2	2	1600	60
ET091017	5	5	5	2	1250	160
ET091018	1	35	10	2	4000	0
ET091018	2	44	1	2	370	0
ET091018	3	50	5	2	950	950
ET091018	4	75	24	2	12000	850
ET091019	1	44	1.5	2	300	16
ET091019	2	75	20	2	9000	2327
ET091019	3	35	12	2	4080	1440
ET091019	4	76	2	2	1800	128
ET091020	1	44	5.5	2	1650	337
ET091020	2	75	17	2	5950	3000
ET091020	3	35	6.5	2	2100	680
ET091020	4	64	4	2	800	410
ET091021	1	44	2	2	640	0
ET091021	2	35	7	2	1890	254
ET091021	3	75	6	2	3000	622
ET091021	4	76	2	2	1600	30
ET091021	5	5	1	2	220	0
ET091022	1	75	14	2	7000	1324
ET091022	2	35	6	2	2400	0
ET091022	3	76	2	2	1900	369
ET091022	4	5	3	2	600	225
ET091022	5	44	2	2	600	0
ET091023	1	44	1	2	300	32
ET091023	2	75	10	2	3000	1018
ET091023	3	35	7	2	1800	45
ET091024	1	44	1	2	330	12
ET091024	2	75	12	2	4800	700
ET091024	3	35	2	2	800	300
ET091025	1	44	1	2	180	0
ET091025	2	35	5.5	2	1705	600
ET091025	3	75	8	2	2400	90
ET091025	4	5	2	2	500	0
ET091025	5	76	1	2	500	0
ET091026	1	44	2	2	600	0
ET091026	2	35	15	2	4500	575
ET091026	3	75	32	2	11200	1610
ET091026	4	76	5	2	4925	170
ET091026	5	5	6	2	1500	0
ET091027	1	44	3	2	960	0
ET091027	2	76	5	2	4000	110
ET091027	3	35	3	2	1200	0
ET091028	1	44	450	1	1050	200
ET091028	2	5	4	2	800	150
ET091028	3	75	5	2	2850	150
ET091028	4	35	4	2	1600	100
ET091029	1	44	2	2	400	0
ET091029	2	5	6	2	1800	200
ET091029	3	76	4	2	3200	500
ET091029	4	75	23	2	9200	4690
ET091029	5	35	8	2	2800	1850
ET091030	1	44	.5	2	130	30
ET091030	2	35	4	24	6	4.5
ET091031	1	44	9	2	2700	200
ET091031	2	76	5	2	4000	500
ET091031	3	75	45	2	18000	2000
ET091031	4	35	13	2	3640	400
ET091031	5	5	4	2	800	100
ET091032	1	44	2	2	800	0
ET091032	2	75	25	2	10000	1505
ET091032	3	35	15	2	4800	50
ET091032	4	5	5	2	1750	0
ET091033	1	75	2	2	900	2492
ET091033	2	44	0	88	-88	64
ET091033	3	35	2.5	2	1100	75
ET091033	4	76	1	2	800	96
ET091034	1	44	3	2	600	0
ET091034	2	75	25	2	7500	940
ET091034	3	5	2	2	400	0
ET091034	4	35	4	2	1200	0
ET091035	1	44	1	2	300	0
ET091035	2	76	2	2	1600	322
ET091035	3	35	3	2	1140	0
ET091035	4	75	8	2	3200	695
ET091036	1	35	3	2	900	50
ET091036	2	44	6	2	2100	0
ET091036	3	5	5	2	1800	150
ET091036	4	75	6	2	2700	180
