CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
ET011003	1	13	100	100
ET011014	1	1	200	300
ET011014	2	7	0	200
ET011015	1	5	150	0
ET011015	2	22	0	200
ET011017	1	6	20	200
ET011018	1	13	1300	0
ET011018	2	6	400	300
ET011023	1	2	1200	0
ET021007	1	22	300	0
ET021008	1	13	200	0
ET021010	1	14	500	0
ET021014	1	7	1500	0
ET021015	1	14	50	60
ET021024	1	22	140	0
ET021039	1	1	840	0
ET021045	1	14	180	0
ET021047	1	7	0	200
ET031002	1	6	1000	0
ET031021	1	5	200	0
ET031036	1	3	0	2500
ET031039	1	5	0	200
ET041006	1	22	50	0
ET041016	1	22	30	0
ET041022	1	22	280	0
ET041043	1	22	200	200
ET041045	1	8	2000	0
ET041045	2	9	3000	0
ET041046	1	14	400	700
ET051012	1	22	200	0
ET051029	1	22	200	0
ET051033	1	1	100	0
ET061002	1	22	0	50
ET061009	1	17	0	65
ET061009	2	13	0	31
ET061010	1	22	0	20
ET061016	1	22	0	60
ET061018	1	19	0	50
ET061019	1	7	0	180
ET061021	1	22	0	175
ET061021	2	13	0	67
ET061022	1	7	1200	60
ET061022	2	22	300	0
ET061026	1	13	0	30
ET061026	2	13	5	0
ET061033	1	7	3000	0
ET061038	1	7	480	20
ET061039	1	17	0	14
ET061040	1	13	40	0
ET061040	2	22	100	400
ET061041	1	22	0	54
ET061041	2	14	0	36
ET061043	1	17	0	45
ET061043	2	19	20	0
ET061046	1	13	0	25
ET061046	2	13	30	0
ET061047	1	13	1000	130
ET061047	2	13	0	1560
ET061047	3	13	0	1560
ET061047	4	13	0	1560
ET061049	1	19	15	0
ET061050	1	7	300	50
ET061050	2	22	40	0
ET061051	1	7	600	50
ET061051	2	7	600	50
ET061051	3	7	600	50
ET061051	4	7	600	50
ET061051	5	7	600	50
ET061052	1	19	5	30
ET061052	2	19	3	20
ET061053	1	13	5	35
ET061053	2	13	5	35
ET061053	3	13	5	35
ET061053	4	5	0	35
ET061053	5	13	0	20
ET061053	6	13	0	20
ET061053	7	13	0	30
ET061053	8	13	0	30
ET061057	1	7	-88	460
ET061058	1	14	4	0
ET061059	1	19	15	0
ET071004	1	19	0	90
ET071006	1	13	100	0
ET071006	2	6	400	0
ET071007	1	13	30	60
ET071019	1	22	0	142
ET071022	1	5	-77	540
ET071025	1	7	2000	400
ET071025	2	7	0	2100
ET071037	1	7	3000	0
ET081001	1	13	100	-88
ET081001	2	14	100	-88
ET081002	1	7	0	197.5
ET081002	2	17	0	197.5
ET081002	3	14	0	40
ET081003	1	13	0	20
ET081003	2	13	0	40
ET081003	3	5	0	10
ET081007	1	14	4000	0
ET081008	1	2	0	1000
ET081011	1	16	0	40
ET081011	2	8	0	50
ET081012	1	13	100	0
ET081014	1	5	0	100
ET081015	1	13	100	0
ET081016	1	22	0	50
ET081018	1	13	-88	87.5
ET081018	2	13	-88	105
ET081019	1	13	0	900
ET081026	1	7	0	37
ET081029	1	13	0	100
ET081030	1	5	100	-88
ET081035	1	16	0	70
ET081036	1	7	200	-88
ET081037	1	7	400	0
ET081038	1	13	74	-88
ET081042	1	7	1500	0
ET081045	1	14	0	30
ET081048	1	14	50	-88
ET081048	2	14	60	-88
ET091001	1	13	0	175
ET091005	1	11	0	250
ET091005	2	13	0	200
ET091005	3	7	990	900
ET091008	1	22	300	750
ET091010	1	13	300	500
ET091010	2	13	200	-88
ET091010	3	13	100	-88
ET091011	1	18	-88	250
ET091011	2	18	-88	350
ET091012	1	14	500	0
ET091012	2	13	0	48.5
ET091012	3	13	0	45
ET091013	1	13	200	0
ET091016	1	22	0	180
ET091017	1	13	0	50
ET091017	2	7	0	200
ET091018	1	22	0	275
ET091019	1	7	1000	0
ET091021	1	16	400	0
ET091022	1	15	35	65
ET091026	1	22	0	150
ET091026	2	14	0	300
ET091026	3	14	900	0
ET091031	1	13	0	400
ET091032	1	14	20	0
ET091032	2	14	0	50
ET091036	1	14	-88	250
ET091036	2	13	-88	200
ET091037	1	13	0	400
ET091037	2	13	0	350
ET091037	3	6	0	750
ET091039	1	13	3000	400
ET091039	2	7	1300	0
ET091040	1	13	-88	28.5
ET091040	2	6	-88	32
ET091043	1	8	0	300
ET091044	1	1	0	400
ET091046	1	13	-88	225
ET101001	1	7	2100	1200
ET101003	1	6	600	0
ET101004	1	9	3000	200
ET101005	1	19	250	368
ET101008	1	22	500	0
ET101011	1	13	700	0
ET101011	2	5	300	200
ET101011	3	6	300	200
ET101013	1	22	0	3000
ET101014	1	5	500	0
ET101016	1	14	500	100
ET101022	1	13	500	50
ET101024	1	7	1000	400
ET101025	1	14	500	2000
ET101030	1	22	200	30
ET101034	1	6	500	200
ET101036	1	6	300	84
ET101039	1	9	400	0
ET101040	1	13	1500	0
ET101042	1	7	2800	0
ET101044	1	14	200	52
ET101046	1	22	0	200
ET101048	1	1	1300	0
ET101048	2	8	2200	0
ET111001	1	7	400	680
ET111003	1	7	0	1440
ET111007	1	7	280	1000
ET111011	1	7	5400	2400
ET111020	1	7	2040	3948
ET111022	1	19	0	750
ET111022	2	13	0	500
ET111030	1	6	600	400
ET111031	1	7	1850	1080
ET111032	1	7	2376	1680
ET111034	1	7	2700	1650
ET111037	1	6	1300	0
ET111038	1	13	2000	0
ET111042	1	13	0	375
ET111047	1	8	750	600
ET111048	1	22	2400	0
ET121005	1	17	250	0
ET121005	2	18	250	0
ET121009	1	5	50	75
ET121014	1	17	0	100
ET121014	2	18	0	100
ET121017	1	14	300	100
ET121017	2	13	200	0
ET121017	3	17	200	200
ET121020	1	14	300	0
ET121023	1	17	150	250
ET121025	1	17	150	0
ET121025	2	18	150	0
ET121027	1	17	150	0
ET121032	1	18	0	100
ET121032	2	17	0	100
ET121033	1	14	50	0
ET121033	2	13	100	0
ET121033	3	18	100	0
ET121033	4	17	200	0
ET121034	1	13	30	200
ET121036	1	7	500	500
ET121036	2	17	200	0
ET121038	1	7	2000	0
ET121043	1	1	500	0
ET121044	1	1	500	200
ET121046	1	17	0	500
ET121046	2	18	0	500
ET121050	1	17	0	600
ET121050	2	18	0	400
ET121056	1	19	200	0
ET121056	2	22	200	0
ET121056	3	22	100	0
ET121057	1	17	0	50
ET121057	2	18	0	50
ET131021	1	7	1200	0
ET131023	1	13	2000	0
ET131023	2	7	1000	0
ET131036	1	13	600	-88
ET131037	1	7	2000	0
ET131037	2	7	2000	0
ET131040	1	13	2000	500
ET131043	1	8	700	0
ET131043	2	7	500	0
ET131044	1	19	500	0
ET141001	1	13	100	0
ET141005	1	13	0	50
ET141005	2	13	100	0
ET141009	1	14	3600	0
ET141023	1	9	450	0
ET141033	1	6	1200	0
ET141036	1	13	500	-88
ET141039	1	7	2500	0
ET141039	2	7	0	800
ET141039	3	1	290	0
ET141044	1	7	900	170
ET141044	2	7	350	0
ET151002	1	7	300	0
ET151004	1	22	-88	15
ET151020	1	14	40	25
ET151027	1	7	500	0
ET151045	1	8	700	200
ET161001	1	1	5	1956
ET161002	1	13	6000	-88
ET161005	1	7	950	600
ET161008	1	7	1700	130
ET161013	1	7	0	1200
ET161019	1	7	450	200
ET161021	1	1	154	0
ET161021	2	19	427	350
ET161048	1	19	500	0
ET161049	1	19	1000	0
ET181003	1	13	120	0
ET181038	1	7	300	0
ET181047	1	7	600	0
ET191027	1	19	2000	0
ET191040	1	5	0	1000
ET191043	1	7	1000	0
ET191048	1	7	2700	0
ET191051	1	13	500	0
ET201018	1	7	50	150
