CHILDID	GRPID	GROUPR3	BCMMEMR3	LDMEMR3
ET011001	1	4	1	0
ET011002	1	13	2	0
ET011003	1	15	2	0
ET011004	1	13	2	1
ET011006	1	4	2	0
ET011006	2	4	2	0
ET011007	1	4	2	0
ET011008	1	4	2	0
ET011010	1	4	2	0
ET011013	1	2	2	0
ET011014	1	4	3	0
ET011015	1	2	3	1
ET011015	2	4	2	0
ET011016	1	4	2	0
ET011016	2	4	2	0
ET011017	1	4	2	0
ET011017	2	2	1	0
ET011024	1	4	2	0
ET011024	2	4	2	0
ET011027	1	4	1	0
ET011027	2	4	1	0
ET011028	1	3	3	0
ET011029	1	4	2	0
ET011029	2	4	2	0
ET011029	3	4	2	0
ET011029	4	4	2	0
ET011029	5	4	2	0
ET011030	1	4	2	0
ET011032	1	15	2	0
ET011032	2	15	2	1
ET011032	3	2	2	0
ET011039	1	2	3	0
ET011039	2	4	2	0
ET011039	3	4	2	0
ET011042	1	4	2	0
ET011042	2	4	2	0
ET011043	1	4	2	0
ET011045	1	4	2	0
ET011046	1	2	3	0
ET011048	1	4	2	0
ET011049	1	4	1	0
ET021001	1	15	1	1
ET021003	1	2	3	0
ET021003	2	13	2	1
ET021003	3	15	3	0
ET021004	1	1	1	0
ET021005	1	2	2	0
ET021005	2	13	2	1
ET021008	1	15	2	0
ET021011	1	13	2	0
ET021014	1	8	1	0
ET021015	1	13	1	0
ET021017	1	13	2	0
ET021019	1	1	3	0
ET021019	2	2	2	0
ET021020	1	14	2	1
ET021020	2	3	2	1
ET021021	1	2	2	0
ET021022	1	7	1	1
ET021022	2	4	2	1
ET021023	1	13	2	1
ET021027	1	4	2	0
ET021029	1	13	1	0
ET021030	1	13	1	0
ET021032	1	4	3	0
ET021032	2	2	2	0
ET021033	1	13	3	0
ET021033	2	2	3	0
ET021034	1	13	2	0
ET021035	1	15	3	0
ET021036	1	15	1	0
ET021037	1	14	2	0
ET021038	1	15	2	1
ET021040	1	2	3	0
ET021042	1	2	2	1
ET021043	1	3	2	0
ET021043	2	15	2	0
ET021043	3	13	2	0
ET021044	1	15	3	0
ET021045	1	13	1	0
ET021046	1	2	3	0
ET021046	2	15	3	0
ET021048	1	4	2	1
ET021049	1	4	2	0
ET021050	1	8	1	0
ET021050	2	15	1	0
ET031001	1	15	2	1
ET031002	1	2	2	0
ET031002	2	13	2	1
ET031003	1	15	2	0
ET031004	1	13	2	0
ET031006	1	15	2	1
ET031010	1	15	2	1
ET031011	1	13	2	0
ET031011	2	13	2	0
ET031012	1	4	2	0
ET031013	1	2	3	1
ET031014	1	15	2	0
ET031017	1	13	2	1
ET031018	1	15	2	1
ET031021	1	15	2	1
ET031023	1	4	3	1
ET031024	1	15	2	0
ET031025	1	15	2	0
ET031026	1	13	1	0
ET031027	1	2	3	0
ET031027	2	15	3	0
ET031029	1	15	1	0
ET031030	1	15	1	0
ET031031	1	2	2	0
ET031033	1	15	2	0
ET031035	1	13	2	0
ET031036	1	15	1	0
ET031038	1	15	1	1
ET031039	1	1	2	0
ET031040	1	15	1	1
ET031043	1	15	2	1
ET031044	1	15	2	0
ET031044	2	13	2	0
ET031044	3	2	2	0
ET031046	1	2	3	1
ET031048	1	15	1	0
ET031050	1	15	1	0
ET041001	1	2	3	0
ET041007	1	2	2	0
ET041008	1	4	2	0
ET041009	1	13	2	0
ET041010	1	2	2	0
ET041011	1	2	3	1
ET041012	1	15	1	0
ET041013	1	15	2	0
ET041014	1	15	1	0
ET041015	1	15	1	1
ET041016	1	1	2	1
ET041016	2	2	3	0
ET041017	1	15	2	0
