CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUIMR301	SUIMR302
ET011001	1	12	34	1997	-99	4	4	4	9	88
ET011004	1	12	34	1992	-99	4	0	3	4	88
ET011006	1	12	13	1995	-99	4	0	4	4	88
ET011007	1	12	34	1998	-99	4	0	2	4	88
ET011008	1	12	34	1996	-99	4	0	3	4	88
ET011010	1	12	34	1992	-99	4	0	4	4	88
ET011015	1	12	34	1998	-99	10	3	5	4	88
ET011015	2	12	15	1996	-99	10	80	5	2	4
ET011017	1	12	34	1991	-99	4	0	4	4	88
ET011019	1	12	34	1992	-99	5	0	2	4	88
ET011020	1	12	34	1998	-99	4	0	4	4	88
ET011021	1	12	34	1999	-99	4	15	4	4	88
ET011022	1	12	34	-77	-99	10	80	5	4	88
ET011022	2	5	13	2001	-99	4	2	4	2	1
ET011025	1	12	34	2000	-99	4	15	3	4	88
ET011026	1	12	34	1997	-99	4	0	2	4	88
ET011028	1	12	34	1998	-99	4	0	3	4	88
ET011029	1	16	34	1997	-99	4	0	3	4	88
ET011030	1	12	34	1993	-99	5	0	4	4	88
ET011031	1	12	34	1995	-99	4	15	2	9	88
ET011033	1	12	34	1993	-99	4	0	2	4	88
ET011034	1	4	34	1999	-99	4	0	3	4	88
ET011035	1	12	34	1991	-99	4	0	4	4	88
ET011037	1	12	34	-77	-99	10	0	5	2	4
ET011039	1	12	34	1997	-99	4	3	2	9	88
ET011042	1	18	15	1999	-99	10	0	4	1	2
ET011043	1	16	34	1998	-99	4	0	3	4	88
ET011044	1	12	34	1998	-99	4	17	3	4	88
ET011045	1	12	34	1997	-99	4	80	4	4	88
ET011046	1	7	34	1999	-99	4	80	4	3	5
ET011046	2	12	34	1995	-99	4	6	2	9	88
ET011049	1	12	34	2000	-99	4	5	3	4	88
ET021003	1	7	6	1999	-99	5	2	4	5	88
ET021007	1	2	6	2000	2000	4	2	4	3	88
ET021007	2	7	15	2001	2001	4	2	4	4	88
ET021007	3	9	15	2001	2001	4	2	4	8	88
ET021008	1	7	15	2001	-99	9	2	5	3	5
ET021010	1	7	6	1999	-99	8	2	5	5	3
ET021011	1	16	15	1995	-99	4	0	4	4	88
ET021011	2	16	15	1999	-99	4	15	4	4	88
ET021011	3	8	6	2001	-99	8	4	5	9	88
ET021013	1	7	6	1999	-99	7	1	4	5	88
ET021015	1	5	13	2001	2001	4	1	4	4	88
ET021016	1	7	30	1999	-99	10	2	1	5	88
ET021017	1	16	15	1998	-99	4	4	3	4	88
ET021019	1	7	6	1999	2001	4	2	4	5	88
ET021023	1	7	6	1992	-99	8	2	5	3	88
ET021023	2	8	6	1992	-99	8	2	5	3	88
ET021023	3	19	11	2000	2000	10	80	4	1	88
ET021023	4	16	11	2000	-99	4	80	4	4	88
ET021032	1	16	15	1996	-99	4	0	4	4	88
ET021034	1	13	15	1999	2000	4	3	4	9	88
ET021034	2	8	6	1992	-99	8	2	5	2	4
ET021036	1	7	6	2001	-99	9	1	5	1	3
ET021036	2	16	15	1999	-99	4	0	5	6	7
ET021037	1	5	13	1998	-99	10	0	3	4	88
ET021040	1	8	6	1999	-99	8	5	4	5	88
ET021046	1	7	6	1999	-99	5	2	4	5	88
ET021046	2	8	6	1999	-99	8	2	4	9	88
ET021046	3	16	15	1999	-99	4	15	4	6	88
ET021046	4	16	15	1999	-99	4	16	4	6	88
ET031004	1	16	15	2001	-99	5	80	3	4	88
ET031007	1	7	6	1999	-99	5	2	4	5	88
ET031007	2	8	6	1999	-99	8	4	4	9	88
ET031007	3	16	15	2000	-99	10	16	4	9	88
ET031012	1	5	15	2001	-99	4	2	4	3	88
ET031012	2	16	15	2001	-99	4	80	5	4	5
ET031017	1	8	6	1992	-99	10	2	5	2	4
ET031019	1	13	6	2002	2002	11	2	4	3	88
ET031019	2	8	6	1991	2001	8	2	4	5	3
ET031019	3	16	15	2001	-99	4	15	4	4	88
ET031022	1	7	6	1999	-99	5	2	4	5	88
ET031027	1	7	6	1999	-99	5	2	4	5	88
ET031027	2	8	6	1999	-99	8	2	4	9	88
ET031028	1	7	6	2001	2001	4	2	4	5	88
ET031031	1	8	6	1999	-99	8	2	5	3	88
ET031043	1	19	15	1999	-99	10	0	4	1	88
ET031044	1	19	36	1999	-99	10	80	4	2	88
ET031044	2	16	15	2002	-99	4	0	3	4	88
ET031046	1	5	13	2000	-99	3	2	4	2	4
ET031047	1	18	15	2000	-99	5	9	4	4	2
ET031047	2	18	15	2000	-99	5	10	4	4	2
ET041003	1	19	77	2001	2001	11	1	3	2	88
ET041005	1	16	38	1994	-99	4	80	4	4	88
ET041006	1	5	15	1999	99	4	80	4	2	88
ET041013	1	18	38	2002	-99	8	0	3	4	88
ET041021	1	18	38	2001	-99	8	80	2	4	2
ET041022	1	1	5	1999	-99	9	80	4	1	2
ET041025	1	7	30	2000	-99	8	2	4	5	88
ET041027	1	7	6	2001	-99	5	2	4	5	88
ET041027	2	8	6	1998	-99	8	2	4	1	88
ET041027	3	11	6	2001	-99	5	2	4	5	88
ET041029	1	5	13	2000	-99	10	80	4	1	4
ET041031	1	7	15	2001	-99	8	1	5	3	88
ET041031	2	18	15	2001	-99	8	1	5	4	88
ET041033	1	5	13	1999	2000	4	80	5	2	4
ET041036	1	16	36	2002	2002	11	0	4	4	88
ET041040	1	16	38	1994	-99	4	0	3	4	88
ET041040	2	16	77	2002	-99	4	3	4	4	88
ET041045	1	16	38	2000	2002	4	80	2	4	88
ET041048	1	16	38	1995	-99	4	0	4	4	88
ET041049	1	19	15	2001	-77	4	1	4	5	88
ET051001	1	3	39	1998	-99	4	80	4	1	2
ET051001	2	4	39	1998	-99	11	80	4	1	2
ET051001	3	14	39	1998	-99	9	80	4	1	2
ET051002	1	3	39	1998	-99	7	80	5	1	2
ET051002	2	4	39	1998	-99	7	80	5	1	2
ET051004	1	3	39	1998	-99	4	80	4	1	2
ET051004	2	4	39	1998	-99	11	80	4	1	2
ET051006	1	4	39	2001	-99	11	80	4	2	6
ET051006	2	3	39	2001	-99	4	80	4	2	6
ET051007	1	9	6	2000	2000	77	2	4	5	88
ET051008	1	3	39	1999	-99	5	80	3	2	88
ET051008	2	4	39	1999	-99	11	80	3	2	88
ET051009	1	3	39	1998	-99	9	80	3	2	88
ET051009	2	4	39	1998	-99	9	80	3	2	88
ET051010	1	3	39	1998	-99	5	80	3	2	88
ET051010	2	4	39	1998	-99	8	80	3	2	88
ET051013	1	14	39	1998	-99	9	80	3	2	88
ET051014	1	16	15	2002	-99	77	15	3	4	88
ET051014	2	4	39	1999	-99	9	80	3	2	88
ET051015	1	3	39	1998	-99	4	80	3	2	6
ET051015	2	4	39	1998	-99	11	80	3	2	88
ET051016	1	3	39	1997	-99	4	80	4	1	2
ET051016	2	4	39	1997	-99	11	80	4	1	2
ET051016	3	14	39	1997	-99	9	80	4	1	2
ET051017	1	9	6	2002	2002	3	1	4	3	88
ET051017	2	3	39	1998	-99	4	1	5	2	1
ET051017	3	4	39	1998	-99	11	1	5	2	1
ET051021	1	14	39	1998	-99	7	80	5	2	1
ET051022	1	14	39	1997	-99	9	80	3	2	88
ET051024	1	3	39	1999	-99	5	80	4	2	88
ET051024	2	4	39	1999	-99	9	80	4	2	88
ET051025	1	4	39	1997	-99	8	80	4	1	4
ET051025	2	3	39	1997	-99	5	80	4	1	4
ET051026	1	13	38	1990	-99	4	1	5	5	88
ET051028	1	4	39	1997	-99	8	1	4	1	4
ET051028	2	3	39	1997	-99	5	1	4	1	4
ET051030	1	3	39	1998	2002	5	80	4	4	1
ET051030	2	4	39	1998	2002	11	80	4	2	1
ET051032	1	3	39	1999	-99	4	80	3	2	88
ET051032	2	4	39	1999	-99	9	80	3	2	88
ET051034	1	3	39	1999	-99	4	80	3	2	88
ET051034	2	4	39	1999	-99	11	80	3	2	88
ET051037	1	3	39	1998	-99	5	80	1	1	2
ET051037	2	4	39	1998	-99	11	80	1	1	2
ET051041	1	14	19	1999	-99	9	80	3	2	88
ET051042	1	3	39	1999	-99	5	80	4	1	2
ET051042	2	4	39	1999	-99	11	80	4	1	2
ET051043	1	3	39	1999	-99	5	80	4	1	2
ET051043	2	4	39	1999	-99	11	80	4	1	2
ET051044	1	1	5	2000	-99	4	80	4	1	2
ET051044	2	9	6	2001	2002	10	80	4	5	88
ET051045	3	4	39	1998	-99	9	80	3	2	3
ET051045	5	3	39	1998	-99	9	80	4	2	6
ET051046	1	3	39	1999	-99	4	80	3	2	3
ET051046	2	4	39	1999	-99	11	80	3	2	3
ET051048	1	14	39	1997	-99	9	80	5	1	2
ET051050	1	14	39	1998	-99	11	80	4	1	2
ET061002	1	5	13	2001	-99	4	80	4	2	1
ET061002	2	5	1	2001	2002	4	80	4	2	4
ET061003	1	5	13	1999	2001	2	80	2	2	88
ET061004	1	5	15	2001	-99	2	80	4	2	4
ET061005	1	5	13	2001	2002	4	80	2	2	1
ET061007	1	5	13	2001	2003	2	1	4	9	88
ET061007	2	14	39	1998	-99	1	0	4	4	88
ET061008	1	4	39	1999	-99	7	80	4	2	1
ET061008	2	3	39	1999	-99	7	80	4	2	1
ET061008	3	5	13	1999	2000	4	1	4	2	4
ET061008	4	5	15	1999	2001	3	1	4	4	2
ET061008	5	5	13	2000	2001	4	1	4	4	2
ET061008	6	5	13	2001	-99	4	1	4	2	1
ET061008	7	5	15	2001	-99	3	1	4	2	1
ET061009	1	3	39	1998	2002	5	80	4	2	4
ET061009	2	4	39	2001	2002	4	80	4	2	1
ET061009	3	5	33	1999	-99	2	80	4	2	4
ET061009	4	5	13	2001	-99	4	80	4	2	4
ET061010	1	5	13	1998	1999	4	2	4	1	2
ET061010	2	5	13	1999	2000	4	2	4	1	2
