CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET011014	1	1	12000	360
ET011050	1	1	3600	0
ET021006	1	1	1300	400
ET021020	1	1	1600	-77
ET021050	1	1	1680	0
ET041005	1	0	-88	45
ET041007	1	1	2724	53
ET041008	1	1	300	13
ET041015	1	1	200	0
ET041017	2	1	1560	0
ET041021	1	1	788	83
ET041026	2	1	500	50
ET041028	1	1	1760	20
ET041030	1	1	3500	40
ET041041	1	1	1400	0
ET041044	2	1	90	35
ET041045	1	1	2880	0
ET041045	2	1	150	0
ET041047	3	1	900	0
ET041047	4	1	3120	0
ET041049	1	1	728	36
ET041050	1	1	600	0
ET051001	2	1	440	33
ET051002	2	1	1360	0
ET051006	2	1	50	0
ET051006	3	1	75	0
ET051006	4	1	50.25	0
ET051006	5	1	150	0
ET051006	6	1	0	0
ET051006	7	1	0	0
ET051008	1	1	1200	0
ET051009	4	1	935	0
ET051010	1	1	1380	48
ET051011	1	1	1122	110
ET051014	1	1	60	0
ET051015	2	1	399.6	0
ET051017	1	1	248	0
ET051017	3	1	240	0
ET051019	2	1	21000	4700
ET051019	3	1	15000	6300
ET051019	4	1	48000	11400
ET051019	5	1	9000	1400
ET051021	1	1	756	0
ET051021	2	1	504	0
ET051022	2	1	240	0
ET051024	2	1	325	0
ET051024	3	1	7200	2880
ET051025	3	1	200	0
ET051026	1	1	399	0
ET051027	1	1	2720	0
ET051028	2	1	600	0
ET051030	3	1	450	0
ET051030	4	1	340	0
ET051030	5	1	675	0
ET051033	1	1	644	0
ET051035	5	1	600	0
ET051037	2	1	100	24
ET051037	3	1	450	16
ET051038	1	1	884	0
ET051040	3	1	1140	0
ET051041	1	1	510	0
ET051041	2	1	510	0
ET051043	2	1	200	0
ET051044	4	1	240	0
ET051045	2	1	340	0
ET051045	3	1	680	0
ET051046	1	1	166	0
ET051046	2	1	350	0
ET051046	3	1	233	0
ET051046	4	1	234	0
ET051047	2	1	700	90
ET051048	2	1	510	0
ET051049	3	1	798	0
ET061007	2	1	200	50
ET061007	4	1	0	0
ET061007	5	1	200	75
ET061007	6	1	400	75
ET061007	7	1	300	50
ET061010	2	1	470	0
ET061010	3	1	400	0
ET061011	5	1	470	0
ET061011	6	1	624	0
ET061012	3	1	2700	0
ET061012	4	1	150	0
ET061012	6	1	50	0
ET061014	2	1	80	0
ET061014	3	1	140	0
ET061014	4	1	200	0
ET061014	5	1	300	0
ET061015	2	1	7000	3500
ET061025	1	1	300	10
ET061025	3	1	80	0
ET061029	5	1	800	0
ET061029	6	1	800	0
ET061029	7	1	200	0
ET061029	8	1	2400	153.5
ET061031	2	1	400	0
ET061031	3	1	1000	0
ET061037	2	1	240	0
ET061037	3	1	640	0
ET061037	4	1	240	0
ET061038	8	1	500	0
ET061041	2	1	1200	0
ET061041	3	1	1000	0
ET061046	2	1	450	100
ET061051	2	1	400	0
ET061051	5	1	365	0
ET061054	2	1	250	0
ET061054	3	1	2975	0
ET061054	4	1	600	0
ET061056	3	1	600	0
ET061056	4	1	700	40
ET061057	2	1	300	0
ET061057	3	1	800	0
ET061058	4	1	270	87
ET061058	5	1	140	28
ET061059	2	1	100	0
ET061059	3	1	225	0
ET061059	4	1	220	0
ET071003	13	0	-88	2230
ET071007	6	1	600	2000
ET071010	2	1	600	0
ET071010	4	1	300	60
ET071013	2	1	200	0
ET071014	2	1	400	0
ET071014	3	1	20	0
ET071014	4	1	150	0
ET071019	2	1	1400	0
ET071019	3	1	800	0
ET071029	8	1	500	66
ET071029	9	1	240	120
ET071030	2	1	1200	0
ET071030	3	1	300	0
ET071030	4	1	200	0
ET071032	3	1	325	0
ET071032	4	1	600	0
ET071032	5	1	175	0
ET071032	6	1	60	0
ET071032	7	1	300	0
ET071032	8	1	125	0
ET071032	9	1	125	0
ET071034	2	1	600	0
ET071034	3	1	600	0
ET071034	4	1	600	0
ET071040	1	1	350	0
ET071040	2	1	440	0
ET071040	3	1	160	0
ET071040	4	0	-88	-88
ET071041	2	1	3200	0
ET071043	2	1	1200	0
ET071046	2	1	160	0
ET071048	1	1	5000	280
ET071050	2	1	400	0
ET081001	1	1	4320	0
ET081001	6	1	6990	0
ET081002	3	1	330	0
ET081003	2	1	330	0
ET081003	3	1	330	0
ET081003	4	1	330	0
ET081003	5	1	700	0
ET081005	1	1	600	0
ET081006	2	1	2380	265
ET081006	3	1	900	250
ET081006	4	1	640	0
ET081007	2	1	1333	0
ET081007	5	1	100	0
ET081008	5	1	1666.66	0
ET081008	6	1	2886	0
ET081010	5	1	360	0
ET081011	6	1	4000	0
ET081013	2	1	60	30
ET081014	4	1	2400	310
ET081014	5	1	350	0
ET081015	3	1	1320	330
ET081016	4	1	1650	0
ET081020	3	1	3800	100
ET081022	1	1	1200	900
ET081023	2	1	533	15
ET081024	2	1	800	30
ET081024	3	1	400	0
ET081025	5	1	5000	0
ET081027	1	1	480	0
ET081027	2	1	1000	0
ET081029	3	1	990	0
ET081030	4	1	300	0
ET081031	2	1	330	0
ET081031	4	1	1652	1452
ET081033	2	1	1320	0
ET081034	5	1	2000	1100
ET081035	4	1	320	0
ET081036	2	1	400	0
ET081036	6	1	600	206
ET081037	1	1	300	0
ET081037	4	1	2400	1920
ET081038	1	1	3600	1340
ET081039	2	1	10640	8640
ET081040	5	1	500	0
ET081041	1	1	8642	7440
ET081042	1	1	3600	800.5
ET081044	2	1	3200	1900
ET081044	3	1	1800	1200
ET081046	1	1	1440	576
ET081047	2	1	800	480
ET081047	3	1	1800	1000
ET081047	4	1	30	20
ET091001	1	1	600	0
ET091006	3	1	5040	2520
ET091006	4	1	600	0
ET091006	5	1	300	0
ET091012	1	1	350	0
ET091015	7	1	400	150
ET091015	8	1	600	0
ET091015	9	1	1300	0
ET091020	2	1	1200	0
ET091020	3	1	1750	875
ET091020	4	1	2800	1750
ET091020	5	1	500	0
ET091020	6	1	700	400
ET091020	7	1	1050	700
ET091020	8	1	1200	600
ET091021	1	1	540	360
ET091021	5	1	1200	0
ET091022	1	1	680	120
ET091022	4	1	800	0
ET091022	7	1	600	0
ET091023	7	1	600	0
ET091027	4	1	225	0
ET091027	5	1	2040	900
ET091027	6	1	1000	0
ET091029	1	1	1440	760
ET091030	1	1	7200	5760
ET091030	2	1	4800	0
ET091030	3	1	1650	0
ET091030	4	1	700	10
ET091030	5	1	500	10
ET091030	6	1	500	0
ET091030	7	1	250	10
ET091030	8	1	200	10
ET091031	1	1	800	0
ET091041	5	1	4000	2000
ET091044	1	1	960	180
ET091046	4	1	400	0
ET091047	1	1	3960	0
ET091048	2	1	120	0
ET091048	3	1	120	0
ET091048	4	1	4000	70
ET091049	5	1	4896	3548
ET091050	7	1	800	500
ET101004	2	1	2400	1100
ET101008	3	1	600	0
ET101009	2	1	4800	0
ET101014	2	1	24000	5040
ET101015	2	1	375	133
ET101016	3	1	720	0
ET101020	2	1	600	0
ET101020	4	1	1200	0
ET101020	5	1	200	0
ET101022	3	1	200	1600
ET101024	2	1	3475	125
ET101027	2	1	800	400
ET101031	2	1	1800	100
ET101036	2	1	4500	400
ET111001	1	1	4320	960
ET111005	8	1	500	0
ET111006	1	1	4320	200
ET111006	3	1	4500	0
ET111007	1	1	894	215
ET111008	1	1	2400	14400
ET111015	3	1	2400	0
ET111015	5	1	850	40
ET111017	2	1	3200	0
ET111021	9	1	1200	50
ET111024	1	1	14880	6741
ET111029	8	1	2400	0
ET111031	1	1	2268	72
ET111032	2	1	8800	1484
ET111032	3	1	3150	1474
ET111032	10	1	3300	665
ET111032	12	1	1400	670
ET111034	1	1	30200	15264
ET111035	1	1	2720	380
ET111041	1	1	7680	5376
ET111041	3	1	1800	0
ET111041	4	1	1000	0
ET111044	2	1	160	0
ET111045	2	1	1200	0
ET111045	3	1	400	0
ET111045	4	1	2020	0
ET111046	1	1	3460	280
ET111048	3	1	3000	20
ET121009	2	1	1300	310
ET131005	2	1	6000	2500
ET131005	3	1	1200	0
ET131041	1	1	225	131
ET131049	1	1	380	50
ET131050	2	1	36000	8000
ET141005	1	1	840	0
ET141009	2	0	-88	1050
ET141013	2	0	-88	116
ET141029	1	1	800	114
ET141033	2	0	-88	1200
ET141036	2	0	-88	2000
ET141047	1	1	2000	900
ET141050	2	0	-88	95
ET151002	1	1	2000	1300
ET151002	4	0	-88	-88
ET151014	3	1	550	100
ET151044	5	1	360	0
ET151045	6	0	-88	-88
ET151066	4	1	460	80
ET151066	5	1	860	100
ET161002	2	1	1800	600
