PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102	PRCESTND
1	1	7	1	10	5	1	9	5
1	2	70	3	5	70	1	10	70
1	3	70	1	10	65	3	5	65
1	4	70	1	10	66	3	5	65
1	5	65	3	5	70	1	10	70
1	6	70	3	5	60	1	10	60
1	7	1.60000002384186	2	3	2	9	8	2
1	8	3	2	3	3	16	8	.300000011920929
1	9	5.5	2	3	5	9	8	.5
1	10	5	2	3	5	9	8	5
1	12	10	3	7	9	1	9	9
1	14	14	1	10	15	1	9	14
1	15	41	1	10	43	1	9	120
1	16	148	1	9	150	1	10	150
1	17	15	3	7	16	1	9	15
1	18	33	3	7	32	1	9	32
1	19	4	16	7	4	16	9	4
1	20	10	1	9	10	1	10	10
1	21	33	3	7	34	1	9	39
1	22	25	1	9	23	1	10	23
1	23	90	1	10	90	16	10	90
1	24	1	5	6	1	5	11	5
1	25	10	5	6	10	5	11	10
1	26	10	5	6	10	5	11	10
1	27	8	16	6	10	16	11	8
1	28	14.5	3	7	15	1	9	15
1	29	3.5	3	7	3.5	1	9	3.5
1	30	135	1	12	135	16	12	270
1	31	5	16	10	6	1	9	6
1	32	18	1	9	18	1	10	18
1	33	35	3	7	36	1	9	36
1	34	25	3	7	26	1	9	26
1	35	20	3	7	20	1	9	20
1	36	70	5	11	80	1	10	70
1	37	20	16	10	20	16	11	20
1	38	60	5	11	70	1	10	55
1	39	130	5	11	125	1	10	100
1	40	5	5	11	5	1	10	50
1	41	7	1	10	7	5	11	70
1	42	10	5	11	9	1	10	10
1	43	13	5	6	12	1	10	13
1	44	8	1	10	7	5	11	7
1	45	40	3	7	35	1	9	35
1	46	6	1	10	5	5	11	5
1	47	10	3	6	10	1	10	10
1	48	7	3	6	7	1	9	7
1	49	15	3	6	20	1	9	15
1	50	16	3	6	20	1	9	16
1	51	6	3	6	8	1	9	6
1	52	2	3	7	2	1	9	2
1	53	8	1	10	8	1	9	8
1	54	18	1	9	18	1	10	18
1	55	5	16	9	5	1	10	5
1	56	23	1	9	23	1	10	23
1	57	7.5	1	9	7.5	1	10	7.5
1	58	5.5	1	9	6	1	10	6
1	59	8.5	1	10	8.5	1	10	8.5
2	1	3	1	5	3	1	6	3
2	2	120	1	5	120	1	6	120
2	3	60	1	5	60	1	6	60
2	4	60	1	5	60	1	6	60
2	5	125	1	5	125	1	6	125
2	6	70	1	5	70	1	6	70
2	7	1.5	1	4	1.5	1	5	1.5
2	8	.159999996423721	1	4	.159999996423721	1	5	.159999996423721
2	9	.270000010728836	1	4	.270000010728836	1	5	.270000010728836
2	10	5	1	4	5	1	6	5
2	12	13	1	5	13	1	6	13
2	14	150	1	5	150	1	6	150
2	15	142	1	5	142	1	6	142
2	16	110	1	5	110	1	6	110
2	17	23	1	5	23	1	6	23
2	18	22	1	5	22	1	6	22
2	19	6	1	5	6	1	6	6
2	20	10	1	5	10	1	6	10
2	21	42.5	1	5	42.5	1	6	42.5
2	22	24	1	5	24	1	6	24
2	23	205	1	5	205	1	6	205
2	24	6	5	5	6	5	6	6
2	25	10	5	5	10	5	6	10
2	26	10	5	5	10	5	6	10
2	27	0	88	5	0	88	6	0
2	28	20	1	5	20	1	6	20
2	29	3.5	1	5	3.5	1	6	3.5
2	30	0	88	5	0	88	6	0
2	31	1.5	1	5	1.5	1	6	1.5
2	32	13	1	5	13	1	6	13
2	33	40	1	5	40	1	6	40
2	34	30	1	5	30	1	6	30
2	35	0	88	5	0	77	6	0
2	36	90	5	5	90	5	6	90
2	37	220	5	5	220	5	6	220
2	38	100	5	5	100	5	6	100
2	39	130	5	5	130	5	6	130
2	40	0	77	5	0	77	6	0
2	41	70	5	5	70	5	6	70
