PLACEID	MNTRIDR4	TRANS	TITRANS
1	1	4	15
1	2	8	15
2	1	4	45
2	2	6	25
4	1	4	30
4	2	3	55
4	3	8	20
4	4	6	15
4	5	5	30
4	6	88	 
4	7	88	 
5	1	4	30
6	1	4	20
6	2	7	20
6	3	6	15
6	4	3	45
7	1	4	15
7	2	3	25
8	1	4	15
8	2	7	20
8	3	3	30
9	1	4	30
9	2	8	70
9	3	5	30
10	1	4	20
10	2	5	20
11	1	4	10
11	2	3	15
13	1	4	20
13	2	7	20
13	3	3	60
15	1	4	60
15	2	8	150
16	1	4	40
16	2	8	65
16	3	88	 
18	1	4	40
18	2	3	60
18	3	8	40
19	1	4	45
19	2	7	60
20	1	4	15
20	2	1	30
21	1	4	40
21	2	3	90
22	1	4	15
24	1	4	6
25	1	4	25
25	2	3	35
25	3	6	20
26	1	4	13
26	2	3	25
26	3	6	10
27	1	3	20
27	2	4	7
27	3	6	5
29	1	4	5
29	2	3	5
29	3	1	15
32	1	4	10
32	2	6	10
32	3	3	119
33	1	4	10
33	2	6	8
33	3	3	15
34	1	4	7
34	2	6	5
34	3	3	10
35	1	4	20
35	2	6	18
