PLACEID	CRTPIDR4	CERTPOOR	GRNTCERT
1	1	225	225
1	2	397	397
1	3	365	365
1	4	305	305
2	1	810	810
2	2	787	787
2	3	735	735
2	4	683	683
3	1	353	353
3	2	445	445
3	3	357	357
3	4	341	341
4	1	62	62
4	2	77	77
4	3	102	102
4	4	83	83
5	1	213	213
5	2	215	215
5	3	159	159
5	4	136	136
6	1	128	128
6	2	214	214
6	3	190	190
6	4	176	176
7	1	541	541
7	2	389	389
7	3	365	365
7	4	335	335
8	1	225	225
8	2	291	291
8	3	216	216
8	4	166	166
9	1	301	301
9	2	535	535
9	3	378	378
9	4	214	214
10	1	184	184
10	2	285	285
10	3	121	121
10	4	89	89
11	1	166	166
11	2	350	350
11	3	244	244
11	4	177	177
12	1	195	195
12	2	171	171
12	3	141	141
12	4	101	101
13	1	51	51
13	2	73	73
13	3	50	50
13	4	34	34
14	1	343	343
14	2	283	283
14	3	245	245
14	4	245	245
15	1	478	478
15	2	443	443
15	3	402	402
15	4	343	343
16	1	290	290
16	2	626	626
16	3	400	400
16	4	245	245
17	1	956	956
17	2	568	568
17	3	266	266
17	4	204	204
18	1	326	320
18	2	784	784
18	3	640	640
18	4	487	487
19	1	267	267
19	2	257	257
19	3	226	226
19	4	196	196
20	1	292	292
20	2	206	206
20	3	156	156
20	4	111	111
21	1	1056	1056
21	2	1026	102
21	3	684	684
21	4	510	510
22	1	109	0
22	2	179	0
22	3	131	0
22	4	84	0
23	1	63	-88
23	2	61	-88
23	3	55	-88
23	4	55	-88
24	1	-77	77
24	2	-77	77
24	3	103	103
24	4	62	62
25	1	-77	-77
25	2	238	238
25	3	184	184
25	4	146	146
26	1	443	443
26	2	346	346
26	3	222	222
26	4	132	132
27	1	423	423
27	2	382	382
27	3	337	337
27	4	208	208
28	1	171	171
28	2	173	173
28	3	12	12
28	4	109	109
29	1	59	59
29	2	22	22
29	3	0	 
29	4	31	31
32	1	365	365
32	2	238	238
32	3	64	64
32	4	264	264
33	1	603	603
33	2	254	254
33	3	105	105
33	4	485	485
34	1	328	328
34	2	180	180
34	3	50	50
34	4	204	204
35	1	310	105
35	2	306	50
35	3	207	25
35	4	918	60
36	1	0	 
36	2	0	 
36	3	0	 
36	4	9	9
