PLACEID	STRTDINT	CHRINF1	CHRINF2	CHRINF3	POPSIZE	FAMLOC	PAVEDN	UNPAVEDN	TRACKSN	OTTRANN	MAINRTR4	MONTHS	CMNTRNR4	PAVEDNYL	UNPAVEYL	TRACKSYL	OTTRANYL	OTRASPYL	MAINRTYL	FACTORY	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	GRBMTH1	GRBMTH2	GRBMTH3	PRGINF1	PRGINF2	PRGINF3	POLINF1	POLINF2	POLINF3	RCVCRD13	RCVCRD12	RCVCRD11	RCVCRD10	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	POVINF1	POVINF2	POVINF3	COMNDIFF	COMNPOOR	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	AUXILIAR	NURSE	VILHTHWK	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	PHCINF2	PHCINF3	TYPESTB	HLTHDL01	HLTHDL02	HLTHDL03	HLTHDL04	HLTHDL05	HLTHDL06	HLTHDL07	HLTHDL08	HLTHDL09	HLTHDL10	HLTHDL11	HLTHDL12	HLTHDL13	HLTHDL14	HLTHDL15	HLTHLD16	CHHLTPR01	CHHLTPR02	CHHLTPR03	ADHLTPR01	ADHLTPR02	ADHLTPR03	WNHLTPR01	WNHLTPR02	WNHLTPR03	MNHLTPR01	MNHLTPR02	MNHLTPR03	CHPRINF1	CHPRINF2	CHPRINF3	CHORGACC	CHPOLICE	CHUBND	CHSCHOOL	CHNGO	SPCHNGO	CHOTHOR1	CHOTHOR2	WMORGACC	WMPOLICE	WMPEOPLE	WMSCHOOL	WMWMUON	WMYTHUN	WMNGOOTH	SPWMNGO	WMOTHOR1	WMOTHOR2	FRSTHELP	COMMSUPP	TYPSUPP1	TYPSUPP2	TYPSUPP3
1	11/11/2013 02:51:11	1	2	88	11858	3303	1	1	0	0	1	0	0	1	1	0	0	 	1	1	1	100	300	0	1	1	88	 	1	2	88	1	9	6	4	2	88	2	4	 	303	365	322	225	1	88	 	5	6	7	8	9	3	10	11	12	88	4	88	 	0	0	2	88	 	0	3	88	 	1	0	0	1	1	1	1	1	1	0	1	3	88	 	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	9	6	7	9	6	88	12	9	8	9	10	20	1	2	88	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	4	1	1	2	4
2	21/12/2013 15:20:45	1	2	3	11695	3161	1	0	0	0	1	12	1	 	 	 	 	 	 	1	6	8	4	0	1	1	2	3	1	2	3	1	6	9	1	2	3	1	2	4	683	735	787	810	1	2	3	5	6	88	 	 	 	 	 	 	 	1	2	3	1	1	1	3	2	0	1	2	4	1	0	0	0	1	1	1	1	0	0	0	1	2	4	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	9	15	4	1	17	18	4	12	8	19	18	20	1	3	2	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	3	0	 	 	 
3	31/12/2013 06:45:38	1	2	3	7229	1721	1	0	0	0	1	0	1	 	 	 	 	 	 	2	6	25	10	0	0	1	88	 	1	2	88	9	1	3	1	3	88	1	88	 	341	357	445	353	2	88	 	5	6	7	8	9	10	11	12	13	14	1	3	88	0	1	2	88	 	0	4	88	 	1	0	0	0	0	1	1	1	0	0	0	4	88	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	6	15	9	4	15	4	8	20	17	19	20	1	2	88	1	0	1	0	0	 	1	0	1	1	1	0	1	0	0	 	1	0	4	1	1	3	88
4	19/11/2013 15:38:04	1	4	3	4023	1003	1	0	1	0	1	0	1	 	 	 	 	 	 	1	5	17	9	0	0	1	3	2	1	3	4	1	6	9	1	2	3	1	3	4	83	102	77	62	1	3	4	2	5	6	3	88	 	 	 	 	 	1	3	4	0	0	1	3	4	0	1	3	2	1	0	0	0	1	1	1	1	0	0	0	1	2	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	9	6	7	1	18	3	3	6	1	1	6	17	1	2	3	1	1	1	0	0	 	0	0	1	0	0	0	1	1	0	 	0	0	3	1	1	2	3
5	26/12/2013 14:30:11	1	88	 	3869	915	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	0	2	88	 	1	2	88	9	6	3	1	2	88	1	88	 	136	159	215	213	1	88	 	4	5	6	7	88	 	 	 	 	 	1	2	88	1	1	1	88	 	1	4	88	 	1	0	0	0	1	1	1	1	0	0	1	4	88	 	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	9	18	14	9	11	14	12	10	9	9	17	14	1	88	 	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	3	1	1	3	88
6	30/11/2013 14:16:02	1	2	4	6200	1606	1	1	0	0	1	0	1	 	 	 	 	 	 	1	2	37	4	0	1	1	2	4	1	2	3	1	6	9	1	3	2	1	4	3	176	190	214	128	1	4	3	5	5	3	88	 	 	 	 	 	 	1	4	3	0	0	1	4	2	0	1	3	2	1	0	1	0	1	1	1	0	0	0	0	1	3	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	9	17	20	17	6	4	4	11	6	6	9	1	1	2	3	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	3	1	1	2	3
7	23/12/2013 13:18:26	1	2	88	8747	2290	1	1	0	0	1	0	1	 	 	 	 	 	 	1	6	25	5	0	0	1	2	3	2	3	88	6	9	1	1	2	3	2	3	88	335	365	389	541	1	2	3	4	5	6	7	8	9	10	88	 	 	2	3	88	0	0	1	2	88	0	1	2	3	0	0	0	1	1	1	0	1	1	1	0	1	2	3	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	15	6	14	6	14	7	12	4	19	10	5	17	1	2	3	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	3	1	1	2	4
8	24/12/2013 08:01:47	1	88	 	7867	2172	1	1	1	0	1	0	1	 	 	 	 	 	 	1	4	100	20	0	1	1	88	 	1	88	 	9	5	1	1	88	 	1	88	 	166	216	291	225	1	88	 	2	3	4	5	6	7	8	9	10	11	1	88	 	0	0	1	88	 	1	1	88	 	1	0	0	0	1	1	0	0	0	0	0	1	88	 	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	6	14	9	6	9	14	6	18	14	9	17	14	1	88	 	1	1	1	0	0	 	1	0	1	1	1	0	1	0	0	 	0	0	3	1	1	3	2
9	20/11/2013 06:50:52	1	88	 	14759	3597	1	1	1	0	1	0	1	 	 	 	 	 	 	2	4	0	120	0	0	1	88	 	1	88	 	6	3	2	1	88	 	1	88	 	241	378	535	301	1	88	 	3	4	5	6	7	8	9	10	11	12	1	88	 	0	0	1	88	 	0	2	88	 	1	0	0	0	0	1	0	1	0	0	0	2	88	 	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	9	6	11	9	17	88	20	6	9	20	6	9	1	88	 	1	0	1	0	0	 	1	0	1	1	1	0	1	0	0	 	0	0	3	1	1	3	4
10	25/11/2013 07:34:27	2	88	 	14214	3191	1	1	1	0	1	0	0	1	1	0	0	 	1	2	4	746	1119	0	0	3	6	88	3	6	88	6	9	1	3	6	88	2	6	88	89	121	285	184	2	3	88	1	4	5	6	7	10	11	88	 	 	2	3	88	0	0	3	2	88	0	2	3	10	1	0	0	1	1	1	0	1	0	0	0	2	3	10	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	15	14	6	6	15	20	9	12	4	19	10	5	10	2	88	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	3	1	1	4	2
