PLACEID	EDUCIDR4	NUMSCH	SCHLOC	SCHDES	SCHLOW	SCHHIGH
1	1	91	1	3	1	5
1	2	92	1	3	1	5
1	3	93	1	3	1	5
1	4	94	1	3	1	5
1	5	141	1	3	6	9
1	6	141	1	3	6	9
2	1	85	1	3	1	5
2	2	88	1	3	1	5
2	3	136	1	3	6	9
2	4	137	1	3	6	9
2	5	998	1	3	0	0
3	1	78	1	3	1	5
3	2	79	1	3	1	5
3	3	80	1	3	1	5
3	4	78	1	3	1	5
3	5	133	1	3	6	9
3	6	196	2	3	10	12
3	7	196	2	3	6	9
4	1	83	1	3	1	5
4	2	83	1	3	6	9
5	1	76	1	3	1	5
5	2	77	1	3	1	5
5	3	76	1	3	1	5
5	4	132	1	3	6	9
5	5	197	1	3	10	12
5	6	998	2	3	6	9
6	1	81	1	3	1	5
6	2	134	1	3	6	9
6	3	998	2	3	10	12
6	4	998	2	3	10	12
7	1	998	1	3	0	0
7	2	4	1	3	1	5
7	3	104	1	3	6	9
7	4	998	2	3	10	12
7	5	998	2	3	10	12
8	1	1	1	3	1	5
8	2	2	1	3	1	5
8	3	998	1	3	1	5
8	4	105	1	3	6	9
8	5	143	2	3	10	12
9	1	9	1	3	1	5
9	2	10	1	3	1	5
9	3	11	1	3	1	6
9	4	12	1	3	1	6
9	5	99	1	3	6	9
9	6	100	1	3	6	9
9	7	145	2	3	10	12
9	8	151	2	3	10	12
10	1	998	1	3	0	0
10	2	7	1	3	1	5
10	3	98	1	3	6	9
10	4	998	2	3	10	12
10	5	998	2	3	10	12
10	6	998	2	3	10	12
11	1	998	1	3	0	0
11	2	3	1	3	1	5
11	3	96	1	3	6	9
11	4	147	1	3	10	12
12	1	5	1	3	1	5
12	2	5	1	3	1	5
12	3	102	1	3	6	9
12	4	148	2	3	10	12
13	1	6	1	3	1	5
13	2	97	1	3	6	9
13	3	149	1	3	10	12
14	1	101	1	3	6	9
14	2	13	1	3	1	5
14	3	14	1	3	1	5
14	4	998	2	3	10	12
14	5	150	2	3	10	12
15	1	131	1	3	6	9
15	2	70	1	3	1	5
15	3	71	1	3	1	5
15	4	75	1	3	1	5
15	5	73	1	3	1	5
15	6	74	1	3	1	5
15	7	72	1	3	1	5
16	1	180	1	3	10	12
16	2	120	1	3	6	9
16	3	38	1	3	1	5
16	4	40	1	3	1	5
16	5	42	1	3	1	5
16	6	44	1	3	1	5
16	7	43	1	3	1	5
16	8	39	1	3	1	5
16	9	41	1	3	1	5
17	1	127	1	3	6	9
17	2	126	1	3	6	9
17	3	128	1	3	6	9
18	1	47	1	3	1	5
18	2	998	1	3	1	5
18	3	998	1	3	1	5
18	4	998	1	3	1	5
18	5	48	1	3	1	5
18	6	49	1	3	1	5
18	7	50	1	3	1	5
18	8	51	1	3	1	5
18	9	998	1	3	6	9
18	10	998	1	3	6	9
19	1	129	1	3	6	9
19	2	68	1	3	1	5
19	3	68	1	3	1	3
19	4	69	1	3	1	5
19	5	68	1	3	1	5
19	6	68	1	3	1	5
20	1	130	2	3	6	9
20	2	121	1	3	6	9
20	3	45	1	3	1	5
20	4	46	1	3	1	5
21	1	52	1	3	1	5
21	2	54	1	3	1	5
21	3	53	1	3	1	5
21	4	998	1	3	1	5
21	5	998	1	3	1	5
21	6	55	1	3	1	5
21	7	56	1	3	1	5
21	8	57	1	3	1	5
21	9	998	1	3	1	5
21	10	998	1	3	1	5
21	11	58	1	3	1	5
21	12	123	1	3	6	9
21	13	124	1	3	6	9
21	14	125	1	3	6	9
22	1	998	1	3	0	0
22	2	36	1	3	1	5
22	3	118	1	3	6	9
22	4	998	2	3	9	12
23	1	37	1	3	1	5
23	2	119	1	3	6	9
23	3	998	2	3	10	12
24	1	34	1	3	1	5
24	2	116	1	3	6	9
25	1	33	1	3	1	5
25	2	115	1	3	6	9
26	1	31	1	3	1	5
26	2	32	1	3	1	5
26	3	114	1	3	6	9
27	1	117	1	3	6	9
28	1	26	1	3	1	5
28	2	110	1	3	6	9
29	1	27	1	3	1	5
29	2	111	1	3	6	9
29	3	154	1	3	10	12
29	4	159	1	3	10	12
29	9	998	1	3	1	5
29	10	998	1	3	1	5
29	12	998	1	3	6	9
32	1	24	1	3	1	5
32	2	109	1	3	6	9
32	3	155	1	3	10	12
33	1	998	1	3	1	5
33	2	19	1	3	1	5
33	3	108	1	3	6	9
33	4	998	2	3	10	12
33	5	158	2	3	10	12
34	1	22	1	3	1	5
34	2	23	1	3	1	5
34	3	30	2	3	6	9
34	4	157	2	3	10	12
35	1	113	1	3	6	9
35	2	18	1	3	1	5
35	3	18	1	3	1	5
35	4	29	1	3	1	5
35	5	998	2	3	6	12
35	6	998	2	3	10	12
36	1	17	1	3	1	5
36	2	15	1	3	1	5
36	3	112	1	3	6	9
36	4	998	2	3	6	9
36	5	998	2	3	10	12
36	6	998	2	3	10	12
36	7	998	2	3	10	12
