PLACEID	TYFDIDR4	AVGPRCE
1	1	7
1	2	2
3	1	15
4	1	0
5	1	10
6	1	0
7	1	10
7	2	15
9	1	8000
10	1	10000
11	1	10
14	1	10000
15	1	-77
18	1	30
19	1	5
19	2	10
19	3	5
19	4	5
19	5	5
20	1	-77
24	1	20
29	1	15
29	2	10
35	1	15
35	2	21
36	1	15
36	2	20
36	3	10
