PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
1	1	6	2011	10	10	88	2	1	4	5
1	2	11	2012	7	5	88	1	1	88	 
1	3	12	2012	7	88	88	1	0	 	 
2	1	14	2010	12	9	11	1	1	3	88
6	1	2	2010	10	8	10	1	1	2	3
6	2	9	2010	7	10	18	1	88	 	 
8	1	9	2013	8	10	88	1	3	4	88
17	1	9	2012	4	8	88	1	1	88	 
17	2	11	2012	2	5	88	1	1	88	 
18	1	2	2012	4	8	5	1	2	3	88
18	2	11	2012	4	5	88	88	1	88	 
18	3	6	2011	6	5	88	88	3	88	 
19	1	7	2010	12	5	88	3	1	88	 
19	2	13	2010	8	1	3	2	1	88	 
20	1	6	2013	3	8	10	3	1	88	 
21	1	6	2010	8	8	10	2	1	0	 
21	2	2	2012	4	8	88	1	3	0	 
21	3	11	2012	6	5	88	1	1	0	 
28	1	2	2013	10	8	88	1	1	88	 
29	1	2	2013	10	8	88	1	1	88	 
32	1	2	2013	10	1	8	1	1	2	4
33	1	2	2013	10	1	88	1	1	88	 
34	1	2	2013	9	1	8	1	1	2	3
36	1	2	2013	11	8	10	1	1	5	2
36	2	14	2013	7	10	88	1	1	88	 
