PLACEID	RSID	MODULE	SECTION	AGERES	SEXRES	CAPAC	YRSRES
14	8	1	5	25	2	10	25
14	9	2	1 ,2 3	30	1	8	20
14	10	2	2 ,3	46	1	7	46
15	1	1,2	1,2,3,4.6	40	1	7	16
15	2	1	5	31	2	10	16
15	3	1	5	42	2	10	3
15	4	1	2	30	1	3	2
15	5	1	1	41	1	4	5
16	1	1	5	40	2	10	40
16	2	1	5	37	2	10	20
16	3	1	5	42	2	10	42
16	4	1	5	33	2	10	16
16	5	2	2	27	1	3	27
16	6	1.2	1.2.3.4.6	32	2	7	32
16	7	2	1	50	2	4	20
17	1	1	1 - 2	43	1	7	35
17	2	1	4	30	1	1	30
17	3	1	3	46	1	7	46
17	4	1	6	32	1	1	32
17	5	2	1	38	2	4	17
17	6	2	2	24	1	3	24
17	7	1	5	31	2	10	15
17	8	1	5	27	2	10	8
17	9	1	2	29	2	10	29
18	1	1 - 2	1-2-3-4-6; 1-2-3	47	1	7	35
18	2	1 - 2	2-; 3	55	1	7	40
18	3	1 -	5-	29	1	2	29
18	4	1 -	1-	23	2	2	23
18	5	1 -	1-5; 2-	35	1	7	35
18	6	1 -2	4-5-6; 1	55	1	7	40
18	7	1 - 2	2-4-6; 3	43	1	2	43
18	8	2 -	2-	58	1	3	22
18	9	2 -	1-	35	1	4	35
18	10	1 -	5-	42	2	10	42
18	11	1 -	5-	36	2	10	36
19	1	1.2	1,2,3,4,6	34	1	7	34
19	2	1	5	27	2	10	27
19	3	1	5	53	1	10	38
19	4	1	5	41	2	10	10
19	5	1	5	37	2	10	37
19	6	2	1	37	1	4	3
19	7	2	2	34	1	3	34
20	1	1	5	38	2	10	10
20	2	1	5	40	2	10	40
20	3	1	5	32	2	10	32
20	4	1	5	31	2	10	31
20	5	1.2	1.2.3.4.6	30	1	7	30
20	6	2	2	36	1	3	4
20	7	2	1	50	2	4	9
21	1	1 -  2	1,2,6;1,3	55	1	7	50
21	2	1 - 2	1,3,4,5;2.2	45	1	7	45
21	3	1 - 2	1,3,4,6;1,2	25	2	8	25
21	4	1	1	30	2	6	30
21	5	1 - 2	2;3	54	1	10	32
21	6	1 - 2	2,3,4,5;2,3	43	1	3	21
21	7	1 - 2	5;1	34	2	10	8
21	8	2	2;2	37	2	10	37
22	1	1, 2	(1,3, 6) 2	40	2	8	40
22	2	1, 2	(1,4, 6) 2	40	1	7	40
22	3	1	2	44	2	6	44
22	4	1	2, 5	30	2	8	30
22	5	1	5	49	1	8	49
22	6	1, 2	(2, 6) (1	57	1	8	57
22	7	2	1	44	2	4	44
22	8	2	1	48	2	4	48
22	9	1, 2	(3) 2	43	2	3	43
22	10	1	3	27	2	8	27
22	11	1	5	37	1	10	37
22	12	1	5	42	2	10	42
22	13	1	5	35	2	10	35
22	14	1	5	33	2	10	33
22	15	1	5	27	1	10	27
22	16	1	5	51	1	10	51
22	17	1	5	37	2	10	37
22	18	1	5	23	2	10	23
22	19	1	5	34	2	10	34
22	20	1	5	31	2	10	31
23	1	1 2	1 (1,3,4,6) 2(1,3)	42	1	8	42
23	2	1	2, 4	46	1	8	46
23	3	1	3, 4, 6	47	1	8	47
23	4	2	1	55	1	8	55
23	5	1 2	1 (3) 2(2, 3)	35	1	8	35
23	6	1	1	23	1	8	23
23	7	1	2 3	34	2	8	34
23	8	1 2	1 (2) 2(3)	48	1	8	48
23	9	2	1	53	1	8	53
23	10	1	1(1, 2, 3, 6)	41	2	8	41
23	11	1	5	25	2	10	25
23	12	1	5	42	2	10	42
23	13	1	5	47	2	10	47
23	14	1	5	38	2	10	38
23	15	1	5	45	2	10	45
23	16	1	5	24	2	10	24
23	17	1	5	35	2	10	35
23	18	1	5	45	1	10	45
23	19	1	5	48	2	10	48
23	20	1	5	52	2	10	52
23	21	1	5	34	1	10	34
23	22	1	5	33	1	10	33
23	23	1	5	38	2	10	38
23	24	1	5	59	2	10	59
23	25	1	5	47	2	10	47
23	26	1	5	35	2	10	35
24	1	1	1,3,4	40	1	8	40
24	2	1,2	1,2,3,4,6,3	42	1	7	42
24	3	1	1	32	1	8	32
24	4	1,2	2,3,3	52	1	8	52
24	5	1	3	26	2	8	26
24	6	1,2	3,4,3	25	2	8	25
24	7	1,2	6,1	42	2	4	42
24	8	2	2	40	2	3	18
24	9	1	5	28	1	10	28
24	10	1	5	30	1	10	30
24	11	1	5	45	1	10	45
24	12	1	5	46	1	10	23
24	13	1	5	27	2	10	6
24	14	1	5	43	2	10	43
24	15	1	5	37	1	10	37
24	16	1	5	29	1	10	29
25	1	1	1.3.6	59	1	5	59
25	2	1	1.3.4.6	34	1	2	34
25	3	1	2	40	1	2	40
25	4	1	3	55	1	2	55
25	5	1	3	34	1	2	34
25	6	1	5	40	2	10	40
25	7	1	5	42	2	10	42
25	8	2	1	52	1	4	52
25	9	2	2	48	1	3	48
25	10	1	5	36	2	10	36
25	11	1	5	42	2	10	42
26	1	1	1,2,3,4,6	58	1	7	58
26	2	1,2	2,3	45	1	2	45
26	3	1	3	54	1	2	54
26	5	1	5	42	2	10	42
26	6	1	5	54	2	10	54
26	7	1	1,3,4	59	1	8	59
26	8	2	1	59	1	4	59
26	9	2	2	54	1	3	54
26	10	1,2	3,6,3	31	2	2	31
26	11	1	5	48	2	10	33
26	12	1	5	29	2	10	29
26	13	1	5	32	2	10	10
26	14	1	5	37	2	10	37
26	15	1	5	29	2	10	5
26	16	1	5	30	2	10	4
26	17	1	5	45	1	10	45
26	18	1	5	55	2	10	55
26	19	1	5	38	2	10	38
26	20	1	5	70	2	10	70
26	21	1	5	36	2	10	36
27	1	1	1.2.3	47	1	7	47
27	2	1	1	25	2	2	2
27	3	1	3	57	1	2	57
27	4	1	2	53	1	2	53
27	5	1	3	38	2	2	38
27	6	2	2	49	1	2	49
27	7	2	1	50	2	4	5
27	8	1	3	50	1	2	50
27	9	1	5	52	1	10	52
27	10	1	5	50	1	10	50
27	11	1	5	43	2	10	23
27	12	1	5	38	2	10	38
27	13	1	5	45	2	10	45
27	14	1	5	42	2	10	42
27	15	1	5	43	1	10	0
27	16	1	5	46	2	10	25
28	1	2	2	48	1	3	48
28	2	1,2	1,2,3,4,6	34	1	7	8
28	3	1,2	,1,2,3,4,6	30	2	8	30
28	4	1	5	47	2	10	10
28	5	1	5	39	2	10	39
29	1	1	1;2;3;4	40	2	7	40
29	2	1	6	53	2	6	53
29	3	2	2	38	1	3	12
29	4	1	5	52	2	10	40
29	5	1	5	45	2	10	45
29	6	1	5	42	2	10	42
29	7	1	5	46	2	10	46
29	8	1	5	50	1	10	40
29	9	1	5	52	2	10	52
29	10	1	5	49	2	10	49
29	11	1	5	45	2	10	45
29	12	1	5	53	1	10	53
29	13	1	5	54	2	10	53
29	14	1	5	37	2	10	37
29	15	1	5	54	2	10	54
29	16	1	5	51	2	10	42
29	17	1	5	39	2	10	39
29	18	1	5	47	2	10	32
32	1	1,2	1,2,3,4,6	31	2	7	8
32	2	1,2	1,2,3,4,6	39	2	8	39
32	3	,2	2	52	2	3	52
32	4	1	5	58	1	10	58
32	5	1	5	60	2	10	44
33	1	1,2	1,2,3,4,6	37	2	8	11
33	2	1,2	1,2,3,4,6	46	1	7	46
33	3	2	2	41	2	3	4
33	4	1	5	46	2	10	35
33	5	1	5	61	2	10	39
34	1	1,2	1,2,3,4,6	30	2	7	30
34	2	1,2	1,2,3,4,6	41	2	8	39
34	3	2	2	53	2	3	30
34	4	1	5	43	2	10	43
34	5	1	5	40	2	10	20
35	1	1	1, 2, 3, 3, 4	39	1	7	39
35	2	1	2,4,6	35	1	8	35
35	3	2	1, 3	25	2	8	25
35	4	2	2	37	2	3	37
35	5	1	5	62	2	10	62
35	6	1	5	31	2	10	15
35	7	1	5	43	2	10	43
35	8	1	5	56	2	10	56
35	9	1	5	59	2	10	59
35	10	1	5	57	2	10	57
35	11	1	5	38	2	10	38
35	12	1	5	56	2	10	11
35	13	1	5	47	2	10	18
35	14	1	5	40	2	10	20
35	15	1	5	64	2	10	62
35	16	1	5	50	2	10	50
35	17	1	5	43	2	10	43
35	18	1	5	41	2	10	41
35	19	1	5	54	2	10	27
35	20	1	5	36	2	10	36
35	21	1	5	25	2	10	25
36	1	1	1	49	1	7	49
36	2	1	2	49	1	7	49
36	3	1	3	49	1	7	49
36	4	1	4	49	1	7	49
36	5	1	5	36	2	10	36
36	6	1	5	35	2	10	35
36	7	1	5	30	2	10	30
36	8	1	5	36	2	10	36
36	9	1	5	36	2	10	36
