PLACEID	SERVIDR4	AVLOC	SRVPERC	SRVRT
1	1	1	 	1
1	2	1	 	3
1	3	1	 	3
1	4	0	 	 
1	5	1	 	3
1	10	1	 	3
1	11	0	 	 
1	12	1	 	2
1	13	1	100	3
1	14	1	100	3
1	15	1	100	3
1	16	1	 	3
1	17	0	 	 
1	23	0	 	 
1	25	1	 	3
2	1	1	 	1
2	2	1	 	1
2	3	1	 	3
2	4	0	 	 
2	5	1	 	3
2	10	1	 	2
2	11	1	96	3
2	12	1	 	3
2	13	1	100	3
2	14	1	30	2
2	15	1	50	2
2	16	1	 	3
2	17	0	 	 
2	23	0	 	 
2	25	1	 	3
3	1	1	 	2
3	2	1	 	2
3	3	0	 	 
3	4	0	 	 
3	5	1	 	2
3	10	1	 	3
3	11	0	 	 
3	12	1	 	2
3	13	1	100	3
3	14	1	96	3
3	15	1	50	3
3	16	1	 	3
3	17	0	 	 
3	23	0	 	 
3	25	1	 	3
4	1	1	 	1
4	2	1	 	1
4	3	0	 	 
4	4	0	 	 
4	5	1	 	2
4	10	1	 	2
4	11	1	37	3
4	12	1	 	3
4	13	1	99	3
4	14	0	 	 
4	15	1	62	2
4	16	1	 	3
4	17	0	 	 
4	23	0	 	 
4	25	1	 	3
5	1	1	 	2
5	2	1	 	2
5	3	1	 	2
5	4	0	 	 
5	5	1	 	2
5	10	1	 	2
5	11	0	 	 
5	12	1	 	2
5	13	1	100	3
5	14	1	100	3
5	15	0	 	 
5	16	1	 	3
5	17	0	 	 
5	23	0	 	 
5	25	1	 	3
6	1	0	 	 
6	2	1	 	1
6	3	0	 	 
6	4	0	 	 
6	5	1	 	2
6	10	1	 	2
6	11	1	44	3
6	12	1	 	3
6	13	1	99	3
6	14	0	 	 
6	15	1	48	2
6	16	1	 	3
6	17	0	 	 
6	23	0	 	 
6	25	1	 	3
7	1	0	 	 
7	2	1	 	2
7	3	0	 	 
7	4	0	 	 
7	5	1	 	2
7	10	1	 	1
7	11	1	43	3
7	12	0	 	 
7	13	1	97	2
7	14	1	60	1
7	15	1	8	2
7	16	1	 	3
7	17	0	 	 
7	23	0	 	 
7	25	1	 	3
8	1	1	 	2
8	2	1	 	2
8	3	0	 	 
8	4	0	 	 
8	5	1	 	2
8	10	0	 	 
8	11	0	 	 
8	12	1	 	2
8	13	1	99	2
8	14	1	15	2
8	15	1	25	2
8	16	1	 	3
8	17	0	 	 
8	23	0	 	 
8	25	1	 	2
9	1	1	 	2
9	2	1	 	2
9	3	1	 	2
9	4	0	 	 
9	5	1	 	2
9	10	1	 	2
9	11	0	 	 
9	12	1	 	3
9	13	1	98	2
9	14	1	100	2
9	15	1	5	2
9	16	1	 	3
9	17	0	 	 
9	23	0	 	 
9	25	1	 	3
10	1	0	 	 
10	2	1	 	2
10	3	0	 	 
10	4	0	 	 
10	5	1	 	2
10	10	1	 	2
10	11	1	62	2
10	12	1	 	3
10	13	1	99	1
10	14	1	55	3
10	15	1	39	2
10	16	1	 	3
10	17	1	 	2
10	23	0	 	 
10	25	1	 	3
11	1	0	 	 
11	2	1	 	2
11	3	0	 	 
11	4	0	 	 
11	5	1	 	2
11	10	1	 	2
11	11	1	48	2
11	12	1	 	2
11	13	1	98	2
11	14	1	33	2
11	15	1	4	2
11	16	1	 	3
11	17	1	 	3
11	23	0	 	 
11	25	1	 	3
12	1	1	 	2
12	2	1	 	2
12	3	0	 	 
12	4	0	 	 
12	5	1	 	2
12	10	1	 	2
12	11	0	 	 
12	12	1	 	2
12	13	1	99	3
12	14	1	38	2
12	15	1	3	2
12	16	1	 	2
12	17	0	 	 
12	23	0	 	 
12	25	0	 	 
13	1	1	 	2
13	2	1	 	2
13	3	0	 	 
13	4	0	 	 
13	5	1	 	3
13	10	1	 	3
13	11	1	5	2
13	12	1	 	2
13	13	1	99	3
13	14	1	100	2
13	15	1	25	2
13	16	1	 	3
13	17	0	 	 
13	23	0	 	 
13	25	0	 	 
14	1	0	 	 
14	2	1	 	2
14	3	0	 	 
14	4	0	 	 
14	5	1	 	2
14	10	0	 	 
14	11	1	70	2
14	12	1	 	3
14	13	1	100	3
14	14	1	72	2
14	15	1	51	2
14	16	1	 	3
14	17	1	 	2
14	23	0	 	 
14	25	1	 	3
15	1	1	 	3
15	2	1	 	2
15	3	0	 	 
15	4	0	 	 
15	5	0	 	 
15	10	0	 	 
15	11	0	 	 
15	12	0	 	 
15	13	1	73	3
15	14	0	 	 
15	15	0	 	 
15	16	1	 	3
15	17	0	 	 
15	23	0	 	 
15	25	1	 	3
16	1	1	 	2
16	2	1	 	2
16	3	0	 	 
16	4	0	 	 
16	5	1	 	3
16	10	1	 	2
16	11	0	 	 
16	12	1	 	3
16	13	1	85	3
16	14	0	 	 
16	15	0	 	 
16	16	1	 	3
16	17	1	 	3
16	23	0	 	 
16	25	1	 	3
17	1	0	 	 
17	2	1	 	2
17	3	0	 	 
17	4	0	 	 
17	5	1	 	2
17	10	1	 	3
17	11	1	80	3
17	12	1	 	2
17	13	1	99	2
17	14	1	30	2
17	15	1	20	2
17	16	1	 	3
17	17	1	 	3
17	23	0	 	 
17	25	1	 	3
18	1	1	 	1
18	2	1	 	2
18	3	0	 	 
18	4	0	 	 
18	5	0	 	 
18	10	1	 	2
18	11	1	80	3
18	12	1	 	3
18	13	1	98	3
18	14	1	30	2
18	15	1	10	3
18	16	1	 	3
18	17	0	 	 
18	23	0	 	 
18	25	1	 	3
19	1	1	 	2
19	2	1	 	2
19	3	0	 	 
19	4	0	 	 
19	5	1	 	1
19	10	1	 	1
19	11	0	 	 
19	12	1	 	3
19	13	1	70	2
19	14	0	 	 
19	15	0	 	 
19	16	1	 	3
19	17	0	 	 
19	23	0	 	 
19	25	1	 	3
20	1	0	 	 
20	2	0	 	 
20	3	0	 	 
20	4	0	 	 
20	5	0	 	 
20	10	0	 	 
20	11	0	 	 
20	12	0	 	 
20	13	1	100	3
20	14	1	40	3
20	15	1	30	3
20	16	1	 	3
20	17	0	 	 
20	23	0	 	 
20	25	0	 	 
21	1	0	 	 
21	2	0	 	 
21	3	0	 	 
21	4	0	 	 
21	5	0	 	 
21	10	1	 	3
21	11	1	30	3
21	12	1	 	2
21	13	1	90	3
21	14	0	 	 
21	15	0	 	 
21	16	1	 	3
21	17	1	 	3
21	23	0	 	 
21	25	1	 	3
22	1	1	 	3
22	2	1	 	3
22	3	0	 	 
22	4	0	 	 
22	5	1	 	2
22	10	1	 	2
22	11	0	 	 
22	12	1	 	2
22	13	1	100	3
22	14	1	100	2
22	15	1	100	2
22	16	1	 	3
22	17	1	 	3
22	23	0	 	 
22	25	0	 	 
23	1	1	 	2
23	2	1	 	2
23	3	0	 	 
23	4	0	 	 
23	5	1	 	1
23	10	0	 	 
23	11	0	 	 
23	12	0	 	 
23	13	1	100	2
23	14	1	100	2
23	15	1	100	2
23	16	1	 	3
23	17	0	 	 
23	23	0	 	 
23	25	0	 	 
24	1	1	 	2
24	2	1	 	2
24	3	1	 	2
24	4	0	 	 
24	5	0	 	 
24	10	1	 	2
24	11	0	 	 
24	12	1	 	2
24	13	1	100	3
24	14	0	 	 
24	15	1	95	3
24	16	1	 	3
24	17	0	 	 
24	23	0	 	 
24	25	1	 	2
25	1	1	 	2
25	2	1	 	2
25	3	0	 	 
25	4	0	 	 
25	5	1	 	2
25	10	0	 	 
25	11	1	85	2
25	12	0	 	 
25	13	1	100	2
25	14	0	 	 
25	15	1	100	2
25	16	0	 	 
25	17	0	 	 
25	23	0	 	 
25	25	0	 	 
26	1	0	 	 
26	2	1	 	2
26	3	1	 	2
26	4	0	 	 
26	5	1	 	2
26	10	1	 	2
26	11	1	75	3
26	12	0	 	 
26	13	1	100	2
26	14	1	90	2
26	15	1	100	2
26	16	0	 	 
26	17	0	 	 
26	23	0	 	 
26	25	1	 	2
27	1	1	 	2
27	2	1	 	2
27	3	0	 	 
27	4	0	 	 
27	5	1	 	2
27	10	0	 	 
27	11	1	25	3
27	12	0	 	 
27	13	1	100	3
27	14	0	 	 
27	15	1	75	2
27	16	1	 	3
27	17	0	 	 
27	23	0	 	 
27	25	1	 	2
28	1	1	 	3
28	2	0	 	 
28	3	0	 	 
28	4	0	 	 
28	5	1	 	3
28	10	1	 	3
28	11	1	100	3
28	12	1	 	3
28	13	1	100	3
28	14	1	100	3
28	15	1	100	3
28	16	1	 	3
28	17	1	 	3
28	23	0	 	 
28	25	1	 	3
29	1	1	 	1
29	2	0	 	 
29	3	0	 	 
29	4	1	 	3
29	5	1	 	3
29	10	1	 	3
29	11	0	 	 
29	12	1	 	3
29	13	1	100	3
29	14	1	100	3
29	15	1	100	3
29	16	1	 	3
29	17	1	 	3
29	23	1	 	3
29	25	1	 	3
32	1	1	 	2
32	2	1	 	3
32	3	0	 	 
32	4	0	 	 
32	5	1	 	2
32	10	1	 	3
32	11	1	98	3
32	12	1	 	3
32	13	1	100	3
32	14	1	100	3
32	15	1	100	3
32	16	1	 	3
32	17	1	 	3
32	23	0	 	 
32	25	1	 	3
33	1	0	 	 
33	2	1	 	3
33	3	0	 	 
33	4	0	 	 
33	5	1	 	3
33	10	1	 	3
33	11	1	100	3
33	12	1	 	3
33	13	1	100	3
33	14	1	100	3
33	15	1	100	3
33	16	1	 	3
33	17	1	 	3
33	23	1	 	3
33	25	1	 	3
34	1	0	 	 
34	2	0	 	 
34	3	0	 	 
34	4	0	 	 
34	5	1	 	3
34	10	1	 	3
34	11	1	100	3
34	12	1	 	2
34	13	1	100	3
34	14	1	100	3
34	15	1	100	3
34	16	1	 	3
34	17	1	 	3
34	23	0	 	 
34	25	1	 	3
35	1	1	 	2
35	2	1	 	3
35	3	1	 	2
35	4	0	 	 
35	5	1	 	3
35	10	0	 	 
35	11	0	 	 
35	12	0	 	 
35	13	1	100	3
35	14	1	100	3
35	15	1	100	77
35	16	1	 	3
35	17	1	 	3
35	23	0	 	 
35	25	1	 	3
36	1	1	 	1
36	2	1	 	1
36	3	1	 	3
36	4	0	 	 
36	5	1	 	2
36	10	1	 	2
36	11	0	 	 
36	12	0	 	 
36	13	1	100	3
36	14	1	90	3
36	15	1	100	3
36	16	1	 	2
36	17	0	 	 
36	23	0	 	 
36	25	1	 	3
