PLACEID	SCPRIDR4	PRBLCTLY	AGSTPRB	O4YRDIMS
27	4	0	 	 
27	5	0	 	 
27	6	0	 	 
27	7	1	1	0
27	8	1	1	1
27	9	0	 	 
27	10	0	 	 
27	11	0	 	 
27	12	1	1	1
28	1	1	1	0
28	2	0	 	 
28	3	0	 	 
28	4	0	 	 
28	5	0	 	 
28	6	1	1	2
28	7	1	1	0
28	8	1	1	0
28	9	1	1	0
28	10	0	 	 
28	11	0	 	 
28	12	1	1	0
29	1	1	1	1
29	2	0	 	 
29	3	1	1	1
29	4	0	 	 
29	5	0	 	 
29	6	1	1	1
29	7	1	1	0
29	8	1	1	1
29	9	1	1	0
29	10	1	1	1
29	11	0	 	 
29	12	1	1	1
32	1	0	 	 
32	2	0	 	 
32	3	0	 	 
32	4	0	 	 
32	5	0	 	 
32	6	1	1	2
32	7	1	1	1
32	8	0	 	 
32	9	1	1	0
32	10	0	 	 
32	11	0	 	 
32	12	1	1	0
33	1	1	1	0
33	2	0	 	 
33	3	0	 	 
33	4	0	 	 
33	5	0	 	 
33	6	0	 	 
33	7	1	1	0
33	8	0	 	 
33	9	1	1	0
33	10	0	 	 
33	11	0	 	 
33	12	0	 	 
34	1	1	1	2
34	2	0	 	 
34	3	0	 	 
34	4	0	 	 
34	5	0	 	 
34	6	0	 	 
34	7	1	1	0
34	8	0	 	 
34	9	1	1	4
34	10	0	 	 
34	11	0	 	 
34	12	1	1	0
35	1	0	 	 
35	2	0	 	 
35	3	0	 	 
35	4	0	 	 
35	5	0	 	 
35	6	0	 	 
35	7	1	1	2
35	8	1	1	4
35	9	0	 	 
35	10	1	1	0
35	11	0	 	 
35	12	1	1	0
36	1	1	1	4
36	2	1	1	4
36	3	0	 	 
36	4	0	 	 
36	5	0	 	 
36	6	1	1	2
36	7	1	1	5
36	8	1	1	4
36	9	1	1	4
36	10	1	1	4
36	11	0	 	 
36	12	1	1	0
