PLACEID	INFPRJID	INFRPRJT	ROLEAUTH	EVALPRJC
1	1	 	 	 
1	2	 	 	 
1	3	 	 	 
1	4	 	 	 
1	5	 	 	 
1	6	 	 	 
1	7	 	 	 
1	8	 	 	 
1	9	 	 	 
1	10	 	 	 
2	1	0	 	 
2	2	1	1	2
2	3	1	4	2
2	4	0	 	 
2	5	0	 	 
2	6	0	 	 
2	7	0	 	 
2	8	0	 	 
2	9	0	 	 
2	10	0	 	 
3	1	1	3	1
3	2	1	1	1
3	3	1	3	2
3	4	1	3	2
3	5	1	3	2
3	6	1	3	2
3	7	1	88	2
3	8	1	3	2
3	9	1	3	2
3	10	1	2	2
4	1	 	 	 
4	2	 	 	 
4	3	 	 	 
4	4	 	 	 
4	5	 	 	 
4	6	 	 	 
4	7	 	 	 
4	8	 	 	 
4	9	 	 	 
4	10	 	 	 
5	1	1	3	2
5	2	1	3	2
5	3	1	3	2
5	4	1	3	2
5	5	0	 	 
5	6	0	 	 
5	7	1	3	2
5	8	0	 	 
5	9	1	3	2
5	10	0	 	 
6	1	 	 	 
6	2	 	 	 
6	3	 	 	 
6	4	 	 	 
6	5	 	 	 
6	6	 	 	 
6	7	 	 	 
6	8	 	 	 
6	9	 	 	 
6	10	 	 	 
7	1	 	 	 
7	2	 	 	 
7	3	 	 	 
7	4	 	 	 
7	5	 	 	 
7	6	 	 	 
7	7	 	 	 
7	8	 	 	 
7	9	 	 	 
7	10	 	 	 
8	1	 	 	 
8	2	 	 	 
8	3	 	 	 
8	4	 	 	 
8	5	 	 	 
8	6	 	 	 
8	7	 	 	 
8	8	 	 	 
8	9	 	 	 
8	10	 	 	 
9	1	 	 	 
9	2	 	 	 
9	3	 	 	 
9	4	 	 	 
9	5	 	 	 
9	6	 	 	 
9	7	 	 	 
9	8	 	 	 
9	9	 	 	 
9	10	 	 	 
10	1	 	 	 
10	2	 	 	 
10	3	 	 	 
10	4	 	 	 
10	5	 	 	 
10	6	 	 	 
10	7	 	 	 
10	8	 	 	 
10	9	 	 	 
10	10	 	 	 
11	1	 	 	 
11	2	 	 	 
11	3	 	 	 
11	4	 	 	 
11	5	 	 	 
11	6	 	 	 
11	7	 	 	 
11	8	 	 	 
11	9	 	 	 
11	10	 	 	 
12	1	 	 	 
12	2	 	 	 
12	3	 	 	 
12	4	 	 	 
12	5	 	 	 
12	6	 	 	 
12	7	 	 	 
12	8	 	 	 
12	9	 	 	 
12	10	 	 	 
13	1	 	 	 
13	2	 	 	 
13	3	 	 	 
13	4	 	 	 
13	5	 	 	 
13	6	 	 	 
13	7	 	 	 
13	8	 	 	 
13	9	 	 	 
13	10	 	 	 
14	1	 	 	 
14	2	 	 	 
14	3	 	 	 
14	4	 	 	 
14	5	 	 	 
14	6	 	 	 
14	7	 	 	 
14	8	 	 	 
14	9	 	 	 
14	10	 	 	 
15	1	1	4	1
15	2	1	4	2
15	3	1	3	2
15	4	1	3	2
15	5	1	3	1
15	6	0	 	 
15	7	0	 	 
15	8	1	3	2
15	9	0	 	 
15	10	0	 	 
16	1	1	4	2
16	2	1	1	1
16	3	1	4	2
16	4	1	4	1
16	5	1	4	2
16	6	0	 	 
16	7	0	 	 
16	8	1	1	1
16	9	0	 	 
16	10	0	 	 
17	1	1	3	2
17	2	1	1	2
17	3	1	1	2
17	4	1	2	1
17	5	1	2	2
17	6	1	2	2
17	7	1	1	3
17	8	1	1	3
17	9	1	1	2
17	10	0	 	 
18	1	0	 	 
18	2	1	4	2
18	3	1	1	2
18	4	1	2	3
18	5	1	1	2
18	6	1	1	2
18	7	1	4	2
18	8	1	1	2
18	9	0	 	 
18	10	0	 	 
19	1	1	3	1
19	2	1	3	2
19	3	1	3	2
19	4	1	3	1
19	5	1	3	2
19	6	0	 	 
19	7	1	4	1
19	8	1	1	1
19	9	0	 	 
19	10	0	 	 
20	1	1	2	1
20	2	1	1	1
20	3	1	4	2
20	4	1	1	2
20	5	1	1	2
20	6	0	 	 
20	7	0	 	 
20	8	1	4	2
20	9	1	4	1
20	10	0	 	 
21	1	1	1	2
21	2	1	1	1
21	3	1	1	1
21	4	1	1	1
21	5	1	1	2
21	6	1	1	2
21	7	0	 	 
21	8	1	1	2
21	9	0	 	 
21	10	1	1	2
22	1	 	 	 
22	2	 	 	 
22	3	 	 	 
22	4	 	 	 
22	5	 	 	 
22	6	 	 	 
22	7	 	 	 
22	8	 	 	 
22	9	 	 	 
22	10	 	 	 
23	1	 	 	 
23	2	 	 	 
23	3	 	 	 
23	4	 	 	 
23	5	 	 	 
23	6	 	 	 
23	7	 	 	 
23	8	 	 	 
23	9	 	 	 
23	10	 	 	 
24	1	1	1	1
24	2	1	3	2
24	3	1	1	1
24	4	1	1	1
24	5	1	1	1
24	6	0	 	 
24	7	1	1	2
24	8	1	1	1
24	9	1	1	2
24	10	0	 	 
25	1	 	 	 
25	2	 	 	 
25	3	 	 	 
25	4	 	 	 
25	5	 	 	 
25	6	 	 	 
25	7	 	 	 
25	8	 	 	 
25	9	 	 	 
25	10	 	 	 
26	1	 	 	 
26	2	 	 	 
26	3	 	 	 
26	4	 	 	 
26	5	 	 	 
26	6	 	 	 
26	7	 	 	 
26	8	 	 	 
26	9	 	 	 
26	10	 	 	 
27	1	 	 	 
27	2	 	 	 
27	3	 	 	 
27	4	 	 	 
27	5	 	 	 
27	6	 	 	 
27	7	 	 	 
27	8	 	 	 
27	9	 	 	 
27	10	 	 	 
28	1	 	 	 
28	2	 	 	 
28	3	 	 	 
28	4	 	 	 
28	5	 	 	 
28	6	 	 	 
28	7	 	 	 
28	8	 	 	 
28	9	 	 	 
28	10	 	 	 
29	1	 	 	 
29	2	 	 	 
29	3	 	 	 
29	4	 	 	 
29	5	 	 	 
29	6	 	 	 
29	7	 	 	 
29	8	 	 	 
29	9	 	 	 
29	10	 	 	 
32	1	 	 	 
32	2	 	 	 
32	3	 	 	 
32	4	 	 	 
32	5	 	 	 
32	6	 	 	 
32	7	 	 	 
32	8	 	 	 
32	9	 	 	 
32	10	 	 	 
33	1	 	 	 
33	2	 	 	 
33	3	 	 	 
33	4	 	 	 
33	5	 	 	 
33	6	 	 	 
33	7	 	 	 
33	8	 	 	 
33	9	 	 	 
33	10	 	 	 
34	1	 	 	 
34	2	 	 	 
34	3	 	 	 
34	4	 	 	 
34	5	 	 	 
34	6	 	 	 
34	7	 	 	 
34	8	 	 	 
34	9	 	 	 
34	10	 	 	 
35	1	 	 	 
35	2	 	 	 
35	3	 	 	 
35	4	 	 	 
35	5	 	 	 
35	6	 	 	 
35	7	 	 	 
35	8	 	 	 
35	9	 	 	 
35	10	 	 	 
36	1	 	 	 
36	2	 	 	 
36	3	 	 	 
36	4	 	 	 
36	5	 	 	 
36	6	 	 	 
36	7	 	 	 
36	8	 	 	 
36	9	 	 	 
36	10	 	 	 
