CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
20003	0	29/11/2016 18:34:08	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20004	1	15/12/2016 17:40:10	 	 	1	0	1	0	0	1	0	3	4	3	3	2	4	3	2	3	2	4	3	2	2	4	3	3	2	4	2	2	3	4	4	3	4	2	4	5	3	4	5	3	5	4
20005	1	14/12/2016 11:06:54	 	 	1	0	1	1	0	1	0	3	4	3	3	2	3	3	3	3	3	4	3	3	3	4	3	4	3	3	2	1	3	4	2	3	4	2	3	2	5	4	2	4	5	4
20007	1	14/12/2016 10:06:06	 	 	0	1	1	1	1	1	1	3	 	3	3	2	 	3	 	2	3	 	3	3	3	 	3	 	2	3	 	2	3	 	3	4	4	4	4	2	4	4	4	 	3	 
20008	1	12/12/2016 11:09:09	 	 	0	0	1	0	0	1	1	3	 	2	2	2	 	3	 	2	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	2	3	2	3	3	4	3	3	 	4	 
20009	1	14/12/2016 11:03:57	 	 	0	0	0	1	0	1	0	3	4	3	3	3	3	3	3	3	3	4	3	3	4	4	3	3	3	3	3	3	4	3	3	4	4	2	2	4	5	4	4	4	4	4
20010	1	15/12/2016 10:25:09	 	 	1	0	1	0	0	1	0	3	3	3	2	3	4	3	3	3	3	4	3	3	3	4	2	4	3	3	4	3	3	3	3	4	4	1	1	4	5	4	3	3	5	5
20011	1	22/12/2016 17:04:12	 	 	1	1	1	0	0	1	0	3	4	3	3	3	4	3	4	3	3	4	3	3	3	4	3	4	3	3	4	3	3	4	3	3	4	4	2	3	4	4	3	3	4	5
20013	1	17/12/2016 10:10:43	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	4	3	3	3	3	3	3	4	3	3	3	3	4	3	3	3	3	4	4	4	2	4	4	4	4	4	4	4
20016	1	19/12/2016 17:17:34	 	 	1	0	1	0	0	1	0	1	4	1	2	3	4	2	3	3	2	4	2	2	2	4	3	2	3	2	3	3	3	3	3	3	4	2	1	3	5	5	3	3	5	5
20018	0	17/12/2016 15:13:21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20019	1	18/12/2016 16:09:55	 	 	2	0	0	0	0	1	0	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	 	77	 	77	77	77	 	77	 	 
20020	0	21/12/2016 09:48:23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20022	1	20/12/2016 11:37:22	 	 	1	0	1	0	0	1	0	3	3	2	3	2	3	2	2	3	3	3	2	3	3	3	2	3	2	3	4	2	3	3	3	3	3	2	2	2	4	3	3	3	4	4
20023	1	20/12/2016 17:38:51	 	 	1	1	0	0	0	1	0	2	3	2	3	3	4	2	3	2	3	3	3	2	3	3	2	3	2	3	3	2	3	3	3	4	4	2	4	4	4	4	2	4	4	4
20024	1	19/12/2016 17:03:11	 	 	0	0	1	1	1	1	0	2	4	2	1	3	4	3	4	3	3	4	3	3	3	3	3	3	3	2	3	3	3	3	3	3	4	1	2	3	5	4	3	4	5	3
20025	1	16/12/2016 17:15:44	 	 	0	0	0	0	1	1	0	2	3	2	2	4	4	3	2	3	3	3	3	3	3	2	3	3	2	3	2	2	2	3	3	4	5	2	2	4	4	4	4	4	4	4
20026	1	17/12/2016 17:01:22	 	 	0	1	0	0	1	1	0	3	4	2	3	1	3	2	2	3	3	4	3	3	3	4	2	3	3	3	3	2	2	3	3	3	3	4	4	2	4	5	3	5	4	4
20027	1	20/12/2016 11:05:26	 	 	1	0	1	0	0	1	0	3	4	4	4	3	4	4	4	4	4	4	4	3	3	4	4	4	3	3	3	3	3	3	3	3	4	2	3	3	5	5	5	5	5	3
20029	0	20/12/2016 18:42:29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20033	1	18/12/2016 09:38:06	 	 	1	0	1	0	0	1	0	3	4	2	3	2	4	3	3	4	2	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	4	3	4	3	4	4	5	4	4	5
20035	0	16/12/2016 12:09:52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20036	1	19/12/2016 16:04:00	 	 	0	0	1	1	1	1	1	4	 	4	4	3	 	4	 	3	3	 	3	3	3	 	3	 	4	3	 	3	4	 	3	3	3	4	2	3	4	4	4	 	4	 
20037	1	14/12/2016 09:30:10	 	 	1	0	1	0	0	1	0	3	4	2	2	2	3	2	3	3	2	3	2	3	3	3	2	3	3	3	3	2	3	3	3	3	4	3	2	3	4	3	3	3	4	4
20039	1	18/12/2016 17:21:09	 	 	0	0	1	1	0	1	0	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	2	4	4	4	4	4	4	4
20041	1	01/12/2016 17:04:50	 	 	1	0	1	1	0	1	0	2	4	2	2	2	4	4	3	3	4	4	3	3	3	2	3	4	4	3	3	2	3	4	3	5	5	4	3	4	5	4	4	5	5	5
20044	1	01/12/2016 10:40:51	 	 	1	0	1	0	0	1	0	3	4	2	3	3	4	3	2	3	3	3	3	3	3	3	2	2	2	3	2	2	3	3	2	4	4	1	2	3	5	4	4	3	5	4
20050	0	01/12/2016 14:40:56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20052	0	02/12/2016 12:28:22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20054	1	11/12/2016 16:05:07	 	 	1	0	1	1	0	1	0	3	3	3	2	2	3	2	3	3	4	3	2	3	3	3	2	3	2	2	3	2	3	3	2	3	3	4	4	2	4	4	4	4	4	4
20055	1	07/12/2016 11:55:05	 	 	1	1	1	1	0	1	0	3	4	3	3	3	3	3	3	3	3	4	4	4	4	4	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4
20056	1	08/12/2016 16:06:17	 	 	1	0	1	0	0	1	0	3	4	3	3	2	4	2	4	3	2	4	2	2	3	3	4	3	2	2	4	2	2	4	3	4	3	2	4	3	3	4	4	3	4	4
20057	1	11/12/2016 17:09:09	 	 	0	0	1	1	0	1	0	3	4	3	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	2	4	3	3	3	3	3	3	3	4	4	3	3	5	3
20060	1	06/12/2016 17:04:35	 	 	1	1	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	3	4	4	4	4	4	4	4	4	4
20061	0	13/12/2016 17:56:26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20062	1	27/12/2016 09:42:31	 	 	1	0	0	0	0	1	0	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	 	3	 	3	4	4	4	4	4	4
20063	1	08/12/2016 16:26:40	 	 	1	0	1	0	0	1	0	4	4	3	3	2	3	3	4	3	3	4	4	3	2	4	2	4	2	3	4	3	3	4	3	3	3	2	2	3	4	4	3	2	4	3
20064	1	09/12/2016 16:46:48	 	 	1	0	1	1	0	1	0	3	4	3	4	3	4	3	3	3	3	3	4	3	2	3	4	3	3	3	3	3	3	3	2	3	4	2	4	4	4	4	4	3	4	4
20066	1	10/12/2016 16:05:03	 	 	1	1	1	1	0	1	0	3	3	2	3	3	4	3	3	2	3	4	3	3	2	4	3	3	2	3	4	2	2	3	2	4	3	4	2	3	4	2	4	4	2	4
20067	1	13/12/2016 10:36:10	 	 	0	1	1	1	0	1	1	3	 	4	4	3	 	4	 	4	4	 	4	4	4	 	4	 	4	4	 	4	4	 	4	4	5	3	3	5	5	5	5	 	5	 
20068	0	10/12/2016 15:01:14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20069	1	11/12/2016 16:39:32	 	 	0	1	1	1	0	1	0	2	4	3	3	2	4	3	3	3	3	3	2	3	3	3	2	3	2	3	4	2	3	3	2	3	5	2	2	2	5	4	4	3	5	3
20070	1	09/12/2016 10:37:41	 	 	1	0	1	0	0	1	0	3	4	2	2	3	4	3	4	3	4	4	3	3	3	4	3	4	4	3	3	3	4	4	3	4	4	3	3	4	4	5	3	3	4	4
20073	1	10/12/2016 10:38:44	 	 	0	0	1	1	0	1	0	3	4	2	3	3	2	3	4	3	3	3	3	3	4	4	3	3	3	3	3	2	3	3	3	3	3	2	3	3	4	3	3	3	4	3
20075	0	09/12/2016 16:03:19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20078	1	30/11/2016 11:50:46	 	 	1	0	1	1	0	1	0	3	4	2	3	2	4	2	3	4	3	3	2	2	2	3	2	3	3	2	3	2	3	3	3	3	3	4	2	3	4	4	3	3	4	4
20079	1	29/11/2016 10:13:37	 	 	1	0	1	1	0	1	0	3	4	3	3	2	4	2	3	3	3	4	3	3	3	4	2	3	3	3	4	3	3	4	3	4	4	3	2	4	4	4	4	5	4	4
20080	1	30/11/2016 10:50:07	 	 	0	0	1	1	0	0	0	4	 	2	4	3	 	2	 	4	3	 	3	3	3	 	3	 	3	2	 	3	3	 	3	3	4	2	2	3	3	3	4	3	3	3
20081	0	29/11/2016 11:21:12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20084	1	05/12/2016 17:34:40	 	 	0	0	0	0	1	1	0	4	4	3	4	2	4	3	2	4	3	4	4	4	3	4	2	4	3	4	4	2	4	4	3	3	5	4	5	3	2	5	5	2	5	3
20086	1	05/12/2016 12:37:11	 	 	1	0	1	1	0	1	0	3	4	2	2	3	4	3	4	2	3	3	4	3	3	3	2	3	3	3	4	2	3	3	3	3	5	2	3	3	5	5	4	3	5	3
20087	1	06/12/2016 10:55:52	 	 	1	0	1	0	0	1	0	2	4	3	3	3	4	3	3	3	3	4	3	3	3	4	3	4	3	3	4	3	3	4	3	4	5	3	5	3	4	5	3	4	3	4
20088	1	06/12/2016 12:20:39	 	 	1	0	0	1	0	1	0	2	4	2	3	3	4	3	1	3	2	3	2	3	3	3	2	4	3	2	3	3	2	4	3	4	5	3	4	4	5	4	5	5	5	5
20089	1	05/12/2016 16:10:16	 	 	0	0	1	1	1	1	1	3	 	2	3	2	 	3	 	3	3	 	3	3	3	 	3	 	2	3	 	3	3	 	3	4	4	2	3	3	5	4	4	 	5	 
20095	0	14/12/2016 15:59:36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20097	0	05/12/2016 11:46:54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20098	1	04/12/2016 17:42:40	 	 	0	0	0	1	0	1	0	2	3	2	2	2	3	2	3	2	2	3	2	2	2	3	2	3	3	2	3	2	3	3	3	3	3	4	4	3	4	3	4	4	4	3
20099	0	20/03/2017 20:29:44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20100	1	04/12/2016 11:19:02	 	 	1	0	1	0	0	1	0	3	4	2	3	3	4	2	4	3	2	4	3	3	3	4	2	3	3	3	3	2	3	4	3	3	4	3	2	2	3	4	3	3	5	4
20108	1	19/12/2016 18:32:14	 	 	1	0	1	0	0	1	0	3	3	2	3	3	4	2	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	4	3	3	3	4	4	3	3	4	4	3	4	4
20110	1	09/12/2016 10:36:06	 	 	1	0	1	1	0	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	3	4
20112	1	04/12/2016 11:36:12	 	 	1	0	1	0	0	1	0	3	4	2	3	2	3	2	4	3	2	4	3	3	3	3	4	4	2	4	4	3	3	3	3	4	3	4	4	4	5	5	3	4	4	4
20113	0	08/12/2016 16:10:38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20114	0	07/12/2016 11:52:16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20117	1	07/12/2016 15:04:19	 	 	0	0	1	1	0	1	0	3	4	4	4	3	4	3	3	3	3	3	3	3	4	4	4	4	3	3	3	3	3	3	3	3	4	4	4	3	5	4	3	3	3	3
20118	0	02/12/2016 10:35:08	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20119	1	10/12/2016 16:18:14	 	 	1	1	1	0	0	1	0	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	4	3	3	4	4	4	2	4	3	4	4	4	4	4
20122	0	08/03/2017 11:47:42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20123	0	14/03/2017 19:41:36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20129	0	20/12/2016 10:07:23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20135	1	13/12/2016 10:36:46	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	4	4	5	4	4	4	4	4
20136	0	13/12/2016 10:47:16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30003	1	23/12/2016 10:10:48	 	 	1	0	1	1	0	1	0	3	4	2	2	3	3	77	3	3	3	4	2	3	3	4	2	3	3	3	3	2	3	3	3	4	3	2	4	3	4	4	4	4	4	4
30004	1	21/12/2016 11:04:23	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	4	4	2	2	4	5	4	5	4	4	4
30005	1	23/12/2016 18:02:44	 	 	0	0	1	1	1	1	0	2	4	2	3	3	3	2	3	3	3	3	77	77	3	3	2	3	3	3	3	2	3	3	3	3	3	2	2	2	4	4	4	3	77	77
30006	1	22/12/2016 10:38:35	 	 	0	0	1	1	1	1	0	3	3	2	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	2	4	4	3	77	3	3	77
30009	1	20/12/2016 09:36:31	 	 	0	0	1	1	1	1	1	3	 	2	2	2	 	2	 	3	3	 	3	3	3	 	2	 	3	3	 	2	3	 	3	3	4	2	2	3	4	3	77	 	4	 
30010	0	20/11/2016 21:15:29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30011	1	23/12/2016 11:03:17	 	 	0	1	0	1	1	1	0	3	3	2	3	2	4	2	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	4	2	2	3	3	4	2	3	4	2	3
30012	1	18/12/2016 16:21:08	 	 	1	0	1	1	1	1	0	3	3	2	3	2	3	2	3	3	3	3	3	3	3	2	3	3	3	2	3	2	3	3	3	4	3	2	4	3	4	3	4	3	4	4
30013	1	21/12/2016 09:20:53	 	 	1	1	0	1	1	1	0	4	4	2	2	2	3	2	4	3	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	2	4	3	5	2	4	4	4	2	4	4
30014	1	24/12/2016 09:33:22	 	 	1	0	1	0	0	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4
30015	1	18/12/2016 10:24:43	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4
30016	1	19/12/2016 16:17:41	 	 	1	0	0	0	0	1	0	3	4	3	3	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	 	2	 	4	5	4	4	4	5	4
30017	1	20/12/2016 16:28:30	 	 	0	1	1	1	1	1	0	3	4	3	3	2	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	2	4	3	4	3	77	4	3	77
30019	1	22/12/2016 15:21:41	 	 	0	0	1	1	0	1	0	3	4	3	3	3	3	2	3	3	3	3	3	3	3	2	3	4	2	3	3	3	3	3	3	3	4	2	2	3	4	4	4	4	4	4
30020	1	21/12/2016 19:40:04	 	 	1	1	1	0	0	1	0	3	4	3	3	3	3	3	3	3	3	4	3	3	3	4	3	4	3	3	3	3	3	3	3	4	4	2	4	4	5	5	5	4	5	4
30021	1	21/12/2016 10:16:23	 	 	0	0	0	0	1	1	0	3	3	3	3	3	3	3	4	4	3	4	3	3	3	3	3	3	3	3	3	2	3	3	3	4	4	3	4	4	4	4	4	4	4	4
30022	1	22/12/2016 10:06:11	 	 	1	0	1	1	0	1	0	3	4	2	3	3	4	3	3	4	3	4	3	4	3	4	2	4	3	3	3	2	77	3	77	4	4	2	2	4	77	4	4	4	5	5
30023	1	18/12/2016 19:00:03	 	 	0	0	1	1	1	1	0	3	4	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	4	4	4	4	2	4
30024	1	20/12/2016 17:06:24	 	 	1	1	1	0	0	1	0	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	4	4	4	4
30025	1	19/12/2016 11:20:56	 	 	0	0	0	0	1	1	0	3	4	2	3	3	3	2	3	3	3	3	3	3	3	3	3	4	3	3	3	2	3	3	3	4	4	2	2	3	3	4	4	3	4	4
30026	1	17/12/2016 11:02:17	 	 	1	0	1	0	0	1	0	3	4	3	3	2	4	2	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	4	3	4	4	3	3	4	4	4	4	4	4	4
30027	1	19/12/2016 15:30:56	 	 	1	0	1	1	0	1	0	3	4	3	3	3	3	3	3	3	2	4	3	3	2	2	3	4	3	3	3	3	3	3	3	3	3	2	2	3	3	4	4	4	4	4
30028	1	14/12/2016 16:13:19	 	 	1	0	1	0	1	1	0	3	4	2	3	3	3	2	2	3	2	3	2	2	3	3	2	3	2	3	3	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4
30029	1	17/12/2016 16:30:27	 	 	1	0	0	0	0	1	0	2	3	2	2	3	3	2	3	2	2	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	 	2	 	3	4	4	4	3	4	4
30030	1	16/12/2016 10:27:28	 	 	1	0	1	0	0	1	0	4	4	2	3	2	3	2	3	3	3	3	3	3	4	3	2	3	3	3	3	3	3	3	3	4	3	2	2	4	5	3	4	4	4	4
30031	1	22/12/2016 18:09:14	 	 	1	0	1	0	0	1	0	3	3	2	3	3	3	2	2	3	2	3	3	2	3	3	2	3	3	3	3	3	3	3	3	4	4	4	4	3	4	4	4	3	4	4
30032	1	15/12/2016 17:04:46	 	 	1	0	1	1	1	1	0	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	2	3	2	3	3	3	4	4	2	2	4	4	4	4	4	4	4
30033	1	13/12/2016 16:30:22	 	 	0	1	1	1	1	1	0	3	4	2	3	3	3	2	2	3	3	3	3	3	2	3	3	4	3	3	3	3	3	3	3	3	3	2	2	3	4	4	4	4	4	4
30034	1	15/12/2016 13:20:40	 	 	1	0	0	0	0	1	0	3	4	3	3	3	4	3	3	3	3	4	3	3	3	3	2	3	3	3	4	4	3	3	3	4	 	4	 	3	4	4	4	4	4	4
30035	1	15/12/2016 15:43:25	 	 	1	0	1	0	0	1	0	3	3	3	3	2	3	2	3	3	2	3	3	2	3	3	2	3	3	3	3	2	3	3	3	3	3	4	4	4	4	4	4	4	4	4
30036	1	14/12/2016 18:07:26	 	 	0	0	1	1	0	1	0	3	3	2	3	2	3	2	3	2	2	3	2	3	3	3	2	2	3	2	3	2	3	3	3	3	2	2	2	2	3	2	3	3	4	4
30037	1	15/12/2016 16:30:18	 	 	1	1	1	1	0	1	0	3	3	3	3	2	4	3	3	3	3	3	3	3	2	2	4	3	3	3	3	3	2	3	3	3	4	2	3	3	4	4	4	4	4	4
30039	1	14/12/2016 11:07:30	 	 	1	0	1	1	0	1	0	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	2	4	4	4	4	4	4	4
30040	1	17/12/2016 10:27:48	 	 	1	0	1	1	0	0	0	3	 	2	3	2	 	2	 	2	2	 	3	3	3	 	3	 	3	3	 	2	3	 	3	3	4	4	4	4	5	4	4	4	4	4
30041	1	01/12/2016 09:42:30	 	 	0	0	1	0	1	1	0	3	2	2	3	1	2	2	1	2	3	1	3	2	2	2	2	1	3	3	1	2	3	1	3	3	2	1	4	3	5	4	3	4	77	77
30042	1	08/12/2016 17:51:10	 	 	1	0	0	0	0	1	0	3	3	2	3	3	4	2	4	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	2	3	 	3	 	4	4	4	4	4	4	4
30043	1	29/11/2016 11:55:22	 	 	1	0	1	1	0	1	0	3	4	2	3	3	3	3	3	3	2	4	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	2	3	4	4	4	4	5	4
30044	1	28/11/2016 11:41:29	 	 	1	0	0	0	0	1	0	3	4	2	3	2	3	3	3	3	3	3	3	3	3	4	2	3	3	2	3	2	3	3	3	4	 	4	 	4	4	3	5	3	4	4
30046	1	24/12/2016 18:50:57	 	 	0	1	1	1	1	1	1	3	 	3	3	3	 	3	 	3	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	4	5	2	4	4	5	5	4	 	4	 
30048	1	09/12/2016 16:21:44	 	 	1	1	1	1	0	0	0	3	 	2	3	2	 	2	 	3	3	 	3	3	3	 	3	 	3	3	 	2	3	 	3	3	3	2	2	3	4	4	4	4	4	4
30049	1	09/12/2016 10:25:33	 	 	1	0	1	1	0	1	0	3	4	3	3	2	4	2	3	3	3	4	3	3	3	4	2	3	3	3	4	2	3	4	3	4	4	2	2	3	4	4	4	3	4	4
30050	1	13/12/2016 16:02:44	 	 	1	0	0	0	0	1	0	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	4	 	2	 	4	3	3	3	4	3	3
30051	1	08/12/2016 17:20:23	 	 	1	0	1	1	1	1	0	3	3	3	3	3	3	2	2	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	3	4	3	4	4	4	4
30052	0	02/12/2016 11:50:52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30053	1	11/12/2016 17:06:34	 	 	1	0	1	0	0	1	0	3	3	2	77	2	3	77	2	2	2	3	2	77	3	3	2	3	3	2	2	2	3	79	3	2	77	4	77	2	77	77	3	3	77	2
30055	1	24/12/2016 17:43:21	 	 	1	1	1	0	0	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	4	4	4	4	4	4	3	4	3
30056	1	26/12/2016 19:07:27	 	 	1	0	0	0	0	1	1	4	 	3	3	3	 	3	 	3	3	 	3	3	3	 	2	 	3	3	 	2	3	 	3	3	 	2	 	3	5	4	4	 	4	 
30057	1	12/12/2016 16:45:30	 	 	0	1	1	1	0	1	0	2	3	2	2	2	4	2	3	2	2	2	2	2	3	3	2	3	77	3	4	2	3	3	3	2	2	4	4	3	4	77	3	2	77	3
30058	1	11/12/2016 08:48:17	 	 	0	1	1	1	1	1	0	3	3	2	3	2	3	2	2	2	3	3	3	3	3	3	2	3	3	2	3	2	3	3	3	3	3	2	2	3	4	2	77	4	3	77
30059	1	14/12/2016 18:50:47	 	 	1	0	1	0	0	1	0	3	2	2	2	77	4	2	2	3	3	3	2	77	3	3	77	3	3	2	3	2	3	3	3	3	77	4	4	2	4	4	4	3	4	4
30061	1	26/12/2016 15:30:13	 	 	1	1	0	1	0	1	0	3	4	2	3	2	4	2	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	4	2	2	4	4	4	4	4	4	4
30062	1	10/12/2016 15:51:04	 	 	1	0	1	0	0	1	0	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	4	4	4	4	4	4
30063	1	09/12/2016 11:00:59	 	 	1	1	1	1	0	1	0	3	3	3	3	2	3	3	3	3	3	3	2	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	4	3	3	3	3	3
30064	1	10/12/2016 15:50:31	 	 	1	0	1	1	0	1	0	3	4	3	3	2	3	2	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	2	2	3	4	4	4	4	4	4
30066	1	12/12/2016 17:10:07	 	 	0	1	1	1	1	0	0	3	 	3	3	3	 	2	 	2	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	3	4	2	2	3	4	4	4	4	4	2
30067	1	09/12/2016 12:00:41	 	 	0	0	1	1	1	1	0	3	3	2	3	2	3	2	2	3	2	3	3	3	3	3	2	3	3	4	3	2	3	3	3	4	2	4	4	4	4	3	4	4	77	4
