CHILDCODE	FVVLIDR5	FVVALR5	SLVALR5
48018	1	4	450
48018	2	12	50
48018	3	25	40
48018	4	10	20
48018	5	98	 
48019	1	21	1500
48019	2	10	500
48019	3	12	80
48019	4	98	 
48019	5	98	 
48020	1	4	400
48020	2	10	200
48020	3	5	50
48020	4	12	30
48020	5	98	 
48021	1	22	30
48021	2	10	20
48021	3	12	10
48021	4	98	 
48021	5	98	 
48022	1	7	11000
48022	2	11	1200
48022	3	12	600
48022	4	10	400
48022	5	4	300
48023	1	4	400
48023	2	10	180
48023	3	12	70
48023	4	98	 
48023	5	98	 
48024	1	10	3000
48024	2	4	1000
48024	3	12	100
48024	4	98	 
48024	5	98	 
48025	1	4	800
48025	2	10	300
48025	3	12	80
48025	4	98	 
48025	5	98	 
48026	1	21	700
48026	2	4	120
48026	3	10	100
48026	4	12	50
48026	5	5	50
58002	1	21	800
58002	2	10	200
58002	3	98	 
58002	4	98	 
58002	5	98	 
58003	1	4	400
58003	2	5	250
58003	3	22	115
58003	4	23	100
58003	5	10	95
58004	1	10	500
58004	2	4	350
58004	3	23	50
58004	4	12	40
58004	5	22	30
58007	1	4	200
58007	2	12	50
58007	3	10	40
58007	4	25	30
58007	5	23	25
58008	1	7	1200
58008	2	10	60
58008	3	98	 
58008	4	98	 
58008	5	98	 
58011	1	10	400
58011	2	12	50
58011	3	98	 
58011	4	98	 
58011	5	98	 
58012	1	7	1800
58012	2	10	75
58012	3	8	50
58012	4	5	15
58012	5	98	 
58013	1	7	1700
58013	2	12	200
58013	3	22	80
58013	4	8	50
58013	5	10	30
58014	1	21	1000
58014	2	12	150
58014	3	10	50
58014	4	22	50
58014	5	5	40
58015	1	98	 
58015	2	98	 
58015	3	98	 
58015	4	98	 
58015	5	98	 
58016	1	7	4000
58016	2	11	500
58016	3	3	500
58016	4	24	500
58016	5	4	300
58017	1	7	12000
58017	2	10	1200
58017	3	24	500
58017	4	25	200
58017	5	12	100
58019	1	7	2500
58019	2	3	700
58019	3	24	350
58019	4	4	150
58019	5	8	100
58020	1	11	800
58020	2	4	400
58020	3	10	200
58020	4	23	40
58020	5	98	 
58021	1	10	250
58021	2	5	80
58021	3	12	30
58021	4	98	 
58021	5	98	 
58022	1	7	2000
58022	2	10	400
58022	3	24	150
58022	4	98	 
58022	5	98	 
58025	1	11	900
58025	2	4	300
58025	3	10	300
58025	4	12	300
58025	5	3	100
58026	1	10	2000
58026	2	4	2000
58026	3	21	1500
58026	4	24	1500
58026	5	26	1200
58027	1	7	500
58027	2	10	20
58027	3	4	5
58027	4	98	 
58027	5	98	 
58028	1	4	400
58028	2	24	200
58028	3	12	200
58028	4	10	200
58028	5	25	100
58029	1	4	500
58029	2	10	200
58029	3	5	100
58029	4	12	50
58029	5	98	 
58030	1	4	800
58030	2	10	400
58030	3	25	200
58030	4	22	50
58030	5	23	30
68001	1	11	800
68001	2	21	400
68001	3	26	300
68001	4	10	200
68001	5	4	100
68002	1	7	4000
68002	2	21	2000
68002	3	10	600
68002	4	11	200
68002	5	23	100
68004	1	7	6000
68004	2	21	2000
68004	3	4	1000
68004	4	3	1000
68004	5	11	300
68005	1	6	30000
68005	2	7	3000
68005	3	21	2000
68005	4	4	2000
68005	5	11	1200
68006	1	21	3000
68006	2	7	2000
68006	3	26	1000
68006	4	11	800
68006	5	4	800
68007	1	7	1500
68007	2	10	200
68007	3	12	50
68007	4	22	20
68007	5	98	 
68008	1	7	800
68008	2	4	100
68008	3	12	100
68008	4	10	50
68008	5	25	40
68009	1	7	5500
68009	2	21	1200
68009	3	11	400
68009	4	26	300
68009	5	10	200
68010	1	3	5000
68010	2	21	700
68010	3	10	150
68010	4	11	100
68010	5	4	100
68011	1	7	2000
68011	2	4	1500
68011	3	12	2000
68011	4	98	 
68011	5	98	 
68012	1	11	2000
68012	2	4	1400
68012	3	26	800
68012	4	10	500
68012	5	24	500
68013	1	7	2300
68013	2	26	500
68013	3	11	400
68013	4	10	100
68013	5	3	50
68015	1	21	500
68015	2	11	500
68015	3	4	200
68015	4	12	200
68015	5	3	100
68016	1	7	8000
68016	2	21	8000
68016	3	10	1550
68016	4	4	1500
68016	5	11	800
68017	1	4	500
68017	2	12	50
68017	3	10	30
68017	4	98	 
68017	5	98	 
68019	1	7	2000
68019	2	21	900
68019	3	11	800
68019	4	4	500
68019	5	26	400
68020	1	21	1900
68020	2	7	1800
68020	3	4	500
68020	4	12	1200
68020	5	8	600
68021	1	7	5000
68021	2	11	1000
68021	3	4	800
68021	4	12	400
68021	5	10	150
68022	1	4	505
68022	2	25	50
68022	3	12	50
68022	4	10	50
68022	5	98	 
68023	1	12	1200
68023	2	11	1000
68023	3	26	600
68023	4	4	400
68023	5	10	160
68024	1	7	300
68024	2	21	500
68024	3	4	500
68024	4	24	300
68024	5	10	300
68025	1	11	800
68025	2	24	350
68025	3	4	150
68025	4	12	100
68025	5	10	100
78001	1	24	1500
78001	2	4	500
78001	3	98	 
78001	4	98	 
78001	5	98	 
78002	1	4	700
78002	2	11	500
78002	3	12	200
78002	4	3	400
78002	5	8	500
78003	1	4	4000
78003	2	21	2500
78003	3	26	2000
78003	4	10	1700
78003	5	11	1000
78005	1	21	1000
78005	2	12	100
78005	3	5	30
78005	4	22	10
78005	5	98	 
78006	1	4	1600
78006	2	11	1000
78006	3	26	800
78006	4	12	500
78006	5	24	200
78008	1	12	3000
78008	2	23	2000
78008	3	11	1000
78008	4	21	500
78008	5	26	400
78009	1	26	800
78009	2	4	500
78009	3	11	400
78009	4	23	200
78009	5	21	100
78010	1	6	100000
78010	2	21	18000
78010	3	4	6000
78010	4	10	3000
78010	5	11	1000
78011	1	4	300
78011	2	21	1500
78011	3	11	800
78011	4	24	500
78011	5	3	300
78012	1	21	1600
78012	2	26	500
78012	3	10	400
78012	4	22	200
78012	5	23	100
78013	1	7	5000
78013	2	4	4000
78013	3	21	4000
78013	4	11	1500
78013	5	12	1000
78014	1	12	1200
78014	2	4	500
78014	3	23	300
78014	4	10	200
78014	5	22	60
78015	1	4	1000
78015	2	11	500
78015	3	10	500
78015	4	8	100
78015	5	23	30
78016	1	7	5500
78016	2	4	1000
78016	3	12	800
78016	4	24	500
78016	5	10	400
78017	1	6	50000
78017	2	4	500
78017	3	10	400
78017	4	21	400
78017	5	25	300
78018	1	4	500
78018	2	10	200
78018	3	12	50
78018	4	98	 
78018	5	98	 
78019	1	21	2000
78019	2	12	200
78019	3	5	150
78019	4	4	100
78019	5	10	100
78020	1	11	700
78020	2	10	600
78020	3	12	300
78020	4	24	100
78020	5	23	50
78021	1	11	1500
78021	2	4	1450
78021	3	3	1000
78021	4	12	1000
78021	5	26	900
78022	1	4	300
78022	2	24	300
78022	3	3	200
78022	4	28	150
78022	5	10	100
78024	1	6	61200
78024	2	4	3000
78024	3	26	800
78024	4	11	800
78024	5	21	800
78026	1	6	16000
78026	2	21	1000
78026	3	4	300
78026	4	10	150
78026	5	12	150
78027	1	7	13100
78027	2	21	1500
78027	3	4	800
78027	4	10	300
78027	5	12	250
78028	1	7	3000
78028	2	21	2000
78028	3	11	800
78028	4	4	700
78028	5	10	500
78029	1	21	8000
78029	2	10	1400
78029	3	11	1400
78029	4	4	600
78029	5	12	400
78030	1	3	2200
78030	2	4	1800
78030	3	21	1500
78030	4	23	200
78030	5	8	90
78031	1	24	100
78031	2	10	80
78031	3	12	50
78031	4	4	40
78031	5	22	20
78032	1	4	1000
78032	2	11	500
78032	3	10	150
78032	4	12	100
78032	5	22	50
78033	1	28	350
78033	2	98	 
78033	3	98	 
78033	4	98	 
78033	5	98	 
78034	1	11	500
78034	2	21	500
78034	3	4	200
78034	4	12	100
78034	5	25	50
78035	1	4	1000
78035	2	21	800
78035	3	11	500
78035	4	24	300
78035	5	10	200
78036	1	10	600
78036	2	98	 
78036	3	98	 
78036	4	98	 
78036	5	98	 
78037	1	11	400
78037	2	10	150
78037	3	12	100
78037	4	4	50
78037	5	5	50
78038	1	11	200
78038	2	24	150
78038	3	98	 
78038	4	98	 
78038	5	98	 
78039	1	4	60
78039	2	12	50
78039	3	98	 
78039	4	98	 
78039	5	98	 
78040	1	12	200
78040	2	10	200
78040	3	4	150
78040	4	5	50
78040	5	98	 
78041	1	98	 
78041	2	98	 
78041	3	98	 
78041	4	98	 
78041	5	98	 
78042	1	6	31500
78042	2	21	1500
78042	3	26	1000
78042	4	4	600
78042	5	12	500
78043	1	4	1000
78043	2	26	800
78043	3	11	700
78043	4	10	500
78043	5	25	100
78044	1	4	500
78044	2	26	500
78044	3	21	500
78044	4	10	300
78044	5	12	200
78045	1	7	4000
78045	2	21	1500
78045	3	4	1000
78045	4	11	900
78045	5	10	400
78046	1	11	1000
78046	2	12	500
78046	3	10	400
78046	4	4	300
78046	5	25	100
78047	1	7	3000
78047	2	21	2000
78047	3	11	1000
78047	4	10	800
78047	5	4	800
78048	1	4	500
78048	2	10	500
78048	3	24	200
78048	4	23	200
78048	5	12	100
78049	1	11	1000
78049	2	21	800
78049	3	10	500
78049	4	12	300
78049	5	4	300
78051	1	21	4000
78051	2	4	500
78051	3	22	100
78051	4	10	100
78051	5	5	50
78052	1	21	2500
78052	2	24	800
78052	3	4	500
78052	4	12	200
78052	5	23	130
88001	1	21	1200
88001	2	7	800
88001	3	10	600
88001	4	12	250
88001	5	15	55
88002	1	21	800
88002	2	10	800
88002	3	12	800
88002	4	4	600
88002	5	25	100
88003	1	12	200
88003	2	4	150
88003	3	10	100
88003	4	8	50
88003	5	23	30
88004	1	4	1500
88004	2	11	500
88004	3	21	500
88004	4	12	300
88004	5	5	50
88005	1	21	1000
88005	2	11	600
88005	3	10	400
88005	4	4	300
88005	5	24	200
88007	1	26	400
88007	2	4	300
88007	3	11	200
88007	4	10	50
88007	5	23	30
88008	1	4	500
88008	2	24	50
88008	3	21	100
88008	4	98	 
88008	5	98	 
88010	1	6	28000
88010	2	11	1000
88010	3	4	1000
88010	4	10	800
88010	5	12	500
88011	1	4	400
88011	2	10	400
88011	3	12	200
88011	4	25	80
88011	5	23	60
88012	1	4	1000
88012	2	21	600
88012	3	10	700
88012	4	12	500
88012	5	11	300
88013	1	21	1500
88013	2	28	250
88013	3	10	200
88013	4	4	150
88013	5	5	50
88014	1	3	800
88014	2	4	50
88014	3	12	50
88014	4	23	50
88014	5	22	30
88015	1	6	10000
88015	2	26	2000
88015	3	4	1200
88015	4	11	1000
88015	5	8	350
88016	1	7	4000
88016	2	11	1000
88016	3	26	700
88016	4	10	600
88016	5	21	300
88017	1	21	1000
88017	2	11	800
88017	3	4	700
88017	4	12	500
88017	5	28	300
88020	1	10	200
88020	2	12	200
88020	3	24	100
88020	4	3	100
88020	5	23	20
88021	1	6	2500
88021	2	21	300
88021	3	10	250
88021	4	4	100
88021	5	12	50
88022	1	11	800
88022	2	26	400
88022	3	3	150
88022	4	23	100
88022	5	12	60
88023	1	10	3500
88023	2	4	1300
88023	3	21	1000
88023	4	11	300
88023	5	24	200
88024	1	6	10000
88024	2	21	3700
88024	3	11	1000
88024	4	4	500
88024	5	10	300
88025	1	4	100
88025	2	12	50
88025	3	10	50
88025	4	25	50
88025	5	98	 
88026	1	6	13000
88026	2	4	600
88026	3	26	500
88026	4	21	450
88026	5	12	300
88027	1	21	1000
88027	2	11	700
88027	3	24	700
88027	4	4	500
88027	5	12	300
88029	1	21	1500
88029	2	11	700
88029	3	10	500
88029	4	12	450
88029	5	24	400
88031	1	4	100
88031	2	10	100
88031	3	12	50
88031	4	5	30
88031	5	22	20
98001	1	4	500
98001	2	11	300
98001	3	10	200
98001	4	5	50
98001	5	98	 
98006	1	21	2000
98006	2	10	400
98006	3	5	150
98006	4	12	150
98006	5	98	 
98007	1	12	200
98007	2	23	90
98007	3	5	70
98007	4	10	60
98007	5	98	 
98008	1	21	1200
98008	2	4	300
98008	3	10	300
98008	4	12	50
98008	5	98	 
98010	1	11	800
98010	2	12	500
98010	3	10	400
98010	4	23	100
98010	5	22	50
98011	1	10	70
98011	2	98	 
98011	3	98	 
98011	4	98	 
98011	5	98	 
98012	1	11	1500
98012	2	3	500
98012	3	4	300
98012	4	10	100
98012	5	12	50
98013	1	21	1400
98013	2	4	350
98013	3	10	250
98013	4	23	120
98013	5	24	90
98014	1	7	10000
98014	2	12	300
98014	3	10	200
98014	4	11	100
98014	5	5	80
98016	1	10	100
98016	2	12	10
98016	3	23	50
98016	4	98	 
98016	5	98	 
98018	1	21	300
98018	2	12	250
98018	3	23	50
98018	4	10	40
98018	5	22	40
98020	1	11	1000
98020	2	21	1000
98020	3	4	600
98020	4	10	500
98020	5	12	300
98022	1	4	300
98022	2	10	150
98022	3	12	140
98022	4	8	120
98022	5	98	 
98023	1	10	100
98023	2	12	50
98023	3	98	 
98023	4	98	 
98023	5	98	 
98024	1	7	4000
98024	2	11	700
98024	3	4	600
98024	4	12	150
98024	5	8	100
98025	1	4	200
98025	2	3	100
98025	3	8	60
98025	4	10	40
98025	5	5	20
98026	1	4	2500
98026	2	11	1000
98026	3	26	900
98026	4	12	200
98026	5	25	70
98028	1	7	5000
98028	2	4	1500
98028	3	10	850
98028	4	24	800
98028	5	12	700
98029	1	10	300
98029	2	4	200
98029	3	5	50
98029	4	98	 
98029	5	98	 
108001	1	7	7000
108001	2	21	1000
108001	3	4	1000
108001	4	10	1000
108001	5	11	700
108002	1	26	1000
108002	2	4	1000
108002	3	11	1000
108002	4	12	800
108002	5	28	100
108003	1	4	2000
108003	2	21	1500
108003	3	10	1000
108003	4	12	500
108003	5	26	400
108004	1	7	20000
108004	2	24	100
108004	3	10	100
108004	4	12	50
108004	5	4	50
108006	1	26	400
108006	2	12	300
108006	3	4	200
108006	4	23	50
108006	5	22	20
108007	1	21	1000
108007	2	4	800
108007	3	11	500
108007	4	12	300
108007	5	28	100
108008	1	11	1200
108008	2	10	1200
108008	3	12	600
108008	4	23	350
108008	5	22	300
108009	1	21	800
108009	2	4	500
108009	3	11	500
108009	4	12	300
108009	5	5	150
108011	1	26	800
108011	2	4	700
108011	3	11	500
108011	4	21	450
108011	5	24	300
108012	1	4	500
108012	2	10	200
108012	3	5	100
108012	4	25	100
108012	5	22	50
108013	1	21	400
108013	2	10	300
108013	3	22	20
108013	4	98	 
108013	5	98	 
108015	1	4	1500
108015	2	11	800
108015	3	24	350
108015	4	10	120
108015	5	25	100
108016	1	11	2000
108016	2	4	1800
108016	3	26	1500
108016	4	24	1200
108016	5	21	1000
108017	1	11	1500
108017	2	12	1000
108017	3	21	1000
108017	4	10	1000
108017	5	26	800
108020	1	21	1700
108020	2	11	1300
108020	3	4	600
108020	4	30	500
108020	5	12	250
108021	1	6	36000
108021	2	21	1400
108021	3	11	1000
108021	4	26	900
108021	5	4	500
108022	1	6	10000
108022	2	5	100
108022	3	23	100
108022	4	4	100
108022	5	3	200
108023	1	6	9000
108023	2	24	1000
108023	3	4	700
108023	4	21	700
108023	5	28	300
108024	1	4	1500
108024	2	21	1000
108024	3	12	500
108024	4	22	300
108024	5	25	300
108025	1	11	400
108025	2	10	300
108025	3	26	200
108025	4	28	100
108025	5	4	100
108026	1	98	 
108026	2	98	 
108026	3	98	 
108026	4	98	 
108026	5	98	 
108027	1	98	 
108027	2	98	 
108027	3	98	 
108027	4	98	 
108027	5	98	 
108028	1	4	100
108028	2	98	 
108028	3	98	 
108028	4	98	 
108028	5	98	 
108029	1	98	 
108029	2	98	 
108029	3	98	 
108029	4	98	 
108029	5	98	 
118001	1	21	1700
118001	2	4	1299
118001	3	11	850
118001	4	12	800
118001	5	22	150
118002	1	21	500
118002	2	11	300
118002	3	4	100
118002	4	12	100
118002	5	24	50
118003	1	21	800
118003	2	4	700
118003	3	10	400
118003	4	5	100
118003	5	23	50
118004	1	7	2000
118004	2	4	1500
118004	3	12	1200
118004	4	11	1000
118004	5	10	800
118005	1	4	1600
118005	2	10	1000
118005	3	23	300
118005	4	25	200
118005	5	5	200
118006	1	4	680
118006	2	12	480
118006	3	10	420
118006	4	3	220
118006	5	5	80
118007	1	7	1500
118007	2	25	50
118007	3	4	100
118007	4	10	100
118007	5	24	100
118009	1	11	700
118009	2	4	400
118009	3	10	250
118009	4	23	100
118009	5	12	80
118010	1	5	20
118010	2	10	50
118010	3	98	 
118010	4	98	 
118010	5	98	 
118011	1	11	1200
118011	2	4	600
118011	3	24	400
118011	4	10	200
118011	5	5	50
118013	1	4	150
118013	2	10	100
118013	3	22	50
118013	4	23	50
118013	5	12	30
118014	1	21	1000
118014	2	10	90
118014	3	12	25
118014	4	23	15
118014	5	98	 
118015	1	98	 
118015	2	98	 
118015	3	98	 
118015	4	98	 
118015	5	98	 
118017	1	7	1000
118017	2	10	100
118017	3	25	100
118017	4	5	50
118017	5	98	 
118018	1	21	1500
118018	2	24	800
118018	3	22	200
118018	4	4	200
118018	5	23	150
118020	1	7	6500
118020	2	21	1500
118020	3	4	300
118020	4	25	150
118020	5	23	50
118022	1	10	50
118022	2	98	 
118022	3	98	 
118022	4	98	 
118022	5	98	 
118023	1	21	1200
118023	2	24	400
118023	3	4	300
118023	4	10	200
118023	5	12	100
118024	1	10	150
118024	2	4	100
118024	3	12	50
118024	4	98	 
118024	5	98	 
118027	1	6	15000
118027	2	4	500
118027	3	12	250
118027	4	10	200
118027	5	25	120
118028	1	8	150
118028	2	10	100
118028	3	4	25
118028	4	12	50
118028	5	11	400
118029	1	6	30000
118029	2	7	5000
118029	3	21	3000
118029	4	10	2500
118029	5	26	900
118030	1	21	800
118030	2	23	100
118030	3	98	 
118030	4	98	 
118030	5	98	 
128002	1	6	18000
128002	2	4	4000
128002	3	24	3000
128002	4	26	700
128002	5	21	400
128003	1	21	800
128003	2	4	200
128003	3	26	200
128003	4	11	100
128003	5	10	100
128004	1	3	3900
128004	2	24	700
128004	3	4	700
128004	4	11	700
128004	5	12	200
128006	1	6	40000
128006	2	10	3000
128006	3	4	1500
128006	4	11	600
128006	5	12	300
128007	1	10	500
128007	2	5	50
128007	3	98	 
128007	4	98	 
128007	5	98	 
