CHILDCODE	ASSTIDR5	ASSETR5	ASACTR5	NMOWNR5	VLASTR5
18001	1	25	6	3	23000
18002	1	25	6	1	36000
18003	1	25	12	2	3000
18003	2	1	1	3	80
18008	1	25	12	1	3000
18010	1	30	3	3	1500
18010	2	30	7	2	50
18011	1	15	7	4	80
18013	1	17	9	50	3000
18013	2	15	9	20	1500
18015	1	25	12	1	2000
18015	2	25	12	1	200
18016	1	15	7	10	500
18016	2	1	1	10	50
18016	3	25	1	1	500
18018	1	25	9	1	2500
18019	1	25	6	1	1500
18022	1	40	3	5	70
18024	1	23	7	14	1600
18024	2	25	6	11	3000
18026	1	25	9	1	4400
18027	1	26	8	5	5000
18028	1	1	11	6	210
18030	1	23	7	1	50
18030	2	30	7	11	1250
18032	1	25	6	1	5000
18034	1	25	6	1	2000
18034	2	26	7	5	2200
18035	1	41	9	9	6440
18035	2	23	9	14	1320
18036	1	10	8	110	200
18042	1	30	9	1	600
18042	2	30	10	1	500
18042	3	30	10	1	60
18044	1	25	6	2	3000
18046	1	30	7	1	200
18046	2	30	7	1	400
18047	1	25	6	1	2500
18048	1	25	6	1	1500
18049	1	11	8	5	5000
18049	2	23	7	5	2000
18050	1	13	12	4	25
28001	1	1	1	3	60
28002	1	1	1	4	60
28003	1	3	0	1	2500
28003	2	1	1	2	30
28003	3	30	10	1	25
28008	1	1	11	6	30
28009	1	25	10	1	3000
28011	1	1	1	4	100
28011	2	42	1	1	50
28011	3	2	1	1	150
28011	4	25	1	2	4000
28012	1	1	1	5	100
28013	1	13	9	6	200
28017	1	23	7	3	160
28020	1	1	1	3	45
28020	2	23	7	8	300
28021	1	30	9	80	5000
28023	1	25	1	1	100
28023	3	1	1	5	100
28023	4	42	1	1	250
28024	1	25	6	1	30000
28025	1	1	1	10	100
38001	1	2	1	10	100
38001	2	42	1	1	90
38002	1	1	1	6	200
38002	2	42	1	0	0
38003	1	1	1	4	70
38004	1	1	1	5	100
38004	2	42	1	1	20
38004	3	6	1	1	1000
38005	1	1	1	8	120
38005	2	2	1	1	35
