CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
38001	3	98	 	 	 	 
38002	1	29	 	 	 	2
38002	2	30	 	 	 	2
38002	3	31	 	 	 	4
38003	1	41	2	 	 	2
38003	2	98	 	 	 	 
38003	3	98	 	 	 	 
38004	1	25	 	 	 	4
38004	2	34	4	 	 	 
38004	3	98	 	 	 	 
38005	1	98	 	 	 	 
38005	2	98	 	 	 	 
38005	3	98	 	 	 	 
38006	1	98	 	 	 	 
38006	2	98	 	 	 	 
38006	3	98	 	 	 	 
38008	1	42	4	 	 	 
38008	2	41	 	2	 	 
38008	3	98	 	 	 	 
38010	1	98	 	 	 	 
38010	2	98	 	 	 	 
38010	3	98	 	 	 	 
38011	1	25	 	 	2	 
38011	2	14	 	2	 	 
38011	3	98	 	 	 	 
38014	1	98	 	 	 	 
38014	2	98	 	 	 	 
38014	3	98	 	 	 	 
38015	1	62	 	 	 	4
38015	2	98	 	 	 	 
38015	3	98	 	 	 	 
38016	1	36	 	 	3	 
38016	2	38	 	 	3	 
38016	3	98	 	 	 	 
38017	1	98	 	 	 	 
38017	2	98	 	 	 	 
38017	3	98	 	 	 	 
38019	1	13	 	 	2	2
38019	2	98	 	 	 	 
38019	3	98	 	 	 	 
38020	1	28	 	 	 	4
38020	2	25	 	 	 	3
38020	3	98	 	 	 	 
38021	1	98	 	 	 	 
38021	2	98	 	 	 	 
38021	3	98	 	 	 	 
38022	1	98	 	 	 	 
38022	2	98	 	 	 	 
38022	3	98	 	 	 	 
38023	1	98	 	 	 	 
38023	2	98	 	 	 	 
38023	3	98	 	 	 	 
38024	1	62	 	 	2	 
38024	2	5	 	1	 	 
38024	3	98	 	 	 	 
38025	1	98	 	 	 	 
38025	2	98	 	 	 	 
38025	3	98	 	 	 	 
48001	1	2	4	 	 	 
48001	2	41	 	 	3	 
48001	3	62	 	 	2	 
48002	1	98	 	 	 	 
48002	2	98	 	 	 	 
48002	3	98	 	 	 	 
48003	1	25	 	 	4	 
48003	2	29	 	4	 	 
48003	3	41	 	 	 	4
48004	1	98	 	 	 	 
48004	2	98	 	 	 	 
48004	3	98	 	 	 	 
48005	1	2	 	 	 	3
48005	2	98	 	 	 	 
48005	3	98	 	 	 	 
48006	1	1	 	 	 	4
48006	2	5	 	 	 	3
48006	3	98	 	 	 	 
48007	1	4	 	 	2	2
48007	2	98	 	 	 	 
48007	3	98	 	 	 	 
48008	1	98	 	 	 	 
48008	2	98	 	 	 	 
48008	3	98	 	 	 	 
48009	1	37	 	4	3	3
48009	2	98	 	 	 	 
48009	3	98	 	 	 	 
48010	1	98	 	 	 	 
48010	2	98	 	 	 	 
48010	3	98	 	 	 	 
48011	1	98	 	 	 	 
48011	2	98	 	 	 	 
48011	3	98	 	 	 	 
48013	1	28	 	4	4	 
48013	2	98	 	 	 	 
48013	3	98	 	 	 	 
48014	1	41	 	2	 	 
48014	2	98	 	 	 	 
48014	3	98	 	 	 	 
48015	1	34	 	3	 	 
48015	2	35	 	 	3	 
48015	3	98	 	 	 	 
48016	1	2	 	4	 	 
48016	2	3	 	4	4	 
48016	3	25	 	 	 	4
