CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
128011	1	2	 	 	4	 
128011	2	98	 	 	 	 
128011	3	98	 	 	 	 
128012	1	98	 	 	 	 
128012	2	98	 	 	 	 
128012	3	98	 	 	 	 
128013	1	20	 	 	4	4
128013	2	98	 	 	 	 
128013	3	98	 	 	 	 
128014	1	98	 	 	 	 
128014	2	98	 	 	 	 
128014	3	98	 	 	 	 
128016	1	38	 	 	 	2
128016	2	98	 	 	 	 
128016	3	98	 	 	 	 
128019	1	63	 	 	2	 
128019	2	98	 	 	 	 
128019	3	98	 	 	 	 
128020	1	45	 	 	 	4
128020	2	98	 	 	 	 
128020	3	98	 	 	 	 
128021	1	12	 	 	3	3
128021	2	98	 	 	 	 
128021	3	98	 	 	 	 
128022	1	37	 	 	 	4
128022	2	62	 	 	 	4
128022	3	98	 	 	 	 
128023	1	42	 	 	3	3
128023	2	98	 	 	 	 
128023	3	98	 	 	 	 
128024	1	45	 	 	 	4
128024	2	62	 	4	 	 
128024	3	63	3	 	 	 
128025	1	98	 	 	 	 
128025	2	98	 	 	 	 
128025	3	98	 	 	 	 
128026	1	98	 	 	 	 
128026	2	98	 	 	 	 
128026	3	98	 	 	 	 
128028	1	42	3	 	3	 
128028	2	98	 	 	 	 
128028	3	98	 	 	 	 
128030	1	98	 	 	 	 
128030	2	98	 	 	 	 
128030	3	98	 	 	 	 
128031	1	37	 	 	3	 
128031	2	98	 	 	 	 
128031	3	98	 	 	 	 
128032	1	42	 	 	 	3
128032	2	98	 	 	 	 
128032	3	98	 	 	 	 
128033	1	42	1	1	1	1
128033	2	41	1	 	 	 
128033	3	98	 	 	 	 
128034	1	39	3	3	 	 
128034	2	98	 	 	 	 
128034	3	98	 	 	 	 
128037	1	41	1	 	 	 
128037	2	98	 	 	 	 
128037	3	98	 	 	 	 
128038	1	98	 	 	 	 
128038	2	98	 	 	 	 
128038	3	98	 	 	 	 
128039	1	39	 	 	4	4
128039	2	20	 	 	 	3
128039	3	98	 	 	 	 
128040	1	41	 	 	 	2
128040	2	98	 	 	 	 
128040	3	98	 	 	 	 
128041	1	38	 	 	4	 
128041	2	40	 	 	1	 
128041	3	98	 	 	 	 
128042	1	2	 	2	 	 
128042	2	39	 	 	2	2
128042	3	42	 	 	4	4
128043	1	98	 	 	 	 
128043	2	98	 	 	 	 
128043	3	98	 	 	 	 
128044	1	42	 	 	4	4
128044	2	63	 	 	 	4
128044	3	2	 	 	4	 
128045	1	98	 	 	 	 
128045	2	98	 	 	 	 
128045	3	98	 	 	 	 
128046	1	69	 	 	2	 
128046	2	42	4	4	4	 
128046	3	98	 	 	 	 
128047	1	37	 	 	1	 
128047	2	45	 	 	2	 
128047	3	98	 	 	 	 
128048	1	42	 	 	4	 
128048	2	98	 	 	 	 
128048	3	98	 	 	 	 
128049	1	39	 	 	4	4
128049	2	36	 	 	 	3
128049	3	42	4	4	 	 
128050	1	62	 	2	4	 
128050	2	20	 	2	 	 
128050	3	12	 	 	4	 
128051	1	38	 	 	2	 
128051	2	45	 	 	2	2
128051	3	12	 	 	 	2
138002	1	98	 	 	 	 
138002	2	98	 	 	 	 
138002	3	98	 	 	 	 
138004	1	45	 	 	1	 
138004	2	98	 	 	 	 
138004	3	98	 	 	 	 
138005	1	2	 	 	 	3
138005	2	98	 	 	 	 
138005	3	98	 	 	 	 
138007	1	98	 	 	 	 
138007	2	98	 	 	 	 
138007	3	98	 	 	 	 
138008	1	2	 	 	 	4
138008	2	42	 	 	 	3
138008	3	98	 	 	 	 
138009	1	20	 	 	4	4
138009	2	37	 	 	4	4
138009	3	63	 	 	4	4
138011	1	98	 	 	 	 
138011	2	98	 	 	 	 
138011	3	98	 	 	 	 
138012	1	62	 	 	3	 
138012	2	98	 	 	 	 
138012	3	98	 	 	 	 
138013	1	98	 	 	 	 
138013	2	98	 	 	 	 
138013	3	98	 	 	 	 
138014	1	35	3	 	 	 
138014	2	41	2	 	 	2
138014	3	98	 	 	 	 
138015	1	41	 	 	4	4
138015	2	45	 	 	3	3
138015	3	98	 	 	 	 
138016	1	98	 	 	 	 
138016	2	98	 	 	 	 
138016	3	98	 	 	 	 
138017	1	98	 	 	 	 
138017	2	98	 	 	 	 
138017	3	98	 	 	 	 
138018	1	37	 	4	 	 
138018	2	63	 	 	 	4
138018	3	98	 	 	 	 
138020	1	5	 	 	 	4
138020	2	98	 	 	 	 
138020	3	98	 	 	 	 
138021	1	98	 	 	 	 
138021	2	98	 	 	 	 
138021	3	98	 	 	 	 
138022	1	38	 	 	3	3
138022	2	98	 	 	 	 
138022	3	98	 	 	 	 
138023	1	69	 	4	2	 
138023	2	40	 	 	4	 
138023	3	37	 	 	 	2
138024	1	63	 	 	4	 
138024	2	36	 	4	 	 
138024	3	62	 	 	4	3
138025	1	36	 	 	4	 
138025	2	20	 	4	 	 
138025	3	62	 	2	 	 
138027	1	45	4	4	4	3
138027	2	38	 	2	2	 
138027	3	98	 	 	 	 
138028	1	62	 	 	2	 
138028	2	98	 	 	 	 
138028	3	98	 	 	 	 
138029	1	69	 	3	1	2
138029	2	98	 	 	 	 
138029	3	98	 	 	 	 
138030	1	98	 	 	 	 
138030	2	98	 	 	 	 
138030	3	98	 	 	 	 
138031	1	2	 	 	2	 
138031	2	98	 	 	 	 
138031	3	98	 	 	 	 
138032	1	36	 	 	 	3
138032	2	98	 	 	 	 
138032	3	98	 	 	 	 
138033	1	41	 	3	 	 
138033	2	98	 	 	 	 
138033	3	98	 	 	 	 
138035	1	42	4	3	2	2
138035	2	98	 	 	 	 
138035	3	98	 	 	 	 
138036	1	98	 	 	 	 
138036	2	98	 	 	 	 
138036	3	98	 	 	 	 
138037	1	41	 	2	 	 
138037	2	36	1	1	 	 
138037	3	40	 	 	3	 
138038	1	40	 	2	 	 
138038	2	41	2	2	 	 
138038	3	98	 	 	 	 
138039	1	41	 	 	2	 
138039	2	98	 	 	 	 
138039	3	98	 	 	 	 
138040	1	1	 	1	 	 
138040	2	98	 	 	 	 
138040	3	98	 	 	 	 
138041	1	5	4	 	 	 
138041	2	98	 	 	 	 
138041	3	98	 	 	 	 
138042	1	98	 	 	 	 
138042	2	98	 	 	 	 
138042	3	98	 	 	 	 
138044	1	98	 	 	 	 
138044	2	98	 	 	 	 
138044	3	98	 	 	 	 
138045	1	98	 	 	 	 
138045	2	98	 	 	 	 
138045	3	98	 	 	 	 
138046	1	2	 	 	4	 
138046	2	98	 	 	 	 
138046	3	98	 	 	 	 
138047	1	98	 	 	 	 
138047	2	98	 	 	 	 
138047	3	98	 	 	 	 
138048	1	39	2	 	 	 
138048	2	98	 	 	 	 
138048	3	98	 	 	 	 
138049	1	69	 	 	3	3
138049	2	39	 	 	4	4
138049	3	98	 	 	 	 
138050	1	98	 	 	 	 
138050	2	98	 	 	 	 
138050	3	98	 	 	 	 
138051	1	98	 	 	 	 
138051	2	98	 	 	 	 
138051	3	98	 	 	 	 
138053	1	98	 	 	 	 
138053	2	98	 	 	 	 
138053	3	98	 	 	 	 
148001	1	62	 	 	 	3
148001	2	38	 	 	 	2
148001	3	12	3	3	2	2
148002	1	98	 	 	 	 
148002	2	98	 	 	 	 
148002	3	98	 	 	 	 
148003	1	41	 	 	3	 
148003	2	98	 	 	 	 
148003	3	98	 	 	 	 
148004	1	62	 	4	 	 
148004	2	45	 	2	 	 
148004	3	98	 	 	 	 
148005	1	69	 	4	 	 
148005	2	63	 	 	3	4
148005	3	98	 	 	 	 
148006	1	69	 	 	3	4
148006	2	37	2	 	 	 
148006	3	42	 	 	 	2
148007	1	41	 	1	 	 
148007	2	98	 	 	 	 
148007	3	98	 	 	 	 
148008	1	39	 	 	4	3
148008	2	63	 	 	3	3
148008	3	13	 	 	3	2
148011	1	98	 	 	 	 
148011	2	98	 	 	 	 
148011	3	98	 	 	 	 
148012	1	14	 	 	4	 
148012	2	45	 	 	 	4
148012	3	42	 	 	 	2
148013	1	98	 	 	 	 
148013	2	98	 	 	 	 
148013	3	98	 	 	 	 
148014	1	98	 	 	 	 
148014	2	98	 	 	 	 
148014	3	98	 	 	 	 
148015	1	98	 	 	 	 
148015	2	98	 	 	 	 
148015	3	98	 	 	 	 
148016	1	98	 	 	 	 
148016	2	98	 	 	 	 
148016	3	98	 	 	 	 
148018	1	42	2	3	3	 
148018	2	98	 	 	 	 
148018	3	98	 	 	 	 
148019	1	35	 	 	2	 
148019	2	98	 	 	 	 
148019	3	98	 	 	 	 
148020	1	20	 	 	 	2
148020	2	98	 	 	 	 
148020	3	98	 	 	 	 
148021	1	5	 	2	 	 
148021	2	98	 	 	 	 
148021	3	98	 	 	 	 
148022	1	98	 	 	 	 
148022	2	98	 	 	 	 
148022	3	98	 	 	 	 
148023	1	98	 	 	 	 
148023	2	98	 	 	 	 
148023	3	98	 	 	 	 
148024	1	41	 	 	4	 
148024	2	39	 	 	 	2
148024	3	2	 	 	1	 
148025	1	45	 	 	4	 
148025	2	37	 	2	 	 
148025	3	62	 	 	3	 
148026	1	38	 	4	 	 
148026	2	63	 	3	 	 
148026	3	98	 	 	 	 
148027	1	34	 	4	 	 
148027	2	2	 	 	3	 
148027	3	98	 	 	 	 
148028	1	2	 	 	 	3
148028	2	98	 	 	 	 
148028	3	98	 	 	 	 
148029	1	42	3	2	 	 
148029	2	98	 	 	 	 
148029	3	98	 	 	 	 
148030	1	34	 	 	2	 
148030	2	98	 	 	 	 
148030	3	98	 	 	 	 
148031	1	40	4	 	 	 
148031	2	62	 	3	3	 
148031	3	41	2	 	 	 
148033	1	41	 	1	 	 
148033	2	42	1	1	 	1
148033	3	98	 	 	 	 
148034	1	62	 	 	 	4
148034	2	39	 	3	3	3
148034	3	42	3	3	3	3
148035	1	12	 	1	1	1
148035	2	39	 	 	 	1
148035	3	62	 	 	2	 
148036	1	42	 	 	 	2
148036	2	36	 	 	 	1
148036	3	98	 	 	 	 
148038	1	98	 	 	 	 
148038	2	98	 	 	 	 
148038	3	98	 	 	 	 
148039	1	40	 	2	 	 
148039	2	42	 	3	3	3
148039	3	98	 	 	 	 
148040	1	98	 	 	 	 
148040	2	98	 	 	 	 
148040	3	98	 	 	 	 
148041	1	38	 	 	3	 
148041	2	20	 	 	 	2
148041	3	98	 	 	 	 
148042	1	98	 	 	 	 
148042	2	98	 	 	 	 
148042	3	98	 	 	 	 
148043	1	62	 	 	1	2
148043	2	12	2	2	3	2
148043	3	98	 	 	 	 
148044	1	20	2	2	2	2
148044	2	98	 	 	 	 
148044	3	98	 	 	 	 
148046	1	41	 	4	 	 
148046	2	39	 	 	 	4
148046	3	12	 	 	2	 
148047	1	98	 	 	 	 
148047	2	98	 	 	 	 
148047	3	98	 	 	 	 
148048	1	45	 	 	4	4
148048	2	39	 	 	 	2
148048	3	20	 	2	 	 
148049	1	38	 	2	 	 
148049	2	39	2	 	 	 
148049	3	1	 	 	1	 
148051	1	36	 	 	2	 
148051	2	62	 	 	 	2
148051	3	98	 	 	 	 
158001	1	41	 	 	 	2
158001	2	98	 	 	 	 
158001	3	98	 	 	 	 
158002	1	39	 	 	3	 
158002	2	98	 	 	 	 
158002	3	98	 	 	 	 
158003	1	98	 	 	 	 
158003	2	98	 	 	 	 
158003	3	98	 	 	 	 
158005	1	98	 	 	 	 
158005	2	98	 	 	 	 
158005	3	98	 	 	 	 
158006	1	98	 	 	 	 
158006	2	98	 	 	 	 
158006	3	98	 	 	 	 
158007	1	28	3	3	3	2
158007	2	98	 	 	 	 
158007	3	98	 	 	 	 
158008	1	98	 	 	 	 
158008	2	98	 	 	 	 
158008	3	98	 	 	 	 
158009	1	98	 	 	 	 
158009	2	98	 	 	 	 
158009	3	98	 	 	 	 
158010	1	98	 	 	 	 
158010	2	98	 	 	 	 
158010	3	98	 	 	 	 
158011	1	98	 	 	 	 
158011	2	98	 	 	 	 
158011	3	98	 	 	 	 
158013	1	39	 	4	 	 
158013	2	69	 	 	3	 
158013	3	98	 	 	 	 
158014	1	37	 	 	4	 
158014	2	28	 	 	4	 
158014	3	98	 	 	 	 
158015	1	40	 	4	 	 
158015	2	98	 	 	 	 
158015	3	98	 	 	 	 
158016	1	98	 	 	 	 
158016	2	98	 	 	 	 
158016	3	98	 	 	 	 
158017	1	39	 	3	3	3
158017	2	98	 	 	 	 
158017	3	98	 	 	 	 
158018	1	45	 	77	77	4
158018	2	98	 	 	 	 
158018	3	98	 	 	 	 
158019	1	98	 	 	 	 
158019	2	98	 	 	 	 
158019	3	98	 	 	 	 
158021	1	98	 	 	 	 
158021	2	98	 	 	 	 
158021	3	98	 	 	 	 
158022	1	98	 	 	 	 
158022	2	98	 	 	 	 
158022	3	98	 	 	 	 
158023	1	98	 	 	 	 
158023	2	98	 	 	 	 
158023	3	98	 	 	 	 
158024	1	98	 	 	 	 
158024	2	98	 	 	 	 
158024	3	98	 	 	 	 
158025	1	98	 	 	 	 
158025	2	98	 	 	 	 
158025	3	98	 	 	 	 
158026	1	1	4	 	 	 
158026	2	29	 	4	 	 
158026	3	98	 	 	 	 
158031	1	98	 	 	 	 
158031	2	98	 	 	 	 
158031	3	98	 	 	 	 
158032	1	2	 	 	 	2
158032	2	98	 	 	 	 
158032	3	98	 	 	 	 
158033	1	98	 	 	 	 
158033	2	98	 	 	 	 
158033	3	98	 	 	 	 
158034	1	45	 	 	2	2
158034	2	62	 	 	 	1
158034	3	98	 	 	 	 
158035	1	98	 	 	 	 
158035	2	98	 	 	 	 
158035	3	98	 	 	 	 
158036	1	98	 	 	 	 
158036	2	98	 	 	 	 
158036	3	98	 	 	 	 
158037	1	98	 	 	 	 
158037	2	98	 	 	 	 
158037	3	98	 	 	 	 
158038	1	98	 	 	 	 
158038	2	98	 	 	 	 
158038	3	98	 	 	 	 
158039	1	98	 	 	 	 
158039	2	98	 	 	 	 
158039	3	98	 	 	 	 
158040	1	41	 	2	 	 
158040	2	45	 	 	 	2
158040	3	98	 	 	 	 
158041	1	98	 	 	 	 
158041	2	98	 	 	 	 
158041	3	98	 	 	 	 
158042	1	28	4	4	4	3
158042	2	38	3	3	3	3
158042	3	98	 	 	 	 
158043	1	29	4	 	 	 
158043	2	98	 	 	 	 
158043	3	98	 	 	 	 
158044	1	39	 	 	4	 
158044	2	98	 	 	 	 
158044	3	98	 	 	 	 
158045	1	98	 	 	 	 
158045	2	98	 	 	 	 
158045	3	98	 	 	 	 
158046	1	45	 	 	 	4
158046	2	98	 	 	 	 
158046	3	98	 	 	 	 
158047	1	98	 	 	 	 
158047	2	98	 	 	 	 
158047	3	98	 	 	 	 
158048	1	98	 	 	 	 
158048	2	98	 	 	 	 
158048	3	98	 	 	 	 
158050	1	98	 	 	 	 
158050	2	98	 	 	 	 
158050	3	98	 	 	 	 
158051	1	41	 	2	 	 
158051	2	98	 	 	 	 
158051	3	98	 	 	 	 
158052	1	62	 	 	2	 
158052	2	98	 	 	 	 
158052	3	98	 	 	 	 
158053	1	98	 	 	 	 
158053	2	98	 	 	 	 
158053	3	98	 	 	 	 
158054	1	98	 	 	 	 
158054	2	98	 	 	 	 
158054	3	98	 	 	 	 
158055	1	41	 	 	3	 
158055	2	98	 	 	 	 
158055	3	98	 	 	 	 
158056	1	45	 	3	 	4
158056	2	98	 	 	 	 
158056	3	98	 	 	 	 
158057	1	98	 	 	 	 
158057	2	98	 	 	 	 
158057	3	98	 	 	 	 
168001	1	98	 	 	 	 
168001	2	98	 	 	 	 
168001	3	98	 	 	 	 
168002	1	98	 	 	 	 
168002	2	98	 	 	 	 
168002	3	98	 	 	 	 
168005	1	98	 	 	 	 
168005	2	98	 	 	 	 
168005	3	98	 	 	 	 
168006	1	98	 	 	 	 
168006	2	98	 	 	 	 
168006	3	98	 	 	 	 
168007	1	98	 	 	 	 
168007	2	98	 	 	 	 
168007	3	98	 	 	 	 
168008	1	39	 	 	 	3
168008	2	98	 	 	 	 
168008	3	98	 	 	 	 
168009	1	38	 	 	4	 
168009	2	98	 	 	 	 
168009	3	98	 	 	 	 
168010	1	2	 	 	3	 
168010	2	24	 	 	3	 
168010	3	38	 	 	2	2
168011	1	39	 	4	 	 
168011	2	45	 	2	 	 
168011	3	98	 	 	 	 
168012	1	2	 	 	 	2
168012	2	98	 	 	 	 
168012	3	98	 	 	 	 
168013	1	25	 	4	 	 
168013	2	27	4	4	4	 
168013	3	62	 	 	4	 
168015	1	38	 	 	3	 
168015	2	39	 	 	 	4
168015	3	45	 	 	3	 
168016	1	39	 	3	 	 
168016	2	98	 	 	 	 
168016	3	98	 	 	 	 
168017	1	37	 	 	3	 
168017	2	27	2	 	 	 
168017	3	24	 	 	 	2
168018	1	98	 	 	 	 
168018	2	98	 	 	 	 
168018	3	98	 	 	 	 
168020	1	41	 	2	 	 
168020	2	98	 	 	 	 
168020	3	98	 	 	 	 
168022	1	98	 	 	 	 
168022	2	98	 	 	 	 
168022	3	98	 	 	 	 
168024	1	98	 	 	 	 
168024	2	98	 	 	 	 
168024	3	98	 	 	 	 
168025	1	41	 	 	 	3
168025	2	98	 	 	 	 
168025	3	98	 	 	 	 
178001	1	1	 	2	2	 
178001	2	2	 	2	2	 
178001	3	6	 	1	1	 
178002	1	35	 	 	 	4
178002	2	98	 	 	 	 
178002	3	98	 	 	 	 
178003	1	2	 	1	1	 
178003	2	38	 	 	 	3
178003	3	42	 	 	2	 
178004	1	98	 	 	 	 
178004	2	98	 	 	 	 
178004	3	98	 	 	 	 
178006	1	98	 	 	 	 
178006	2	98	 	 	 	 
178006	3	98	 	 	 	 
178007	1	98	 	 	 	 
178007	2	98	 	 	 	 
178007	3	98	 	 	 	 
178009	1	20	 	3	3	3
178009	2	42	3	3	3	3
178009	3	2	2	2	2	2
178010	1	98	 	 	 	 
178010	2	98	 	 	 	 
178010	3	98	 	 	 	 
178011	1	39	 	 	2	2
178011	2	98	 	 	 	 
178011	3	98	 	 	 	 
178015	1	98	 	 	 	 
178015	2	98	 	 	 	 
178015	3	98	 	 	 	 
178016	1	62	 	4	 	 
178016	2	63	 	4	 	 
178016	3	12	 	 	3	2
178019	1	62	 	 	3	 
178019	2	69	 	 	 	2
178019	3	98	 	 	 	 
178020	1	40	4	 	 	 
178020	2	2	 	 	 	4
178020	3	62	 	4	 	 
178021	1	98	 	 	 	 
178021	2	98	 	 	 	 
178021	3	98	 	 	 	 
178022	1	39	 	1	 	 
178022	2	98	 	 	 	 
178022	3	98	 	 	 	 
178024	1	24	 	 	4	 
178024	2	98	 	 	 	 
178024	3	98	 	 	 	 
178027	1	2	4	 	 	 
178027	2	42	 	 	 	4
178027	3	37	 	 	 	2
178028	1	98	 	 	 	 
178028	2	98	 	 	 	 
178028	3	98	 	 	 	 
178029	1	5	 	4	 	 
178029	2	38	 	3	 	 
178029	3	98	 	 	 	 
178031	1	41	 	 	 	3
178031	2	98	 	 	4	 
178031	3	98	 	 	 	 
178033	1	98	 	 	 	 
178033	2	98	 	 	 	 
178033	3	98	 	 	 	 
178034	1	5	 	 	2	 
178034	2	24	 	 	2	 
178034	3	38	 	 	 	3
178035	1	41	 	2	2	 
178035	2	98	 	 	 	 
178035	3	98	 	 	 	 
178036	1	42	3	3	4	3
178036	2	24	 	 	3	 
178036	3	29	 	 	3	 
188001	1	98	 	 	 	 
188001	2	98	 	 	 	 
188001	3	98	 	 	 	 
188002	1	40	 	 	 	4
188002	2	98	 	 	 	 
188002	3	98	 	 	 	 
188003	1	98	 	 	 	 
188003	2	98	 	 	 	 
188003	3	98	 	 	 	 
188004	1	62	 	4	 	 
188004	2	42	 	 	 	2
188004	3	98	 	 	 	 
188005	1	45	 	 	 	4
188005	2	27	 	 	 	2
188005	3	98	 	 	 	 
188006	1	45	 	 	3	3
188006	2	20	 	 	3	 
188006	3	98	 	 	 	 
188007	1	69	 	 	 	4
188007	2	98	 	 	 	 
188007	3	98	 	 	 	 
188008	1	27	 	 	2	 
188008	2	42	 	 	3	 
188008	3	14	3	 	 	 
188010	1	14	 	4	 	3
188010	2	24	 	 	4	 
188010	3	98	 	 	 	 
188011	1	12	 	 	2	2
188011	2	13	 	 	 	2
188011	3	42	4	4	4	4
188012	1	1	 	 	2	 
188012	2	98	 	 	 	 
188012	3	98	 	 	 	 
188013	1	98	 	 	 	 
188013	2	98	 	 	 	 
188013	3	98	 	 	 	 
188015	1	38	 	 	 	4
188015	2	27	 	 	2	 
188015	3	24	 	2	2	 
188016	1	98	 	 	 	 
188016	2	98	 	 	 	 
188016	3	98	 	 	 	 
188017	1	13	3	3	3	3
188017	2	24	 	 	2	 
188017	3	27	2	2	2	2
188018	1	27	 	 	4	 
188018	2	24	 	 	2	 
188018	3	45	 	 	 	 
188020	1	98	 	 	 	 
188020	2	98	 	 	 	 
188020	3	98	 	 	 	 
188021	1	37	2	2	 	 
188021	2	24	 	 	4	4
188021	3	98	 	 	 	 
188022	1	41	 	1	 	 
188022	2	98	 	 	 	 
188022	3	98	 	 	 	 
188023	1	27	 	4	 	 
188023	2	24	 	 	 	2
188023	3	98	 	 	 	 
188024	1	37	 	2	 	 
188024	2	98	 	 	 	 
188024	3	98	 	 	 	 
188025	1	39	 	 	 	2
188025	2	98	 	 	 	 
188025	3	98	 	 	 	 
188026	1	35	3	 	 	 
188026	2	24	 	 	 	2
188026	3	27	 	 	 	2
198001	1	20	 	 	4	4
198001	2	98	 	 	 	 
198001	3	98	 	 	 	 
198002	1	20	 	 	4	4
198002	2	62	4	4	 	 
198002	3	41	 	 	2	 
198003	1	98	 	 	 	 
198003	2	98	 	 	 	 
198003	3	98	 	 	 	 
198006	1	98	 	 	 	 
198006	2	98	 	 	 	 
198006	3	98	 	 	 	 
198007	1	98	 	 	 	 
198007	2	98	 	 	 	 
198007	3	98	 	 	 	 
198008	1	29	 	 	 	3
198008	2	98	 	 	 	 
198008	3	98	 	 	 	 
198009	1	42	 	4	4	4
198009	2	45	 	 	3	 
198009	3	98	 	 	 	 
198011	1	98	 	 	 	 
198011	2	98	 	 	 	 
198011	3	98	 	 	 	 
198012	1	98	 	 	 	 
198012	2	98	 	 	 	 
198012	3	98	 	 	 	 
198013	1	29	 	 	4	 
198013	2	28	 	 	4	 
198013	3	98	 	 	 	 
198014	1	98	 	 	 	 
198014	2	98	 	 	 	 
198014	3	98	 	 	 	 
198015	1	98	 	 	 	 
198015	2	98	 	 	 	 
198015	3	98	 	 	 	 
198016	1	98	 	 	 	 
198016	2	98	 	 	 	 
198016	3	98	 	 	 	 
198017	1	98	 	 	 	 
198017	2	98	 	 	 	 
198017	3	98	 	 	 	 
198018	1	1	 	 	2	 
198018	2	2	 	 	 	4
198018	3	39	2	 	 	 
198019	1	24	4	4	4	4
198019	2	98	 	 	 	 
198019	3	98	 	 	 	 
198021	1	39	 	 	 	3
198021	2	98	 	 	 	 
198021	3	98	 	 	 	 
198022	1	38	 	 	 	2
198022	2	98	 	 	 	 
198022	3	98	 	 	 	 
198024	1	98	 	 	 	 
198024	2	98	 	 	 	 
198024	3	98	 	 	 	 
198025	1	28	 	 	 	3
198025	2	29	 	 	 	3
198025	3	39	 	 	3	 
198026	1	98	 	 	 	 
198026	2	98	 	 	 	 
198026	3	98	 	 	 	 
198027	1	38	2	 	 	 
198027	2	98	 	 	 	 
198027	3	98	 	 	 	 
198028	1	39	2	3	3	2
198028	2	42	 	3	 	 
198028	3	29	 	4	 	 
198030	1	98	 	 	 	 
198030	2	98	 	 	 	 
198030	3	98	 	 	 	 
198031	1	37	2	2	2	2
198031	2	38	2	2	2	2
198031	3	98	 	 	 	 
208001	1	42	4	4	4	4
208001	2	63	 	4	 	 
208001	3	98	 	 	 	 
208002	1	20	 	 	 	4
208002	2	27	 	 	 	1
208002	3	98	 	 	 	 
208003	1	38	 	 	2	2
208003	2	62	 	 	4	4
208003	3	1	 	 	 	2
208006	1	36	 	 	 	4
208006	2	1	 	 	3	 
208006	3	98	 	 	 	 
208007	1	62	 	 	4	 
208007	2	38	 	 	2	 
208007	3	98	 	 	2	 
208008	1	45	 	3	 	 
208008	2	98	 	 	 	 
208008	3	98	 	 	 	 
208009	1	39	 	 	 	4
208009	2	98	 	 	 	 
208009	3	98	 	 	 	 
208011	1	98	 	 	 	 
208011	2	98	 	 	 	 
208011	3	98	 	 	 	 
208012	1	37	 	 	4	 
208012	2	2	 	 	 	4
208012	3	42	 	2	 	 
208013	1	37	 	 	2	2
208013	2	98	 	 	 	 
208013	3	98	 	 	 	 
208015	1	42	3	 	 	 
208015	2	69	 	 	 	2
208015	3	98	 	 	 	 
208017	1	98	 	 	 	 
208017	2	98	 	 	 	 
208017	3	98	 	 	 	 
208018	1	20	 	 	3	 
208018	2	41	 	 	1	 
208018	3	98	 	 	 	 
208019	1	38	 	 	 	4
208019	2	98	 	 	 	 
208019	3	98	 	 	 	 
208020	1	20	 	 	 	3
208020	2	36	2	 	 	 
208020	3	42	 	 	3	 
208021	1	2	4	4	 	 
208021	2	62	4	4	 	 
208021	3	63	4	3	 	 
208022	1	62	 	 	 	2
208022	2	41	 	 	2	 
208022	3	98	 	 	 	 
208023	1	98	 	 	 	 
208023	2	98	 	 	 	 
208023	3	98	 	 	 	 
208024	1	98	 	 	 	 
208024	2	98	 	 	 	 
208024	3	98	 	 	 	 
208025	1	2	 	4	 	 
208025	2	20	 	4	4	3
208025	3	62	 	 	2	 
208026	1	1	 	4	 	 
208026	2	45	 	 	3	3
208026	3	42	2	2	2	2
208027	1	36	 	4	 	 
208027	2	98	 	 	 	 
208027	3	98	 	 	 	 
208028	1	98	 	 	 	 
208028	2	98	 	 	 	 
208028	3	98	 	 	 	 
208029	1	98	 	 	 	 
208029	2	98	 	 	 	 
208029	3	98	 	 	 	 
208030	1	12	 	 	 	4
208030	2	98	 	 	 	 
208030	3	98	 	 	 	 
208031	1	98	 	 	 	 
208031	2	98	 	 	 	 
208031	3	98	 	 	 	 
208032	1	12	3	 	 	 
208032	2	27	 	 	3	 
208032	3	42	4	 	 	 
208033	1	42	 	 	4	4
208033	2	37	 	3	 	 
208033	3	27	 	 	2	 
208034	1	36	 	 	 	4
208034	2	1	 	4	 	 
208034	3	20	4	 	 	 
208037	1	40	3	3	3	3
208037	2	36	4	 	 	 
208037	3	38	 	3	 	 
208038	1	42	3	3	3	3
208038	2	38	 	 	4	 
208038	3	98	 	 	 	 
208040	1	98	 	 	 	 
208040	2	98	 	 	 	 
208040	3	98	 	 	 	 
208041	1	98	 	 	 	 
208041	2	98	 	 	 	 
208041	3	98	 	 	 	 
208042	1	63	 	 	4	4
208042	2	1	 	 	4	 
208042	3	98	 	 	 	 
208043	1	42	 	 	4	4
208043	2	2	 	2	 	 
208043	3	40	 	 	 	2
208044	1	2	 	4	 	 
208044	2	98	 	 	 	 
208044	3	98	 	 	 	 
208046	1	38	 	3	 	 
208046	2	39	 	2	2	 
208046	3	98	 	 	 	 
208047	1	98	 	 	 	 
208047	2	98	 	 	 	 
208047	3	98	 	 	 	 
208048	1	38	 	 	 	4
208048	2	36	 	 	2	 
208048	3	98	 	 	 	 
208049	1	2	4	 	 	 
208049	2	98	 	 	 	 
208049	3	98	 	 	 	 
208050	1	2	 	4	3	 
208050	2	38	 	 	3	 
208050	3	98	 	 	 	 
208051	1	1	 	4	 	 
208051	2	42	 	 	 	3
208051	3	45	 	 	4	4
