CHILDCODE	MEMIDR5	EXISTHH	ALIVE	MEMMOVR5	LIVHSER5	YRDIEDR5	MEMAGER5	AGEMTHR5	MEMSEXR5	RELATER5	MTHBRNR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	GETMOMBIRTH	GETCHILDBIRTH	THSDISR5	BRNDISR5	GRADER5	STILLR5	WHYNOTR5	AGEGRDR5	SCHTYPR5	LSTTYPR5
18001	0	1	1	1	1	 	22	 	2	0	 	10	3	0	1	98	0	0	 	 	10	0	 	 	 	3
18001	1	1	1	1	1	 	38	 	2	1	 	2	1	0	98	98	0	0	 	 	9	0	 	 	 	4
18001	2	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18001	3	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18001	15	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18001	16	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18001	17	1	1	1	1	 	3	 	2	27	 	10	 	0	0	98	0	0	 	 	20	1	 	 	4	 
18001	18	1	1	1	1	 	6	 	2	9	9	10	 	0	1	98	0	0	 	 	1	1	 	 	4	 
18001	19	 	 	1	1	 	2	 	1	27	 	10	 	0	0	98	 	 	 	 	 	 	 	 	 	 
18001	20	 	 	1	1	 	34	 	1	21	 	1	1	0	98	98	 	 	 	 	 	 	 	 	 	 
18001	21	 	 	1	2	 	30	 	1	25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18002	0	1	1	 	1	 	21	 	1	0	 	3	6	0	2	1	0	0	 	 	14	0	 	 	 	1
18002	1	1	1	 	1	 	45	 	1	1	 	1	1	0	98	98	0	0	 	 	11	0	 	 	 	4
18002	2	1	1	 	1	 	42	 	2	1	 	2	1	0	98	98	0	0	 	 	14	0	 	 	 	4
18002	15	1	1	 	1	 	17	 	1	7	9	3	6	0	2	1	0	0	 	 	11	1	 	 	4	 
18003	0	1	1	 	1	 	22	 	1	0	 	3	6	0	2	1	0	0	 	 	10	0	 	 	 	4
18003	1	1	1	 	1	 	57	 	1	1	 	1	3	0	98	98	0	0	 	 	6	0	 	 	 	4
18003	2	1	1	 	1	 	45	 	2	1	 	2	3	0	98	98	0	0	 	 	6	0	 	 	 	4
18003	3	1	 	 	4	 	25	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18003	4	1	1	 	1	 	23	 	1	7	 	3	3	0	2	1	0	0	 	 	11	0	 	 	 	4
18003	5	1	1	 	1	 	54	 	1	13	 	10	6	0	98	98	0	0	 	 	 	 	 	 	 	 
18003	6	 	 	 	1	 	19	 	2	16	 	4	1	0	98	98	 	 	 	 	 	 	 	 	 	 
18003	7	 	 	 	1	 	2	 	2	15	 	5	 	0	6	4	 	 	 	 	 	 	 	 	 	 
18004	0	1	1	1	1	 	21	 	2	0	 	2	1	0	98	98	0	0	 	 	9	0	 	 	 	4
18004	1	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	2	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	3	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	15	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	16	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	17	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	18	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	19	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	20	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	21	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	22	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	23	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18004	24	1	1	1	1	 	4	 	1	27	 	10	 	0	0	98	0	0	 	 	20	1	 	 	4	 
18004	25	 	 	1	1	 	25	 	1	25	 	1	1	0	98	98	 	 	 	 	11	0	 	 	 	4
18004	26	 	 	1	1	 	0	11	2	27	 	3	 	0	0	25	 	 	 	 	 	 	 	 	 	 
18005	0	1	1	 	1	 	22	 	2	0	 	2	3	0	98	98	0	0	 	 	9	0	 	 	 	4
