CHILDCODE	DINT	R4HSEHLD	HEADIDR5	IDvar1	IDvar7	ASTWRKR5	IDvar3	DSCCURR5	DSCAGOR5	WHYCHR51	WHYCHR52	CMPHHR5	IDvar5	IDvar6	OWNHSER5	MRTGR5	NUMRMR5	ELECR5	WALLR5	ROOFR5	FLOORR5	DRWTRR5	WTRTRMR5	TOILETR5	COOKR5	HTUSDR5	TYPHTR5	RURICKR5	INVESTR5	INVSTR51	INVSTR52	INVSTR53	HRDJNTR5	APPJNTR5	SMTJNTR5	SYRJNTR5	EMTJNTR5	EYRJNTR5	TIMJNTR5	EXPJNTR5	AFFJNTR5	NUMJNTR5	EVLJNTR5	HRDBONR5	AFFBONR5	NUMBONR5	MTBONOR5	YRBONOR5	ENDDINT	hhsize	elecq	drwaterq	toiletq	cookingq	hq	cd	sv	wi
18001	12/08/2016 10:32:46	0	20	1	1	1	1	4	5	16	9	4	1	1	1	0	5	1	3	4	1	1	1	1	8	0	 	88	1	8	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	12/08/2016 11:02:06	6	1	1	1	1	.750362277030945	.833333313465118	1	.861231863498688
18002	18/08/2016 10:31:55	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	3	1	2	6	1	1	2	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	18/08/2016 10:54:11	4	1	1	1	1	.500320494174957	.666666686534882	1	.722329080104828
18003	17/08/2016 14:32:06	1	2	2	2	1	2	4	5	31	88	5	2	2	1	0	2	1	2	6	4	1	2	6	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	17/08/2016 15:01:20	7	1	1	1	1	.250087589025497	.5	1	.583362519741058
18004	17/08/2016 17:51:26	0	25	0	0	0	0	3	4	16	10	4	0	0	1	0	2	1	21	6	4	1	1	1	8	0	 	88	1	8	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	17/08/2016 18:17:25	4	1	1	1	1	.25019508600235	.5	1	.583398342132568
18005	16/08/2016 13:53:55	1	5	0	0	0	0	3	3	 	 	4	0	0	1	0	2	1	2	6	1	1	5	1	8	0	 	88	1	6	7	88	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	16/08/2016 14:14:39	4	1	1	1	1	.50019508600235	.666666686534882	1	.722287237644196
18006	09/08/2016 17:28:20	1	2	2	2	0	2	3	3	 	 	4	2	2	1	0	2	1	16	6	1	1	1	1	8	0	 	88	1	7	4	88	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/08/2016 17:51:53	7	1	1	1	1	.500087559223175	.666666686534882	1	.722251415252686
18007	15/08/2016 17:08:24	1	1	2	2	0	2	4	4	 	 	5	2	2	1	0	1	1	21	6	4	1	5	1	8	0	 	88	1	7	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	15/08/2016 17:28:31	5	1	1	1	1	.250044584274292	.25	1	.500014841556549
18008	18/08/2016 15:53:21	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	4	1	3	6	21	1	1	1	8	0	 	88	1	1	88	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	18/08/2016 16:14:43	4	1	1	1	1	.500445902347565	.666666686534882	1	.722370862960815
18009	16/08/2016 11:02:29	1	2	2	2	0	2	3	3	 	 	3	2	2	1	0	2	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	16/08/2016 11:21:41	5	1	1	1	1	.750144898891449	.583333313465118	1	.777826070785522
18010	10/08/2016 09:43:36	1	1	2	2	1	2	4	3	72	88	4	2	2	1	0	3	1	2	6	1	1	2	1	8	0	 	88	1	5	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	10/08/2016 10:03:24	4	1	1	1	1	.500320494174957	.5	1	.666773498058319
18011	10/08/2016 16:13:04	1	18	0	0	1	0	3	4	22	88	4	0	0	1	0	1	1	7	6	4	1	5	1	8	0	 	88	1	15	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	10/08/2016 16:32:28	3	1	1	1	1	.25011146068573	.583333313465118	1	.611148297786713
18012	11/08/2016 09:15:35	1	2	2	2	0	2	3	3	 	 	4	2	2	1	0	2	1	3	6	21	1	5	1	8	0	 	88	1	7	88	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	11/08/2016 09:51:11	3	1	1	1	1	.500278651714325	.583333313465118	1	.694537341594696
18013	09/08/2016 09:17:23	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	4	1	2	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/08/2016 09:54:51	4	1	1	1	1	.500445902347565	.75	1	.750148594379425
