CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
10051	1	 	 	 	 	 	 	 	 
10051	2	 	 	 	 	 	 	 	 
10051	3	 	 	 	 	 	 	 	 
10052	1	 	 	 	 	 	 	 	 
10052	2	 	 	 	 	 	 	 	 
10052	3	 	 	 	 	 	 	 	 
10053	1	16	 	 	4	 	8	16	2
10053	2	88	 	 	 	 	 	 	 
10053	3	88	 	 	 	 	 	 	 
10055	1	 	 	 	 	 	 	 	 
10055	2	 	 	 	 	 	 	 	 
10055	3	 	 	 	 	 	 	 	 
10057	1	61	 	 	2	 	17	4	88
10057	2	88	 	 	 	 	 	 	 
10057	3	88	 	 	 	 	 	 	 
10060	1	 	 	 	 	 	 	 	 
10060	2	 	 	 	 	 	 	 	 
10060	3	 	 	 	 	 	 	 	 
10061	1	47	 	2	2	 	2	88	 
10061	2	88	 	 	 	 	 	 	 
10061	3	88	 	 	 	 	 	 	 
10062	1	 	 	 	 	 	 	 	 
10062	2	 	 	 	 	 	 	 	 
10062	3	 	 	 	 	 	 	 	 
10063	1	 	 	 	 	 	 	 	 
10063	2	 	 	 	 	 	 	 	 
10063	3	 	 	 	 	 	 	 	 
10064	1	 	 	 	 	 	 	 	 
10064	2	 	 	 	 	 	 	 	 
10064	3	 	 	 	 	 	 	 	 
10065	1	 	 	 	 	 	 	 	 
10065	2	 	 	 	 	 	 	 	 
10065	3	 	 	 	 	 	 	 	 
10066	1	39	 	4	4	3	25	9	17
10066	2	47	3	3	4	4	2	18	7
10066	3	88	 	 	 	 	 	 	 
10067	1	 	 	 	 	 	 	 	 
10067	2	 	 	 	 	 	 	 	 
10067	3	 	 	 	 	 	 	 	 
10068	1	 	 	 	 	 	 	 	 
10068	2	 	 	 	 	 	 	 	 
10068	3	 	 	 	 	 	 	 	 
10069	1	 	 	 	 	 	 	 	 
10069	2	 	 	 	 	 	 	 	 
10069	3	 	 	 	 	 	 	 	 
10070	1	 	 	 	 	 	 	 	 
10070	2	 	 	 	 	 	 	 	 
10070	3	 	 	 	 	 	 	 	 
10071	1	 	 	 	 	 	 	 	 
10071	2	 	 	 	 	 	 	 	 
10071	3	 	 	 	 	 	 	 	 
10072	1	36	2	 	 	 	9	7	 
10072	2	88	 	 	 	 	 	 	 
10072	3	88	 	 	 	 	 	 	 
10073	1	 	 	 	 	 	 	 	 
10073	2	 	 	 	 	 	 	 	 
10073	3	 	 	 	 	 	 	 	 
10074	1	39	 	 	3	 	16	88	 
10074	2	23	2	 	 	 	6	88	 
10074	3	88	 	 	 	 	 	 	 
10075	1	39	 	 	 	3	7	 	 
10075	2	38	 	 	 	2	7	 	 
10075	3	88	 	 	 	 	 	 	 
10076	1	 	 	 	 	 	 	 	 
10076	2	 	 	 	 	 	 	 	 
10076	3	 	 	 	 	 	 	 	 
10077	1	45	4	 	 	 	6	2	18
10077	2	88	 	 	 	 	 	 	 
10077	3	88	 	 	 	 	 	 	 
10079	1	 	 	 	 	 	 	 	 
10079	2	 	 	 	 	 	 	 	 
10079	3	 	 	 	 	 	 	 	 
10080	1	 	 	 	 	 	 	 	 
10080	2	 	 	 	 	 	 	 	 
10080	3	 	 	 	 	 	 	 	 
10081	1	 	 	 	 	 	 	 	 
10081	2	 	 	 	 	 	 	 	 
10081	3	 	 	 	 	 	 	 	 
10082	1	47	 	 	4	 	18	88	 
10082	2	88	 	 	 	 	 	 	 
10082	3	88	 	 	 	 	 	 	 
10083	1	 	 	 	 	 	 	 	 
10083	2	 	 	 	 	 	 	 	 
10083	3	 	 	 	 	 	 	 	 
10084	1	 	 	 	 	 	 	 	 
10084	2	 	 	 	 	 	 	 	 
10084	3	 	 	 	 	 	 	 	 
10085	1	 	 	 	 	 	 	 	 
10085	2	 	 	 	 	 	 	 	 
10085	3	 	 	 	 	 	 	 	 
10086	1	16	 	 	4	 	2	7	 
10086	2	88	 	 	 	 	 	 	 
10086	3	88	 	 	 	 	 	 	 
10087	1	39	 	 	2	 	16	18	88
10087	2	88	 	 	 	 	 	 	 
10087	3	88	 	 	 	 	 	 	 
10088	1	36	2	 	 	 	9	7	 
10088	2	88	 	 	 	 	 	 	 
10088	3	88	 	 	 	 	 	 	 
10089	1	16	 	 	4	 	18	2	88
10089	2	42	3	3	3	 	2	7	 
10089	3	88	 	 	 	 	 	 	 
10091	1	 	 	 	 	 	 	 	 
10091	2	 	 	 	 	 	 	 	 
10091	3	 	 	 	 	 	 	 	 
10093	1	38	3	3	3	3	7	 	 
10093	2	88	 	 	 	 	 	 	 
10093	3	88	 	 	 	 	 	 	 
10094	1	38	2	2	2	2	7	 	 
10094	2	88	 	 	 	 	 	 	 
10094	3	88	 	 	 	 	 	 	 
10095	1	47	4	4	4	4	18	1	7
10095	2	88	 	 	 	 	 	 	 
10095	3	88	 	 	 	 	 	 	 
10096	1	47	 	4	3	3	18	2	88
10096	2	88	 	 	 	 	 	 	 
10096	3	88	 	 	 	 	 	 	 
10097	1	39	 	 	2	 	17	88	 
10097	2	88	 	 	 	 	 	 	 
10097	3	88	 	 	 	 	 	 	 
10098	1	39	 	 	3	3	7	 	 
10098	2	37	 	 	3	 	7	 	 
10098	3	88	 	 	 	 	 	 	 
10099	1	 	 	 	 	 	 	 	 
10099	2	 	 	 	 	 	 	 	 
10099	3	 	 	 	 	 	 	 	 
10100	1	47	 	 	3	3	8	88	 
10100	2	88	 	 	 	 	 	 	 
10100	3	88	 	 	 	 	 	 	 
20001	1	47	 	 	 	4	2	88	 
20001	2	88	 	 	 	 	 	 	 
20001	3	88	 	 	 	 	 	 	 
20002	1	35	 	 	4	 	9	8	2
20002	2	88	 	 	 	 	 	 	 
20002	3	88	 	 	 	 	 	 	 
20003	1	16	 	 	2	 	9	88	 
20003	2	88	 	 	 	 	 	 	 
20003	3	88	 	 	 	 	 	 	 
20004	1	 	 	 	 	 	 	 	 
20004	2	 	 	 	 	 	 	 	 
20004	3	 	 	 	 	 	 	 	 
20005	1	47	2	2	2	2	2	88	 
20005	2	88	 	 	 	 	 	 	 
20005	3	88	 	 	 	 	 	 	 
20007	1	39	 	 	 	3	10	88	 
20007	2	47	 	3	3	3	2	1	88
20007	3	88	 	 	 	 	 	 	 
20008	1	 	 	 	 	 	 	 	 
20008	2	 	 	 	 	 	 	 	 
20008	3	 	 	 	 	 	 	 	 
20011	1	 	 	 	 	 	 	 	 
20011	2	 	 	 	 	 	 	 	 
20011	3	 	 	 	 	 	 	 	 
20012	1	47	 	 	4	4	2	17	88
20012	2	39	 	 	 	3	17	88	 
20012	3	88	 	 	 	 	 	 	 
20013	1	16	 	4	 	 	6	88	 
20013	2	47	 	 	 	3	2	17	88
20013	3	88	 	 	 	 	 	 	 
20014	1	 	 	 	 	 	 	 	 
20014	2	 	 	 	 	 	 	 	 
20014	3	 	 	 	 	 	 	 	 
20015	1	47	 	 	3	3	2	1	9
20015	2	88	 	 	 	 	 	 	 
20015	3	88	 	 	 	 	 	 	 
20018	1	47	 	3	3	3	2	88	 
20018	2	88	 	 	 	 	 	 	 
20018	3	88	 	 	 	 	 	 	 
20019	1	39	 	 	 	3	17	9	88
20019	2	47	 	 	3	2	2	88	 
20019	3	88	 	 	 	 	 	 	 
20020	1	47	 	 	4	4	2	88	 
20020	2	88	 	 	 	 	 	 	 
20020	3	88	 	 	 	 	 	 	 
20022	1	47	 	 	2	2	2	88	 
20022	2	88	 	 	 	 	 	 	 
20022	3	88	 	 	 	 	 	 	 
20023	1	34	 	3	 	 	8	2	88
20023	2	47	 	3	3	3	2	9	1
20023	3	88	 	 	 	 	 	 	 
20024	1	 	 	 	 	 	 	 	 
20024	2	 	 	 	 	 	 	 	 
20024	3	 	 	 	 	 	 	 	 
20025	1	36	 	4	 	 	8	2	88
20025	2	47	 	 	 	3	2	1	88
20025	3	88	 	 	 	 	 	 	 
20026	1	 	 	 	 	 	 	 	 
20026	2	 	 	 	 	 	 	 	 
20026	3	 	 	 	 	 	 	 	 
20027	1	 	 	 	 	 	 	 	 
20027	2	 	 	 	 	 	 	 	 
20027	3	 	 	 	 	 	 	 	 
20028	1	 	 	 	 	 	 	 	 
20028	2	 	 	 	 	 	 	 	 
20028	3	 	 	 	 	 	 	 	 
20029	1	37	 	 	2	 	9	88	 
20029	2	88	 	 	 	 	 	 	 
20029	3	88	 	 	 	 	 	 	 
20030	1	 	 	 	 	 	 	 	 
20030	2	 	 	 	 	 	 	 	 
20030	3	 	 	 	 	 	 	 	 
20031	1	 	 	 	 	 	 	 	 
20031	2	 	 	 	 	 	 	 	 
20031	3	 	 	 	 	 	 	 	 
20032	1	16	 	 	3	 	2	88	 
20032	2	47	 	 	2	2	2	88	 
20032	3	88	 	 	 	 	 	 	 
20033	1	47	 	 	 	2	2	88	 
20033	2	88	 	 	 	 	 	 	 
20033	3	88	 	 	 	 	 	 	 
20034	1	38	 	 	3	 	2	88	 
20034	2	88	 	 	 	 	 	 	 
20034	3	88	 	 	 	 	 	 	 
20035	1	42	 	 	 	3	2	88	 
20035	2	40	 	2	 	 	7	 	 
20035	3	39	 	 	 	2	2	88	 
20036	1	 	 	 	 	 	 	 	 
20036	2	 	 	 	 	 	 	 	 
20036	3	 	 	 	 	 	 	 	 
20037	1	14	 	 	 	4	18	2	88
20037	2	88	 	 	 	 	 	 	 
20037	3	88	 	 	 	 	 	 	 
20038	1	16	3	 	 	 	7	 	 
20038	2	88	 	 	 	 	 	 	 
20038	3	88	 	 	 	 	 	 	 
20039	1	16	 	 	3	 	18	88	 
20039	2	47	 	 	 	2	2	18	88
20039	3	88	 	 	 	 	 	 	 
20040	1	39	 	 	3	4	2	9	88
20040	2	88	 	 	 	 	 	 	 
20040	3	88	 	 	 	 	 	 	 
20041	1	47	 	 	3	3	2	88	 
20041	2	88	 	 	 	 	 	 	 
20041	3	88	 	 	 	 	 	 	 
20042	1	38	 	 	4	 	9	17	88
20042	2	39	 	 	3	 	17	9	88
20042	3	47	2	 	2	2	1	2	6
20044	1	47	 	 	3	3	2	17	88
20044	2	88	 	 	 	 	 	 	 
20044	3	88	 	 	 	 	 	 	 
20045	1	16	 	 	 	4	9	88	 
20045	2	88	 	 	 	 	 	 	 
20045	3	88	 	 	 	 	 	 	 
20046	1	47	 	3	3	3	2	1	88
20046	2	88	 	 	 	 	 	 	 
20046	3	88	 	 	 	 	 	 	 
20047	1	 	 	 	 	 	 	 	 
20047	2	 	 	 	 	 	 	 	 
20047	3	 	 	 	 	 	 	 	 
20048	1	 	 	 	 	 	 	 	 
20048	2	 	 	 	 	 	 	 	 
20048	3	 	 	 	 	 	 	 	 
20049	1	23	 	 	4	 	2	18	88
20049	2	88	 	 	 	 	 	 	 
20049	3	88	 	 	 	 	 	 	 
20050	1	 	 	 	 	 	 	 	 
20050	2	 	 	 	 	 	 	 	 
20050	3	 	 	 	 	 	 	 	 
20051	1	47	 	 	4	4	2	88	 
20051	2	88	 	 	 	 	 	 	 
20051	3	88	 	 	 	 	 	 	 
20052	1	14	 	 	4	 	9	88	 
20052	2	88	 	 	 	 	 	 	 
20052	3	88	 	 	 	 	 	 	 
20053	1	47	 	 	4	4	2	88	 
20053	2	88	 	 	 	 	 	 	 
20053	3	88	 	 	 	 	 	 	 
20054	1	24	 	4	4	4	1	20	88
20054	2	29	 	4	4	4	1	20	88
20054	3	88	 	 	 	 	 	 	 
20055	1	47	 	3	3	3	2	88	 
20055	2	88	 	 	 	 	 	 	 
20055	3	88	 	 	 	 	 	 	 
20056	1	 	 	 	 	 	 	 	 
20056	2	 	 	 	 	 	 	 	 
20056	3	 	 	 	 	 	 	 	 
20058	1	 	 	 	 	 	 	 	 
20058	2	 	 	 	 	 	 	 	 
20058	3	 	 	 	 	 	 	 	 
20059	1	 	 	 	 	 	 	 	 
20059	2	 	 	 	 	 	 	 	 
20059	3	 	 	 	 	 	 	 	 
