CHILDCODE	CROPIDR4	CROPR5	QNTHRVR5	LUHARVR5	VLPRDR5	VLSLDR5	CRPCSTR5
20054	1	5	9	2	5400	0	4824
20054	2	75	16	2	11200	8400	3000
20054	3	125	1	2	1100	0	195
20054	4	44	1	2	500	0	0
20054	5	50	12	2	3600	3600	1100
20054	6	96	1	2	1200	0	400
20076	1	76	3	2	3	0	0
30062	1	55	2	2	640	0	370
30062	2	41	12	3	1400	0	250
30062	3	17	5	1	340	0	0
40023	1	36	3	1	420	0	0
40033	1	75	10	3	4000	400	1500
40033	2	130	5	3	1500	0	0
40036	1	10	6	95	30	0	5
40037	1	75	5	3	2850	0	1145
40037	2	5	6	3	2508	0	275
40047	1	8	1	2	2000	0	500
40048	1	44	6	2	3000	0	450
40055	1	75	5	2	250	3300	561.5
40055	2	76	4	2	250	3960	561.5
40084	1	75	2	2	1500	-88	750
40084	2	125	50	1	675	-88	750
40084	3	75	1	2	750	-88	800
40085	1	36	2	1	400	0	0
40086	1	75	10	2	8000	1600	2600
50001	1	130	3	2	1250	0	600
50001	2	76	3	2	3600	0	600
50002	1	5	2	2	1500	0	400
50002	2	130	2.5	2	2150	0	600
50002	3	15	1	2	1250	0	450
50004	1	64	5	3	2000	200	60
50004	2	75	2	3	1000	0	300
50004	3	44	1	3	420	0	30
50004	4	36	10	26	600	540	300
50007	1	27	2	41	200	0	0
50008	1	130	5	2	3750	0	0
50008	2	8	50	1	510	0	0
50008	3	42	24	1	800	0	0
50008	4	125	100	1	500	0	0
50009	1	125	2	2	1800	0	500
50009	2	75	4	2	3200	0	400
50009	3	130	2	2	1200	0	400
50009	4	43	25	1	600	0	150
50009	5	76	2	2	2400	0	400
50010	1	64	3	2	1980	0	300
50010	2	130	2	2	1500	0	200
50010	3	76	1.5	2	1800	0	300
50010	4	15	.5	2	760	0	200
50010	6	20	1	2	800	0	150
50011	1	64	5	2	3500	0	400
50011	2	125	2	2	2400	0	200
50011	3	76	1	2	1200	0	150
50011	4	75	2	2	1800	0	150
50019	1	5	2	2	1600	0	500
50019	2	125	0	1	0	0	500
50020	1	130	17	3	6800	-77	2000
50020	2	5	6	3	2100	350	-77
50021	1	130	100	1	1080	0	0
50021	2	75	150	1	1420	0	0
50021	3	125	60	1	1000	0	0
50021	4	23	60	1	1000	0	0
50021	5	43	15	1	150	0	0
50022	1	5	14	3	4284	1224	0
50022	2	76	7	3	3500	-77	500
50023	1	75	2	2	1300	0	250
50023	2	130	2	2	1200	0	300
50024	1	75	8	3	7200	230	800
50024	2	76	5	3	3000	350	450
50026	1	64	6	2	4000	0	700
50026	2	125	3	2	3600	0	200
50027	1	130	10	3	4000	0	0
50027	2	8	5	3	4000	500	350
50028	1	130	16	3	5760	0	1000
50028	2	76	7	3	3500	500	450
50032	1	75	2	2	1380	0	325
50038	1	64	4	2	2800	0	400
50038	2	130	5.5	2	4125	0	400
50038	3	68	2	2	2100	0	400
50038	4	125	2	2	2400	0	400
50040	1	76	8	3	6400	0	1500
50040	2	125	2	3	1800	0	0
50041	1	75	15	3	6750	1800	2350
50041	2	76	2	3	1800	0	405
50042	1	76	1.5	2	1575	0	450
50042	2	130	5	2	3750	0	600
50042	3	125	2	2	2400	0	500
50045	1	75	10	3	4000	0	1480
50045	2	64	8	3	3200	0	60
