CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5	SUPRIDR5
10005	1	12	33	2007	9999	1	0
10008	1	12	33	1995	9999	1	0
10010	1	12	33	1995	9999	1	0
10015	1	18	6	2002	9999	1	70
10016	1	18	6	2002	9999	1	70
10021	1	18	6	2007	9999	1	70
10021	2	19	60	2008	9999	7	2
10022	1	 	 	 	 	 	 
10022	2	 	 	 	 	 	 
10028	1	5	13	2006	2008	1	5
10031	1	17	33	1995	9999	1	15
10037	1	18	6	2000	9999	1	70
10038	1	17	33	1995	9999	1	5
10040	1	12	33	2001	9999	1	15
10041	1	17	33	1995	9999	1	15
10042	1	12	33	2001	9999	1	0
10043	1	18	6	2002	9999	1	70
10045	1	12	60	2006	9999	1	5
10046	1	17	33	1995	9999	1	15
10050	1	18	6	2004	9999	2	70
10055	1	18	6	1995	9999	1	70
10055	2	8	6	1995	9999	1	4
10057	1	12	33	1998	9999	7	15
10061	1	18	6	1998	9999	1	70
10065	1	8	6	1998	9999	1	70
10067	1	8	6	2002	9999	1	70
10070	1	25	35	2009	9999	88	70
10071	1	18	6	2002	9999	1	70
10072	1	12	33	1999	9999	1	80
10073	1	12	33	1998	9999	1	0
10074	1	8	6	2206	9999	5	5
10075	1	18	60	2008	9999	88	70
10076	1	8	6	1998	9999	2	70
10077	1	8	6	1998	9999	2	2
10080	1	5	43	2006	2008	7	3
10080	2	17	33	1996	9999	1	0
10081	1	8	6	1998	9999	5	3
10082	1	8	6	1998	9999	1	2
10083	1	18	5	2005	9999	1	70
10085	1	8	5	1998	9999	7	2
10086	1	12	33	1995	9999	1	0
10087	1	8	6	1996	9999	5	70
10088	1	12	33	1999	9999	1	80
10094	1	 	 	 	 	 	 
10097	1	18	6	2003	9999	1	70
10099	1	18	6	1998	9999	1	70
20003	1	12	52	2002	9999	1	0
20003	2	18	6	2000	9999	6	70
20007	1	25	6	2006	9999	8	1
20008	1	5	35	1989	9999	7	80
20012	1	16	35	2006	2006	9	80
20014	1	18	6	2004	9999	1	70
20014	2	8	6	1994	2007	7	2
20020	1	17	52	2004	9999	1	0
20022	1	25	35	2007	9999	8	70
20023	1	25	6	2006	9999	9	80
20024	1	18	6	2008	9999	7	70
20025	1	18	6	2008	9999	9	80
20028	1	17	60	2001	9999	2	0
20028	2	25	60	1998	9999	9	0
20029	1	25	35	2008	9999	8	1
20029	2	18	6	2005	9999	7	70
20030	1	12	52	1997	9999	2	16
20030	2	12	60	2005	9999	2	20
20030	3	18	6	2000	9999	7	2
20032	1	17	52	1998	9999	1	15
20034	1	25	6	1990	9999	8	70
20036	1	5	35	2007	9999	7	2
20038	1	12	52	1998	9999	1	0
20038	2	21	60	2008	2009	1	70
20038	3	18	6	2002	9999	7	70
20038	4	12	60	2007	9999	1	9
20039	1	17	52	2004	9999	1	0
20042	1	5	60	2007	9999	1	2
20044	1	25	6	2008	9999	6	18
20044	2	8	6	2008	9999	5	2
20045	1	18	5	2006	9999	7	70
20046	1	12	60	1999	9999	1	0
20049	1	18	6	2006	9999	5	70
20049	2	5	58	2004	9999	7	2
20050	1	18	6	2006	9999	8	70
20051	1	17	60	1994	9999	1	0
20052	1	18	6	2005	9999	7	70
20054	1	1	5	1998	9999	1	4
20054	2	5	13	1998	9999	1	5
20054	3	1	60	2006	9999	8	5
20055	1	17	60	2001	9999	1	0
20059	1	5	52	2007	9999	1	2
20059	2	18	6	2006	9999	8	70
20060	1	5	13	2008	2009	7	2
20061	1	18	6	1995	9999	5	70
20065	1	5	13	2008	9999	9	3
20066	1	16	35	2008	2008	9	80
20068	1	18	6	2008	9999	8	70
