CHILDCODE	ASSTIDR4	ASSETR5	TOTASSR5	ASACTR5	NMOWNR5	VLASTR5
10001	1	 	 	 	 	 
10001	2	 	 	 	 	 
10001	3	 	 	 	 	 
10002	1	 	 	 	 	 
10002	2	 	 	 	 	 
10002	3	 	 	 	 	 
10004	1	 	 	 	 	 
10004	2	 	 	 	 	 
10004	3	 	 	 	 	 
10005	1	 	 	 	 	 
10005	2	 	 	 	 	 
10005	3	 	 	 	 	 
10006	1	 	 	 	 	 
10006	2	 	 	 	 	 
10006	3	 	 	 	 	 
10007	1	23	1	23	1	10000
10007	2	88	 	 	 	 
10007	3	88	 	 	 	 
10008	1	88	 	 	 	 
10008	2	88	 	 	 	 
10008	3	88	 	 	 	 
10009	1	 	 	 	 	 
10009	2	 	 	 	 	 
10009	3	 	 	 	 	 
10010	1	 	 	 	 	 
10010	2	 	 	 	 	 
10010	3	 	 	 	 	 
10011	1	 	 	 	 	 
10011	2	 	 	 	 	 
10011	3	 	 	 	 	 
10012	1	20	3	5	3	18000
10012	2	88	 	 	 	 
10012	3	88	 	 	 	 
10014	1	 	 	 	 	 
10014	2	 	 	 	 	 
10014	3	 	 	 	 	 
10015	1	23	3	23	3	280
10015	2	88	 	 	 	 
10015	3	88	 	 	 	 
10016	1	23	50	23	50	2000
10016	2	88	 	 	 	 
10016	3	88	 	 	 	 
10017	1	 	 	 	 	 
10017	2	 	 	 	 	 
10017	3	 	 	 	 	 
10018	1	 	 	 	 	 
10018	2	 	 	 	 	 
10018	3	 	 	 	 	 
10020	1	 	 	 	 	 
10020	2	 	 	 	 	 
10020	3	 	 	 	 	 
10021	1	15	5	8	5	2000
10021	2	88	 	 	 	 
10021	3	88	 	 	 	 
10022	1	23	10	23	0	 
10022	2	88	 	 	 	 
10022	3	88	 	 	 	 
10023	1	 	 	 	 	 
10023	2	 	 	 	 	 
10023	3	 	 	 	 	 
10024	1	8	10	11	10	15000
10024	2	88	 	 	 	 
10024	3	88	 	 	 	 
10025	1	24	3	23	3	3
10025	2	88	 	 	 	 
10025	3	88	 	 	 	 
10026	1	 	 	 	 	 
10026	2	 	 	 	 	 
10026	3	 	 	 	 	 
10028	1	30	3	31	3	300000
10028	2	88	 	 	 	 
10028	3	88	 	 	 	 
10029	1	15	40	12	40	5000
10029	2	88	 	 	 	 
10029	3	88	 	 	 	 
10030	1	 	 	 	 	 
10030	2	 	 	 	 	 
10030	3	 	 	 	 	 
10031	1	88	 	 	 	 
10031	2	88	 	 	 	 
10031	3	88	 	 	 	 
10032	1	24	1	23	1	-88
10032	2	88	 	 	 	 
10032	3	88	 	 	 	 
10033	1	 	 	 	 	 
10033	2	 	 	 	 	 
10033	3	 	 	 	 	 
10035	1	 	 	 	 	 
10035	2	 	 	 	 	 
10035	3	 	 	 	 	 
10036	1	 	 	 	 	 
10036	2	 	 	 	 	 
10036	3	 	 	 	 	 
10037	1	30	5	26	0	 
10037	2	88	 	 	 	 
10037	3	88	 	 	 	 
10038	1	15	15	12	15	250
10038	2	88	 	 	 	 
10038	3	88	 	 	 	 
10040	1	 	 	 	 	 
10040	2	 	 	 	 	 
10040	3	 	 	 	 	 
10041	1	21	2	21	2	9000
10041	2	88	 	 	 	 
10041	3	88	 	 	 	 
10042	1	 	 	 	 	 
10042	2	 	 	 	 	 
10042	3	 	 	 	 	 
10043	1	12	6	8	6	5600
10043	2	23	2	23	2	250
10043	3	88	 	 	 	 
10044	1	 	 	 	 	 
10044	2	 	 	 	 	 
10044	3	 	 	 	 	 
10045	1	 	 	 	 	 
10045	2	 	 	 	 	 
10045	3	 	 	 	 	 
10046	1	23	3	23	3	1300
10046	2	24	1	23	1	800
10046	3	88	 	 	 	 
10047	1	12	10	5	10	500
10047	2	88	 	 	 	 
10047	3	88	 	 	 	 
10049	1	 	 	 	 	 
10049	2	 	 	 	 	 
10049	3	 	 	 	 	 
10050	1	30	4	7	0	 
10050	2	88	 	 	 	 
10050	3	88	 	 	 	 
10051	1	24	5	23	5	10000
10051	2	88	 	 	 	 
10051	3	88	 	 	 	 
10052	1	 	 	 	 	 
10052	2	 	 	 	 	 
10052	3	 	 	 	 	 
10053	1	 	 	 	 	 
10053	2	 	 	 	 	 
10053	3	 	 	 	 	 
10055	1	 	 	 	 	 
10055	2	 	 	 	 	 
10055	3	 	 	 	 	 
10057	1	23	3	23	1	280
10057	2	88	 	 	 	 
10057	3	88	 	 	 	 
10060	1	12	2	5	2	500
10060	2	88	 	 	 	 
10060	3	88	 	 	 	 
10061	1	22	2	23	2	4500
10061	2	88	 	 	 	 
10061	3	88	 	 	 	 
10062	1	14	6000	88	6000	30000
10062	2	88	 	 	 	 
10062	3	88	 	 	 	 
10063	1	 	 	 	 	 
10063	2	 	 	 	 	 
10063	3	 	 	 	 	 
10064	1	 	 	 	 	 
10064	2	 	 	 	 	 
10064	3	 	 	 	 	 
10065	1	24	40	23	40	8000
10065	2	88	 	 	 	 
10065	3	88	 	 	 	 
10066	1	9	12	2	12	18000
10066	2	88	 	 	 	 
10066	3	88	 	 	 	 
10067	1	17	6	16	0	 
10067	2	88	 	 	 	 
10067	3	88	 	 	 	 
10068	1	12	3	5	3	300
10068	2	88	 	 	 	 
10068	3	88	 	 	 	 
10069	1	15	5	12	5	2500
10069	2	88	 	 	 	 
10069	3	88	 	 	 	 
10070	1	15	10	12	10	10000
10070	2	88	 	 	 	 
10070	3	88	 	 	 	 
10071	1	30	4	28	0	 
10071	2	24	2	23	2	180
10071	3	88	 	 	 	 
10072	1	13	7	7	7	860
10072	2	88	 	 	 	 
10072	3	88	 	 	 	 
10073	1	 	 	 	 	 
10073	2	 	 	 	 	 
10073	3	 	 	 	 	 
10074	1	15	3	12	0	 
10074	2	88	 	 	 	 
10074	3	88	 	 	 	 
10075	1	2	5	24	5	5000
10075	2	88	 	 	 	 
10075	3	88	 	 	 	 
10076	1	30	1	26	0	 
10076	2	88	 	 	 	 
10076	3	88	 	 	 	 
10077	1	15	6	12	6	480
10077	2	23	3	23	3	180
10077	3	88	 	 	 	 
10079	1	 	 	 	 	 
10079	2	 	 	 	 	 
10079	3	 	 	 	 	 
10080	1	15	1	12	1	700
10080	2	88	 	 	 	 
10080	3	88	 	 	 	 
10081	1	23	20	23	20	800
10081	2	88	 	 	 	 
10081	3	88	 	 	 	 
10082	1	16	1	88	0	 
10082	2	12	3	8	3	650
10082	3	88	 	 	 	 
10083	1	17	8	16	6	2400
10083	2	88	 	 	 	 
10083	3	88	 	 	 	 
10084	1	20	1	5	1	200
10084	2	20	2	5	2	100
10084	3	88	 	 	 	 
10085	1	30	2	28	0	 
10085	2	88	 	 	 	 
10085	3	88	 	 	 	 
10086	1	23	2	23	2	7000
10086	2	88	 	 	 	 
10086	3	88	 	 	 	 
10087	1	15	3	12	3	210
10087	2	25	1	28	0	 
10087	3	88	 	 	 	 
10088	1	13	7	7	7	860
10088	2	88	 	 	 	 
10088	3	88	 	 	 	 
10089	1	30	1	31	0	 
10089	2	88	 	 	 	 
10089	3	88	 	 	 	 
10091	1	24	5	23	5	30000
10091	2	88	 	 	 	 
10091	3	88	 	 	 	 
10093	1	30	-88	5	-88	0
10093	2	88	 	 	 	 
10093	3	88	 	 	 	 
10094	1	 	 	 	 	 
10094	2	 	 	 	 	 
10094	3	 	 	 	 	 
10095	1	15	20	12	20	200
10095	2	88	 	 	 	 
10095	3	88	 	 	 	 
10096	1	 	 	 	 	 
10096	2	 	 	 	 	 
10096	3	 	 	 	 	 
10097	1	30	12	26	12	14000
10097	2	88	 	 	 	 
10097	3	88	 	 	 	 
10098	1	 	 	 	 	 
10098	2	 	 	 	 	 
10098	3	 	 	 	 	 
10099	1	 	 	 	 	 
10099	2	 	 	 	 	 
10099	3	 	 	 	 	 
10100	1	 	 	 	 	 
10100	2	 	 	 	 	 
10100	3	 	 	 	 	 
20001	1	 	 	 	 	 
20001	2	 	 	 	 	 
20001	3	 	 	 	 	 
20002	1	 	 	 	 	 
20002	2	 	 	 	 	 
20002	3	 	 	 	 	 
20003	1	 	 	 	 	 
20003	2	 	 	 	 	 
20003	3	 	 	 	 	 
20004	1	25	1	24	0	 
20004	2	88	 	 	 	 
20004	3	88	 	 	 	 
20005	1	13	12	7	12	3000
20005	2	30	1	31	1	-77
20005	3	88	 	 	 	 
20007	1	 	 	 	 	 
20007	2	 	 	 	 	 
20007	3	 	 	 	 	 
20008	1	21	2	21	2	14000
20008	2	88	 	 	 	 
20008	3	88	 	 	 	 
20011	1	30	4	31	4	-77
20011	2	88	 	 	 	 
20011	3	88	 	 	 	 
20012	1	 	 	 	 	 
20012	2	 	 	 	 	 
20012	3	 	 	 	 	 
20013	1	 	 	 	 	 
20013	2	 	 	 	 	 
20013	3	 	 	 	 	 
20014	1	15	1	12	1	400
20014	2	88	 	 	 	 
20014	3	88	 	 	 	 
20015	1	 	 	 	 	 
20015	2	 	 	 	 	 
20015	3	 	 	 	 	 
20018	1	 	 	 	 	 
20018	2	 	 	 	 	 
20018	3	 	 	 	 	 
20019	1	 	 	 	 	 
20019	2	 	 	 	 	 
20019	3	 	 	 	 	 
20020	1	 	 	 	 	 
20020	2	 	 	 	 	 
20020	3	 	 	 	 	 
20022	1	 	 	 	 	 
20022	2	 	 	 	 	 
20022	3	 	 	 	 	 
20023	1	 	 	 	 	 
20023	2	 	 	 	 	 
20023	3	 	 	 	 	 
20024	1	30	3	31	3	-77
20024	2	88	 	 	 	 
20024	3	88	 	 	 	 
20025	1	 	 	 	 	 
20025	2	 	 	 	 	 
20025	3	 	 	 	 	 
20026	1	 	 	 	 	 
20026	2	 	 	 	 	 
20026	3	 	 	 	 	 
20027	1	15	20	12	20	2200
20027	2	88	 	 	 	 
20027	3	88	 	 	 	 
20028	1	 	 	 	 	 
20028	2	 	 	 	 	 
20028	3	 	 	 	 	 
20029	1	30	3	26	0	 
20029	2	88	 	 	 	 
20029	3	88	 	 	 	 
20030	1	 	 	 	 	 
20030	2	 	 	 	 	 
20030	3	 	 	 	 	 
20031	1	13	16	7	6	930
20031	2	88	 	 	 	 
20031	3	88	 	 	 	 
