CHILDCODE	SRMNIDR5	RMTR5	AMNTCAR5	AMNTKIR5
10001	1	N	 	 
10001	2	N	 	 
10001	3	N	 	 
10001	4	N	 	 
10001	5	N	 	 
10001	6	N	 	 
10001	7	N	 	 
10001	8	Y	20000	10000
10001	9	N	 	 
10001	10	N	 	 
10001	11	N	 	 
10001	12	N	 	 
10001	13	N	 	 
10002	1	N	 	 
10002	2	N	 	 
10002	3	N	 	 
10002	4	N	 	 
10002	5	N	 	 
10002	6	N	 	 
10002	7	N	 	 
10002	8	N	 	 
10002	9	N	 	 
10002	10	N	 	 
10002	11	N	 	 
10002	12	N	 	 
10002	13	N	 	 
10004	1	N	 	 
10004	2	N	 	 
10004	3	N	 	 
10004	4	N	 	 
10004	5	N	 	 
10004	6	N	 	 
10004	7	N	 	 
10004	8	N	 	 
10004	9	N	 	 
10004	10	N	 	 
10004	11	N	 	 
10004	12	N	 	 
10004	13	N	 	 
10005	1	N	 	 
10005	2	N	 	 
10005	3	N	 	 
10005	4	N	 	 
10005	5	N	 	 
10005	6	N	 	 
10005	7	N	 	 
10005	8	N	 	 
10005	9	N	 	 
10005	10	N	 	 
10005	11	N	 	 
10005	12	N	 	 
10005	13	N	 	 
10006	1	N	 	 
10006	2	N	 	 
10006	3	N	 	 
10006	4	N	 	 
10006	5	N	 	 
10006	6	N	 	 
10006	7	N	 	 
10006	8	N	 	 
10006	9	N	 	 
10006	10	N	 	 
10006	11	N	 	 
10006	12	N	 	 
10006	13	N	 	 
10007	1	N	 	 
10007	2	N	 	 
10007	3	N	 	 
10007	4	N	 	 
10007	5	N	 	 
10007	6	N	 	 
10007	7	N	 	 
10007	8	N	 	 
10007	9	N	 	 
10007	10	N	 	 
10007	11	N	 	 
10007	12	N	 	 
10007	13	Y	0	5000
10008	1	N	 	 
10008	2	N	 	 
10008	3	N	 	 
10008	4	N	 	 
10008	5	N	 	 
10008	6	Y	500	0
10008	7	N	 	 
10008	8	Y	8000	10000
10008	9	N	 	 
10008	10	N	 	 
10008	11	N	 	 
10008	12	N	 	 
10008	13	N	 	 
10009	1	Y	24000	0
10009	2	N	 	 
10009	3	N	 	 
10009	4	N	 	 
10009	5	N	 	 
10009	6	N	 	 
10009	7	N	 	 
10009	8	Y	6000	0
10009	9	N	 	 
10009	10	N	 	 
10009	11	N	 	 
10009	12	N	 	 
10009	13	Y	8000	1500
10010	1	N	 	 
10010	2	N	 	 
10010	3	N	 	 
10010	4	N	 	 
10010	5	N	 	 
10010	6	N	 	 
10010	7	N	 	 
10010	8	N	 	 
10010	9	N	 	 
10010	10	N	 	 
10010	11	N	 	 
10010	12	N	 	 
10010	13	N	 	 
10011	1	N	 	 
10011	2	N	 	 
10011	3	N	 	 
10011	4	N	 	 
10011	5	N	 	 
10011	6	N	 	 
10011	7	N	 	 
10011	8	N	 	 
10011	9	N	 	 
10011	10	N	 	 
10011	11	N	 	 
10011	12	N	 	 
10011	13	N	 	 
10012	1	N	 	 
10012	2	N	 	 
10012	3	N	 	 
10012	4	N	 	 
10012	5	N	 	 
10012	6	N	 	 
10012	7	N	 	 
10012	8	Y	1000	2000
10012	9	N	 	 
10012	10	N	 	 
10012	11	N	 	 
10012	12	N	 	 
10012	13	N	 	 
10014	1	N	 	 
10014	2	N	 	 
10014	3	N	 	 
10014	4	N	 	 
10014	5	N	 	 
10014	6	N	 	 
10014	7	N	 	 
10014	8	N	 	 
10014	9	N	 	 
10014	10	N	 	 
10014	11	N	 	 
10014	12	N	 	 
10014	13	N	 	 
10015	1	Y	8400	0
10015	2	N	 	 
10015	3	N	 	 
10015	4	N	 	 
10015	5	N	 	 
10015	6	N	 	 
10015	7	N	 	 
10015	8	N	 	 
10015	9	N	 	 
10015	10	N	 	 
10015	11	N	 	 
10015	12	N	 	 
10015	13	N	 	 
10016	1	N	 	 
10016	2	N	 	 
10016	3	N	 	 
10016	4	N	 	 
10016	5	N	 	 
10016	6	N	 	 
10016	7	N	 	 
10016	8	N	 	 
10016	9	N	 	 
10016	10	N	 	 
10016	11	N	 	 
10016	12	N	 	 
10016	13	N	 	 
10017	1	N	 	 
10017	2	N	 	 
10017	3	N	 	 
10017	4	N	 	 
10017	5	N	 	 
10017	6	N	 	 
10017	7	N	 	 
10017	8	Y	4600	18000
10017	9	N	 	 
10017	10	N	 	 
10017	11	N	 	 
10017	12	N	 	 
10017	13	N	 	 
10018	1	N	 	 
10018	2	N	 	 
10018	3	N	 	 
10018	4	N	 	 
10018	5	N	 	 
10018	6	N	 	 
10018	7	N	 	 
10018	8	N	 	 
10018	9	N	 	 
10018	10	Y	30000	7000
10018	11	N	 	 
10018	12	N	 	 
10018	13	N	 	 
10020	1	N	 	 
10020	2	N	 	 
10020	3	N	 	 
10020	4	N	 	 
10020	5	N	 	 
10020	6	N	 	 
10020	7	N	 	 
10020	8	N	 	 
10020	9	N	 	 
10020	10	N	 	 
10020	11	N	 	 
10020	12	N	 	 
10020	13	N	 	 
10021	1	N	 	 
10021	2	N	 	 
10021	3	N	 	 
10021	4	N	 	 
10021	5	N	 	 
