CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5	SLVALR5
10016	14	N	 	 
10016	15	Y	1	1800
10016	16	N	 	 
10016	17	N	 	 
10016	18	N	 	 
10016	20	N	 	 
10016	21	Y	1	4000
10017	1	N	 	 
10017	2	Y	1	300
10017	3	N	 	 
10017	4	N	 	 
10017	5	N	 	 
10017	6	N	 	 
10017	7	Y	3	1200
10017	8	Y	4	200
10017	9	N	 	 
10017	10	N	 	 
10017	11	Y	2	600
10017	12	N	 	 
10017	13	N	 	 
10017	14	N	 	 
10017	15	N	 	 
10017	16	N	 	 
10017	17	N	 	 
10017	18	N	 	 
10017	20	N	 	 
10017	21	N	 	 
10018	1	Y	1	5000
10018	2	N	 	 
10018	3	N	 	 
10018	4	N	 	 
10018	5	N	 	 
10018	6	N	 	 
10018	7	Y	2	5000
10018	8	N	 	 
10018	9	Y	1	1000
10018	10	N	 	 
10018	11	N	 	 
10018	12	Y	1	7000
10018	13	Y	2	2500
10018	14	N	 	 
10018	15	N	 	 
10018	16	N	 	 
10018	17	N	 	 
10018	18	N	 	 
10018	20	N	 	 
10018	21	N	 	 
10020	1	Y	1	500
10020	2	N	 	 
10020	3	N	 	 
10020	4	N	 	 
10020	5	N	 	 
10020	6	N	 	 
10020	7	Y	3	600
10020	8	Y	2	100
10020	9	N	 	 
10020	10	N	 	 
10020	11	Y	1	1000
10020	12	N	 	 
10020	13	N	 	 
10020	14	N	 	 
10020	15	N	 	 
10020	16	N	 	 
10020	17	N	 	 
10020	18	N	 	 
10020	20	Y	2	800
10020	21	N	 	 
10021	1	Y	1	2500
10021	2	Y	1	1000
10021	3	N	 	 
10021	4	N	 	 
10021	5	N	 	 
10021	6	N	 	 
10021	7	Y	3	2000
10021	8	N	 	 
10021	9	Y	1	700
10021	10	N	 	 
10021	11	Y	1	2000
10021	12	N	 	 
10021	13	N	 	 
10021	14	N	 	 
10021	15	Y	1	1000
10021	16	N	 	 
10021	17	N	 	 
10021	18	N	 	 
10021	20	Y	1	1000
10021	21	Y	1	1000
10022	1	Y	1	1500
10022	2	N	 	 
10022	3	N	 	 
10022	4	N	 	 
10022	5	N	 	 
10022	6	N	 	 
10022	7	Y	1	1200
10022	8	N	 	 
10022	9	N	 	 
10022	10	N	 	 
10022	11	Y	1	1000
10022	12	N	 	 
10022	13	Y	1	50
10022	14	N	 	 
10022	15	N	 	 
10022	16	N	 	 
10022	17	N	 	 
10022	18	N	 	 
10022	20	Y	2	600
10022	21	N	 	 
10023	1	Y	1	700
10023	2	N	 	 
10023	3	N	 	 
10023	4	N	 	 
10023	5	N	 	 
10023	6	N	 	 
10023	7	N	 	 
10023	8	N	 	 
10023	9	N	 	 
10023	10	N	 	 
10023	11	Y	1	1000
10023	12	N	 	 
10023	13	N	 	 
10023	14	N	 	 
10023	15	Y	1	300
