CHILDCODE	LIDR4	GAVCRDR5	WHORCVR5	TKEOUTR5	LOANMTR5	LOANYRR5	AMTCRDR5	INTRTR5	AMTINTR5	FINPAYR5	PYTIMER5	NOBACKR5
10004	1	10	3	2	6	2008	400	0	 	1	1	 
10005	1	10	2	7	2	2009	200	0	 	1	1	 
10005	2	10	2	15	1	2009	150	0	 	1	1	 
10006	1	10	2	2	2	2009	1000	0	 	1	1	 
10012	1	10	2	10	3	2009	12000	0	 	0	 	 
10015	1	8	2	19	5	2008	300	0	 	1	1	 
10020	1	8	6	6	1	2009	200	0	 	1	1	 
10021	1	10	2	10	2	2009	2000	0	 	1	1	 
10022	1	10	3	7	1	2009	1000	0	 	0	 	 
10024	1	10	10	1	5	2008	100000	0	 	0	 	 
10028	1	7	0	4	3	2008	5000	-77	14	1	1	 
10028	2	7	5	4	3	2007	5000	-77	14	1	1	 
10030	1	8	4	10	11	2007	200	0	 	1	1	 
10031	1	10	2	19	1	2009	3000	0	 	0	 	 
10038	1	10	2	6	2	2009	400	0	 	0	 	 
10038	2	10	2	7	77	2007	1000	0	 	1	1	 
10040	1	10	2	2	1	2009	300	0	 	1	1	 
10040	2	8	2	2	3	2008	300	0	 	0	 	 
10042	1	10	2	2	6	2008	500	0	 	1	1	 
10043	1	10	2	19	4	2008	400	0	 	1	1	 
10046	1	8	1	19	3	2008	100000	0	 	0	 	 
10053	1	10	5	2	9	2008	10000	0	 	0	 	 
10055	1	10	1	3	8	2008	8000	0	 	0	 	 
10057	1	10	2	2	1	2008	200	0	 	1	1	 
10061	1	10	2	2	10	2008	200	0	 	1	1	 
10062	1	8	2	15	11	2008	13000	0	 	0	 	 
10062	2	8	2	2	1	2009	2500	0	 	1	1	 
10062	3	10	2	2	3	2007	800	0	 	1	1	 
10063	1	10	13	2	10	2008	500	0	 	1	1	 
10072	1	10	1	5	4	2008	200	0	 	1	1	 
10074	1	8	5	7	4	2007	800	0	 	1	1	 
10080	1	5	3	18	2	2008	1500	-77	1550	1	1	 
10082	1	10	2	2	1	2009	150	0	 	1	1	 
10086	1	 	 	 	 	 	 	 	 	 	 	 
10086	2	 	 	 	 	 	 	 	 	 	 	 
10087	1	10	2	6	4	2008	800	0	 	1	1	 
10088	1	10	17	5	4	2008	200	0	 	1	1	 
10091	1	8	0	10	12	2008	200000	0	 	0	 	 
10096	1	7	1	16	7	2008	50000	-77	23000	0	 	 
10098	1	10	2	7	6	2008	2000	0	 	1	1	 
20027	1	10	4	2	2	2009	300	0	 	1	1	 
20027	2	10	4	2	12	2008	300	0	 	1	1	 
20042	1	6	1	19	1	2009	3000	12	 	0	 	 
20045	1	8	2	4	1	2009	500	0	 	0	 	 
20045	2	10	2	4	1	2009	200	0	 	0	 	 
20049	1	15	2	19	8	2008	1000	5	 	0	 	 
20049	2	15	2	19	11	2007	500	5	 	1	1	 
20049	3	15	2	19	8	2006	300	5	 	1	1	 
20050	1	10	2	2	5	2008	200	0	 	1	1	 
20050	2	10	2	2	7	2008	300	0	 	1	1	 
20050	3	10	2	2	5	2007	300	0	 	1	1	 
20052	1	10	3	2	2	2008	200	0	 	1	1	 
20052	2	8	3	2	3	2009	400	0	 	0	 	 
20054	1	7	5	1	5	2007	5000	18	 	1	1	 
20054	2	7	6	1	6	2008	8000	18	 	1	1	 
20056	1	10	2	2	3	2008	1000	0	 	1	1	 
