CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
11033	11/08/2016	3	13	3	1	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11034	16/08/2016	2	7	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11035	30/01/2017	2	5	2	2	31	31	31	 	13	 	 	0	 	 	 	5	1	1	0	1	0	0	1	1	1	0	 	1	PE80C17	0	 	 	 	0	 	1	1
11036	11/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11037	09/08/2016	3	3	10	3	31	31	31	 	24	 	 	0	 	 	 	 	77	1	1	1	0	1	1	1	88	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11038	09/08/2016	2	4	7	2	31	31	31	 	24	 	 	0	 	 	 	2	1	0	 	 	 	 	1	1	1	0	 	1	PE01C01	0	 	 	 	0	 	1	1
11039	08/10/2016	2	4	1	2	31	31	31	 	14	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	0	 	0	 	 	 	1	PE82MC77	1	0
11040	13/08/2016	3	7	5	3	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11041	20/08/2016	2	3	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	0	 	0	 	 	 	1	PE83MC58	2	0
11042	22/08/2016	1	5	1	1	31	31	31	 	24	 	 	0	 	 	 	1	1	1	0	1	0	0	1	1	1	0	 	1	PE01C01	0	 	 	 	0	 	1	1
11043	13/08/2016	18	5	17	18	31	31	31	 	24	 	 	1	1	 	 	 	1	0	 	 	 	 	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	1
11044	15/08/2016	2	6	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	1	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11045	10/08/2016	2	5	6	2	31	31	31	 	24	 	 	0	 	 	 	1	1	1	1	1	1	0	88	 	 	0	 	1	PE01C01	0	 	 	 	0	 	1	1
11046	18/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11047	13/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	1	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11048	20/08/2016	1	4	7	1	31	31	31	 	71	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	0	 	0	 	 	 	1	PE81MC85	1	0
11049	10/08/2016	2	7	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11050	15/08/2016	2	3	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C02	0	 	 	 	0	 	1	0
11051	11/08/2016	2	6	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	1	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
