CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5	SUPRIDR5	SUPEXPR5	SUPIMR501	SUPIMR502
10003	1	12	36	2012	99	1	80	3	4	6
10014	1	5	36	2014	2016	6	3	3	4	1
10016	1	16	36	2011	99	1	80	4	1	6
10018	1	12	36	2014	2016	8	2	4	4	6
10024	1	12	36	2013	99	8	1	3	1	4
10030	1	16	36	2011	99	6	80	4	6	4
10035	1	12	36	2009	99	1	80	3	2	4
10044	1	12	36	2013	2016	1	0	4	4	1
10045	1	 	 	 	 	 	 	 	 	 
10048	1	16	36	2016	99	6	0	5	4	6
10051	1	12	36	2011	2016	1	0	4	4	6
10051	2	3	36	2009	99	5	80	3	4	5
10058	1	12	36	2010	99	1	80	4	4	6
10060	1	12	36	2009	99	1	80	3	1	4
10066	1	12	49	2013	99	1	0	4	4	6
10067	1	12	36	2012	99	1	80	3	4	1
10074	1	16	36	2012	99	6	0	4	4	6
10076	1	5	36	2016	2016	8	2	4	4	5
10079	1	16	36	2012	99	6	0	4	1	4
10081	1	5	36	2015	2016	6	3	3	4	1
10082	1	16	36	2013	99	6	3	4	4	7
10083	1	12	36	2013	2016	6	0	3	6	2
10086	1	12	36	2013	99	1	80	4	4	1
10088	1	16	36	2012	99	6	0	4	4	6
10095	1	16	36	2016	99	6	80	4	1	6
10097	1	12	36	2014	99	1	80	3	4	6
10098	1	16	36	2009	99	3	80	4	4	6
10100	1	12	36	2014	99	5	4	3	4	6
20001	1	3	36	2009	99	4	2	5	5	7
20002	1	3	36	2009	99	5	80	4	2	0
20002	2	16	36	2010	99	1	0	4	6	0
20003	1	3	36	2006	99	5	80	3	1	5
20004	1	1	36	2015	2016	5	2	4	4	0
20004	2	3	36	2010	99	5	80	4	1	5
20004	3	16	36	2010	99	1	0	4	4	6
20005	1	16	44	2010	99	1	80	4	2	6
20005	2	3	36	2011	99	5	80	5	2	5
20006	1	3	36	2009	99	4	80	4	1	5
20007	1	16	36	2015	99	4	0	4	1	4
20007	2	3	36	2009	99	5	80	4	1	4
20008	1	3	36	2009	99	4	2	4	7	1
20008	2	16	44	2009	99	6	6	4	6	4
20009	1	16	44	2011	99	4	6	4	4	1
20009	2	3	36	2008	99	5	80	3	4	2
20010	1	14	36	2013	99	4	80	4	1	5
20010	2	16	44	2010	99	1	80	4	4	6
20011	1	3	36	2009	99	4	80	4	1	2
20011	2	16	44	2015	99	1	0	4	4	6
20014	1	16	44	2010	99	4	80	4	4	1
20014	2	3	36	2009	99	5	80	4	1	4
20015	1	14	36	2000	99	5	80	4	2	5
20015	2	16	44	2010	99	1	80	4	6	4
20016	1	3	36	2009	99	5	80	3	1	2
20016	2	16	36	2001	99	1	80	4	4	6
20017	1	16	36	2012	99	4	80	4	1	4
20017	2	3	36	2009	99	5	80	4	1	4
20018	1	3	36	2011	99	4	80	4	7	1
20019	1	14	36	2011	99	2	80	4	1	5
20019	2	16	44	2010	99	1	80	4	1	4
20022	1	3	36	2007	99	5	4	4	1	5
20022	2	16	44	2012	99	1	80	4	4	6
20025	1	16	36	2010	99	1	80	4	1	4
20025	2	3	36	2009	99	5	80	4	2	6
20027	1	3	36	2013	99	5	2	3	1	6
20027	2	16	44	2009	2015	1	0	4	4	6
20028	1	3	36	2009	99	5	4	3	1	5
20029	1	16	36	2015	2016	1	3	4	1	6
