CHILDCODE	MEMIDR5	MEMMOVR5	RELATER5	PRMCRER5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	CHLBRNR5	RWHLIVR5	RSEECHR5	RCHLVER5	RLNLIVR5	THSVILR5	DOBHHMR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	STRYRR5	STRMTHR5	GRADER5	STILLR5	WHYNOTR5	PANELSIB	AGEGRDR5	GRDRPR5	TYPLSTR5	PERFR5	TYPATDR5	WHSCHR5	FEESR5	EXTTUTR4	BRDSCHR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	MEMCNSR5	DISABR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	SEEKTRR5	WHSEEKR5	MEMSMKR5	MEMTOBR5	OFTSMKR5	OFTALCR5
10001	0	 	0	 	1	 	11	14	 	1	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	2	8	5	15000	0	0	9	0	1	0	0	11	1	2	N	 	 	 	 	 	 	 	 	 	 	 
10001	1	 	1	0	1	 	38	41	 	1	 	 	 	 	 	 	 	 	1	99	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10001	2	 	1	1	1	 	30	33	 	2	0	 	 	 	 	 	 	1	1	98	98	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10001	3	 	7	0	1	 	8	11	 	2	 	 	 	 	 	 	10	2	 	2	1	 	 	 	1	 	 	5	1	 	1	 	 	 	2	8	 	14000	0	0	10	0	1	0	0	10	1	2	N	0	 	0	 	 	 	 	 	 	 	 
10002	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	2	99	 	 	 	1	 	 	10	1	 	0	 	 	 	2	1	5	18000	0	0	8	0	2	0	0	12	0	2	N	 	 	 	 	 	 	 	 	 	 	 
10002	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	2	 	1	1	1	 	43	46	 	2	0	 	 	 	 	 	 	 	1	98	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10003	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	9	1	 	0	 	 	 	4	3	1	100	0	0	9	0	1	0	0	10	1	3	N	 	 	 	 	 	 	 	 	 	 	 
10003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10003	2	 	1	0	1	 	41	44	 	1	 	 	 	 	 	 	 	 	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	1	0	1	5
10003	3	 	1	1	1	 	33	36	 	2	0	 	 	 	 	 	 	1	1	98	99	1	7	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10003	4	 	7	0	1	 	10	13	 	2	 	 	 	 	 	 	9	2	0	3	2	 	 	 	1	 	 	8	1	 	1	 	 	 	2	3	 	100	0	0	9	0	1	0	0	10	2	2	N	0	 	0	 	 	 	 	0	0	 	6
10004	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	2	1	5	10000	0	0	8	0	2	0	0	8	2	4	N	 	 	 	 	 	 	 	 	 	 	 
10004	1	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	99	99	1	16	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10004	2	 	1	1	1	 	38	41	 	2	0	 	 	 	 	 	 	1	1	98	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10004	3	 	7	0	1	 	17	20	 	2	 	 	 	 	 	 	 	2	0	2	1	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
