CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
10046	1	47	 	1	2	 	16	17	7
10046	2	88	 	 	 	 	 	 	 
10046	3	88	 	 	 	 	 	 	 
10047	1	47	 	 	 	2	2	18	88
10047	2	88	 	 	 	 	 	 	 
10047	3	88	 	 	 	 	 	 	 
10048	1	47	2	3	4	2	2	9	88
10048	2	88	 	 	 	 	 	 	 
10048	3	88	 	 	 	 	 	 	 
10049	1	47	 	 	2	 	6	2	7
10049	2	88	 	 	 	 	 	 	 
10049	3	88	 	 	 	 	 	 	 
10050	1	47	 	 	3	2	2	6	88
10050	2	88	 	 	 	 	 	 	 
10050	3	88	 	 	 	 	 	 	 
10051	1	13	 	3	 	 	6	16	12
10051	2	47	 	3	2	2	2	7	88
10051	3	28	 	3	3	 	12	6	7
10052	1	88	 	 	 	 	 	 	 
10052	2	88	 	 	 	 	 	 	 
10052	3	88	 	 	 	 	 	 	 
10053	1	42	 	2	2	2	17	7	88
10053	2	88	 	 	 	 	 	 	 
10053	3	88	 	 	 	 	 	 	 
10054	1	47	 	 	3	2	6	2	7
10054	2	88	 	 	 	 	 	 	 
10054	3	88	 	 	 	 	 	 	 
10055	1	47	 	 	3	2	2	18	88
10055	2	88	 	 	 	 	 	 	 
10055	3	88	 	 	 	 	 	 	 
10056	1	38	 	 	2	 	8	2	7
10056	2	47	 	 	2	 	2	7	88
10056	3	88	 	 	 	 	 	 	 
10057	1	47	 	 	 	2	2	18	88
10057	2	88	 	 	 	 	 	 	 
10057	3	88	 	 	 	 	 	 	 
10058	1	47	2	2	2	2	1	2	6
10058	2	38	 	 	2	 	2	6	16
10058	3	88	 	 	 	 	 	 	 
10059	1	47	 	 	3	2	2	6	88
10059	2	88	 	 	 	 	 	 	 
10059	3	88	 	 	 	 	 	 	 
10060	1	37	 	4	 	 	16	7	88
10060	2	25	 	 	2	 	16	7	88
10060	3	88	 	 	 	 	 	 	 
10062	1	88	 	 	 	 	 	 	 
10062	2	88	 	 	 	 	 	 	 
10062	3	88	 	 	 	 	 	 	 
10063	1	47	 	 	 	2	2	18	88
10063	2	88	 	 	 	 	 	 	 
10063	3	88	 	 	 	 	 	 	 
10064	1	88	 	 	 	 	 	 	 
10064	2	88	 	 	 	 	 	 	 
10064	3	88	 	 	 	 	 	 	 
10065	1	88	 	 	 	 	 	 	 
10065	2	88	 	 	 	 	 	 	 
10065	3	88	 	 	 	 	 	 	 
10066	1	88	 	 	 	 	 	 	 
10066	2	88	 	 	 	 	 	 	 
10066	3	88	 	 	 	 	 	 	 
10067	1	47	 	 	3	2	2	6	88
10067	2	88	 	 	 	 	 	 	 
10067	3	88	 	 	 	 	 	 	 
10068	1	47	 	 	 	2	2	18	88
10068	2	88	 	 	 	 	 	 	 
10068	3	88	 	 	 	 	 	 	 
10069	1	47	 	 	3	2	2	6	22
10069	2	88	 	 	 	 	 	 	 
10069	3	88	 	 	 	 	 	 	 
10070	1	47	 	 	3	2	2	18	88
10070	2	88	 	 	 	 	 	 	 
10070	3	88	 	 	 	 	 	 	 
10071	1	47	 	 	2	2	17	2	7
10071	2	88	 	 	 	 	 	 	 
10071	3	88	 	 	 	 	 	 	 
10072	1	39	 	 	 	2	9	18	88
10072	2	47	2	3	4	2	2	18	88
10072	3	88	 	 	 	 	 	 	 
10073	1	1	 	 	 	4	16	7	88
10073	2	36	 	 	3	 	17	16	88
10073	3	88	 	 	 	 	 	 	 
10074	1	47	2	3	4	2	18	2	88
10074	2	88	 	 	 	 	 	 	 
10074	3	88	 	 	 	 	 	 	 
10075	1	47	 	 	 	2	2	17	88
10075	2	88	 	 	 	 	 	 	 
10075	3	88	 	 	 	 	 	 	 
10076	1	47	 	2	2	 	6	2	7
10076	2	88	 	 	 	 	 	 	 
10076	3	88	 	 	 	 	 	 	 
10077	1	47	 	 	3	2	2	18	88
10077	2	36	 	 	 	3	10	7	88
10077	3	88	 	 	 	 	 	 	 
10079	1	36	 	 	 	4	2	9	88
10079	2	47	2	4	3	2	9	18	88
10079	3	88	 	 	 	 	 	 	 
10080	1	40	4	 	 	 	16	7	88
10080	2	38	 	 	3	 	16	7	88
10080	3	47	 	 	 	2	2	7	88
10081	1	88	 	 	 	 	 	 	 
10081	2	88	 	 	 	 	 	 	 
10081	3	88	 	 	 	 	 	 	 
10082	1	47	3	4	2	4	18	2	88
10082	2	88	 	 	 	 	 	 	 
10082	3	88	 	 	 	 	 	 	 
10083	1	25	 	 	2	 	6	9	7
10083	2	47	 	2	3	 	6	2	7
10083	3	88	 	 	 	 	 	 	 
10084	1	42	 	 	2	 	6	18	88
10084	2	47	 	3	3	3	17	2	88
