CHILDCODE	GRPIDR5	HHMEMR5	GROUPR5
10007	1	2	6
10008	1	2	6
10012	1	1	25
10014	1	3	6
10015	1	2	6
10016	1	3	6
10018	1	2	6
10019	1	3	6
10021	1	2	6
10024	1	1	6
10026	1	4	6
10030	1	3	6
10032	1	2	6
10033	1	3	6
10035	1	2	6
10036	1	4	6
10037	1	2	6
10038	1	4	6
10038	2	9	6
10039	1	3	6
10040	1	2	6
10041	1	2	6
10042	1	2	6
10043	1	2	6
10044	1	2	6
10045	1	2	6
10046	1	1	35
10046	2	2	6
10048	1	2	6
10050	1	2	6
10051	1	2	6
10052	1	6	6
10056	1	2	6
10057	1	2	6
10059	1	4	6
10062	1	2	6
10063	1	4	6
10065	1	2	6
10066	1	4	6
10068	1	2	6
10069	1	2	6
10071	1	2	6
10073	1	4	6
10075	1	4	6
10076	1	2	6
10077	1	4	6
10077	2	6	6
10079	1	9	6
10080	1	2	6
10081	1	3	6
10082	1	2	6
10084	1	3	6
10085	1	2	6
10087	1	7	18
10087	2	8	6
10090	1	5	6
10093	1	2	20
10095	1	3	6
10096	1	2	6
10097	1	4	6
10098	1	2	6
10100	1	4	6
20002	1	2	6
20004	1	2	6
20005	1	0	6
20006	1	2	6
20009	1	3	6
20010	1	3	6
20011	1	4	6
20015	1	4	6
20016	1	4	6
20019	1	2	6
20021	1	2	6
20022	1	4	6
20031	1	3	6
20034	1	2	6
20035	1	2	23
20036	1	2	6
20039	1	3	23
20041	1	2	6
20043	1	8	6
20045	1	2	6
20046	1	2	6
20047	1	2	6
20049	1	2	6
20050	1	2	6
20052	1	2	6
20053	1	2	6
20053	2	1	1
20055	1	4	6
20056	1	2	6
20057	1	4	6
20059	1	2	6
20060	1	2	6
20064	1	3	6
20065	1	2	6
20066	1	2	6
20067	1	2	6
20068	1	2	6
20069	1	2	6
20070	1	2	6
20072	1	2	6
20073	1	5	6
20073	2	3	2
20073	3	2	6
20074	1	2	6
20076	1	3	6
20078	1	2	6
20079	1	3	6
20080	1	6	6
20081	1	2	6
20082	1	3	6
20083	1	2	6
20084	1	2	6
20085	1	2	6
20086	1	5	6
20087	1	2	6
20089	1	1	6
20090	1	3	6
20091	1	2	6
20092	1	8	6
20093	1	2	6
20094	1	4	23
20095	1	2	6
20096	1	3	6
20098	1	2	6
20099	1	2	6
30001	1	4	23
30026	1	5	6
30051	1	2	6
30063	1	3	8
30064	1	4	6
30100	1	3	6
40001	1	4	6
40002	1	2	11
40004	1	3	6
40005	1	4	6
40006	1	3	6
40007	1	2	6
40008	1	2	6
40011	1	4	6
40012	1	5	6
40013	1	2	6
40014	1	3	6
40015	1	3	6
40016	1	5	6
40017	1	2	6
40018	1	2	6
40019	1	2	6
40020	1	2	6
40021	1	3	6
40022	1	2	6
40023	1	2	6
40024	1	4	6
40025	1	2	6
40027	1	4	6
40028	1	4	6
40029	1	2	6
40030	1	2	6
40031	1	5	6
40032	1	4	6
40034	1	2	6
40035	1	3	6
40036	1	2	6
40037	1	3	6
40038	1	2	6
40039	1	4	6
40041	1	2	6
40042	1	3	6
40045	1	2	10
40045	2	2	6
40046	1	3	6
40048	1	3	6
40051	1	4	6
40054	1	2	6
40055	1	2	6
40056	1	4	6
40057	1	2	6
40058	1	2	6
40060	1	2	6
40060	2	4	6
40063	1	6	6
40065	1	3	6
40068	1	2	6
40069	1	4	6
40070	1	4	6
40071	1	2	6
40073	1	2	6
40075	1	4	6
40077	1	2	6
40078	1	5	6
40080	1	5	6
40081	1	2	6
40083	1	2	6
40084	1	2	6
40085	1	3	6
40086	1	3	6
40087	1	2	6
40088	1	3	6
40089	1	8	6
40090	1	7	6
40091	1	3	6
40092	1	2	6
40093	1	2	6
40094	1	3	10
40095	1	4	6
40097	1	3	6
40097	2	1	6
40098	1	4	6
40099	1	2	6
40100	1	5	6
50013	1	2	6
50014	1	3	6
50032	1	4	6
50036	1	2	6
50042	1	2	6
50043	1	4	6
50047	1	4	6
50048	1	3	6
50049	1	2	6
50050	1	2	6
50051	1	7	6
50052	1	3	6
50053	1	2	6
50054	1	2	6
50055	1	4	6
50056	1	2	6
