CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
30078	1	23	1	23	1	600
30079	1	21	1	21	1	2000
30079	2	13	5	14	5	2000
30080	1	30	10	26	10	3000
30081	1	30	6	26	0	 
30084	1	23	1	23	1	200
30087	1	21	2	21	2	10000
30088	1	12	2	8	2	300
30091	1	21	1	21	1	3000
30091	2	13	8	7	8	6000
30092	1	1	2	8	2	400
30092	2	21	1	21	1	2500
30093	1	17	12	16	0	 
30094	1	12	2	32	2	6000
30095	1	21	1	21	1	2000
30096	1	1	4	11	4	2000
30097	1	21	1	21	0	 
30098	1	4	2	11	2	2500
30098	2	1	6	11	6	2000
30100	1	23	2	23	2	600
30100	2	21	1	21	1	500
30100	3	24	1	23	1	150
40001	1	1	5	11	5	700
40002	2	1	4	11	4	1000
40003	1	1	5	11	5	800
40003	2	3	1	11	1	700
40003	3	4	1	11	1	300
40004	1	1	4	11	4	2000
40005	1	1	5	11	5	2500
40005	2	4	1	11	1	5000
40005	3	3	1	11	1	700
40006	1	1	2	11	2	600
40007	1	1	6	11	6	700
40008	1	1	5	11	5	600
40008	2	4	1	11	1	200
40009	1	1	2	11	2	800
40009	2	4	1	11	1	400
40010	1	1	3	11	3	1200
40011	1	1	3	11	3	1200
40011	2	4	1	11	1	500
40011	3	3	1	11	1	1500
40012	1	1	3	11	3	3
40012	2	4	1	11	1	500
40013	1	1	4	11	4	300
40014	1	1	3	11	3	300
40014	2	4	1	11	1	250
40015	1	1	3	11	3	500
40016	1	1	3	11	3	500
40016	3	4	1	11	1	400
40017	1	1	3	5	3	1200
40018	1	1	6	11	6	800
40018	2	4	1	11	1	100
40019	1	1	3	11	2	500
40020	1	1	3	11	3	800
40021	1	1	12	11	12	4800
40021	2	4	1	11	1	300
40021	3	3	1	11	0	 
40022	1	1	5	11	5	700
40022	2	4	1	11	1	100
40023	1	1	6	11	6	700
40024	1	1	2	11	2	600
40025	1	1	4	11	4	1200
40027	1	1	4	11	4	1000
40028	1	1	4	11	4	1500
40029	1	1	6	11	6	3000
40030	1	1	5	11	5	800
40030	2	4	1	11	1	500
40031	1	1	3	11	3	900
40031	2	4	1	11	1	400
40031	3	3	1	11	1	2500
40032	1	1	4	5	4	500
40034	1	25	1	24	1	200000
40036	1	1	2	5	2	300
40037	1	1	4	11	4	1200
40038	1	1	4	11	4	1000
40039	1	1	2	11	2	500
40041	1	1	4	11	4	1000
40041	2	4	1	11	1	2000
40042	1	1	5	11	5	600
40043	1	1	3	11	3	1500
40044	1	1	4	11	4	500
40045	1	1	3	11	3	1000
40046	1	1	5	11	5	1000
40047	1	1	2	5	2	400
40048	1	13	3	7	3	1000
40049	1	1	3	11	3	900
40050	1	1	5	11	5	400
40051	1	1	6	11	6	1500
40052	1	1	2	11	2	600
40053	1	1	4	11	4	500
40054	1	1	3	11	3	700
40055	1	1	2	11	2	800
40056	1	1	5	11	5	2000
40057	1	1	2	11	2	1000
40058	1	13	4	23	4	2000
40059	1	25	1	24	1	120000
40060	1	30	1	31	1	500000
40061	1	1	3	11	3	200
40063	1	13	4	26	4	2000
40064	1	1	4	5	4	500
40065	1	1	5	11	5	1000
40068	1	1	3	11	3	300
40069	1	1	6	11	6	700
40074	1	13	3	5	3	500
40075	1	1	3	5	3	1000
40077	1	21	2	21	2	10000
40077	2	23	10	23	10	10000
40078	1	23	5	23	5	3000
40081	1	1	5	11	5	400
40082	1	1	5	11	5	1000
40084	1	1	5	11	5	600
40086	1	1	7	11	7	3000
40087	1	1	5	11	5	500
40088	1	1	4	11	4	1500
40089	1	1	4	11	4	500
40090	1	1	5	11	5	500
40091	1	1	2	11	2	1000
40092	1	1	5	11	5	3000
40093	1	1	5	11	5	700
40094	1	1	3	11	3	1500
40095	1	1	4	11	4	1600
40096	1	22	3	22	3	5000
40097	1	1	4	11	4	500
40098	1	1	6	11	6	800
40098	2	4	1	11	1	200
40099	1	1	5	11	5	2000
40099	2	4	1	11	1	500
40100	1	1	3	11	3	1500
40100	2	3	1	11	1	2000
50001	1	1	5	11	5	2000
50001	2	4	1	11	1	1700
50001	3	7	1	11	0	 
50001	4	3	1	11	0	 
50001	5	6	1	11	0	 
50002	1	1	5	8	5	2000
50003	1	1	4	11	4	1800
50003	2	6	1	11	0	 
50003	3	7	1	11	0	 
50004	1	1	4	11	4	2000
50004	2	6	1	11	0	 
50004	3	7	1	11	0	 
50004	4	3	1	11	0	 
50005	1	4	1	11	1	2000
50005	2	1	4	11	4	1400
50005	3	6	1	11	0	 
50005	4	7	1	11	0	 
50006	1	1	3	11	3	1200
50006	2	4	1	11	0	 
50006	3	3	1	11	0	 
50006	4	7	1	11	0	 
50006	5	6	1	11	0	 
50007	1	23	9	23	9	5000
50009	1	1	2	11	2	100
50010	1	1	2	11	2	200
50010	2	2	1	11	0	 
50010	3	3	1	11	0	 
50010	4	7	1	11	0	 
50011	1	1	2	8	2	300
50013	1	1	5	11	5	1200
50013	2	6	1	11	0	 
50013	3	7	1	11	0	 
50014	1	1	3	11	3	450
50014	2	3	1	11	0	 
50014	3	2	1	11	0	 
50014	4	6	1	11	0	 
50014	5	7	1	11	0	 
50014	6	30	11	26	11	40000
50015	1	23	8	23	8	4000
50016	1	1	6	11	6	1000
50016	2	7	1	11	0	 
50016	3	3	2	11	0	 
50018	1	25	1	24	1	430000
50020	1	25	1	24	1	80000
50021	1	1	3	11	3	300
50022	1	1	4	11	4	240
50023	1	1	5	11	5	1200
50024	1	1	5	11	5	300
50027	1	1	5	11	5	500
50027	2	13	10	7	8	2000
50028	1	1	5	8	5	1200
50029	1	7	1	11	0	 
50029	2	1	12	11	11	2100
50029	3	3	1	11	0	 
50030	1	1	10	11	10	2000
50030	2	21	1	21	1	2000
50031	1	7	1	11	0	 
50031	2	1	3	11	3	600
50032	1	1	10	11	10	10
50033	1	1	1	11	1	100
50034	1	1	6	11	6	700
50035	1	1	8	10	6	12000
50035	2	21	1	21	1	3000
