CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
80015	2	2	1	32	1	7000
80016	1	1	4	11	4	600
80017	1	1	3	11	3	150
80018	1	1	4	11	4	600
80019	1	1	9	11	9	1500
80019	2	21	1	21	1	1500
80020	1	1	4	11	4	600
80020	2	12	1	32	1	600
80020	3	30	1	24	1	90000
80021	1	21	1	21	1	3500
80021	2	1	3	11	3	300
80022	1	1	4	11	4	200
80022	2	2	1	11	1	5000
80023	1	2	1	32	1	8000
80023	2	1	4	11	4	150
80024	1	1	3	11	3	250
80025	1	1	5	11	5	600
80026	1	1	4	11	4	500
80027	1	21	1	21	1	2500
80028	1	1	5	11	5	600
80028	2	9	10	2	10	1500
80028	3	14	1	26	1	12000
80029	1	1	2	11	2	150
80029	2	14	2	26	2	30000
80029	3	9	2	2	2	200
80030	1	1	10	11	10	2000
80030	2	3	1	11	1	4500
80030	3	5	1	11	1	15000
80031	1	1	8	11	8	1000
80031	2	7	1	11	1	350000
80032	1	1	2	11	2	200
80033	1	1	3	11	3	120
80034	1	1	8	11	8	700
80034	2	7	1	11	1	250000
80035	1	1	4	11	4	280
80036	1	1	10	11	10	800
80037	1	1	6	11	6	400
80038	1	1	7	11	7	100
80038	2	3	1	11	1	600
80039	1	1	6	11	6	500
80040	1	1	15	11	15	1100
80041	1	1	5	11	5	150
80042	1	1	2	8	2	100
80043	1	1	3	11	3	400
80044	1	1	3	11	3	220
80046	1	1	5	7	5	1500
80046	2	30	1	24	1	250000
80047	1	1	5	11	5	800
80048	1	1	5	11	5	450
80048	2	30	1	24	1	150000
80049	1	1	4	11	4	600
80050	1	1	4	11	4	400
80050	2	21	1	21	1	5000
80051	1	1	4	11	4	400
80052	1	1	5	11	3	300
80053	1	1	5	11	5	800
80054	1	1	6	11	6	1500
80054	2	3	1	11	1	4500
80055	1	1	5	11	5	350
80056	1	1	6	11	6	700
80057	1	1	4	11	4	500
80058	1	1	6	11	6	750
80059	1	1	6	11	6	900
80059	2	21	1	21	1	3000
80060	1	1	3	11	3	200
80061	1	1	5	11	5	1200
80062	1	1	2	11	2	150
80063	1	1	4	11	4	300
80064	1	1	6	11	6	450
80065	1	1	4	11	4	400
80066	1	1	6	11	6	500
80067	1	1	3	11	3	250
80068	2	1	6	11	6	450
80068	3	21	1	21	1	2500
80068	4	12	1	32	1	150
80069	1	1	6	11	6	1300
80070	1	1	4	11	4	450
80071	1	1	4	11	4	1200
80072	1	1	6	11	6	1200
80072	2	3	1	11	1	700
80072	3	5	1	11	1	20000
80072	4	21	1	21	1	3500
80073	1	1	2	11	2	100
80074	1	1	3	11	3	200
80075	1	1	5	11	5	450
80076	1	1	3	11	3	190
80077	1	1	3	11	3	400
80078	1	1	8	11	8	600
80079	1	1	4	11	4	500
80080	1	1	7	11	7	500
80081	1	1	6	11	6	500
80081	2	5	1	11	1	25000
80081	3	30	1	24	1	100000
80082	1	1	10	11	10	1200
80083	1	1	5	11	5	450
80084	1	1	15	11	15	2000
80085	1	1	6	11	6	800
80086	1	1	10	11	10	700
80087	1	1	3	11	3	450
80088	1	1	8	11	8	500
80088	2	7	1	11	1	2000000
80089	1	1	6	11	6	250
80090	1	1	5	11	5	350
80091	1	1	10	11	10	1500
80091	2	21	1	21	1	2500
80092	1	1	3	11	3	500
80093	1	1	5	11	5	200
80094	1	1	10	11	10	1100
80095	1	1	8	11	8	550
80095	2	21	1	21	1	3000
80096	1	1	6	11	6	1000
80096	2	3	1	11	1	500
80097	1	1	5	11	5	800
80099	1	30	5	32	5	2000
80099	2	2	1	32	1	3000
80100	1	1	3	11	3	200
90001	1	1	3	11	3	600
90001	3	25	1	23	1	17000
90002	1	4	3	11	3	5000
90002	2	1	9	8	9	4000
90003	1	1	7	11	7	1300
90004	1	1	8	11	8	800
90005	1	23	3	23	3	2000
90006	1	1	6	11	6	1000
90007	1	21	1	21	1	5000
90008	1	1	10	11	10	500
90008	2	3	1	11	1	200
90009	1	1	10	11	10	3500
90010	1	1	4	11	4	600
90011	1	1	3	11	3	1000
90012	1	1	6	11	6	700
90013	1	1	4	11	4	100
90013	2	21	1	21	1	3500
90014	1	1	6	11	6	600
90014	2	25	1	24	0	50000
90015	1	1	3	11	3	150
90016	1	1	4	11	4	600
90017	1	1	8	11	8	1400
90017	2	5	1	11	1	60000
90018	1	1	4	11	4	100
90018	2	30	1	24	1	70000
90019	1	1	6	11	6	1200
90020	1	1	6	11	6	400
90021	1	13	5	7	5	1300
90021	2	1	3	11	3	500
90022	1	1	5	11	5	1200
90022	2	25	1	23	1	25000
90023	1	1	3	11	3	500
90024	1	1	4	11	4	1000
90025	1	1	7	11	6	800
90025	2	7	1	24	1	0
90026	1	1	20	11	20	4500
90026	2	3	1	11	1	3000
90026	3	5	3	11	3	150000
90026	4	7	1	11	1	300000
90026	5	4	3	11	3	20000
90027	1	1	7	11	7	2000
90027	2	3	1	11	1	6000
90028	1	1	5	11	5	820
90029	1	1	6	11	6	1200
90030	1	1	4	11	4	200
90030	2	3	1	11	1	500
90030	3	21	1	21	1	1
90030	4	5	1	11	1	20000
90031	1	1	7	11	7	500
90032	1	1	6	11	6	1500
90033	1	1	4	11	4	300
90034	1	1	6	11	6	1200
90035	1	1	4	8	4	280
90036	1	1	2	11	2	500
90037	1	1	3	11	3	500
90038	1	1	2	11	2	350
90039	1	1	6	11	6	500
90040	1	1	3	11	3	500
90041	1	1	3	11	3	400
90042	1	1	6	11	6	500
90042	2	21	1	21	1	2000
90043	1	23	3	23	3	900
90044	1	1	6	11	6	400
90045	1	1	4	11	4	600
90045	2	21	1	21	1	2500
90046	1	1	3	11	3	600
90047	1	1	3	11	3	150
90049	1	1	5	11	5	1200
90049	2	14	1	9	1	20000
90051	1	30	0	88	0	0
90052	1	15	4	12	4	1000
90053	1	1	6	11	6	800
90053	2	2	1	11	1	10000
90053	3	4	3	11	3	4000
90053	4	5	1	11	1	25000
90054	1	1	11	11	11	400
90055	1	1	5	11	5	1000
90057	1	1	3	11	3	300
90058	1	1	3	11	3	500
90059	1	1	2	11	2	100
90060	1	1	1	11	1	200
90061	1	1	5	11	5	800
90062	1	88	 	 	 	 
90063	1	21	1	21	1	2800
90064	1	1	6	11	6	800
90065	1	1	2	11	2	140
90066	1	1	4	11	4	500
90067	1	1	7	11	7	1200
90067	2	21	1	21	1	1200
90068	1	1	3	11	3	300
90069	1	1	4	11	4	600
90071	1	1	6	11	6	800
90072	1	1	4	11	4	280
90073	1	1	3	11	3	450
90074	1	1	3	11	3	500
90075	1	1	3	8	3	200
90076	1	1	3	11	3	150
90077	1	1	3	11	3	550
90077	2	21	1	21	1	3000
90079	1	1	4	11	4	600
90080	1	1	4	11	4	250
90081	1	1	5	11	5	250
90082	1	1	6	11	6	600
90083	1	1	3	11	3	800
90085	1	1	3	11	3	550
90086	1	1	9	11	9	2000
90086	2	3	2	11	2	4000
90087	1	1	4	11	4	900
90088	1	1	4	11	4	500
90089	1	1	8	11	8	1000
90090	1	1	4	11	4	500
90091	1	1	5	11	5	1200
90092	1	25	1	28	1	22000
90093	1	1	2	11	2	150
90094	1	23	3	23	3	1500
90095	1	21	1	21	1	3500
90095	2	30	1	24	0	 
90096	1	30	6	5	6	3400
90097	1	 	 	 	 	 
90098	1	1	1	11	1	100
90099	1	1	2	11	2	100
90100	1	1	8	11	8	1000
100008	1	21	1	21	1	4000
100010	1	30	1	26	1	10000
100019	1	21	1	21	1	3000
100021	1	21	1	21	1	1000
100024	1	2	1	12	1	6000
100024	2	15	4	12	4	3000
100025	1	21	1	21	1	3000
100028	1	2	4	12	4	2500
100028	2	30	6	26	6	1500
100030	1	21	1	21	1	4000
100035	1	30	1	24	1	60000
100036	1	21	2	21	2	4000
100037	1	21	1	21	1	2800
100039	1	13	4	5	4	1000
100042	1	30	200	26	200	5000
100042	2	1	4	11	4	200
100043	1	2	1	23	1	5000
100046	1	1	2	23	2	150
100046	2	25	1	23	1	30000
100049	1	13	8	8	8	10000
100049	2	21	1	21	1	3000
100050	1	15	5	12	5	800
100050	2	21	2	21	2	5500
100051	1	30	8	16	8	1500
100052	1	21	1	21	1	3000
100053	1	21	1	21	1	2500
100057	1	13	5	26	5	2000
100058	1	21	1	21	1	2500
100058	2	30	4	26	4	160
100060	1	13	4	8	4	1500
100061	1	25	1	24	1	15000
100061	2	21	1	21	1	2000
100062	1	24	5	26	5	7000
100063	1	23	1	23	1	800
100066	1	30	1	24	1	40000
100067	1	21	1	21	1	3500
100070	1	21	1	21	1	2000
100073	1	30	1	24	1	48000
100074	1	21	1	21	1	3500
100075	1	9	20	2	20	1000
100077	1	23	3	23	3	2500
100077	2	21	1	21	1	3500
100078	1	21	1	21	1	2000
100079	1	30	3	7	3	120
100089	1	30	6	26	6	200
100094	1	1	3	11	3	350
100100	1	1	4	11	4	200
110001	1	1	3	11	3	400
110001	2	7	1	11	0	0
110001	3	2	1	11	0	0
110001	4	4	1	11	0	0
110002	1	4	4	11	0	0
110002	2	7	1	11	0	0
110003	1	1	6	11	5	1500
110004	1	1	10	11	8	1000
110005	1	13	8	7	8	4000
110007	1	7	1	11	0	0
110007	2	2	1	11	0	0
110007	3	3	1	11	0	0
110007	4	4	1	11	0	0
110007	5	1	8	11	8	200
110007	6	30	24	26	24	80000
110008	1	2	1	11	0	0
110008	2	3	1	11	0	0
110008	3	6	1	11	0	0
110008	4	1	11	11	11	500
110011	1	7	1	11	0	0
110011	2	6	1	11	0	0
110011	3	1	4	11	4	100
110011	4	3	1	11	0	0
110012	1	2	1	11	0	0
110012	2	3	1	11	0	0
110012	3	6	1	11	0	0
110012	4	1	7	11	7	300
110013	1	1	7	11	7	600
110013	2	2	1	11	1	150000
110013	3	3	1	11	1	3000
110013	4	4	9	11	9	10000
110013	5	7	1	11	0	0
110014	1	7	1	11	1	250000
110014	2	30	6	11	6	100000
110014	3	30	1	11	1	60000
110014	4	4	1	11	1	20000
110014	5	3	1	11	1	1500
110014	6	1	40	11	40	6000
110015	1	1	8	11	8	600
110015	2	2	1	11	0	 
110015	3	3	1	11	0	 
110015	4	4	1	11	0	 
110015	5	7	1	11	0	 
110015	6	6	1	11	0	 
110016	1	4	5	11	5	10000
110016	2	2	1	11	1	20000
110016	3	3	1	11	1	2500
110016	4	1	8	11	8	2000
110017	1	1	4	11	4	360
110017	2	2	1	11	0	0
110017	3	3	1	11	0	0
110017	4	4	2	11	0	0
110017	5	7	1	11	0	0
110018	1	2	1	11	1	9000
110018	2	4	6	11	6	20000
110018	3	1	10	11	10	1200
110018	4	3	1	11	0	0
110018	5	7	1	11	0	0
110018	6	6	1	11	0	0
110019	1	1	6	11	6	400
110019	2	3	1	11	0	 
110019	3	2	1	11	0	 
110019	4	4	1	11	0	 
110019	5	7	1	11	0	 
110020	1	4	3	11	3	10000
110020	2	2	1	11	1	20000
110020	3	1	8	11	8	500
110021	1	1	4	11	4	500
110021	2	2	1	11	1	20000
110021	3	3	1	11	0	0
110021	4	4	2	11	0	0
110021	5	7	1	11	0	0
110022	1	1	5	11	5	750
110023	1	1	3	11	3	400
110023	2	4	3	11	3	300
110023	3	3	1	11	1	1000
110024	1	1	3	11	3	100
110024	2	4	3	11	0	0
110024	3	2	1	11	0	0
110025	1	1	6	11	6	400
110025	2	3	1	11	0	0
110025	3	7	1	11	0	0
110025	4	6	1	11	0	0
110025	5	4	3	11	0	0
110027	1	1	3	11	3	500
110027	2	4	3	11	0	0
110027	3	2	1	11	0	0
110028	1	1	10	11	8	1000
110028	2	4	4	11	4	5000
110028	3	5	1	11	1	40000
110028	4	3	1	11	1	2500
110029	1	3	1	11	1	5000
110029	2	1	6	11	6	1000
110029	3	7	1	11	0	0
110029	4	30	30	11	30	15000
110030	1	1	6	11	6	200
110030	2	2	1	11	0	0
110030	3	3	1	11	0	0
110030	4	4	3	11	0	0
110030	5	7	1	11	0	0
110031	1	2	1	11	1	20000
110031	2	4	6	11	6	20000
110031	3	1	8	11	8	2000
110031	4	3	1	11	0	0
110031	5	7	1	11	0	0
110031	6	6	1	11	0	0
110033	1	1	10	11	10	900
110033	2	3	1	11	0	0
110033	3	2	1	11	1	30000
110033	4	4	3	11	0	0
110033	5	7	1	11	0	0
110034	1	2	1	11	1	20000
110034	2	4	6	11	6	12000
110034	3	1	9	11	9	1000
110034	4	3	1	11	0	0
110034	5	6	1	11	0	0
110034	6	7	1	11	0	0
110035	1	30	100	14	100	2000
110037	1	1	6	11	6	550
110037	2	4	3	11	0	0
110038	1	1	4	11	4	500
110039	1	1	6	11	6	500
110040	1	1	4	11	4	500
110041	1	1	6	5	6	400
110042	1	1	19	11	19	575
110042	2	2	1	11	1	20000
110042	3	3	1	11	1	3500
110042	4	4	5	11	5	65
110042	5	6	1	11	1	30000
110042	6	7	1	11	0	0
110043	1	8	1	11	1	20000
110043	2	3	1	11	1	3000
110043	3	1	4	11	4	1000
110043	4	7	1	11	0	0
110044	1	1	6	11	6	300
110044	2	2	1	11	0	0
110044	3	3	1	11	0	0
110044	4	4	3	11	0	0
110044	5	7	1	11	0	0
110046	1	3	1	11	0	0
110046	2	1	5	11	5	1000
110046	3	7	1	11	0	0
110046	4	25	1	24	1	100000
110046	5	17	6	24	6	5000
110047	1	1	9	11	9	400
110047	2	2	1	11	0	 
110047	3	3	1	11	0	 
110047	4	4	3	11	0	 
110048	1	1	6	11	6	400
110048	2	2	1	11	1	30000
110048	3	4	4	11	4	9000
110048	4	3	1	11	1	3000
110048	5	8	4	11	4	3000
110050	1	1	9	11	9	500
110050	2	7	1	11	0	0
110050	3	2	1	11	0	0
110050	4	3	1	11	0	0
110050	5	4	3	11	0	0
110051	1	2	1	11	1	10000
110051	2	4	3	11	3	10000
110051	3	3	1	11	1	6000
110051	4	1	5	11	5	1000
110051	5	5	3	11	3	300000
110051	6	30	13	11	13	60000
110052	1	1	6	11	6	300
110052	2	4	3	11	0	0
110052	3	2	1	11	0	0
110052	4	3	1	11	0	0
110053	1	1	5	11	5	1500
110053	2	7	1	11	0	0
110053	3	3	1	11	0	0
110055	1	1	6	11	6	650
110055	2	2	1	11	1	15000
110055	3	3	1	11	1	1000
110055	4	4	2	11	2	2000
110055	5	5	1	11	1	50000
110057	1	1	3	11	2	60
110057	2	2	1	11	0	0
110057	3	3	1	11	0	0
110057	4	4	3	11	0	0
110057	5	7	1	11	0	0
110058	1	1	3	11	3	200
110058	2	8	1	11	0	0
110059	1	1	5	11	5	0
110059	2	3	1	11	0	0
110059	3	7	1	11	0	0
110061	1	1	3	11	3	300
110061	2	3	1	11	0	0
110061	3	2	1	11	0	0
110063	1	30	1	24	1	30000
110063	2	1	8	11	8	500
110064	1	1	4	11	4	570
110064	2	2	1	11	0	0
110064	3	3	1	11	0	0
110064	4	4	4	11	4	400
110064	5	8	4	11	4	370
110065	1	15	25	12	25	5000
110066	1	1	13	11	13	450
110066	2	2	1	11	0	0
110066	3	4	1	11	0	0
110066	4	7	1	11	0	0
110066	5	3	1	11	0	0
110067	1	15	15	12	15	10000
110067	2	30	2	23	2	15000
110068	1	15	15	12	15	20000
110068	2	2	1	12	1	10000
110069	1	1	4	11	0	0
110069	2	2	1	11	0	0
110069	3	3	1	11	0	0
110069	4	4	3	11	0	0
110069	5	7	1	11	0	0
110069	6	8	3	11	0	0
110070	1	1	4	11	4	400
110070	2	2	1	11	1	20000
110070	3	3	3	11	1	5000
110070	4	4	6	11	6	20000
110070	5	7	1	11	0	0
110070	6	8	4	11	0	0
110071	1	7	1	11	0	0
110071	2	3	1	11	0	0
110071	3	1	5	11	5	1800
110072	1	1	7	11	7	600
110073	1	7	1	11	1	10000
110073	2	1	8	11	8	500
110073	3	2	1	11	1	12000
110073	4	3	1	11	1	500
110073	5	4	2	11	2	18000
110074	1	1	10	11	10	1500
110074	2	4	4	11	4	18000
110074	3	2	1	11	1	15000
110075	1	1	10	11	10	2000
110076	1	1	8	11	8	1000
110077	1	1	8	11	8	325
110077	2	2	1	11	0	0
110077	3	3	1	11	0	0
110077	4	4	4	11	0	0
110077	5	7	1	11	0	0
110078	1	1	2	11	2	200
110079	1	1	10	11	10	2300
110080	1	1	7	11	7	1000
110081	1	2	1	11	0	0
110081	2	3	1	11	0	0
110081	3	4	2	11	0	0
110081	4	1	8	11	8	600
110082	1	1	2	11	2	400
110083	1	1	11	11	11	900
110083	2	2	1	11	1	30000
110083	3	3	1	11	1	1500
110083	4	4	6	11	6	9000
110083	5	7	1	11	0	0
110083	6	8	7	11	7	4200
110084	1	2	1	23	1	2500
110085	1	30	1	23	1	50000
110085	2	23	5	23	5	3500
110086	1	1	20	11	20	3500
110086	2	4	5	11	5	15000
110086	3	2	1	11	1	20000
110087	1	13	9	26	9	900
110088	1	1	4	11	4	500
110089	1	1	3	11	3	300
110089	2	3	1	11	1	500
110089	3	2	1	11	1	15000
110089	4	4	2	11	2	4000
110089	5	7	1	11	0	0
110091	1	1	5	11	4	800
110091	2	3	1	11	0	0
110091	3	7	1	11	0	0
110092	1	11	20	4	20	150000
110093	1	7	1	11	0	0
110093	2	6	1	11	0	0
110093	3	2	1	11	0	0
110093	4	4	2	11	0	0
110093	5	3	1	11	0	0
110093	6	1	7	11	7	500
110094	1	1	6	11	6	700
110094	2	4	3	11	0	8000
110095	1	22	15	22	15	4000
110095	2	7	1	11	0	0
110095	3	6	1	11	0	0
110095	4	3	1	11	0	0
110095	5	1	6	11	6	2000
110096	1	 	 	 	 	 
110097	1	7	1	11	0	0
110097	2	3	1	11	0	0
110097	3	1	6	11	0	0
110098	1	2	1	23	1	6000
110098	2	23	4	23	4	1000
110099	1	2	2	5	0	 
110100	1	1	8	11	7	100
110100	2	2	1	11	1	10000
110100	3	3	1	11	0	0
110100	4	7	1	11	0	0
110100	5	4	3	11	3	50
110100	6	8	9	11	9	100
110103	1	1	10	11	10	400
110103	2	30	7	26	7	200
110104	1	2	1	11	1	30000
110104	2	4	8	11	8	10000
110104	3	1	12	11	12	300
110104	4	3	1	11	0	0
110104	5	6	1	11	0	0
110104	6	7	1	11	0	0
120001	1	1	8	11	8	600
120002	1	1	5	11	5	300
120002	2	7	1	11	0	 
120003	1	7	1	11	1	500000
120003	2	4	1	11	1	30000
120003	3	1	10	11	8	2000
120003	4	3	1	11	1	2000
120004	1	1	3	11	3	300
120004	2	3	1	11	0	 
120004	3	4	1	11	0	 
120004	4	7	1	11	0	 
120004	5	30	1	24	1	100000
120005	1	1	4	11	4	800
120006	1	1	3	11	3	200
120006	2	4	3	11	0	 
120006	3	2	1	11	0	 
120007	1	7	1	11	0	 
120008	1	7	1	11	1	600000
120008	2	1	10	11	10	1000
120008	3	5	1	11	1	50000
120008	4	30	50	11	50	25000
120008	5	3	1	11	0	 
120009	1	25	1	24	1	60000
120010	1	1	6	11	6	400
120010	2	21	2	21	2	10000
120010	3	4	3	11	0	 
120010	4	7	1	11	0	 
120010	5	3	1	11	0	 
120012	1	7	1	11	0	 
120012	2	4	3	11	0	 
120012	3	2	1	11	0	 
120013	1	2	1	11	1	30000
120013	2	4	3	11	3	10000
120013	3	1	5	11	5	1500
120014	1	7	1	11	1	500000
120014	2	5	2	11	2	60000
120014	3	8	62	11	62	40000
120014	4	8	1	11	1	50000
120014	5	1	10	11	10	1500
120015	1	30	1	24	0	 
120018	1	1	6	11	6	200
120020	1	3	1	11	1	5000
120020	2	5	20	11	20	80000
120020	3	30	300	11	300	36000
120020	4	1	8	11	8	2000
120021	1	30	1	11	1	125000
120022	1	7	1	11	0	 
120023	1	1	5	11	5	1000
120023	2	3	1	11	0	 
120023	3	7	1	11	0	 
120025	1	1	8	11	3	550
120025	2	30	1	11	1	15000
120027	1	1	10	11	10	2000
120027	2	7	1	11	0	 
120027	3	3	1	11	0	 
120027	4	4	5	11	0	 
120028	1	1	3	11	2	100
120028	2	4	3	11	0	 
120029	1	1	6	11	6	500
120030	1	1	5	26	5	500
120032	1	24	76	23	76	12500
120033	1	5	1	11	1	50000
120033	2	30	12	11	12	24000
120033	3	1	4	11	4	400
120034	1	1	3	11	3	300
120034	2	13	4	7	4	2500
120035	1	30	6	26	6	3000
120035	2	4	6	11	6	4000
120035	3	1	10	11	10	2000
120035	4	7	1	11	0	 
120035	5	3	1	11	0	 
120035	6	6	1	11	0	 
120036	1	15	6	12	6	1300
120036	2	30	1	23	1	800
120036	3	30	1	12	1	3000
120036	4	30	150	23	0	 
120038	1	26	10	25	10	10000
120039	1	21	1	26	1	1500
120040	1	9	10	2	10	2000
120041	1	4	1	11	0	 
120041	2	3	1	11	0	 
120041	3	7	1	11	0	 
120042	1	13	6	7	6	500
120044	1	7	1	11	0	 
120044	2	25	1	24	1	600000
120045	1	1	12	11	12	2000
120045	2	7	1	11	0	 
120045	3	30	1	26	1	100000
120046	1	1	5	11	5	800
120046	2	3	1	11	0	 
120046	3	7	1	11	0	 
120047	1	1	5	11	5	230
120048	1	1	2	11	2	200
120048	2	3	1	11	0	 
120048	3	4	3	11	3	4000
120048	4	7	1	11	0	 
120048	5	8	20	11	20	500
120049	1	1	10	11	10	100
120049	2	7	1	11	0	 
120049	3	2	3	11	0	 
120049	4	4	3	11	0	 
120049	5	3	1	11	0	 
120049	6	5	1	11	1	5000
120050	1	13	6	7	6	800
120051	1	1	6	11	6	900
120051	2	7	1	11	0	 
120051	3	3	1	11	0	 
120052	1	1	3	11	3	300
120052	2	4	3	11	3	300
120052	3	2	1	11	1	20000
120052	4	8	15	11	15	500
120054	1	1	7	11	7	500
120054	2	7	1	11	0	 
120054	3	2	1	11	0	 
120054	4	4	1	11	0	 
120054	5	3	1	11	0	 
120056	1	5	4	11	4	5000
120056	2	1	15	11	15	1250
120056	3	3	1	11	1	2000
120057	1	1	10	5	10	300
120058	1	5	1	11	1	80000
120058	2	30	12	11	12	20000
120058	3	1	5	11	5	1000
120058	4	3	1	11	0	 
120058	5	7	1	11	0	 
120059	1	1	20	11	20	1000
120059	2	7	1	11	0	 
120059	3	2	1	11	0	 
120059	4	5	1	11	1	20000
120059	5	3	1	11	0	 
120059	6	4	1	11	0	 
120061	1	1	8	11	8	1500
120061	2	3	1	11	0	 
120061	3	7	1	11	0	 
120062	1	2	1	11	1	15000
120062	2	4	2	11	2	4000
120062	3	1	10	11	10	600
120063	1	1	1	5	1	100
120063	2	8	1	5	1	300
120065	1	1	21	11	21	2000
120065	2	2	3	11	0	 
120065	3	4	3	11	0	 
120065	4	7	1	11	0	 
120066	1	1	1	11	1	60
120066	2	8	4	11	4	440
120068	1	1	25	11	25	500
120068	2	7	1	11	1	200000
120068	3	3	1	11	1	2000
120068	4	4	3	11	0	 
120068	5	2	3	11	0	 
120069	1	1	3	11	0	 
120069	2	4	3	11	3	1500
120069	3	3	1	11	1	700
120069	4	7	1	11	0	 
120070	1	1	45	11	45	2000
120070	2	3	1	11	1	1000
120070	3	7	1	11	0	 
120071	1	12	2	32	2	6000
120072	1	1	1	11	1	100
120072	2	3	1	11	0	 
120072	3	7	1	11	0	 
120072	4	8	1	11	0	 
120073	1	1	2	11	2	200
120073	2	3	1	11	0	 
120073	3	4	2	11	2	2000
120073	4	7	1	11	0	 
120074	1	1	16	11	16	1000
120074	2	7	1	11	0	 
120074	3	3	1	11	0	 
120075	1	1	10	11	10	550
120076	1	30	12	26	12	4000
120079	1	23	6	23	6	1000
120080	1	1	6	11	6	200
120082	1	1	6	11	6	300
120083	1	1	5	11	5	300
120084	1	2	1	11	1	15000
120084	2	4	6	11	6	6000
120084	3	1	20	11	20	2000
120084	4	7	1	11	0	 
120084	5	3	1	11	0	 
120085	1	1	4	11	4	400
120085	2	3	1	11	1	8000
120085	3	4	3	11	3	1200
120085	4	7	1	11	0	 
120085	5	30	7	23	7	30000
120086	1	1	4	11	4	200
120087	1	1	1	11	1	100
120087	2	8	3	11	3	300
120088	1	1	1	11	1	100
120088	2	8	1	11	1	100
120089	1	1	4	11	4	200
120090	1	1	2	11	2	200
120090	2	8	8	11	8	800
120091	1	9	16	2	16	15000
120091	2	21	1	21	1	6000
120091	3	8	7	11	7	500
120092	1	1	1	5	1	90
120092	2	8	3	5	3	300
120093	1	30	5	7	5	600
120094	1	1	2	11	2	280
120094	2	8	2	11	2	1000
120095	1	1	4	11	4	400
120096	1	30	1	24	1	125000
120097	1	1	4	11	4	900
120098	1	1	2	11	2	200
120098	2	3	1	11	0	 
120098	3	2	1	11	0	 
120098	4	7	1	11	0	 
120099	1	1	3	11	3	300
120099	2	7	1	11	0	 
120099	3	8	6	11	6	500
120099	4	9	15	2	15	15000
120099	5	10	5	2	5	4500
120100	1	1	8	11	8	500
120100	2	7	1	11	0	 
120100	3	2	1	11	0	 
130002	1	2	1	11	1	30000
130002	2	4	3	11	3	5000
130002	3	5	1	11	1	40000
130002	4	1	5	11	5	400
130002	5	30	50	11	50	20000
130003	1	7	1	11	0	 
130003	2	4	2	11	0	 
130004	1	1	6	11	6	800
130004	2	5	1	11	1	4500
130004	3	4	3	11	3	2000
130004	4	30	50	11	50	3500
130005	1	1	3	11	3	300
130005	2	4	3	11	2	300
130005	3	2	1	11	0	 
130006	1	1	8	11	8	400
130006	2	7	1	11	0	 
130006	3	4	1	11	0	 
130006	4	5	1	11	0	 
130007	1	4	3	11	3	5000
130007	2	1	118	11	118	6000
130007	3	30	3	26	3	20000
130007	4	21	1	21	1	3000
130007	5	7	1	11	0	 
130008	1	7	1	11	0	 
130008	2	5	2	11	1	65000
130009	1	4	3	11	3	2500
130009	2	7	1	11	0	 
130009	3	5	1	11	1	80000
130009	4	8	60	11	0	 
130010	1	4	2	11	2	1000
130010	2	7	1	11	0	 
130011	1	1	6	11	6	950
130011	2	3	1	11	0	 
130011	3	30	40	11	40	7500
130011	4	7	1	11	0	 
130011	5	4	3	11	0	 
130012	1	5	1	11	1	30000
130012	2	3	1	11	0	 
130012	3	1	6	11	6	1000
130012	4	7	1	11	0	 
130013	1	1	5	11	5	600
130013	2	3	1	11	0	 
130013	3	7	1	11	0	 
130015	1	7	1	11	0	 
130015	2	4	2	11	0	 
130016	1	1	3	11	3	300
130018	1	5	1	11	1	70000
130018	2	2	1	11	1	8000
130018	3	4	6	11	6	8000
130018	4	1	8	11	8	500
130018	5	7	1	11	0	 
130019	1	8	4	11	4	400
130019	2	5	2	11	2	45000
130020	1	1	5	11	5	500
130020	2	7	1	11	0	 
130020	3	3	1	11	0	 
130021	1	1	6	11	6	600
130021	2	3	1	11	0	 
130021	3	7	1	11	0	 
130022	1	1	3	11	3	300
130022	2	4	3	11	3	500
130022	3	2	1	11	1	15000
130022	4	5	2	11	2	30000
130022	5	3	1	11	1	300
130023	1	30	20	26	20	55000
130024	1	8	8	11	8	500
130025	1	1	14	11	14	1400
130025	2	4	2	11	2	1300
130025	3	7	1	11	0	 
130025	4	23	1	11	1	2500
130025	5	30	4	11	4	750
130026	1	1	3	11	3	300
130026	2	4	3	11	3	1000
130026	3	2	1	11	0	 
130027	1	15	10	12	10	6000
130028	1	1	1	5	1	20
130029	1	1	3	11	3	300
130029	2	4	2	11	0	 
130029	3	7	1	11	0	 
130030	1	1	1	11	1	100
130032	1	1	9	11	9	1000
130032	2	7	1	11	0	 
130033	1	5	1	11	1	40000
130033	2	4	3	11	3	4000
130033	3	3	12	11	12	360
130033	4	1	4	11	4	100
130034	1	1	3	11	3	300
130034	2	3	1	11	0	 
130034	3	7	1	11	0	 
130036	1	1	3	26	3	150
130038	1	7	1	11	0	 
130038	2	1	3	11	3	350
130039	1	23	5	23	5	3000
130039	2	15	6	12	6	6500
130040	1	1	3	11	2	100
130040	2	3	1	11	0	 
130040	3	4	3	11	0	 
130042	1	1	12	11	12	300
130042	2	2	1	11	0	 
130042	3	7	1	11	0	 
130042	4	4	3	11	0	 
130045	1	1	3	11	3	300
130045	2	7	1	11	0	 
