CHILDCODE	NREGIDR5	MEMREGR5	NEG1DYR5	NEG1WGR5	NEG2DYR5	NEG2WGR5
10051	1	1	45	3600	0	 
10051	2	2	45	3600	0	 
10097	1	4	20	1600	30	2400
20001	1	2	104	14560	26	3380
20003	1	1	30	3900	20	2600
20003	2	2	15	1950	10	1300
20004	1	1	8	720	0	 
20004	2	2	8	720	2	180
20005	1	1	30	3720	0	 
20005	2	2	30	3720	0	 
20006	1	2	30	2400	20	2000
20006	2	1	30	2400	14	1400
20007	1	1	20	2000	10	1000
20007	2	2	30	3000	0	 
20007	3	3	30	3000	0	 
20009	1	2	20	1400	10	700
20009	2	3	10	700	10	700
20010	1	3	10	1000	0	 
20010	2	2	10	1000	0	 
20011	1	2	40	2800	0	 
20014	1	2	5	400	0	 
20014	2	1	5	400	0	 
20014	3	5	5	400	0	 
20015	1	3	20	2000	10	1000
20015	2	4	20	2000	10	1000
20016	1	3	30	2700	0	 
20016	2	4	30	2700	0	 
20017	1	2	30	2100	30	2100
20017	2	3	15	1050	15	1050
20018	1	2	7	700	0	 
20018	2	3	10	1000	0	 
20019	1	1	6	420	0	 
20019	2	2	30	2100	20	1400
20021	1	2	55	3900	0	 
20022	1	4	20	1600	15	700
20025	1	2	20	1400	20	1400
20025	2	1	30	2100	20	1400
20027	1	2	30	2100	21	1470
20028	1	4	30	2100	40	2800
20031	1	2	40	2800	20	1400
20031	2	3	30	2100	10	700
20032	1	2	20	1600	0	 
20035	1	1	8	800	0	 
20035	2	2	25	1600	0	 
20040	1	1	60	4500	0	 
20040	2	2	30	2250	0	 
20041	1	1	25	3000	0	 
20041	2	2	15	1800	5	550
20042	1	1	12	900	0	 
20042	2	2	28	2100	0	 
20044	1	1	50	4500	0	 
20044	2	2	35	3150	0	 
20044	3	3	20	1800	0	 
20044	4	5	20	1800	0	 
20045	1	1	10	800	10	900
20045	2	2	20	1500	10	800
20046	1	1	43	4300	3	245
20046	2	2	35	2100	5	250
20049	1	2	24	1500	14	1000
20050	1	1	30	2100	10	70
20050	2	2	20	1400	15	1200
20051	1	2	14	980	0	 
20051	2	3	20	1400	10	700
20052	1	2	30	3000	15	1500
20053	1	1	0	 	14	1400
20053	2	2	6	550	46	4650
20054	1	2	50	6000	0	 
20054	2	1	50	6000	20	2300
20056	1	2	21	2520	14	1680
20057	1	 	 	 	 	 
20059	1	1	30	2500	0	 
20059	2	2	15	1000	0	 
20062	1	1	21	1470	0	 
20062	2	2	28	1960	2	140
20063	1	1	20	1600	0	 
20063	2	2	10	800	0	 
20064	1	3	15	1050	10	600
20064	2	2	15	900	0	 
20066	1	2	14	1400	0	 
20068	1	2	2	1680	25	1750
20069	1	2	15	2250	8	960
20070	1	2	20	1600	15	1200
20070	3	3	20	1600	20	1600
20071	1	2	21	1491	0	 
20074	1	1	60	7200	0	 
20074	2	2	0	 	0	 
20074	3	4	5	600	0	 
20075	1	3	5	600	0	 
20076	1	2	7	700	0	 
20076	2	3	7	630	0	 
20078	1	1	45	1480	0	 
20078	2	2	22	950	0	 
20079	1	3	35	3150	10	900
20079	2	2	40	3600	20	1800
20080	1	3	40	3600	0	 
20081	1	2	30	3800	0	 
20081	2	1	30	3700	0	 
20082	1	2	21	1470	14	980
20082	2	3	28	1652	14	826
20083	1	2	8	1100	0	 
20083	2	1	7	900	0	 
20084	1	1	15	1050	10	700
20084	2	2	20	1400	0	 
20085	2	2	10	930	0	 
20086	1	1	5	600	0	 
20087	1	1	50	5000	0	 
20087	2	2	30	3000	0	 
20088	1	1	50	5500	30	3600
20088	2	2	50	5500	0	 
20089	1	2	50	4417	0	 
20089	2	5	45	3748	0	 
20090	1	1	12	1500	6	700
20092	1	9	20	2400	5	600
20092	2	8	30	3600	10	1200
20093	1	2	35	3000	8	800
20095	1	1	10	800	6	480
20095	2	2	10	800	0	 
20097	1	4	10	800	10	800
20097	2	3	20	1600	5	400
40001	1	4	56	6664	0	 
40001	2	3	50	5950	0	 
40002	1	2	30	3300	10	1100
40002	2	3	30	3300	10	1100
40004	1	3	60	3900	10	650
40004	2	2	50	3250	15	975
40005	1	3	30	2700	0	 
40005	2	4	40	3600	0	 
40005	3	2	30	2700	0	 
40006	1	2	36	3240	0	 
40006	2	3	20	1800	0	 
40007	1	2	50	3300	0	 
40007	2	1	50	3400	0	 
40008	1	2	50	2900	0	 
40008	2	1	50	3100	0	 
40009	1	1	40	3600	0	 
40009	2	2	25	2250	0	 
40010	1	3	56	5040	0	 
40010	2	4	23	2070	0	 
40011	1	3	46	4140	0	 
40011	2	4	23	2070	0	 
40012	1	2	34	2720	21	1680
40012	3	3	45	3825	12	700
40012	4	5	30	2550	6	580
40013	1	1	45	4500	0	 
40013	2	2	47	4700	0	 
40014	1	2	50	4500	20	1200
40014	2	3	49	4655	24	1800
40015	1	3	20	1400	20	1400
40015	2	2	10	700	10	700
40016	1	4	50	2750	20	1160
40016	2	5	45	2700	18	1440
40017	1	2	45	3375	0	 
40017	2	1	45	3375	0	 
40018	1	1	0	 	42	3600
40018	2	2	0	 	40	3500
40018	3	5	0	 	18	1500
40019	1	2	30	2100	0	 
40020	1	2	40	3200	60	4200
40021	1	1	12	1080	0	 
40021	2	2	5	450	0	 
40021	3	3	12	1080	0	 
40022	1	2	30	2500	0	 
40022	2	1	24	2000	0	 
40022	3	4	18	1500	0	 
40022	4	5	12	1000	0	 
40023	1	1	25	2000	16	1500
40023	2	2	25	2200	10	900
40023	3	3	20	1600	10	1000
40024	1	2	5	350	0	 
40024	2	3	18	1260	0	 
40024	3	4	20	1400	0	 
40025	1	1	28	3080	12	1440
40025	2	2	28	3080	12	1440
40028	1	3	30	1530	10	500
40028	2	4	30	1530	10	500
40029	1	1	35	2275	25	1500
40029	2	2	20	1200	20	1000
40029	3	5	35	1925	10	600
40030	1	2	60	6500	0	 
40031	1	4	18	1440	0	 
40031	2	5	15	1200	0	 
40031	3	2	10	800	0	 
40031	4	6	20	1600	0	 
40032	1	3	50	4250	25	2500
40032	2	4	48	2400	10	500
40034	1	2	24	2400	10	900
40034	2	1	18	2000	7	700
40036	1	2	28	1960	14	980
40036	2	1	28	1960	10	700
40037	1	2	32	3520	10	1100
40037	2	3	20	2000	10	1100
40038	1	2	14	1000	0	 
40038	2	1	14	1000	0	 
40039	1	3	20	2000	0	 
40039	2	4	18	1800	0	 
40041	1	1	50	5000	30	2800
40041	5	2	45	4000	10	850
40042	1	3	50	4400	0	 
40042	2	2	50	4500	0	 
40043	1	3	30	2100	10	700
40043	2	2	30	2100	0	 
40043	3	1	30	2100	0	 
40045	1	1	25	2000	0	 
40045	2	2	18	1440	0	 
40046	1	2	20	1200	0	 
40046	2	3	20	1200	0	 
40046	3	4	17	1100	0	 
40047	1	2	30	2100	20	1400
40047	2	1	30	2100	20	1400
40048	1	1	11	990	0	 
40048	2	3	18	1620	0	 
40049	1	2	30	2100	0	 
40049	2	3	30	2100	0	 
40050	1	1	50	4000	0	 
40050	2	2	30	2400	0	 
40051	1	3	60	5400	0	 
40051	2	4	30	2700	0	 
40052	1	1	30	2100	0	 
40052	2	2	30	2100	0	 
40053	1	3	50	5000	26	2600
40053	2	2	34	3400	10	500
40054	1	2	60	4800	20	1600
40055	1	1	20	1400	0	 
40055	2	2	20	1400	0	 
40056	1	3	32	2560	0	 
40056	2	4	23	1840	0	 
40064	1	1	40	4700	0	 
40069	1	4	75	9600	0	 
40073	1	2	50	4000	0	 
40075	1	3	36	3600	30	3200
40075	2	4	50	4500	10	1000
40082	1	4	40	3680	0	 
40082	2	3	30	2700	0	 
40084	1	2	60	8200	0	 
40087	1	1	40	4800	0	 
40087	2	2	20	2600	0	 
40088	1	2	40	3200	0	 
40088	2	1	30	2700	0	 
40088	3	3	30	2700	0	 
40089	1	8	60	6000	0	 
40090	1	1	50	4500	0	 
40090	2	7	20	1800	0	 
40091	1	2	24	2160	0	 
40091	2	3	36	3240	0	 
40092	1	1	26	2340	0	 
40092	2	2	30	2700	0	 
40093	1	2	74	10200	0	 
40093	2	1	26	3400	0	 
40094	1	2	34	3060	0	 
40094	2	3	11	990	0	 
40095	1	3	34	3060	0	 
40095	2	4	42	3780	0	 
40097	1	3	28	2800	0	 
40097	2	1	20	2000	0	 
40098	1	4	40	5100	0	 
40098	2	3	30	3700	0	 
40098	3	5	30	3800	0	 
40099	1	1	30	2700	0	 
40099	2	2	45	4050	0	 
40100	1	4	18	1620	0	 
40100	2	5	24	2160	0	 
50003	1	1	20	1800	0	 
50003	2	2	20	1850	0	 
50004	1	4	24	1600	0	 
50004	2	7	24	1560	0	 
50005	1	1	20	1800	0	 
50005	2	2	19	2100	0	 
50005	3	3	30	2700	0	 
50005	4	6	10	1200	0	 
50006	1	1	30	3000	0	 
50006	2	2	28	2800	0	 
50007	1	2	15	950	0	 
50008	1	3	30	3000	15	1500
50008	2	4	30	3000	15	1500
50009	1	1	30	3000	0	 
50009	2	2	30	3000	0	 
50010	1	3	28	2400	0	 
50010	2	4	20	2000	0	 
50010	3	5	20	2000	0	 
50010	4	6	20	2000	0	 
50011	1	3	28	2400	0	 
50011	2	4	28	3000	0	 
50013	1	1	28	2500	0	 
50013	2	2	28	3000	0	 
50014	1	3	60	6000	0	 
50016	1	2	28	1623	14	774
50016	2	1	25	2170	0	 
50018	1	14	16	1438	8	763
50018	2	2	17	1521	5	476
50019	1	1	60	6500	0	 
50020	1	6	30	2600	0	 
50021	1	2	42	4224	35	2557
50022	1	1	30	3000	0	 
50022	2	2	30	3000	0	 
50023	1	1	35	2500	0	 
50023	2	2	35	2500	0	 
50024	1	3	30	2500	0	 
50027	1	2	18	1925	0	 
50027	2	3	12	1405	0	 
50028	1	2	28	2000	0	 
50028	2	3	24	2000	0	 
50030	1	6	24	3000	0	 
50031	1	1	30	3000	0	 
50031	2	2	30	3000	0	 
50032	1	2	0	 	24	1466
50032	2	4	0	 	12	999
50033	1	2	30	3000	30	3000
50033	2	3	30	3000	30	3000
50034	1	2	15	1635	0	 
50035	1	2	33	3766	0	 
50035	2	3	33	3826	0	 
50036	1	0	30	2560	0	 
50036	2	1	30	2800	0	 
50037	1	4	50	4300	20	1800
50038	1	2	0	 	12	1347
50039	1	3	18	1984	14	1530
50040	1	2	20	1050	0	 
50042	1	1	30	3000	0	 
50043	2	4	35	2900	0	 
50044	1	4	20	1860	21	2245
50046	1	2	24	3125	0	 
50046	2	3	30	4136	0	 
50047	1	4	30	2100	0	 
50047	2	3	30	2100	0	 
50048	1	3	30	1800	0	 
50048	2	2	30	1800	0	 
50049	1	1	24	2000	0	 
50049	2	2	24	1800	0	 
50050	1	1	15	1200	0	 
50050	2	2	20	1600	0	 
50051	1	6	30	1800	0	 
50051	2	7	30	1800	0	 
50053	1	1	30	3000	0	 
50053	2	3	30	3000	0	 
50053	3	2	25	2700	0	 
50054	1	1	12	1680	0	 
50054	2	2	24	3360	0	 
50055	1	3	31	3410	0	 
50055	2	4	28	3080	0	 
50056	1	1	20	1400	0	 
50056	2	2	30	2100	0	 
50057	1	6	30	1500	0	 
50057	2	5	30	2400	0	 
50058	1	2	30	2700	0	 
50065	1	2	50	3400	62	4340
50067	1	2	20	1800	0	 
50067	2	1	10	600	0	 
50070	1	6	21	1680	14	1120
50070	2	5	7	540	0	 
50072	1	5	27	1750	0	 
50072	2	3	15	950	0	 
50073	1	3	30	2600	0	 
50073	2	2	20	1700	0	 
50075	1	3	40	3200	0	 
50075	2	4	35	2500	0	 
50077	1	2	30	2400	0	 
50079	1	6	14	1100	0	 
50079	2	5	21	1500	0	 
50081	1	2	33	3100	0	 
50081	2	1	33	3400	0	 
50082	1	3	40	3000	0	 
50082	2	4	30	2500	0	 
50083	1	4	30	2200	0	 
50083	2	5	20	1700	0	 
50084	1	2	20	1600	20	1600
50085	1	1	56	5600	25	2500
50085	2	2	34	3400	13	1300
50087	1	8	30	2400	20	1200
50089	1	3	24	1920	0	 
50089	2	4	18	1440	0	 
50093	1	3	35	2975	20	2000
50095	1	1	30	2400	0	 
50095	2	2	30	2700	0	 
50095	3	3	7	600	0	 
50098	1	3	40	3200	0	 
50098	2	4	30	2400	0	 
50099	1	4	40	3200	0	 
50099	2	3	30	2400	0	 
50100	1	11	20	1400	42	3360
50100	2	10	5	500	7	560
60001	1	 	 	 	 	 
60002	1	4	36	4680	14	1514
60004	1	2	30	3500	0	 
60004	2	3	36	4000	0	 
60005	1	2	37	4618	8	1252
60005	2	3	33	3830	11	1200
60006	1	3	42	5000	0	 
60006	2	6	42	5500	0	 
60007	1	2	24	2600	0	 
60008	1	4	21	2236	0	 
60010	1	2	27	2856	18	1978
60010	2	1	16	1745	0	 
60012	1	3	34	3546	18	1945
60014	1	2	51	6409	0	 
60015	1	2	30	3600	0	 
60015	2	1	36	4000	0	 
60016	1	3	30	1200	0	 
60016	2	6	40	3000	0	 
60018	1	1	43	5062	0	 
60018	2	2	53	6633	9	1018
60019	1	2	30	3000	0	 
60020	1	3	15	1700	0	 
60020	2	4	42	4600	0	 
60021	1	3	3	700	0	 
60023	1	1	18	2000	0	 
60023	2	4	18	2000	0	 
60024	1	1	20	1700	0	 
60024	2	2	20	1700	0	 
60025	1	8	30	1800	0	 
60026	1	9	8	1034	0	 
60026	2	8	23	2453	14	1487
60027	1	3	32	3468	23	2436
60028	1	2	28	2986	32	3759
60028	2	1	12	1432	8	1023
60029	1	4	27	2976	32	3452
60030	1	3	30	3450	0	 
60031	1	3	48	5771	0	 
60031	2	4	42	5699	0	 
60032	1	4	60	6489	0	 
60033	1	4	14	1719	0	 
60034	1	4	42	5066	0	 
60037	1	5	23	2436	18	2027
60037	2	3	28	3026	8	916
60037	3	8	26	2756	16	1764
60039	1	2	48	5106	0	 
60041	1	2	30	3500	0	 
60041	2	3	30	3000	0	 
60042	1	1	24	2200	0	 
60042	2	2	46	4500	0	 
60045	1	2	35	6000	0	 
60045	2	1	35	5500	0	 
60046	1	2	24	2200	0	 
60046	2	3	24	2200	0	 
60048	1	3	89	11817	6	731
60048	2	2	10	1326	0	 
60049	1	4	60	7956	16	1784
60051	1	5	24	2578	32	3324
60052	1	5	60	6500	30	3400
60054	1	5	30	4000	0	 
60054	2	4	14	1000	0	 
60055	1	 	 	 	 	 
60056	1	1	20	4000	0	 
60056	2	2	30	3500	0	 
60057	1	1	40	2500	0	 
60057	2	2	40	2500	0	 
60059	1	2	42	4900	0	 
60059	2	3	48	5600	0	 
60060	1	2	20	1150	0	 
60060	2	3	20	1150	0	 
60061	1	1	8	920	0	 
60061	2	2	10	1160	0	 
60063	1	5	45	5400	45	5400
60063	2	3	45	5400	45	5400
60068	1	1	30	3400	0	 
60075	1	7	30	3898	4	329
60075	2	8	30	3810	0	 
60076	1	4	72	9641	0	 
60077	1	8	25	2500	0	 
60078	1	4	35	7200	0	 
60079	1	4	42	5040	8	923
60080	1	3	52	6908	0	 
60081	1	4	10	1000	0	 
60082	1	3	50	6000	0	 
60083	1	29	30	3500	0	 
60083	2	30	30	3500	0	 
60084	1	2	50	5000	0	 
60085	1	4	50	4000	0	 
60086	1	2	30	3400	0	 
60089	1	4	15	550	0	 
60091	1	3	18	2000	0	 
60091	2	4	18	2000	0	 
60094	1	2	25	3100	0	 
60098	1	1	1989	16	0	 
60098	2	2	1127	11	0	 
60099	1	2	36	4000	0	 
60100	1	2	10	1250	0	 
60100	2	3	30	3000	0	 
60100	3	4	30	3200	0	 
70001	1	4	20	2520	30	3000
70002	1	7	23	2643	18	2140
70002	2	4	19	2218	13	1427
70003	1	5	67	7563	22	2890
70003	2	3	18	2168	0	 
70004	1	3	30	3000	60	6000
70006	1	2	15	750	0	 
70006	2	5	15	750	0	 
70007	1	2	40	3000	0	 
70007	2	4	60	6350	0	 
70010	1	2	63	7435	24	2832
70012	1	1	12	950	0	 
70013	1	3	49	6027	0	 
70014	1	3	30	3200	10	1000
70017	1	1	60	7742	0	 
70017	2	2	40	4040	0	 
70019	1	4	30	3747	0	 
70021	1	7	15	1200	0	 
70023	1	3	15	1150	0	 
70023	2	4	15	1150	0	 
70024	1	3	30	3742	0	 
70025	1	2	36	4238	26	2932
70026	1	2	43	5138	0	 
70027	1	1	48	5015	0	 
70028	1	2	20	2000	0	 
70029	1	2	15	1950	10	1300
70029	2	1	20	1950	10	1300
70030	1	1	40	4000	0	 
70030	2	2	50	4500	0	 
70031	1	1	32	3764	14	1648
70031	2	2	22	2653	18	2078
70033	1	3	20	2000	0	 
70033	2	2	30	3000	0	 
70034	1	6	40	4500	0	 
70034	2	8	20	1500	0	 
70034	3	11	45	4000	0	 
70036	1	4	36	2988	0	 
70036	2	2	24	1992	0	 
70036	3	3	21	1806	0	 
70042	1	2	40	4000	0	 
70043	1	2	48	5100	0	 
70045	1	1	30	2300	0	 
70045	2	2	30	2300	0	 
70047	1	2	30	3400	0	 
70048	1	6	36	3868	14	1654
70049	1	1	35	4500	20	3000
70049	2	2	25	3500	0	 
70050	1	1	50	5000	0	 
70050	2	2	50	5000	0	 
70051	1	3	72	9467	0	 
70051	2	4	24	2980	0	 
70052	1	3	64	7732	9	1032
70053	1	1	10	1500	0	 
70053	2	2	15	2250	0	 
70055	1	3	40	3000	60	6000
70056	1	6	45	4368	18	2328
70057	1	3	11	1700	0	 
70057	2	4	77	4500	0	 
70058	1	4	0	 	60	6000
70059	1	2	40	4000	0	 
70059	2	1	40	3000	0	 
70061	1	3	58	9576	0	 
70062	1	2	0	 	40	4000
70063	1	2	45	6000	0	 
70067	1	2	30	2700	0	 
70068	1	4	45	7000	0	 
70068	2	6	40	6000	0	 
70069	1	2	48	7000	0	 
70071	1	2	0	 	30	3000
70072	1	5	55	5643	0	 
70074	1	1	10	1360	0	 
70074	2	2	10	1360	0	 
70075	1	8	47	5170	0	 
70075	2	6	38	4180	0	 
70077	1	2	0	 	30	3000
70078	1	2	45	4835	5	598
70083	1	3	64	7146	21	1986
70085	1	4	42	4100	0	 
70086	1	5	41	3984	0	 
70087	1	3	32	3542	45	4873
70089	1	3	20	2600	0	 
70089	2	4	20	2600	0	 
70090	1	3	12	1128	0	 
70091	1	29	20	1946	34	3670
70092	1	1	35	4500	0	 
70092	2	2	30	4500	0	 
70093	1	2	30	2950	0	 
70093	2	3	24	1595	18	1707
70094	1	2	66	7380	0	 
70097	1	2	15	1430	0	 
70097	2	3	15	1364	0	 
70099	1	3	34	3250	0	 
70100	1	2	40	0	15	0
80001	1	1	50	4500	0	 
80001	2	2	50	4500	0	 
80005	1	1	40	2800	0	 
80005	2	2	50	3500	0	 
80007	1	4	50	3750	10	750
80009	1	 	 	 	 	 
80009	2	 	 	 	 	 
80009	3	 	 	 	 	 
80010	1	2	90	6300	0	 
80011	1	2	30	1500	0	 
80012	1	2	99	8415	0	 
80012	2	1	99	8415	0	 
80013	1	2	30	2700	0	 
80013	2	1	30	2700	0	 
80014	1	1	15	1510	0	 
80014	2	2	26	2203	0	 
80015	1	2	8	576	0	 
80021	1	4	15	1500	0	 
80022	1	1	4	450	0	 
80022	2	2	10	700	0	 
80023	1	1	9	701	0	 
80023	2	2	2	166	0	 
80025	1	1	25	1750	0	 
80025	2	3	25	1750	0	 
80026	1	2	35	2800	15	1500
80030	1	2	32	3924	0	 
80030	2	1	35	4235	0	 
80031	1	2	21	1500	0	 
80032	1	3	40	4000	0	 
80032	2	29	40	4000	0	 
80033	1	2	24	463	0	 
80033	2	1	2	0	0	 
80035	1	1	27	2295	0	 
80035	2	3	34	2890	0	 
80036	1	3	10	1200	0	 
80036	2	1	30	3600	0	 
80037	1	3	20	1800	0	 
80037	2	4	20	1800	0	 
80039	1	5	60	7200	0	 
80039	2	6	20	2400	0	 
80040	1	3	20	2200	0	 
80040	2	4	20	2200	0	 
80040	3	5	10	1100	0	 
80041	1	2	6	226	0	 
80041	2	3	2	226	0	 
80042	1	4	20	1600	0	 
80043	1	1	10	900	0	 
80043	2	2	30	3200	0	 
80044	1	4	32	3840	20	2000
80047	1	29	60	6000	25	2500
80048	1	2	30	3500	0	 
80052	1	3	27	2700	0	 
80052	2	4	29	2900	0	 
80053	1	4	30	3000	0	 
80054	1	5	30	3000	0	 
80054	2	4	30	3000	0	 
80055	1	3	15	1350	0	 
80056	1	2	30	3300	0	 
80056	2	1	30	3300	0	 
80057	1	3	6	540	0	 
