PLACEID	SCPRIDR4	PRBLCTLY	OTHSOCSP
1	1	0	 
1	2	0	 
1	3	1	 
1	4	0	 
1	5	0	 
1	6	0	 
1	7	0	 
1	8	0	 
1	9	0	 
1	10	0	 
1	12	0	 
1	13	0	 
1	14	0	 
2	1	0	 
2	2	0	 
2	3	0	 
2	4	0	 
2	5	0	 
2	6	0	 
2	7	0	 
2	8	1	 
2	9	0	 
2	10	0	 
2	12	0	 
2	13	0	 
2	14	0	 
3	1	0	 
3	2	0	 
3	3	0	 
3	4	0	 
3	5	0	 
3	6	0	 
3	7	0	 
3	8	1	 
3	9	0	 
3	10	0	 
3	12	0	 
3	13	0	 
3	14	0	 
4	1	0	 
4	2	0	 
4	3	0	 
4	4	0	 
4	5	0	 
4	6	0	 
4	7	0	 
4	8	1	 
4	9	1	 
4	10	0	 
4	12	0	 
4	13	0	 
4	14	0	 
5	1	0	 
5	2	0	 
5	3	0	 
5	4	0	 
5	5	0	 
5	6	0	 
5	7	0	 
5	8	1	 
5	9	0	 
5	10	0	 
5	12	0	 
5	13	0	 
5	14	0	 
6	1	1	 
6	2	0	 
6	3	0	 
6	4	0	 
6	5	0	 
6	6	0	 
6	7	0	 
6	8	1	 
6	9	0	 
6	10	0	 
6	12	1	 
6	13	0	 
6	14	1	 
7	1	1	 
7	2	0	 
7	3	0	 
7	4	0	 
7	5	0	 
7	6	0	 
7	7	0	 
7	8	0	 
7	9	0	 
7	10	0	 
7	12	0	 
7	13	0	 
7	14	0	 
8	1	1	 
8	2	0	 
8	3	1	 
8	4	0	 
8	5	0	 
8	6	1	 
8	7	0	 
8	8	1	 
8	9	0	 
8	10	0	 
8	12	1	 
8	13	0	 
8	14	0	 
9	1	1	 
9	2	1	 
9	3	0	 
9	4	0	 
9	5	0	 
9	6	0	 
9	7	0	 
9	8	1	 
9	9	0	 
9	10	0	 
9	12	0	 
9	13	0	 
9	14	0	 
10	1	0	 
10	2	0	 
10	3	0	 
10	4	0	 
10	5	0	 
10	6	0	 
10	7	0	 
10	8	0	 
10	9	0	 
10	10	0	 
10	12	0	 
10	13	0	 
10	14	0	 
11	1	1	 
11	2	0	 
11	3	1	 
11	4	0	 
11	5	0	 
11	6	1	 
11	7	1	 
11	8	0	 
11	9	0	 
11	10	0	 
11	12	1	 
11	13	0	 
11	14	0	 
12	1	0	 
12	2	0	 
12	3	0	 
12	4	0	 
12	5	0	 
12	6	0	 
12	7	0	 
12	8	1	 
12	9	0	 
12	10	0	 
12	12	0	 
12	13	0	 
12	14	0	 
13	1	0	 
13	2	0	 
13	3	0	 
13	4	0	 
13	5	0	 
13	6	0	 
13	7	0	 
13	8	1	 
13	9	0	 
13	10	0	 
13	12	0	 
13	13	0	 
13	14	0	 
14	1	0	 
14	2	0	 
14	3	0	 
14	4	0	 
14	5	0	 
14	6	0	 
14	7	0	 
14	8	1	 
14	9	1	 
14	10	0	 
14	12	0	 
14	13	0	 
14	14	1	 
15	1	1	 
15	2	0	 
15	3	0	 
15	4	0	 
15	5	0	 
15	6	1	 
15	7	1	 
15	8	1	 
15	9	1	 
15	10	0	 
15	12	0	 
15	13	1	 
15	14	1	 
16	1	0	 
16	2	0	 
16	3	0	 
16	4	0	 
16	5	0	 
16	6	0	 
16	7	0	 
16	8	1	 
16	9	0	 
16	10	0	 
16	12	0	 
16	13	0	 
16	14	0	 
17	1	0	 
17	2	0	 
17	3	1	 
17	4	0	 
17	5	0	 
17	6	0	 
17	7	0	 
17	8	1	 
17	9	0	 
17	10	0	 
17	12	1	 
17	13	0	 
17	14	1	 
18	1	1	 
18	2	1	 
18	3	1	 
18	4	0	 
18	5	0	 
18	6	0	 
18	7	0	 
18	8	1	 
18	9	1	 
18	10	0	 
18	12	1	 
18	13	0	 
18	14	1	 
19	1	0	 
19	2	0	 
19	3	0	 
19	4	0	 
19	5	0	 
19	6	0	 
19	7	0	 
19	8	1	 
19	9	0	 
19	10	0	 
19	12	0	 
19	13	0	 
19	14	0	 
20	1	1	 
20	2	0	 
20	3	0	 
20	4	0	 
20	5	1	 
20	6	0	 
20	7	0	 
20	8	0	 
20	9	0	 
20	10	0	 
20	12	1	 
20	13	0	 
20	14	0	 
21	1	1	 
21	2	1	 
21	3	1	 
21	4	1	 
21	5	0	 
21	6	1	 
21	7	1	 
21	8	1	 
21	9	1	 
21	10	0	 
21	12	1	 
21	13	0	 
21	14	1	 
22	1	0	 
22	2	0	 
22	3	0	 
22	4	0	 
22	5	0	 
22	6	0	 
22	7	0	 
22	8	0	 
22	9	0	 
22	10	0	 
22	12	0	 
22	13	0	 
22	14	0	 
23	1	0	 
23	2	0	 
23	3	0	 
23	4	0	 
23	5	1	 
23	6	0	 
23	7	0	 
23	8	1	 
23	9	0	 
23	10	0	 
23	12	1	 
23	13	0	 
23	14	0	 
24	1	1	 
24	2	0	 
24	3	1	 
24	4	0	 
24	5	0	 
24	6	1	 
24	7	1	 
24	8	1	 
24	9	1	 
24	10	0	 
24	12	1	 
24	13	0	 
24	14	1	 
25	1	1	 
25	2	0	 
25	3	0	 
25	4	0	 
25	5	1	 
25	6	0	 
25	7	0	 
25	8	1	 
25	9	1	 
25	10	0	 
25	12	1	 
25	13	0	 
25	14	0	 
26	1	1	 
26	2	1	 
26	3	1	 
26	4	1	 
26	5	1	 
26	6	1	 
26	7	1	 
26	8	1	 
26	9	1	 
26	10	0	 
26	12	1	 
26	13	1	 
26	14	1	 
27	1	1	 
27	2	0	 
27	3	0	 
27	4	1	 
27	5	1	 
27	6	1	 
27	7	1	 
27	8	1	 
27	9	1	 
27	10	0	 
27	12	1	 
27	13	0	 
27	14	1	 
28	1	1	 
28	2	0	 
28	3	0	 
28	4	0	 
28	5	0	 
28	6	1	 
28	7	1	 
28	8	1	 
28	9	1	 
28	10	0	 
28	12	1	 
28	13	0	 
28	14	0	 
29	1	1	 
29	2	0	 
29	3	1	 
29	4	1	 
29	5	1	 
29	6	1	 
29	7	1	 
29	8	1	 
29	9	1	 
29	10	0	 
29	12	1	 
29	13	0	 
29	14	1	 
30	1	1	 
30	2	1	 
30	3	0	 
30	4	0	 
30	5	0	 
30	6	0	 
30	7	0	 
30	8	1	 
30	9	0	 
30	10	0	 
30	12	0	 
30	13	0	 
30	14	0	 
31	1	1	 
31	2	1	 
31	3	1	 
31	4	0	 
31	5	0	 
31	6	1	 
31	7	1	 
31	8	1	 
31	9	1	 
31	10	0	 
31	12	1	 
31	13	1	 
31	14	1	 
32	1	1	 
32	2	1	 
32	3	0	 
32	4	1	 
32	5	0	 
32	6	1	 
32	7	1	 
32	8	1	 
32	9	1	 
32	10	0	 
32	12	1	 
32	13	0	 
32	14	1	 
33	1	1	 
33	2	0	 
33	3	1	 
33	4	0	 
33	5	0	 
33	6	0	 
33	7	0	 
33	8	0	 
33	9	0	 
33	10	0	 
33	12	0	 
33	13	0	 
33	14	0	 
34	1	0	 
34	2	0	 
34	3	0	 
34	4	0	 
34	5	0	 
34	6	0	 
34	7	0	 
34	8	0	 
34	9	0	 
34	10	0	 
34	12	0	 
34	13	0	 
34	14	1	 
35	1	0	 
35	2	0	 
35	3	0	 
35	4	0	 
35	5	0	 
35	6	0	 
35	7	0	 
35	8	0	 
35	9	0	 
35	10	0	 
35	12	0	 
35	13	0	 
35	14	0	 
36	1	1	 
36	2	1	 
36	3	1	 
36	4	0	 
36	5	0	 
36	6	0	 
36	7	0	 
36	8	0	 
36	9	0	 
36	10	0	 
36	12	0	 
36	13	0	 
36	14	1	 
37	1	1	 
37	2	0	 
37	3	1	 
37	4	1	 
37	5	0	 
37	6	0	 
37	7	1	 
37	8	1	 
37	9	0	 
37	10	0	 
37	12	1	 
37	13	1	 
37	14	1	 
38	1	1	 
38	2	0	 
38	3	0	 
38	4	0	 
38	5	0	 
38	6	1	 
38	7	1	 
38	8	1	 
38	9	0	 
38	10	0	 
38	12	1	 
38	13	0	 
38	14	0	 
39	1	1	 
39	2	0	 
39	3	0	 
39	4	0	 
39	5	0	 
39	6	0	 
39	7	0	 
39	8	1	 
39	9	0	 
39	10	0	 
39	12	0	 
39	13	0	 
39	14	1	 
40	1	1	 
40	2	1	 
40	3	0	 
40	4	0	 
40	5	0	 
40	6	0	 
40	7	0	 
40	8	1	 
40	9	1	 
40	10	0	 
40	12	0	 
40	13	0	 
40	14	0	 
41	1	1	 
41	2	1	 
41	3	1	 
41	4	1	 
41	5	0	 
41	6	1	 
41	7	1	 
41	8	1	 
41	9	1	 
41	10	0	 
41	12	1	 
41	13	1	 
41	14	1	 
42	1	1	 
42	2	1	 
42	3	1	 
42	4	1	 
42	5	1	 
42	6	1	 
42	7	1	 
42	8	1	 
42	9	1	 
42	10	0	 
42	12	1	 
42	13	0	 
42	14	1	 
43	1	1	 
43	2	1	 
43	3	0	 
43	4	0	 
43	5	0	 
43	6	0	 
43	7	0	 
43	8	1	 
43	9	0	 
43	10	0	 
43	12	1	 
43	13	0	 
43	14	0	 
44	1	1	 
44	2	1	 
44	3	1	 
44	4	1	 
44	5	1	 
44	6	0	 
44	7	0	 
44	8	1	 
44	9	0	 
44	10	0	 
44	12	1	 
44	13	0	 
44	14	0	 
45	1	1	 
45	2	0	 
45	3	1	 
45	4	0	 
45	5	0	 
45	6	1	 
45	7	1	 
45	8	1	 
45	9	1	 
45	10	0	 
45	12	1	 
45	13	0	 
45	14	0	 
46	1	1	 
46	2	1	 
46	3	1	 
46	4	1	 
46	5	0	 
46	6	1	 
46	7	1	 
46	8	1	 
46	9	1	 
46	10	0	 
46	12	1	 
46	13	0	 
46	14	0	 
47	1	1	 
47	2	1	 
47	3	1	 
47	4	1	 
47	5	0	 
47	6	1	 
47	7	1	 
47	8	1	 
47	9	1	 
47	10	0	 
47	12	1	 
47	13	0	 
47	14	0	 
48	1	0	 
48	2	0	 
48	3	0	 
48	4	0	 
48	5	0	 
48	6	0	 
48	7	0	 
48	8	0	 
48	9	0	 
48	10	0	 
48	12	1	 
48	13	0	 
48	14	0	 
49	1	1	 
49	2	1	 
49	3	0	 
49	4	0	 
49	5	0	 
49	6	0	 
49	7	0	 
49	8	1	 
49	9	0	 
49	10	0	 
49	12	1	 
49	13	0	 
49	14	0	 
50	1	0	 
50	2	0	 
50	3	0	 
50	4	0	 
50	5	0	 
50	6	0	 
50	7	0	 
50	8	0	 
50	9	0	 
50	10	0	 
50	12	0	 
50	13	0	 
50	14	0	 
51	1	0	 
51	2	0	 
51	3	1	 
51	4	0	 
51	5	1	 
51	6	0	 
51	7	0	 
51	8	0	 
51	9	0	 
51	10	0	 
51	12	1	 
