PLACEID	SERVIDR4	AVLOC	SRVRT
1	10	0	 
1	12	0	 
1	13	1	1
1	14	1	1
1	15	0	 
1	19	0	 
1	20	0	 
1	26	1	2
1	30	1	1
1	32	1	1
1	33	0	 
1	34	0	 
1	35	0	 
1	36	0	 
1	37	1	3
1	38	0	 
1	39	0	 
1	40	0	 
1	41	0	 
1	42	0	 
1	43	0	 
1	44	1	2
1	45	0	 
1	46	0	 
1	47	0	 
1	48	1	2
1	49	0	 
1	50	0	 
1	51	0	 
1	52	0	 
1	53	0	 
2	10	0	 
2	12	0	 
2	13	1	3
2	14	1	3
2	15	0	 
2	19	0	 
2	20	0	 
2	26	1	3
2	30	0	 
2	32	0	 
2	33	1	3
2	34	0	 
2	35	0	 
2	36	0	 
2	37	1	3
2	38	0	 
2	39	0	 
2	40	0	 
2	41	0	 
2	42	0	 
2	43	0	 
2	44	0	 
2	45	0	 
2	46	0	 
2	47	0	 
2	48	0	 
2	49	0	 
2	50	1	3
2	51	1	3
2	52	0	 
2	53	1	3
3	10	0	 
3	12	0	 
3	13	0	 
3	14	0	 
3	15	0	 
3	19	0	 
3	20	0	 
3	26	1	3
3	30	0	 
3	32	0	 
3	33	0	 
3	34	0	 
3	35	0	 
3	36	0	 
3	37	1	3
3	38	0	 
3	39	0	 
3	40	0	 
3	41	0	 
3	42	0	 
3	43	0	 
3	44	0	 
3	45	0	 
3	46	0	 
3	47	0	 
3	48	0	 
3	49	0	 
3	50	1	3
3	51	0	 
3	52	0	 
3	53	0	 
4	10	0	 
4	12	0	 
4	13	0	 
4	14	1	1
4	15	0	 
4	19	0	 
4	20	0	 
4	26	1	2
4	30	0	 
4	32	0	 
4	33	0	 
4	34	0	 
4	35	0	 
4	36	0	 
4	37	1	2
4	38	0	 
4	39	0	 
4	40	0	 
4	41	0	 
4	42	0	 
4	43	0	 
4	44	0	 
4	45	0	 
4	46	0	 
4	47	0	 
4	48	0	 
4	49	0	 
4	50	1	2
4	51	0	 
4	52	0	 
4	53	0	 
5	10	1	1
5	12	0	 
5	13	1	2
5	14	1	2
5	15	0	 
5	19	0	 
5	20	0	 
5	26	1	3
5	30	0	 
5	32	0	 
5	33	0	 
5	34	0	 
5	35	0	 
5	36	0	 
5	37	1	3
5	38	0	 
5	39	0	 
5	40	0	 
5	41	0	 
5	42	0	 
5	43	0	 
5	44	0	 
5	45	0	 
5	46	0	 
5	47	0	 
5	48	0	 
5	49	0	 
5	50	1	3
5	51	0	 
5	52	0	 
5	53	0	 
6	10	0	 
6	12	0	 
6	13	1	3
6	14	1	3
6	15	0	 
6	19	0	 
6	20	1	2
6	26	1	2
6	30	0	 
6	32	0	 
6	33	0	 
6	34	0	 
6	35	1	2
6	36	0	 
6	37	1	3
6	38	0	 
6	39	1	2
6	40	0	 
6	41	0	 
6	42	0	 
6	43	0	 
6	44	0	 
6	45	0	 
6	46	0	 
6	47	0	 
6	48	1	2
6	49	0	 
6	50	0	 
6	51	1	1
6	52	0	 
6	53	0	 
7	10	0	 
7	12	0	 
7	13	0	 
7	14	1	2
7	15	0	 
7	19	0	 
7	20	0	 
7	26	1	2
7	30	0	 
7	32	0	 
7	33	1	2
7	34	0	 
7	35	1	3
7	36	0	 
7	37	1	3
7	38	0	 
7	39	0	 
7	40	0	 
7	41	0	 
7	42	0	 
7	43	0	 
7	44	0	 
7	45	0	 
7	46	0	 
7	47	0	 
7	48	0	 
7	49	0	 
7	50	1	3
7	51	0	 
7	52	0	 
7	53	0	 
8	10	1	2
8	12	0	 
8	13	1	1
8	14	1	3
8	15	1	1
8	19	1	1
8	20	0	 
8	26	1	1
8	30	0	 
8	32	0	 
8	33	0	 
8	34	0	 
8	35	0	 
8	36	0	 
8	37	1	2
8	38	0	 
8	39	1	2
8	40	0	 
8	41	0	 
8	42	0	 
8	43	0	 
8	44	0	 
8	45	0	 
8	46	0	 
8	47	0	 
8	48	1	2
8	49	0	 
8	50	0	 
8	51	1	2
8	52	0	 
8	53	1	3
9	10	1	77
9	12	0	 
9	13	1	2
9	14	0	 
9	15	0	 
9	19	0	 
9	20	0	 
9	26	1	2
9	30	0	 
9	32	0	 
9	33	0	 
9	34	0	 
9	35	1	3
9	36	0	 
9	37	1	3
9	38	0	 
9	39	0	 
9	40	0	 
9	41	0	 
9	42	0	 
9	43	0	 
9	44	0	 
9	45	0	 
9	46	0	 
9	47	0	 
9	48	0	 
9	49	0	 
9	50	1	3
9	51	0	 
9	52	0	 
9	53	0	 
10	10	1	2
10	12	0	 
10	13	1	2
10	14	1	2
10	15	0	 
10	19	0	 
10	20	0	 
10	26	1	2
10	30	1	2
10	32	0	 
10	33	1	2
10	34	0	 
10	35	0	 
10	36	1	3
10	37	1	3
10	38	0	 
10	39	0	 
10	40	0	 
10	41	0	 
10	42	0	 
10	43	0	 
10	44	0	 
10	45	0	 
10	46	0	 
10	47	0	 
10	48	1	3
10	49	1	3
10	50	1	3
10	51	1	3
10	52	0	 
10	53	1	2
11	10	1	3
11	12	0	 
11	13	1	3
11	14	1	3
11	15	0	 
11	19	1	2
11	20	1	3
11	26	1	3
11	30	1	2
11	32	1	2
11	33	1	3
11	34	1	2
11	35	1	3
11	36	1	3
11	37	1	3
11	38	1	3
11	39	1	3
11	40	1	2
11	41	1	2
11	42	0	 
11	43	1	3
11	44	1	3
11	45	0	 
11	46	1	3
11	47	1	3
11	48	1	3
11	49	1	3
11	50	1	2
11	51	1	3
11	52	0	 
11	53	1	3
12	10	1	2
12	12	0	 
12	13	1	3
12	14	1	3
12	15	0	 
12	19	1	3
12	20	1	3
12	26	1	3
12	30	1	2
12	32	1	2
12	33	1	2
12	34	0	 
12	35	1	2
12	36	1	3
12	37	1	3
12	38	1	2
12	39	1	3
12	40	0	 
12	41	1	2
12	42	0	 
12	43	0	 
12	44	1	2
12	45	0	 
12	46	1	3
12	47	0	 
12	48	1	3
12	49	1	3
12	50	1	3
12	51	1	3
12	52	1	3
12	53	1	3
13	10	0	 
13	12	0	 
13	13	0	 
13	14	1	2
13	15	0	 
13	19	0	 
13	20	0	 
13	26	1	2
13	30	1	1
13	32	0	 
13	33	0	 
13	34	0	 
13	35	1	2
13	36	0	 
13	37	1	2
13	38	0	 
13	39	1	2
13	40	0	 
13	41	0	 
13	42	0	 
13	43	0	 
13	44	0	 
13	45	0	 
13	46	0	 
13	47	0	 
13	48	1	3
13	49	0	 
13	50	1	3
13	51	1	2
13	52	1	2
13	53	0	 
14	10	0	 
14	12	0	 
14	13	1	1
14	14	1	2
14	15	1	2
14	19	0	 
14	20	0	 
14	26	1	2
14	30	0	 
