PLACEID	MNTRIDR4	TRANS	TITRANS
1	1	1	10
1	2	15	3
2	1	1	90
2	2	6	15
3	1	1	40
3	2	6	10
4	1	6	50
4	2	2	180
4	3	1	240
5	1	1	150
5	2	2	90
5	3	6	15
6	1	1	5
7	1	1	80
8	1	6	20
8	2	15	40
9	1	1	90
9	2	2	45
9	3	7	15
10	1	6	15
10	2	1	70
11	1	1	7
11	2	15	3
12	1	1	10
12	2	15	5
13	1	2	120
13	2	1	300
14	1	6	5
14	2	2	35
14	3	1	50
15	1	1	150
15	2	2	95
15	3	6	30
16	1	1	40
17	1	1	5
17	2	14	10
18	1	1	20
18	2	15	10
18	3	14	15
19	1	5	5
19	2	1	10
20	1	5	5
20	2	6	5
20	3	15	5
20	4	1	15
20	5	8	10
21	1	15	15
21	2	14	20
21	3	1	25
22	1	6	40
22	2	2	70
22	3	1	120
23	1	1	40
23	2	7	15
23	3	15	20
24	1	7	10
24	2	1	30
24	3	6	7
25	1	7	20
25	2	8	25
25	3	15	35
26	1	1	30
26	2	7	5
26	3	8	15
27	1	7	30
27	2	8	40
27	3	6	25
28	1	1	40
28	2	15	15
28	3	7	10
29	1	1	7
29	2	6	3
30	1	8	40
30	2	1	180
31	1	15	0
31	2	7	0
31	3	3	0
31	4	6	0
31	5	14	0
32	1	6	0
32	2	15	0
32	3	14	0
32	4	3	0
32	5	4	0
32	6	5	0
32	7	8	0
33	1	8	120
34	1	1	60
34	2	2	50
35	1	1	240
37	1	15	15
37	2	8	30
37	3	2	60
37	4	1	90
38	1	6	5
38	2	1	20
38	3	13	5
39	1	6	10
39	2	1	90
39	3	13	25
40	1	1	90
40	2	2	40
40	3	14	40
41	1	1	25
41	2	7	5
41	3	8	7
42	1	14	4
42	2	1	15
42	3	3	6
43	1	1	30
43	2	2	25
44	1	1	90
44	2	15	10
44	3	7	10
45	1	6	45
46	1	15	20
46	2	7	15
46	3	14	40
47	1	15	15
47	2	1	35
47	3	14	20
48	1	6	120
49	1	4	180
49	2	6	210
50	1	1	60
50	2	4	25
51	1	5	88
51	2	7	88
51	3	4	88
52	1	1	90
52	2	4	25
52	3	6	45
53	1	1	30
53	2	7	5
54	1	2	90
54	2	4	35
54	3	1	180
55	1	1	330
55	2	6	90
56	1	1	5
57	1	1	7
57	2	15	3
57	3	2	5
58	1	1	8
58	2	2	5
59	1	1	30
59	2	15	10
59	3	4	5
60	1	1	240
60	2	6	80
61	1	1	120
61	2	2	60
62	1	1	6
62	2	4	2
63	1	1	20
63	2	15	5
63	3	2	10
64	1	15	0
64	2	7	0
64	3	3	0
64	4	4	0
65	1	7	0
65	2	15	0
65	3	8	0
65	4	4	0
65	5	3	0
65	6	14	0
66	1	6	120
66	2	1	300
67	1	88	 
68	1	88	 
69	1	6	10
69	2	15	10
70	1	88	 
71	1	14	30
71	2	15	10
71	3	1	60
72	1	1	0
72	2	15	0
72	3	14	0
72	4	3	0
73	1	9	90
73	2	8	60
73	3	1	240
75	1	1	0
75	2	14	0
75	3	4	0
75	4	3	0
76	1	6	30
76	2	1	180
77	1	1	120
77	2	14	80
78	1	1	60
78	2	2	20
79	1	14	-88
79	2	3	-88
79	3	1	-88
80	1	15	5
80	2	14	10
80	3	1	15
82	1	1	300
83	1	8	90
84	1	8	30
85	1	7	15
86	1	1	30
86	2	15	10
87	1	1	300
87	2	8	90
88	1	15	15
88	2	7	10
89	1	1	15
89	2	15	15
90	1	1	180
91	1	7	45
91	2	8	60
92	1	7	15
92	2	8	30
92	3	1	57
93	1	1	15
93	2	15	4
94	1	1	120
94	2	6	15
94	3	2	80
95	1	6	20
96	1	1	180
96	2	6	30
96	3	4	25
97	1	1	210
97	2	6	30
97	3	15	40
98	1	1	6
98	2	15	3
99	1	15	10
99	2	1	20
100	1	1	7
100	2	1	3
101	1	1	10
101	2	2	6
101	3	15	3
102	1	1	300
102	2	6	90
102	3	4	70
103	1	6	60
103	2	4	40
103	3	1	120
104	1	4	50
104	2	6	75
104	3	1	240
105	1	4	40
105	2	6	60
106	1	4	50
106	2	1	90
106	3	6	65
107	1	6	60
107	2	2	90
107	3	1	180
108	1	1	60
108	2	14	30
108	3	6	15
109	1	1	90
109	2	2	30
109	3	6	10
110	1	14	20
110	2	1	40
111	1	1	20
111	2	4	5
