PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	PRCEFFCT
2	1	10	2005	11	10	3
2	2	7	2005	2	10	2
2	3	9	2003	12	10	1
3	1	10	2004	12	10	3
4	1	10	2005	2	10	3
4	2	10	2004	12	10	3
4	3	7	2004	3	10	2
4	4	9	2003	12	10	1
5	1	3	2005	1	5	3
5	2	10	2005	2	10	3
5	3	7	2004	2	10	1
6	2	11	2004	9	5	1
7	1	6	2005	11	10	1
7	2	9	2002	12	4	1
8	1	3	2003	7	1	2
8	2	3	2004	8	5	2
8	3	11	2005	9	5	1
9	1	3	2003	8	5	2
12	1	6	2004	11	9	1
12	2	8	2005	10	8	1
12	3	10	2002	2	18	3
12	4	9	2002	1	7	1
13	1	3	2005	2	10	2
13	2	3	2006	3	10	2
14	1	10	2005	2	10	3
14	2	7	2005	2	10	2
15	1	10	2004	1	10	3
15	2	10	2005	3	10	2
15	3	7	2004	2	10	2
16	1	10	2005	1	10	3
17	1	6	2003	11	8	2
17	2	7	2004	3	10	1
18	1	3	2003	5	7	3
18	2	6	2005	12	8	1
22	1	3	2002	2	10	3
25	1	6	2005	11	8	1
25	2	14	2005	12	8	1
27	1	9	2006	2	13	1
33	1	7	2006	2	10	2
33	2	10	2005	12	10	3
34	1	6	2005	12	10	2
35	1	6	2003	11	10	2
35	2	9	2006	3	10	1
36	1	6	2005	12	10	1
36	2	6	2004	11	5	1
36	3	6	2003	12	10	2
36	4	7	2006	2	10	1
40	1	10	2005	3	14	4
40	2	13	2005	11	19	1
41	1	9	2005	12	9	1
46	1	6	2002	12	8	1
46	2	6	2003	12	8	1
46	3	6	2004	12	8	1
46	4	6	2005	12	8	1
46	5	7	2005	11	8	1
48	1	7	2005	9	10	3
49	1	7	2005	7	4	2
52	1	6	2004	11	15	-77
53	1	3	2004	12	10	3
55	1	10	2004	12	10	3
55	2	3	2005	10	10	2
55	3	4	2005	12	10	1
60	1	9	2003	12	6	1
60	2	3	2003	8	18	3
65	1	12	2003	2	13	1
67	1	6	2004	12	8	1
67	2	6	2005	12	9	1
67	3	3	2005	1	10	3
67	4	7	2006	3	10	2
68	1	6	2004	11	5	1
71	1	10	2003	11	10	3
75	1	12	2002	10	17	1
76	1	10	2005	11	8	2
77	1	12	2004	3	13	2
77	2	9	2003	9	10	3
78	1	13	2005	12	19	2
79	1	9	2005	3	7	2
79	2	10	2003	1	8	1
85	1	6	2003	7	8	1
87	1	7	2005	12	10	1
88	1	13	2003	10	13	1
88	2	12	2004	11	13	1
94	1	6	2004	12	8	1
95	1	12	2003	11	17	1
96	1	11	2004	3	5	2
96	2	12	2005	1	17	2
98	1	6	2004	1	8	1
