PLACEID	DWAGIDR4	MAVWG	FAVWG
1	1	-1111	-1111
2	1	50	-1111
3	1	35	35
4	1	35	30
5	1	70	60
6	1	30	25
7	1	50	50
8	1	50	50
9	1	30	25
10	1	60	50
11	1	30	20
12	1	70	60
13	1	60	60
14	1	60	50
15	1	50	50
16	1	40	35
17	1	50	50
18	1	50	50
19	1	50	40
20	1	60	45
21	1	60	40
22	1	40	60
23	1	-1111	-1111
24	1	-1111	-1111
25	1	-1111	-1111
26	1	-1111	-1111
27	1	200	200
28	1	80	60
29	1	-1111	-1111
30	1	50	-1111
31	1	70	70
32	1	70	50
33	1	30	30
34	1	40	30
35	1	40	30
36	1	70	60
37	1	-1111	-1111
38	1	80	-1111
39	1	60	40
40	1	30	30
41	1	-1111	-1111
42	1	50	50
43	1	30	25
44	1	30	30
45	1	50	40
46	1	60	50
47	1	70	60
48	1	25	15
49	1	15	15
50	1	900	900
51	1	-88	-88
52	1	10	10
53	1	60	50
54	1	20	10
55	1	40	25
56	1	40	30
57	1	70	50
58	1	50	40
59	1	50	50
60	1	30	20
61	1	45	35
62	1	20	20
63	1	40	30
64	1	60	60
65	1	70	80
66	1	25	20
67	1	30	25
68	1	70	-1111
69	1	30	30
70	1	50	40
71	1	50	25
72	1	50	50
73	1	40	35
75	1	30	30
76	1	30	25
77	1	30	25
78	1	40	30
79	1	80	50
80	1	70	60
82	1	40	40
83	1	80	50
84	1	90	60
85	1	60	60
86	1	60	50
87	1	40	40
88	1	-1111	-1111
89	1	60	60
90	1	35	35
91	1	10	10
92	1	-1111	-1111
93	1	50	50
94	1	40	20
95	1	65	50
96	1	55	55
97	1	80	60
98	1	50	30
99	1	30	30
100	1	60	45
101	1	50	40
102	1	20	20
103	1	25	25
104	1	30	30
105	1	25	20
106	1	30	25
107	1	60	60
108	1	50	30
109	1	45	35
110	1	50	50
111	1	50	50
